ticker,buyprice,buydate,duration,score,sellprice,selldate
['AGN', 28.0, '2008-03-17', 5, -1, 29.059999000000001, '2008-03-25', 0.037321392857142907]
['AXP', 36.653649999999999, '2008-03-17', 5, -1, 41.750537000000001, '2008-03-25', 0.1386461375606523]
['EOG', 57.398207999999997, '2008-03-17', 5, -1, 55.400877000000001, '2008-03-25', -0.035059125887693145]
['BA', 62.375793999999999, '2008-03-17', 5, -1, 62.714571999999997, '2008-03-25', 0.0051907635837068113]
['AAPL', 16.929321999999999, '2008-03-17', 5, -1, 18.832916999999998, '2008-03-25', 0.11155762764746276]
['EIX', 38.673982000000002, '2008-03-17', 5, -1, 38.105249000000001, '2008-03-25', -0.015093687533908499]
['BK', 34.309089, '2008-03-17', 5, -1, 38.212156, '2008-03-25', 0.11332469364021877]
['DRI', 22.759270999999998, '2008-03-17', 5, -1, 26.428875000000001, '2008-03-25', 0.16057649649674646]
['CCL', 30.027111000000001, '2008-03-17', 5, -1, 34.661230000000003, '2008-03-25', 0.15383161570222331]
['CCI', 31.577376000000001, '2008-03-17', 5, -1, 33.366382000000002, '2008-03-25', 0.056179652166158472]
['CCE', 14.076682, '2008-03-17', 5, -1, 14.665665000000001, '2008-03-25', 0.040775446941260778]
['EXC', 56.927149, '2008-03-17', 5, -1, 56.633158999999999, '2008-03-25', -0.0054278144159301015]
['ADM', 35.883698000000003, '2008-03-17', 5, -1, 36.421059, '2008-03-25', 0.014557055964521746]
['AON', 36.172257000000002, '2008-03-17', 5, -1, 37.311756000000003, '2008-03-25', 0.031087333035370195]
['FLIR', 24.273575999999998, '2008-03-17', 5, -1, 27.777660000000001, '2008-03-25', 0.14374000765276623]
['BWA', 19.799004, '2008-03-17', 5, -1, 21.032226999999999, '2008-03-25', 0.061529509262183035]
['EQR', 28.822469999999999, '2008-03-17', 5, -1, 32.792529000000002, '2008-03-25', 0.13722137623874717]
['HRB', 14.127499, '2008-03-17', 5, -1, 16.959154000000002, '2008-03-25', 0.19937393023351133]
['CPB', 25.064496999999999, '2008-03-17', 5, -1, 26.849152, '2008-03-25', 0.070604050023425596]
['HSIC', 55.770000000000003, '2008-03-17', 5, -1, 57.5, '2008-03-25', 0.030751299982069158]
['CTSH', 13.404999999999999, '2008-03-17', 5, -1, 15.279999999999999, '2008-03-25', 0.13875419619544949]
['ENDP', 22.700001, '2008-03-17', 5, -1, 23.52, '2008-03-25', 0.035462509450990741]
['D', 29.556061, '2008-03-17', 5, -1, 29.769224000000001, '2008-03-25', 0.0067046484983232894]
['FITB', 17.882002, '2008-03-17', 5, -1, 19.685441000000001, '2008-03-25', 0.10001335420944484]
['CHK', 39.134799000000001, '2008-03-17', 5, -1, 39.561109000000002, '2008-03-25', 0.010510083365957771]
['EQT', 54.514546000000003, '2008-03-17', 5, -1, 53.760049000000002, '2008-03-25', -0.014115443610224702]
['ESRX', 28.129999000000002, '2008-03-17', 5, -1, 31.59, '2008-03-25', 0.12246715685983486]
