ticker,buyprice,buydat,duratione,type,score,sellprice,selldate
['EOG', 43.474966000000002, '2008-01-02', 5, 'long', 0.058814662067853796, 42.470122000000003, '2008-01-09']
['HRB', 14.205018000000001, '2008-01-02', 5, 'long', 0.14126906617430812, 13.693607, '2008-01-09']
['CELG', 23.149999999999999, '2008-01-02', 5, 'long', 0.24971901229636195, 25.75, '2008-01-09']
['EOG', 44.375039000000001, '2008-01-03', 5, 'long', 0.62512290948982674, 42.393923999999998, '2008-01-10']
['ALXN', 19.2775, '2008-01-03', 5, 'long', 0.095757893735872956, 17.174999, '2008-01-10']
['ENDP', 26.93, '2008-01-07', 5, 'long', 0.13181349901547734, 26.440000999999999, '2008-01-14']
['ESRX', 38.790000999999997, '2008-01-07', 5, 'long', 0.69464661007597339, 35.409999999999997, '2008-01-14']
['ETR', 87.752804999999995, '2008-01-07', 5, 'long', 0.96951014189975893, 87.560751999999994, '2008-01-14']
['DVA', 28.299999, '2008-01-07', 5, 'long', 0.094127048254661005, 29.344999000000001, '2008-01-14']
['FE', 52.961821999999998, '2008-01-07', 5, 'long', 0.26619919949098225, 52.518082999999997, '2008-01-14']
['CTL', 23.900815000000001, '2008-01-07', 5, 'long', 0.21344755982245855, 20.722086000000001, '2008-01-14']
['BIIB', 59.220001000000003, '2008-01-07', 5, 'long', 1.1601379964850693, 59.979999999999997, '2008-01-14']
['EXC', 60.659666999999999, '2008-01-08', 5, 'long', 0.31398614302799999, 60.289141999999998, '2008-01-15']
['ENDP', 26.829999999999998, '2008-01-08', 5, 'long', 0.34488796776797126, 26.32, '2008-01-15']
['ESRX', 38.174999, '2008-01-08', 5, 'long', 1.5263920780181115, 35.615001999999997, '2008-01-15']
['AMGN', 42.691885999999997, '2008-01-08', 5, 'long', 0.19839834729683226, 43.659433, '2008-01-15']
['ETR', 88.833976000000007, '2008-01-08', 5, 'long', 3.5619954828892153, 85.298824999999994, '2008-01-15']
['DVA', 29.315000999999999, '2008-01-08', 5, 'long', 0.99111049899665282, 28.864999999999998, '2008-01-15']
['FE', 51.453113999999999, '2008-01-08', 5, 'long', 0.64913653063358367, 52.442988, '2008-01-15']
['CL', 33.265163000000001, '2008-01-08', 5, 'long', 0.063044705199458928, 32.707830999999999, '2008-01-15']
['BAX', 27.478815999999998, '2008-01-08', 5, 'long', 0.39468789381392466, 28.601966999999998, '2008-01-15']
['BIIB', 55.970001000000003, '2008-01-08', 5, 'long', 2.4963149124434985, 59.310001, '2008-01-15']
['ABC', 20.727969999999999, '2008-01-08', 5, 'long', 0.184409564288188, 20.827862, '2008-01-15']
['EIX', 43.160670000000003, '2008-01-09', 5, 'long', 0.16268891791310658, 42.094293, '2008-01-16']
['EXC', 61.650115999999997, '2008-01-09', 5, 'long', 1.8657398594567745, 57.930591999999997, '2008-01-16']
['AMGN', 43.908231000000001, '2008-01-09', 5, 'long', 1.6053451864893162, 43.760795000000002, '2008-01-16']
['MO', 15.723706999999999, '2008-01-09', 5, 'long', 0.14748101672728597, 15.465649000000001, '2008-01-16']
['AEP', 33.973784999999999, '2008-01-09', 5, 'long', 0.40703721728029885, 34.206434999999999, '2008-01-16']
['DD', 31.955666000000001, '2008-01-09', 5, 'long', 0.018926467128444369, 31.613130000000002, '2008-01-16']
['CL', 33.681080999999999, '2008-01-09', 5, 'long', 0.50901353051829323, 32.736944999999999, '2008-01-16']
['XEC', 41.462349000000003, '2008-01-09', 5, 'long', 0.0013201273454628293, 39.560758999999997, '2008-01-16']
['KO', 25.853237, '2008-01-09', 5, 'long', 0.46979955394168815, 24.815465, '2008-01-16']
['CI', 55.888137, '2008-01-09', 5, 'long', 0.5274736290082318, 55.412157000000001, '2008-01-16']
['BAX', 28.944776000000001, '2008-01-09', 5, 'long', 1.8655972383530688, 29.278565, '2008-01-16']
['CAH', 30.893736000000001, '2008-01-09', 5, 'long', 0.38330024062994594, 32.038339999999998, '2008-01-16']
['ABC', 20.914135000000002, '2008-01-09', 5, 'long', 0.6131127952951313, 21.318251, '2008-01-16']
['ABT', 23.243393999999999, '2008-01-09', 5, 'long', 0.37675235244542427, 23.548804000000001, '2008-01-16']
['CERN', 14.539999999999999, '2008-01-09', 5, 'long', 0.15942159726958782, 12.9125, '2008-01-16']
['AGN', 27.360001, '2008-01-10', 5, 'long', 0.25358901632048481, 27.290001, '2008-01-17']
['EIX', 43.018486000000003, '2008-01-10', 5, 'long', 0.58428161391007993, 40.854134999999999, '2008-01-17']
['CCE', 15.757562999999999, '2008-01-10', 5, 'long', 0.071376937194814749, 14.635797999999999, '2008-01-17']
['XRAY', 44.310419000000003, '2008-01-10', 5, 'long', 0.14048299144704712, 43.420189999999998, '2008-01-17']
['AET', 55.420352999999999, '2008-01-10', 5, 'long', 0.034836337801167794, 53.210658000000002, '2008-01-17']
['BMY', 19.636374, '2008-01-10', 5, 'long', 0.071702412374258007, 18.127006000000002, '2008-01-17']
['MO', 15.64629, '2008-01-10', 5, 'long', 0.39698262106837068, 15.245307, '2008-01-17']
['AEP', 34.001984999999998, '2008-01-10', 5, 'long', 1.088273308741686, 32.542642000000001, '2008-01-17']
['BSX', 11.699999999999999, '2008-01-10', 5, 'long', 0.098363682768253025, 12.35, '2008-01-17']
['DD', 32.312474000000002, '2008-01-10', 5, 'long', 0.67616817948428487, 30.54271, '2008-01-17']
['DTE', 31.191848, '2008-01-10', 5, 'long', 0.034898538606156215, 30.203744, '2008-01-17']
['XEC', 41.175677999999998, '2008-01-10', 5, 'long', 0.047629629547297547, 38.786743000000001, '2008-01-17']
['KO', 25.968105000000001, '2008-01-10', 5, 'long', 1.3087547376058462, 24.573846, '2008-01-17']
['CI', 55.828637999999998, '2008-01-10', 5, 'long', 1.5853669888684712, 52.833922000000001, '2008-01-17']
['CAH', 32.011964999999996, '2008-01-10', 5, 'long', 1.7104135897807153, 31.54252, '2008-01-17']
['DAL', 15.659703, '2008-01-10', 5, 'long', 1.0932855251178601, 14.885536999999999, '2008-01-17']
['ABT', 23.270496999999999, '2008-01-10', 5, 'long', 1.0987096800222345, 23.256876999999999, '2008-01-17']
['CERN', 14.897500000000001, '2008-01-10', 5, 'long', 0.618235078057216, 12.987500000000001, '2008-01-17']
['AGN', 27.850000000000001, '2008-01-11', 5, 'long', 1.0819311347377574, 26.559999000000001, '2008-01-18']
['CCE', 15.651847, '2008-01-11', 5, 'long', 0.19459227014318681, 14.336269, '2008-01-18']
['HRB', 13.800468, '2008-01-11', 5, 'long', 0.15121204325995219, 13.785202, '2008-01-18']
['XRAY', 44.655023999999997, '2008-01-11', 5, 'long', 0.90342996120135677, 42.970287999999996, '2008-01-18']
['AET', 54.69003, '2008-01-11', 5, 'long', 0.088470739658878195, 52.517785000000003, '2008-01-18']
['EMN', 25.466609999999999, '2008-01-11', 5, 'long', 0.36165419700948931, 24.528108, '2008-01-18']
['BMY', 19.308250000000001, '2008-01-11', 5, 'long', 0.17060169876493125, 17.849923, '2008-01-18']
['C', 268.41271799999998, '2008-01-11', 5, 'long', 3.820160390046027, 229.78609299999999, '2008-01-18']
['EW', 22.934999000000001, '2008-01-11', 5, 'long', 0.06231654281965282, 23.254999000000002, '2008-01-18']
['BSX', 11.74, '2008-01-11', 5, 'long', 0.46225154600391782, 12.130000000000001, '2008-01-18']
['DTE', 31.044684, '2008-01-11', 5, 'long', 0.39328294028698085, 29.923432999999999, '2008-01-18']
['AIG', 917.10431200000005, '2008-01-11', 5, 'long', 5.5754523287688542, 827.58807999999999, '2008-01-18']
['DAL', 15.169724, '2008-01-11', 5, 'long', 3.0310096254078411, 14.836539999999999, '2008-01-18']
['HRB', 13.655441, '2008-01-14', 5, 'long', 0.39477853633947291, 13.464615999999999, '2008-01-22']
['HSIC', 61.349997999999999, '2008-01-14', 5, 'long', 0.051790463346895077, 60.790000999999997, '2008-01-22']
['FITB', 20.168051999999999, '2008-01-14', 5, 'long', 0.0046527797338589139, 19.922514, '2008-01-22']
['CHK', 34.513654000000002, '2008-01-14', 5, 'long', 0.37934336640044641, 31.111733999999998, '2008-01-22']
['EMN', 26.376425000000001, '2008-01-14', 5, 'long', 1.5102710529942818, 23.888779, '2008-01-22']
['CMA', 35.215220000000002, '2008-01-14', 5, 'long', 0.0034058458600849661, 31.679317000000001, '2008-01-22']
['AMP', 47.729297000000003, '2008-01-14', 5, 'long', 0.95501673531586739, 41.490783, '2008-01-22']
['C', 273.11182100000002, '2008-01-14', 5, 'long', 14.622318803543408, 229.316183, '2008-01-22']
['BLL', 20.945499999999999, '2008-01-14', 5, 'long', 0.17648994122175399, 19.646336999999999, '2008-01-22']
['EW', 23.219999000000001, '2008-01-14', 5, 'long', 0.41799228873957572, 23.035, '2008-01-22']
['AAL', 11.903038, '2008-01-14', 5, 'long', 0.40569489622093258, 11.883266000000001, '2008-01-22']
['ALL', 42.208024999999999, '2008-01-14', 5, 'long', 0.34908367534783391, 39.717587999999999, '2008-01-22']
['CMCSA', 15.435319, '2008-01-14', 5, 'long', 0.30965137619423011, 14.544314999999999, '2008-01-22']
['AIV', 18.833818000000001, '2008-01-14', 5, 'long', 0.10628494997470561, 19.847857999999999, '2008-01-22']
