ticker,buyprice,buydate,duration,score,sellprice,selldate
['ENDP', 76.980002999999996, '2015-01-07', 6, 3.0090261998569767, 78.080001999999993, '2015-01-15', 0.014094556478518155]
['AVB', 170.195223, '2015-01-08', 6, 4.4989447621919147, 176.431612, '2015-01-16', 0.036554427852537333]
['AGN', 268.67999300000002, '2015-01-09', 6, 8.0544826616028811, 269.01001000000002, '2015-01-20', 0.0011724616949800129]
['BDX', 143.433032, '2015-01-09', 6, 4.7415080117160322, 139.11902699999999, '2015-01-20', -0.030181367148398624]
['BCR', 173.04195100000001, '2015-01-09', 6, 3.5366589806436446, 175.09402600000001, '2015-01-20', 0.011772145356821606]
['CI', 107.964595, '2015-01-09', 6, 3.5832179383853333, 108.424443, '2015-01-20', 0.0041203137009868263]
['BMY', 62.408946, '2015-01-13', 6, 3.3965227766293351, 61.390549999999998, '2015-01-22', -0.016558459423429497]
['EW', 133.61999499999999, '2015-01-13', 6, 4.4481326257360969, 130.33999600000001, '2015-01-22', -0.024659475552292722]
['CELG', 119.980003, '2015-01-13', 6, 4.0324274268278, 123.709999, '2015-01-22', 0.03096345980254726]
['FDX', 178.67826199999999, '2015-01-20', 6, 5.2117003944944713, 171.01762199999999, '2015-01-28', -0.042957883707196574]
['BIIB', 363.27999899999998, '2015-01-20', 6, 5.287708170164052, 351.17999300000002, '2015-01-28', -0.033348948561299552]
['ADS', 294.92001299999998, '2015-01-21', 6, 5.8406587218314883, 292.92999300000002, '2015-01-29', -0.0067985213333079534]
['BIIB', 361.82998700000002, '2015-01-21', 6, 13.798147923152605, 353.25, '2015-01-29', -0.023754214158043283]
['AMZN', 310.32000699999998, '2015-01-22', 6, 7.9647693331996905, 354.52999899999998, '2015-01-30', 0.14241747551906958]
['XEC', 102.074684, '2015-01-22', 6, 4.0927016750375422, 102.76174899999999, '2015-01-30', 0.0065840517321610302]
['AAPL', 112.067757, '2015-01-23', 6, 4.4400509956947616, 117.67213099999999, '2015-02-02', 0.049874951989982215]
['BWA', 54.547846999999997, '2015-01-23', 6, 3.4742129088195108, 55.294668999999999, '2015-02-02', 0.01341614821204587]
['AMGN', 157.45616200000001, '2015-01-23', 6, 5.24465738822418, 150.25383299999999, '2015-02-02', -0.045837069240897789]
['AMZN', 312.39001500000001, '2015-01-23', 6, 23.414215430127811, 364.47000100000002, '2015-02-02', 0.16666661384807713]
['CMI', 144.22752500000001, '2015-01-23', 6, 4.8161440615284601, 141.419107, '2015-02-02', -0.019576138465941348]
['BLK', 350.89730300000002, '2015-01-23', 6, 6.1504172921005784, 343.50626599999998, '2015-02-02', -0.021105995790455075]
['DAL', 50.208229000000003, '2015-01-23', 6, 3.3353590170559757, 46.186404000000003, '2015-02-02', -0.080401660851252083]
['EQIX', 227.50277299999999, '2015-01-23', 6, 9.5735208386163926, 215.072, '2015-02-02', -0.054706027693121738]
['HSIC', 143.58999600000001, '2015-01-26', 6, 3.617222841105395, 138.83999600000001, '2015-02-03', -0.033184763094498582]
['AMG', 210.25, '2015-01-26', 6, 6.9315155674405, 210.96000699999999, '2015-02-03', 0.003305621878715768]
['AMP', 128.83576199999999, '2015-01-26', 6, 4.4078626464361896, 130.54989900000001, '2015-02-03', 0.013188395625742661]
['ALXN', 182.759995, '2015-01-26', 6, 5.7116896315385333, 177.509995, '2015-02-03', -0.028808273933253279]
['AZO', 608.59002699999996, '2015-01-27', 6, 5.5336790115531596, 601.63000499999998, '2015-02-04', -0.011460953499982314]
['AZO', 610.57000700000003, '2015-01-28', 6, 15.282196147187699, 614.88000499999998, '2015-02-05', 0.0070344071126309856]
['AAP', 159.17621600000001, '2015-01-28', 6, 3.6049494452481485, 160.035549, '2015-02-05', 0.0053043917063588962]
['BIIB', 389.16000400000001, '2015-01-30', 6, 12.975519834677144, 396.88000499999998, '2015-02-09', 0.019799056739653976]
['BIIB', 390.0, '2015-02-02', 6, 35.609279581574221, 395.13000499999998, '2015-02-10', 0.013115397435897392]
['FLS', 58.539679999999997, '2015-02-03', 6, 4.2000305513254332, 56.731428000000001, '2015-02-11', -0.031145575103929436]
['FLR', 56.304893, '2015-02-03', 6, 3.8009043915355942, 55.083894999999998, '2015-02-11', -0.021951875479099152]
['DVN', 63.560223000000001, '2015-02-03', 6, 3.914433609603746, 64.086004000000003, '2015-02-11', 0.0080361738189622476]
['AZO', 607.84002699999996, '2015-02-03', 6, 3.0349727270307412, 620.51000999999997, '2015-02-11', 0.020819594692469967]
['DNB', 120.233146, '2015-02-03', 6, 3.9228008979720812, 128.36586600000001, '2015-02-11', 0.067516490003513716]
['ETN', 66.802047000000002, '2015-02-04', 6, 4.7159330647466797, 69.894371000000007, '2015-02-12', 0.046066312908046136]
['FOSL', 98.980002999999996, '2015-02-04', 6, 4.0291358391087719, 98.739998, '2015-02-12', -0.002576328473136099]
['CVX', 104.915302, '2015-02-04', 6, 4.4890539666677469, 108.40037, '2015-02-12', 0.033074946493505765]
['AZO', 601.63000499999998, '2015-02-04', 6, 4.7724699154772718, 617.51000999999997, '2015-02-12', 0.026370036181955357]
['CME', 89.899950000000004, '2015-02-05', 6, 3.110026739819499, 92.948077999999995, '2015-02-13', 0.033738928664587588]
['BLK', 354.55331899999999, '2015-02-05', 6, 5.3427915081330548, 371.56855899999999, '2015-02-13', 0.047948331291745729]
['AXP', 84.410998000000006, '2015-02-06', 6, 3.0693161297874969, 78.522782000000007, '2015-02-17', -0.069934204545241838]
['EL', 79.101376999999999, '2015-02-06', 6, 7.6599569507519707, 81.318796000000006, '2015-02-17', 0.02784299191150625]
['EW', 132.61999499999999, '2015-02-06', 6, 6.1169233218673931, 133.03999300000001, '2015-02-17', 0.0030538230679319585]
['ACE', 112.879997, '2015-02-06', 6, 3.3525908590262548, 113.910004, '2015-02-17', 0.0089919120036829701]
['FMC', 61.354056, '2015-02-06', 6, 4.3628031576274466, 64.047988000000004, '2015-02-17', 0.043663486567212501]
['ARG', 114.11412, '2015-02-06', 6, 3.6709898161017156, 114.71769, '2015-02-17', 0.00515773157607494]
['AON', 96.060644999999994, '2015-02-09', 6, 4.8451927545763755, 99.957143000000002, '2015-02-18', 0.040406745134805293]
['AGN', 281.66000400000001, '2015-02-12', 6, 3.2502457367908733, 292.45001200000002, '2015-02-23', 0.038255371181490146]
['FFIV', 115.269997, '2015-02-12', 6, 6.5348864050109228, 118.529999, '2015-02-23', 0.028151315038205473]
['EQIX', 224.681186, '2015-02-12', 6, 3.0081871356281225, 229.831076, '2015-02-23', 0.022854116499100196]
['EFX', 92.005510999999998, '2015-02-13', 6, 7.6646799899787634, 92.512457999999995, '2015-02-24', 0.0053469297072867373]
['FDX', 176.02496600000001, '2015-02-13', 6, 4.2867238505218452, 177.35161400000001, '2015-02-24', 0.0074514884439745091]
['AVGO', 109.516389, '2015-02-13', 6, 4.0933569420258564, 112.528959, '2015-02-24', 0.027370971846049419]
['EQIX', 224.641715, '2015-02-13', 6, 8.4026088828800667, 229.05167800000001, '2015-02-24', 0.019564322681564307]
['CERN', 70.980002999999996, '2015-02-13', 6, 3.1418982637486828, 72.779999000000004, '2015-02-24', 0.025147871577294909]
['ENDP', 85.370002999999997, '2015-02-17', 6, 3.0339478780046818, 85.190002000000007, '2015-02-25', -0.0022841864021018029]
['EXPE', 88.374302, '2015-02-17', 6, 6.047181379580433, 94.273228000000003, '2015-02-25', 0.066579603649938909]
['ALXN', 178.970001, '2015-02-17', 6, 4.3836143020960918, 184.89999399999999, '2015-02-25', 0.033050192585069027]
['CMI', 140.033128, '2015-02-19', 6, 3.1537213250556295, 141.455332, '2015-02-27', 0.010049079243591514]
['CELG', 123.81999999999999, '2015-02-23', 6, 3.3307436273965028, 118.470001, '2015-03-03', -0.043329017929252117]
['AXP', 82.663397000000003, '2015-02-26', 6, 4.4090542551334142, 79.744111000000004, '2015-03-06', -0.03549679914557588]
['ADS', 279.16000400000001, '2015-03-06', 6, 3.2103097053407037, 289.32000699999998, '2015-03-16', 0.036341176582014807]
['EQIX', 232.35668999999999, '2015-03-06', 6, 3.6122275845635947, 234.65212700000001, '2015-03-16', 0.0098143806403853534]
['EQIX', 229.79293799999999, '2015-03-09', 6, 8.0868502576775398, 232.78396699999999, '2015-03-17', 0.012950915837108961]
['CMG', 674.51000999999997, '2015-03-13', 6, 11.941264505401982, 687.34002699999996, '2015-03-23', 0.018999001956990971]
['ADS', 284.17001299999998, '2015-03-13', 6, 7.4394746711146791, 294.64999399999999, '2015-03-23', 0.036826478943082601]
['ESS', 225.566575, '2015-03-13', 6, 3.4144151703220142, 236.76051699999999, '2015-03-23', 0.049559390614500362]
['EW', 148.63999899999999, '2015-03-16', 6, 6.4804510870263705, 145.800003, '2015-03-24', -0.019207454381104952]
['AZO', 665.40997300000004, '2015-03-16', 6, 4.0410323709571685, 667.45001200000002, '2015-03-24', 0.0030432952347709684]
['AGN', 307.51001000000002, '2015-03-17', 6, 7.196571640150573, 300.63000499999998, '2015-03-25', -0.022422050586255838]
['AMGN', 161.51875799999999, '2015-03-17', 6, 4.8972992132589539, 159.092052, '2015-03-25', -0.015117166762760745]
['EW', 148.10000600000001, '2015-03-17', 6, 16.42887188567893, 142.25, '2015-03-25', -0.039601659435449361]
['AZO', 662.17999299999997, '2015-03-17', 6, 8.8529804399745728, 660.71997099999999, '2015-03-25', -0.0022275242616700153]
['ABC', 109.77415999999999, '2015-03-17', 6, 5.6834431407544521, 111.54470999999999, '2015-03-25', 0.015992379263025106]
['BXP', 139.755675, '2015-03-19', 6, 6.2409560515711284, 139.072723, '2015-03-27', -0.0049940870021915051]
['CELG', 125.33000199999999, '2015-03-19', 6, 4.6456502650722857, 118.68000000000001, '2015-03-27', -0.053179620949818436]
['ALXN', 189.070007, '2015-03-19', 6, 7.4632618869494731, 180.58999600000001, '2015-03-27', -0.044930505556071573]
['EOG', 90.340688, '2015-03-20', 6, 3.6213267463627989, 91.795224000000005, '2015-03-30', 0.01593452553737475]
['FB', 83.800003000000004, '2015-03-20', 6, 4.2441994015860427, 83.199996999999996, '2015-03-30', -0.0073389734842850491]
['BCR', 171.03390999999999, '2015-03-20', 6, 6.111681700933131, 168.92939899999999, '2015-03-30', -0.012392343717102664]
['BIIB', 475.98001099999999, '2015-03-20', 6, 26.706469959280085, 431.61999500000002, '2015-03-30', -0.093228738548854675]
['AMG', 219.229996, '2015-03-23', 6, 3.0640184130055674, 214.779999, '2015-03-31', -0.02036672481625186]
['AAP', 149.45359400000001, '2015-03-23', 6, 3.0621416316871333, 149.633534, '2015-03-31', 0.0011036201645307222]
['XEC', 113.26749, '2015-03-26', 6, 4.0861434825540419, 122.870991, '2015-04-06', 0.084653601841093218]
['ALTR', 44.050688000000001, '2015-03-27', 6, 3.5334140167508559, 41.043849999999999, '2015-04-07', -0.068599110188699033]
['ACN', 92.945926999999998, '2015-03-27', 6, 4.4806405820963136, 95.369997999999995, '2015-04-07', 0.025919059368787595]
['ALTR', 42.492688999999999, '2015-03-30', 6, 9.0091647875900733, 41.678956999999997, '2015-04-08', -0.019502931433687375]
['AZO', 689.38000499999998, '2015-03-30', 6, 8.2676690364882575, 698.23999000000003, '2015-04-08', 0.012830347465618838]
['ESRX', 86.769997000000004, '2015-03-31', 6, 3.0990528604162719, 88.470000999999996, '2015-04-09', 0.019419200855798034]
