Date,Open,High,Low,Close,Volume,Adj Close
2015-09-18,31.74,31.91,31.24,31.309999,2114400,31.309999
2015-09-17,32.48,32.75,32.080002,32.169998,887400,32.169998
2015-09-16,31.950001,32.529999,31.91,32.439999,881600,32.439999
2015-09-15,31.610001,31.969999,31.549999,31.92,1049700,31.92
2015-09-14,31.690001,31.85,31.440001,31.57,902700,31.57
2015-09-11,31.83,31.969999,31.34,31.690001,926200,31.690001
2015-09-10,31.459999,32.189999,31.450001,31.98,1650500,31.98
2015-09-09,32.240002,32.490002,31.68,31.73,1073400,31.73
2015-09-08,32.049999,32.450001,31.889999,32.049999,1777700,32.049999
2015-09-04,31.889999,32.09,31.35,31.43,1608800,31.43
2015-09-03,32.189999,32.849998,32.040001,32.25,1542900,32.25
2015-09-02,32.259998,32.290001,31.58,32.130001,1035800,32.130001
2015-09-01,32.099998,32.169998,31.48,31.870001,2133200,31.870001
2015-08-31,32.470001,32.950001,32.32,32.779999,1884200,32.779999
2015-08-28,33.150002,33.41,32.389999,32.759998,2103600,32.759998
2015-08-27,32.450001,33.41,32.380001,33.209999,1616500,33.209999
2015-08-26,32.02,32.259998,31.129999,32.169998,2533500,32.169998
2015-08-25,31.280001,32.419998,31.110001,31.26,4152900,31.26
2015-08-24,29.93,31.42,29.610001,30.440001,5774400,30.440001
2015-08-21,31.620001,32.099998,31.42,31.58,2145600,31.58
2015-08-20,32.439999,32.740002,31.870001,31.889999,2194000,31.889999
2015-08-19,33.099998,33.330002,32.419998,32.73,1564400,32.73
2015-08-18,33.439999,33.619999,33.200001,33.279999,1221800,33.279999
2015-08-17,33.119999,33.490002,32.799999,33.48,859000,33.48
2015-08-14,32.900002,33.360001,32.900002,33.25,1124000,33.25
2015-08-13,33.709999,33.880001,32.779999,32.950001,1637200,32.950001
2015-08-12,33.18,33.880001,33.119999,33.77,1516500,33.77
2015-08-11,33.75,33.759998,33.23,33.450001,1255300,33.450001
2015-08-10,33.389999,34.139999,33.23,34.119999,1107200,34.119999
2015-08-07,33.41,33.610001,33.060001,33.18,1167200,33.18
2015-08-06,33.439999,33.68,33.23,33.509998,1406900,33.509998
2015-08-05,34.009998,34.16,33.279999,33.459999,1451100,33.459999
2015-08-04,33.779999,34.23,33.619999,33.810001,1376200,33.810001
2015-08-03,34.48,34.639999,33.599998,33.700001,1608400,33.700001
2015-07-31,34.200001,34.990002,34.040001,34.529999,2719400,34.529999
2015-07-30,34.23,34.369999,33.830002,34.009998,2395500,34.009998
2015-07-29,31.58,34.580002,30.700001,34.48,4811100,34.48
2015-07-28,32.18,33.049999,31.92,32.91,2870200,32.91
2015-07-27,31.59,32.639999,31.48,31.969999,4545300,31.969999
2015-07-24,32.349998,32.380001,31.52,31.59,1269700,31.380001
2015-07-23,32.290001,32.790001,32.25,32.369999,1039600,32.154815
2015-07-22,32.360001,32.59,32.169998,32.290001,1328000,32.075348
2015-07-21,33.02,33.18,32.360001,32.389999,1607900,32.174682
2015-07-20,32.900002,33.369999,32.790001,33.02,2036500,32.800495
2015-07-17,32.580002,32.700001,32.419998,32.529999,952600,32.313751
2015-07-16,32.830002,32.98,32.59,32.610001,1511600,32.393221
2015-07-15,32.790001,32.869999,32.43,32.66,1846900,32.442888
2015-07-14,32.93,33.060001,32.790001,32.959999,1210400,32.740893
2015-07-13,33.060001,33.09,32.799999,32.900002,1154900,32.681294
2015-07-10,32.82,32.990002,32.41,32.639999,2374400,32.42302
2015-07-09,33.57,33.950001,32.43,32.43,2348200,32.214417
2015-07-08,33.860001,33.869999,33.299999,33.389999,2366200,33.168034
2015-07-07,33.32,34.299999,32.970001,34.119999,3520800,33.893181
2015-07-06,33.029999,33.619999,32.950001,33.25,1960800,33.028966
2015-07-02,33.639999,33.650002,32.990002,33.200001,1296600,32.979299
2015-07-01,33.75,33.84,33.279999,33.59,2034900,33.366706
2015-06-30,34.09,34.369999,33.459999,33.57,2146800,33.346838
2015-06-29,33.77,34.099998,33.450001,33.790001,3152500,33.565377
2015-06-26,34.09,34.18,33.779999,33.970001,1967800,33.744181
2015-06-25,34.41,34.450001,33.669998,34.009998,3015300,33.783912
2015-06-24,35.150002,35.240002,34.02,34.41,4256800,34.181254
2015-06-23,36.880001,36.91,34.880001,35.110001,6774700,34.876602
2015-06-22,37.330002,37.389999,36.900002,36.919998,1606200,36.674567
2015-06-19,37.169998,37.400002,37.080002,37.09,1155200,36.843439
2015-06-18,36.75,37.450001,36.75,37.290001,1883700,37.04211
2015-06-17,36.490002,36.84,36.360001,36.669998,976100,36.426229
2015-06-16,36.439999,36.57,36.220001,36.43,1489100,36.187827
2015-06-15,36.34,36.610001,36.259998,36.470001,1615400,36.227562
2015-06-12,36.790001,36.869999,36.52,36.68,1278300,36.436165
2015-06-11,36.889999,37.049999,36.720001,36.900002,1832800,36.654703
2015-06-10,36.50,36.950001,36.259998,36.830002,1688200,36.585169
2015-06-09,36.630001,36.75,36.369999,36.490002,1440200,36.247429
2015-06-08,36.50,36.68,36.490002,36.490002,1874300,36.247429
2015-06-05,36.41,36.689999,36.32,36.529999,1919400,36.28716
2015-06-04,36.400002,36.689999,36.310001,36.52,1310500,36.277228
2015-06-03,36.84,36.939999,36.549999,36.720001,1219900,36.4759
2015-06-02,36.50,36.98,36.439999,36.73,1172200,36.485831
2015-06-01,36.639999,36.880001,36.490002,36.68,1613200,36.436165
2015-05-29,36.91,37.07,36.470001,36.48,2344100,36.237493
2015-05-28,36.970001,37.07,36.740002,36.98,1423600,36.73417
2015-05-27,36.950001,37.18,36.560001,37.009998,2061800,36.763969
2015-05-26,37.50,37.700001,36.709999,36.759998,1948900,36.515631
2015-05-22,37.709999,38.00,37.59,37.810001,1639400,37.558654
2015-05-21,37.490002,38.009998,37.32,37.68,2090300,37.429517
2015-05-20,37.43,37.720001,37.080002,37.52,3237200,37.270581
2015-05-19,37.490002,37.610001,37.139999,37.529999,1664800,37.280513
2015-05-18,37.43,37.560001,37.279999,37.439999,1907200,37.191111
2015-05-15,37.849998,38.150002,37.389999,37.439999,3212400,37.191111
2015-05-14,38.32,38.459999,37.66,37.77,2406000,37.518919
2015-05-13,38.369999,38.419998,37.990002,38.07,1761600,37.816924
2015-05-12,37.290001,38.41,37.139999,38.25,3336600,37.995728
2015-05-11,37.43,37.869999,37.330002,37.610001,1504900,37.359983
2015-05-08,37.540001,38.02,37.450001,37.529999,1917900,37.280513
2015-05-07,36.709999,37.259998,36.509998,37.119999,1739100,36.873238
2015-05-06,37.259998,37.310001,36.470001,36.68,2826300,36.436165
2015-05-05,37.59,37.720001,36.889999,37.07,3025400,36.823571
2015-05-04,37.950001,38.25,37.599998,37.610001,1358500,37.359983
2015-05-01,37.650002,37.810001,37.439999,37.790001,2209700,37.538786
2015-04-30,37.880001,38.169998,37.34,37.599998,4432000,37.350047
2015-04-29,39.150002,39.330002,37.799999,37.93,3925900,37.677855
2015-04-28,40.099998,40.509998,39.830002,39.93,2642100,39.66456
2015-04-27,40.959999,40.959999,40.130001,40.220001,1215700,39.952633
2015-04-24,40.77,40.98,40.34,40.939999,2280400,40.45924
2015-04-23,40.580002,41.080002,40.389999,40.66,2902400,40.182529
2015-04-22,40.419998,40.82,39.709999,40.59,1958200,40.113351
2015-04-21,40.759998,40.830002,39.880001,40.34,2393900,39.866287
2015-04-20,41.00,41.240002,40.650002,40.68,1673500,40.202295
2015-04-17,40.740002,41.00,40.25,40.630001,2109900,40.152883
