Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,152.179993,154.50,151.869995,153.300003,1978200,153.300003
2015-08-17,149.389999,152.25,149.270004,151.899994,1858500,151.899994
2015-08-14,149.690002,150.449997,148.440002,149.300003,1681700,149.300003
2015-08-13,149.970001,150.610001,148.449997,149.690002,1535000,149.690002
2015-08-12,151.580002,152.00,148.800003,149.470001,1842300,149.470001
2015-08-11,152.00,152.759995,151.429993,152.419998,1151200,152.419998
2015-08-10,152.600006,153.770004,152.199997,152.330002,996700,152.330002
2015-08-07,152.289993,153.00,151.889999,152.630005,1852100,152.630005
2015-08-06,154.720001,155.949997,152.179993,152.440002,1420500,152.440002
2015-08-05,153.440002,155.009995,152.380005,154.949997,2209200,154.949997
2015-08-04,153.800003,154.00,151.770004,152.50,1438600,152.50
2015-08-03,154.279999,155.270004,152.050003,152.779999,1850600,152.779999
2015-07-31,155.860001,156.119995,153.639999,154.270004,2613000,154.270004
2015-07-30,156.029999,157.050003,152.619995,154.889999,3404100,154.889999
2015-07-29,155.850006,157.00,151.729996,155.270004,3469900,155.270004
2015-07-28,152.429993,155.00,151.00,154.199997,3204800,154.199997
2015-07-27,150.800003,152.029999,149.889999,151.50,2468800,151.50
2015-07-24,152.309998,154.149994,148.779999,150.860001,4733900,150.860001
2015-07-23,156.600006,157.119995,154.009995,155.210007,2279400,155.210007
2015-07-22,155.610001,156.789993,154.770004,155.100006,1090700,155.100006
2015-07-21,156.350006,157.00,154.389999,155.779999,1429200,155.779999
2015-07-20,158.559998,158.839996,154.50,156.589996,2093500,156.589996
2015-07-17,157.669998,158.610001,157.050003,158.589996,1466700,158.589996
2015-07-16,159.429993,160.059998,157.009995,157.600006,1551200,157.600006
2015-07-15,160.100006,161.800003,158.820007,159.600006,1292600,159.600006
2015-07-14,156.570007,160.809998,156.410004,159.970001,1787300,159.970001
2015-07-13,160.199997,160.820007,155.070007,156.449997,2625000,156.449997
2015-07-10,159.669998,161.009995,159.300003,159.729996,1539100,159.729996
2015-07-09,161.289993,161.979996,158.580002,158.580002,1675200,158.580002
2015-07-08,159.50,160.550003,159.00,159.389999,1309100,159.389999
2015-07-07,162.490005,162.660004,158.089996,160.330002,2611100,160.330002
2015-07-06,160.820007,162.429993,157.369995,161.600006,2772800,161.600006
2015-07-02,165.789993,165.789993,162.619995,163.139999,1553600,163.139999
2015-07-01,165.619995,165.929993,164.020004,165.220001,1140600,165.220001
2015-06-30,163.800003,165.850006,163.690002,164.139999,1790500,164.139999
2015-06-29,165.25,165.380005,162.440002,163.059998,2081600,163.059998
2015-06-26,170.529999,171.00,164.679993,164.679993,3933600,164.679993
2015-06-25,167.729996,170.580002,165.899994,170.339996,2723500,170.339996
2015-06-24,170.059998,170.910004,167.470001,167.970001,1913600,167.970001
2015-06-23,170.740005,170.740005,162.020004,170.00,3526700,170.00
2015-06-22,170.50,173.589996,168.720001,171.039993,5000700,171.039993
2015-06-19,165.100006,165.860001,164.449997,165.059998,1279300,165.059998
2015-06-18,165.490005,167.059998,164.949997,165.240005,1275200,165.240005
2015-06-17,167.50,167.979996,164.600006,165.160004,1168900,165.160004
2015-06-16,164.309998,167.850006,164.259995,166.850006,1505200,166.850006
2015-06-15,161.449997,167.199997,160.360001,164.460007,3484900,164.460007
2015-06-12,163.309998,163.800003,160.649994,160.710007,1559900,160.710007
2015-06-11,164.529999,165.330002,163.740005,163.970001,1200800,163.970001
2015-06-10,163.130005,164.559998,162.429993,164.369995,1145800,164.369995
2015-06-09,162.339996,162.940002,161.589996,162.589996,1080900,162.589996
2015-06-08,162.539993,163.899994,161.710007,161.889999,1097400,161.889999
2015-06-05,161.399994,163.380005,159.649994,162.820007,1367100,162.195007
2015-06-04,162.539993,163.449997,160.970001,161.449997,1174100,160.830255
2015-06-03,164.449997,165.110001,162.229996,163.759995,2181400,163.131386
2015-06-02,167.460007,168.220001,164.020004,164.139999,1910000,163.509932
2015-06-01,168.970001,169.00,166.779999,168.070007,1747100,167.424854
2015-05-29,164.660004,170.979996,162.509995,167.850006,5196200,167.205697
2015-05-28,162.839996,164.25,162.570007,164.220001,1250900,163.589627
2015-05-27,162.960007,164.169998,162.350006,163.380005,1535100,162.752855
2015-05-26,164.009995,164.009995,162.179993,162.339996,910700,161.716838
2015-05-22,164.130005,165.470001,163.460007,164.190002,1337300,163.559743
2015-05-21,163.00,164.860001,162.50,164.619995,1123600,163.988085
