Date,Open,High,Low,Close,Volume,Adj Close
2015-09-18,90.489998,91.559998,89.00,89.309998,2539400,89.309998
2015-09-17,92.239998,93.669998,91.970001,92.160004,1233300,92.160004
2015-09-16,91.970001,92.279999,91.230003,91.980003,1310300,91.980003
2015-09-15,91.190002,92.379997,90.410004,92.089996,1770300,92.089996
2015-09-14,91.32,91.449997,90.510002,90.800003,1160700,90.800003
2015-09-11,91.339996,91.879997,90.419998,91.32,2153900,91.32
2015-09-10,91.199997,91.919998,91.080002,91.68,1984900,91.68
2015-09-09,93.32,93.699997,91.309998,91.540001,959500,91.540001
2015-09-08,91.419998,92.779999,91.400002,92.690002,1337100,92.690002
2015-09-04,90.230003,90.730003,89.589996,90.290001,1359500,90.290001
2015-09-03,91.440002,92.019997,91.099998,91.449997,1410100,91.449997
2015-09-02,91.709999,91.839996,90.110001,91.050003,1295400,91.050003
2015-09-01,91.440002,92.099998,89.699997,90.279999,2060100,90.279999
2015-08-31,92.949997,93.800003,92.150002,93.440002,1432900,93.440002
2015-08-28,94.150002,94.830002,92.970001,93.540001,1476800,93.540001
2015-08-27,93.669998,94.449997,92.620003,94.389999,1463600,94.389999
2015-08-26,91.589996,92.800003,89.889999,92.620003,1691400,92.620003
2015-08-25,93.879997,93.93,89.269997,89.389999,2747400,89.389999
2015-08-24,91.830002,95.620003,90.040001,91.730003,2533200,91.730003
2015-08-21,98.610001,99.400002,96.50,96.529999,1499500,96.529999
2015-08-20,100.089996,100.650002,99.209999,99.32,1232900,99.32
2015-08-19,101.919998,102.669998,100.650002,101.040001,954900,101.040001
2015-08-18,102.43,102.830002,102.019997,102.43,717500,102.43
2015-08-17,100.75,102.669998,100.480003,102.559998,1126000,102.559998
2015-08-14,100.839996,102.190002,100.589996,101.300003,1143400,101.300003
2015-08-13,101.00,101.68,100.230003,101.220001,984700,101.220001
2015-08-12,100.589996,101.489998,99.580002,101.230003,735700,101.230003
2015-08-11,101.769997,101.980003,100.489998,101.32,1127000,101.32
2015-08-10,102.220001,103.120003,102.220001,102.769997,859500,102.769997
2015-08-07,100.68,101.480003,100.25,101.32,822900,101.32
2015-08-06,101.82,102.50,100.68,100.919998,1013600,100.919998
2015-08-05,100.599998,101.779999,100.279999,101.330002,1199100,101.330002
2015-08-04,99.550003,101.110001,99.550003,100.199997,1233700,100.199997
2015-08-03,100.790001,100.900002,98.339996,99.540001,1297400,99.540001
2015-07-31,102.00,103.379997,100.599998,100.769997,1216700,100.769997
2015-07-30,101.459999,102.07,101.059998,101.940002,1016000,101.940002
2015-07-29,101.300003,102.129997,101.260002,101.879997,840000,101.579996
2015-07-28,101.440002,101.480003,100.639999,101.160004,737500,100.862123
2015-07-27,100.970001,101.290001,100.379997,101.029999,656400,100.732501
2015-07-24,101.610001,101.959999,101.209999,101.279999,653200,100.981765
2015-07-23,102.010002,102.07,101.419998,101.57,642600,101.270912
2015-07-22,102.25,102.480003,101.709999,101.919998,634700,101.61988
2015-07-21,102.43,102.970001,101.760002,102.129997,882600,101.82926
2015-07-20,102.360001,102.709999,101.919998,102.32,650700,102.018703
2015-07-17,102.599998,102.860001,102.150002,102.410004,490100,102.108442
2015-07-16,102.800003,102.910004,102.190002,102.790001,663800,102.487321
2015-07-15,102.57,102.690002,101.699997,101.860001,773500,101.560059
2015-07-14,102.00,102.290001,101.559998,102.059998,611800,101.759467
2015-07-13,102.57,102.739998,101.760002,102.029999,955300,101.729556
2015-07-10,101.550003,102.129997,100.910004,101.779999,1169000,101.480292
2015-07-09,100.18,100.610001,99.830002,100.150002,1286000,99.855095
2015-07-08,99.18,100.120003,99.07,99.260002,1475800,98.967716
2015-07-07,99.699997,100.230003,98.330002,100.18,723800,99.885005
2015-07-06,98.540001,99.860001,98.379997,99.690002,781500,99.39645
2015-07-02,99.989998,100.089996,99.150002,99.510002,888100,99.21698
2015-07-01,100.940002,101.400002,99.489998,99.709999,2251700,99.416388
2015-06-30,101.059998,101.410004,99.510002,99.68,1393900,99.386478
2015-06-29,102.00,102.330002,99.970001,100.050003,1020900,99.755391
2015-06-26,103.459999,103.50,102.580002,102.75,1996300,102.447437
2015-06-25,104.00,104.00,103.040001,103.050003,794400,102.746557
2015-06-24,103.720001,103.93,103.410004,103.540001,1171300,103.235112
2015-06-23,103.730003,104.139999,103.580002,104.010002,892900,103.703729
2015-06-22,103.440002,103.949997,103.32,103.690002,706200,103.384672
2015-06-19,104.309998,104.459999,102.989998,102.989998,1495100,102.686729
2015-06-18,104.110001,104.699997,103.800003,104.519997,1082600,104.212222
2015-06-17,103.699997,104.199997,102.989998,103.720001,937600,103.414582
2015-06-16,102.389999,103.510002,102.230003,103.360001,927400,103.055642
2015-06-15,101.43,102.669998,101.330002,102.559998,1092700,102.257994
2015-06-12,103.110001,103.410004,102.150002,102.230003,1569300,101.928972
2015-06-11,102.410004,103.300003,102.260002,103.190002,942600,102.886144
2015-06-10,100.790001,102.599998,100.620003,102.389999,832700,102.088497
2015-06-09,100.50,101.07,100.379997,100.610001,642200,100.31374
2015-06-08,100.720001,101.190002,100.43,100.470001,643900,100.174152
2015-06-05,101.139999,101.790001,100.580002,100.970001,714300,100.67268
2015-06-04,101.290001,102.099998,100.620003,100.809998,855400,100.513148
2015-06-03,101.629997,102.199997,101.199997,101.910004,774900,101.609915
2015-06-02,100.75,101.57,100.089996,101.199997,1008900,100.901999
2015-06-01,101.470001,101.809998,100.860001,100.910004,1124400,100.612859
2015-05-29,102.980003,102.980003,101.18,101.220001,1785200,100.921944
2015-05-28,102.550003,102.970001,102.139999,102.900002,774100,102.596997
2015-05-27,102.519997,103.400002,102.019997,102.970001,1205300,102.666791
2015-05-26,102.379997,102.889999,101.599998,102.150002,1344800,101.849206
2015-05-22,101.870003,103.330002,101.870003,102.889999,1844500,102.587025
2015-05-21,101.800003,102.419998,101.699997,102.360001,1248900,102.058586
2015-05-20,101.489998,102.360001,101.059998,102.209999,1164400,101.909027
2015-05-19,101.279999,101.830002,100.919998,101.43,1362000,101.131325
2015-05-18,99.629997,101.110001,99.400002,101.050003,1098300,100.752446
2015-05-15,99.959999,100.300003,99.00,99.550003,1592200,99.256863
2015-05-14,99.400002,100.040001,98.730003,99.980003,1383600,99.685597
2015-05-13,99.029999,99.50,98.199997,98.629997,1301400,98.339567
2015-05-12,99.540001,99.940002,98.720001,99.110001,863400,98.818157
2015-05-11,99.629997,100.849998,99.629997,100.190002,1540100,99.894978
2015-05-08,98.980003,100.00,98.660004,99.889999,1650200,99.595858
2015-05-07,97.550003,98.139999,96.830002,97.910004,1293800,97.621693
2015-05-06,97.870003,98.00,96.669998,97.379997,1037100,97.093247
2015-05-05,98.790001,99.309998,97.650002,97.690002,5807900,97.40234
2015-05-04,98.50,98.959999,97.989998,98.800003,786400,98.509072
2015-05-01,96.879997,99.260002,96.720001,98.419998,1314400,98.130186
2015-04-30,97.349998,98.150002,95.870003,96.230003,1889700,95.94664
2015-04-29,97.760002,98.410004,97.239998,97.879997,845400,97.591775
2015-04-28,97.589996,98.120003,96.980003,98.059998,824600,97.47213
2015-04-27,98.510002,98.629997,97.660004,97.919998,1313600,97.33297
2015-04-24,97.300003,98.150002,96.669998,97.839996,818700,97.253448
2015-04-23,96.800003,97.830002,96.50,97.410004,742500,96.826033
2015-04-22,96.449997,97.459999,96.260002,97.199997,1269600,96.617285
2015-04-21,97.50,97.82,96.730003,97.099998,1228500,96.517886
2015-04-20,96.730003,97.470001,96.580002,97.400002,1037600,96.816091
2015-04-17,97.110001,97.139999,95.690002,96.169998,2058800,95.593461
2015-04-16,97.800003,98.019997,97.199997,97.620003,1060000,97.034773
2015-04-15,98.940002,99.029999,98.400002,98.480003,821100,97.889618
2015-04-14,98.43,98.790001,97.440002,98.580002,832600,97.989017
2015-04-13,98.269997,98.989998,98.07,98.620003,569300,98.028778
2015-04-10,98.300003,98.690002,97.93,98.25,553400,97.660994
2015-04-09,98.410004,98.940002,97.610001,98.419998,763900,97.829973
2015-04-08,97.540001,98.720001,97.330002,98.639999,870100,98.048655
2015-04-07,97.839996,98.00,97.300003,97.32,711100,96.736569
2015-04-06,96.169998,98.440002,95.830002,97.830002,1109700,97.243513
2015-04-02,96.220001,96.760002,95.75,96.629997,874300,96.050703
2015-04-01,95.839996,96.949997,95.32,96.230003,1374000,95.653107
2015-03-31,97.400002,97.559998,95.959999,96.120003,1799900,95.543766
2015-03-30,96.57,98.25,96.370003,98.099998,1092700,97.511891
2015-03-27,95.940002,96.699997,95.510002,95.870003,1345200,95.295264
2015-03-26,95.519997,96.279999,95.290001,96.029999,1147500,95.454301
2015-03-25,98.239998,98.50,95.940002,95.949997,980100,95.374779
2015-03-24,98.82,99.290001,98.160004,98.18,703400,97.591414
2015-03-23,99.849998,99.849998,99.07,99.089996,869800,98.495954
2015-03-20,99.169998,99.940002,98.410004,99.300003,1949000,98.704702
2015-03-19,99.209999,99.209999,97.82,98.910004,793400,98.317041
2015-03-18,98.230003,100.00,97.370003,99.529999,1011700,98.933319
2015-03-17,98.269997,98.730003,97.32,98.50,863900,97.909495
2015-03-16,96.400002,98.849998,96.400002,98.75,1109300,98.157996
2015-03-13,98.18,98.290001,96.349998,96.879997,924300,96.299204
2015-03-12,97.099998,98.309998,96.550003,98.279999,1016300,97.690813
2015-03-11,95.959999,96.660004,95.559998,96.43,729800,95.851905
2015-03-10,97.959999,98.410004,96.00,96.019997,1623800,95.444359
2015-03-09,98.779999,99.160004,98.059998,98.93,810000,98.336917
2015-03-06,100.059998,101.00,98.580002,98.790001,889800,98.197757
2015-03-05,99.690002,100.300003,99.339996,100.230003,756900,99.629127
2015-03-04,99.809998,99.970001,99.120003,99.629997,1109000,99.032718
2015-03-03,99.949997,100.57,99.410004,99.919998,1040800,99.32098
2015-03-02,100.32,100.32,99.779999,100.239998,1169700,99.639062
2015-02-27,100.349998,107.080002,99.650002,100.360001,1295900,99.758345
2015-02-26,100.239998,100.449997,99.449997,100.220001,1255800,99.619185
2015-02-25,100.239998,101.00,100.209999,100.449997,968600,99.847802
2015-02-24,100.300003,100.949997,100.099998,100.589996,947000,99.986962
2015-02-23,99.980003,100.709999,99.410004,100.510002,1300700,99.907447
2015-02-20,100.00,100.489998,99.230003,100.339996,1264800,99.738461
2015-02-19,100.32,100.660004,99.949997,100.279999,810300,99.678823
2015-02-18,100.690002,101.220001,99.769997,100.559998,1251900,99.957143
2015-02-17,100.300003,101.18,100.300003,100.709999,1369700,100.106245
2015-02-13,100.580002,101.300003,100.300003,100.559998,1476300,99.957143
