Date,Open,High,Low,Close,Volume,Adj Close
2015-09-18,41.099998,41.380001,39.369999,39.650002,9030800,39.650002
2015-09-17,43.07,43.779999,41.889999,41.990002,7904400,41.990002
2015-09-16,40.790001,43.169998,40.75,43.040001,9017400,43.040001
2015-09-15,40.290001,41.139999,40.189999,40.43,5185800,40.43
2015-09-14,40.099998,40.52,39.130001,40.240002,5371100,40.240002
2015-09-11,40.279999,40.310001,39.279999,40.200001,6114400,40.200001
2015-09-10,41.50,41.560001,40.150002,40.84,7534700,40.84
2015-09-09,43.720001,44.540001,41.189999,41.290001,6134300,41.290001
2015-09-08,43.110001,43.799999,42.09,43.240002,4783600,43.240002
2015-09-04,42.41,42.799999,41.77,42.50,5170700,42.50
2015-09-03,43.369999,45.110001,42.720001,43.220001,4580400,43.220001
2015-09-02,43.630001,43.860001,41.209999,43.220001,5243100,43.220001
2015-09-01,43.41,44.689999,42.549999,43.130001,5590800,43.130001
2015-08-31,44.09,45.669998,41.919998,45.240002,6928400,45.240002
2015-08-28,42.669998,45.400002,42.490002,44.860001,6492300,44.860001
2015-08-27,40.68,43.669998,40.439999,42.790001,7316100,42.790001
2015-08-26,40.209999,40.209999,38.400002,39.529999,8043000,39.529999
2015-08-25,42.310001,42.310001,38.900002,38.900002,6026400,38.900002
2015-08-24,40.669998,42.439999,39.049999,40.490002,7318800,40.490002
2015-08-21,44.41,45.209999,43.139999,43.23,5279800,43.23
2015-08-20,45.93,46.490002,44.509998,44.560001,5393800,44.560001
2015-08-19,47.599998,47.779999,45.400002,45.810001,4196400,45.810001
2015-08-18,47.650002,48.43,47.34,48.07,2287100,48.07
2015-08-17,46.810001,47.93,46.32,47.849998,2991000,47.849998
2015-08-14,47.950001,48.689999,46.900002,47.00,5017500,47.00
2015-08-13,48.91,49.66,47.799999,47.900002,6720200,47.900002
2015-08-12,47.639999,49.68,47.220001,49.209999,6701800,49.209999
2015-08-11,46.990002,47.93,46.450001,47.689999,6133600,47.689999
2015-08-10,46.599998,48.540001,46.330002,48.450001,10324300,48.450001
2015-08-07,46.139999,47.310001,45.549999,46.110001,6465200,46.110001
2015-08-06,44.389999,46.900002,43.040001,46.599998,6174600,46.599998
2015-08-05,46.02,46.799999,44.34,44.439999,5775300,44.439999
2015-08-04,45.919998,46.23,45.009998,45.349998,5328800,45.349998
2015-08-03,45.049999,46.419998,44.299999,45.27,6496800,45.27
2015-07-31,46.470001,46.639999,45.700001,45.860001,5068400,45.860001
2015-07-30,46.580002,47.18,45.959999,46.48,4823200,46.48
2015-07-29,46.34,47.59,46.07,46.790001,6760600,46.790001
2015-07-28,44.799999,47.07,44.290001,46.470001,7635300,46.470001
2015-07-27,44.279999,45.290001,43.84,44.509998,5822400,44.509998
2015-07-24,47.200001,47.25,45.029999,45.080002,4703400,45.080002
2015-07-23,47.34,47.50,46.32,47.349998,4511100,47.349998
2015-07-22,47.32,47.700001,46.619999,47.32,4780900,47.32
2015-07-21,48.900002,49.439999,47.369999,47.529999,5201800,47.529999
2015-07-20,50.299999,50.540001,48.50,48.619999,5746700,48.619999
2015-07-17,52.25,52.25,50.57,50.639999,4859200,50.389999
2015-07-16,53.849998,53.900002,52.52,52.669998,2780900,52.409976
2015-07-15,54.119999,54.349998,53.119999,53.48,3972400,53.215979
2015-07-14,53.00,54.529999,52.82,54.389999,3263100,54.121486
2015-07-13,52.900002,53.439999,52.50,53.259998,2953400,52.997064
2015-07-10,54.220001,54.740002,52.790001,52.939999,3178700,52.678644
2015-07-09,54.599998,54.970001,53.82,53.830002,2464600,53.564253
2015-07-08,55.16,55.939999,53.110001,53.459999,2863900,53.196077
2015-07-07,55.16,55.990002,53.75,55.700001,3716200,55.42502
2015-07-06,55.66,56.689999,55.150002,55.50,2878600,55.226007
2015-07-02,56.200001,56.990002,56.110001,56.779999,2303100,56.499686
2015-07-01,57.639999,58.849998,55.82,56.080002,3080500,55.803145
2015-06-30,57.790001,57.959999,57.150002,57.630001,2885600,57.345492
2015-06-29,57.43,57.970001,56.900002,57.209999,3474200,56.927564
2015-06-26,57.830002,58.529999,57.240002,58.48,3806900,58.191295
2015-06-25,58.779999,59.00,57.610001,57.799999,2640700,57.514651
2015-06-24,58.900002,59.400002,58.50,58.709999,2996600,58.420159
2015-06-23,57.709999,58.93,57.50,58.849998,3594300,58.559467
2015-06-22,56.75,57.630001,56.200001,57.529999,3742800,57.245984
2015-06-19,57.07,57.439999,56.060001,56.540001,4779200,56.260873
2015-06-18,58.029999,58.400002,57.130001,57.23,2297300,56.947466
2015-06-17,59.669998,60.130001,57.50,57.669998,3356400,57.385292
2015-06-16,57.779999,59.09,57.700001,59.049999,2198300,58.75848
2015-06-15,57.560001,59.029999,57.41,57.970001,2773800,57.683814
2015-06-12,57.799999,58.27,57.490002,58.18,3502000,57.892776
2015-06-11,58.91,59.130001,57.720001,58.150002,2996900,57.862926
2015-06-10,59.509998,59.610001,58.59,58.959999,3907100,58.668925
2015-06-09,58.950001,59.400002,58.560001,58.57,3578200,58.28085
2015-06-08,59.009998,59.400002,57.73,58.209999,2857700,57.922627
2015-06-05,57.919998,59.669998,57.830002,59.349998,3539700,59.056999
2015-06-04,58.560001,58.75,58.009998,58.25,3108700,57.962431
2015-06-03,59.349998,60.009998,58.82,58.950001,2292600,58.658976
2015-06-02,59.50,59.91,58.669998,59.599998,3734400,59.305764
2015-06-01,59.889999,60.029999,58.68,58.869999,4232600,58.579369
2015-05-29,60.200001,60.549999,59.700001,59.84,4057800,59.544581
2015-05-28,60.529999,60.709999,58.830002,59.790001,4110800,59.494829
2015-05-27,61.290001,61.849998,59.779999,60.77,3257600,60.46999
2015-05-26,61.630001,61.93,60.82,61.41,2742300,61.10683
2015-05-22,61.610001,62.98,61.50,62.529999,2537300,62.2213
2015-05-21,62.080002,62.619999,61.610001,62.169998,2890500,61.863076
2015-05-20,62.450001,62.50,61.200001,61.610001,2678100,61.305843
2015-05-19,63.080002,63.32,62.029999,62.169998,2475100,61.863076
2015-05-18,63.279999,63.900002,62.900002,63.779999,2398600,63.465129
2015-05-15,62.34,63.91,62.099998,63.419998,3334400,63.106905
2015-05-14,62.93,63.549999,62.419998,62.630001,2777700,62.320808
2015-05-13,64.18,64.290001,62.259998,62.700001,3599400,62.390463
2015-05-12,63.490002,64.110001,63.259998,63.639999,3657500,63.325821
