Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,146.389999,146.899994,145.710007,146.029999,849300,146.029999
2015-08-17,146.679993,147.149994,145.830002,146.759995,420900,146.759995
2015-08-14,146.00,147.080002,145.630005,146.740005,506700,146.740005
2015-08-13,144.940002,146.429993,144.50,145.740005,768200,145.740005
2015-08-12,145.949997,146.190002,143.630005,145.380005,1362400,145.380005
2015-08-11,146.740005,147.130005,145.419998,146.699997,1098400,146.699997
2015-08-10,147.630005,148.360001,147.089996,148.350006,933500,148.350006
2015-08-07,146.690002,147.619995,145.529999,146.190002,1728900,146.190002
2015-08-06,147.470001,148.350006,146.509995,147.020004,2335600,147.020004
2015-08-05,147.75,148.559998,145.360001,147.449997,1329500,147.449997
2015-08-04,146.199997,147.759995,145.690002,146.089996,1198700,146.089996
2015-08-03,142.179993,147.289993,141.910004,145.880005,2816200,145.880005
2015-07-31,143.229996,144.110001,141.429993,142.509995,2274800,142.509995
2015-07-30,142.50,144.00,140.50,142.339996,3559600,142.339996
2015-07-29,132.50,134.600006,131.619995,134.139999,1711200,134.139999
2015-07-28,129.509995,133.789993,128.509995,132.820007,1855500,132.820007
2015-07-27,129.009995,129.669998,128.389999,128.820007,1615600,128.820007
2015-07-24,132.380005,132.710007,129.440002,130.059998,1313900,130.059998
2015-07-23,132.970001,132.970001,131.220001,132.710007,1951500,132.710007
2015-07-22,133.240005,134.070007,132.619995,132.800003,1576400,132.800003
2015-07-21,135.460007,135.649994,132.710007,133.440002,891600,133.440002
2015-07-20,136.080002,136.160004,135.050003,135.240005,728300,135.240005
2015-07-17,137.070007,137.080002,135.460007,136.210007,670400,136.210007
2015-07-16,137.820007,138.130005,136.339996,137.070007,2509900,137.070007
2015-07-15,136.979996,138.429993,136.520004,137.50,1130600,137.50
2015-07-14,136.360001,137.839996,136.229996,137.190002,773300,137.190002
2015-07-13,137.050003,137.490005,136.089996,136.490005,720600,136.490005
2015-07-10,134.020004,136.289993,133.649994,135.929993,1029400,135.929993
2015-07-09,134.589996,135.309998,132.220001,132.259995,1638700,132.259995
2015-07-08,135.470001,136.029999,132.940002,132.990005,1548700,132.990005
2015-07-07,136.179993,137.259995,134.919998,136.919998,1134200,136.919998
2015-07-06,136.119995,137.179993,135.50,136.110001,860200,136.110001
2015-07-02,139.210007,139.389999,136.169998,137.380005,1358700,137.380005
2015-07-01,137.039993,138.679993,137.039993,138.520004,1166800,138.520004
2015-06-30,137.869995,138.429993,136.690002,136.830002,1186400,136.830002
2015-06-29,140.610001,141.100006,136.899994,137.130005,1751300,137.130005
2015-06-26,143.160004,143.610001,141.479996,142.080002,2587700,141.270003
2015-06-25,144.449997,144.789993,142.179993,142.830002,857600,142.015727
2015-06-24,144.300003,144.350006,142.940002,143.720001,866900,142.900653
2015-06-23,145.789993,146.580002,144.610001,144.869995,1015800,144.04409
2015-06-22,145.960007,146.600006,145.130005,145.850006,897100,145.018514
2015-06-19,146.559998,147.110001,145.080002,145.169998,841900,144.342383
2015-06-18,146.899994,147.710007,146.610001,146.940002,895500,146.102297
2015-06-17,146.240005,146.770004,145.220001,146.169998,755900,145.336682
2015-06-16,144.199997,146.110001,144.199997,145.710007,646900,144.879313
2015-06-15,144.160004,145.169998,143.139999,144.130005,779100,143.308319
2015-06-12,145.679993,146.399994,144.699997,144.949997,605400,144.123636
2015-06-11,146.149994,147.490005,145.979996,146.199997,655000,145.36651
2015-06-10,145.470001,146.350006,144.940002,145.940002,658900,145.107998
2015-06-09,145.119995,145.580002,143.660004,144.429993,925800,143.606596
2015-06-08,145.460007,145.770004,144.520004,144.539993,567800,143.71597
2015-06-05,145.350006,145.970001,144.589996,145.580002,846900,144.750049
2015-06-04,145.070007,147.210007,144.669998,145.929993,1407300,145.098045
2015-06-03,148.139999,149.089996,148.009995,148.339996,1194400,147.494309
2015-06-02,147.139999,148.75,146.270004,148.149994,1002000,147.30539
2015-06-01,147.649994,148.100006,146.289993,147.449997,660400,146.609384
2015-05-29,147.850006,148.410004,146.410004,146.759995,1066800,145.923315
2015-05-28,146.970001,148.309998,146.850006,148.199997,520200,147.355108
2015-05-27,146.00,148.050003,145.550003,147.539993,616800,146.698867
2015-05-26,146.029999,146.419998,145.300003,146.039993,669600,145.207418
2015-05-22,147.520004,148.070007,146.369995,146.770004,749400,145.933268
2015-05-21,146.710007,148.410004,146.589996,147.990005,608600,147.146314
2015-05-20,147.720001,148.009995,146.809998,147.119995,640700,146.281263
2015-05-19,147.979996,149.369995,147.149994,147.509995,760600,146.669039
2015-05-18,148.410004,148.589996,147.350006,147.929993,527000,147.086643
2015-05-15,147.949997,148.960007,147.179993,148.479996,908000,147.63351
2015-05-14,146.00,147.729996,144.830002,147.619995,996100,146.778413
2015-05-13,144.660004,146.050003,143.630005,144.949997,1913000,144.123636
2015-05-12,144.949997,145.729996,144.149994,144.479996,762600,143.656314
2015-05-11,147.389999,148.279999,145.960007,146.009995,908300,145.177591
2015-05-08,147.869995,149.020004,147.589996,147.970001,920600,147.126423
2015-05-07,145.279999,146.570007,144.389999,146.190002,790500,145.356572
2015-05-06,146.389999,147.130005,144.710007,145.550003,730600,144.720222
2015-05-05,148.190002,148.990005,144.960007,145.410004,1018400,144.58102
2015-05-04,147.929993,149.080002,147.110001,147.580002,1122200,146.738647
2015-05-01,143.75,147.899994,143.509995,146.600006,1949100,145.764239
2015-04-30,153.350006,153.350006,142.270004,143.429993,4796500,142.612298
2015-04-29,151.820007,152.990005,151.369995,151.869995,1391000,151.004183
2015-04-28,150.850006,153.580002,149.809998,152.960007,2480000,152.087981
2015-04-27,149.949997,152.179993,148.690002,151.059998,2014700,150.198804
2015-04-24,150.660004,151.080002,149.369995,150.059998,1071800,149.204505
2015-04-23,151.220001,151.490005,150.029999,150.600006,618700,149.741435
2015-04-22,151.809998,152.119995,150.360001,151.470001,538800,150.60647
2015-04-21,152.00,152.389999,151.070007,151.929993,675900,151.063839
2015-04-20,150.50,151.589996,149.860001,151.369995,662000,150.507034
2015-04-17,150.75,151.389999,148.630005,149.850006,982300,148.99571
2015-04-16,152.00,152.00,150.75,151.589996,621500,150.725781
2015-04-15,152.360001,153.929993,151.960007,152.350006,809100,151.481458
2015-04-14,151.020004,152.399994,150.509995,151.839996,955300,150.974356
2015-04-13,151.559998,152.50,150.539993,150.580002,815600,149.721544
2015-04-10,152.240005,152.509995,150.990005,151.919998,509900,151.053901
2015-04-09,150.970001,152.199997,150.520004,152.050003,541300,151.183165
2015-04-08,151.429993,152.229996,150.220001,150.970001,640900,150.10932
2015-04-07,151.710007,153.440002,151.119995,151.179993,662500,150.318115
2015-04-06,151.070007,152.529999,150.619995,152.089996,874500,151.22293
2015-04-02,149.830002,151.720001,149.600006,151.039993,587900,150.178913
