Date,Open,High,Low,Close,Volume,Adj Close
2014-09-10,94.00,94.70,93.50,94.68,37800,94.68
2014-09-09,93.00,93.99,92.94,93.99,26200,93.99
2014-09-08,93.55,93.86,92.90,93.08,25300,93.08
2014-09-05,93.40,93.90,93.17,93.52,22600,93.52
2014-09-04,93.19,93.85,92.70,93.49,17000,93.49
2014-09-03,92.40,93.70,92.30,93.06,23200,93.06
2014-09-02,92.70,93.21,92.22,92.30,30100,92.30
2014-09-01,92.20,92.70,92.04,92.42,20500,92.42
2014-08-29,93.08,93.20,91.85,92.09,26600,92.09
2014-08-28,93.30,94.00,92.08,93.08,27600,93.08
2014-08-27,93.37,94.19,93.22,93.48,39100,93.48
2014-08-26,91.60,93.20,91.60,93.19,21800,93.19
2014-08-25,91.35,91.81,90.95,91.81,9700,91.81
2014-08-22,91.20,91.35,90.51,90.91,15500,90.91
2014-08-21,90.20,91.14,89.62,91.14,17000,91.14
2014-08-20,90.20,90.37,89.27,89.83,15300,89.83
2014-08-19,89.90,90.58,89.72,90.20,15400,90.20
2014-08-18,89.10,89.81,89.00,89.44,18300,89.44
2014-08-15,89.37,89.85,88.29,88.58,17900,88.58
2014-08-14,88.50,89.30,88.24,88.98,21400,88.98
2014-08-13,88.65,89.20,88.24,88.72,32000,88.72
2014-08-12,88.00,88.69,87.72,88.58,22400,88.58
2014-08-11,86.83,88.22,86.61,87.93,21800,87.93
2014-08-08,87.20,87.21,85.70,86.41,31700,86.41
2014-08-07,87.90,88.20,87.26,87.30,25600,87.30
2014-08-06,88.62,88.80,87.51,87.86,34900,87.86
2014-08-05,89.00,89.50,88.40,88.58,22200,88.58
2014-08-04,88.00,89.40,88.00,88.90,36200,88.90
2014-08-01,90.54,90.87,88.00,88.74,54100,88.74
2014-07-31,93.12,93.12,90.54,90.54,43900,90.54
2014-07-30,93.30,93.59,92.64,93.13,31600,93.13
2014-07-29,93.40,94.25,93.10,93.43,13900,93.43
2014-07-28,93.06,93.33,92.31,93.33,22500,93.33
2014-07-25,93.80,94.25,92.90,92.98,19100,92.98
2014-07-24,93.50,94.27,92.90,93.71,20100,93.71
2014-07-23,92.89,93.79,92.89,93.36,15000,93.36
2014-07-22,92.13,93.30,92.13,93.14,15700,93.14
2014-07-21,92.50,92.59,91.50,92.26,23000,92.26
2014-07-18,91.67,92.75,91.20,92.59,24300,92.59
2014-07-17,92.65,92.84,91.73,91.79,21400,91.79
2014-07-16,91.60,92.80,91.44,92.69,18800,92.69
2014-07-15,91.41,91.90,90.70,91.50,31100,91.50
2014-07-14,90.50,91.69,90.50,91.48,17700,91.48
2014-07-11,90.97,91.35,90.40,90.41,28200,90.41
2014-07-10,91.90,92.00,90.15,91.02,24900,91.02
2014-07-09,93.13,93.40,91.40,91.86,32100,91.86
2014-07-08,92.82,94.00,92.30,93.23,45000,93.23
2014-07-07,93.34,93.80,92.30,92.69,18900,92.69
2014-07-04,94.40,94.80,93.44,93.58,14600,93.58
2014-07-03,93.60,94.76,93.39,94.43,23900,94.43
2014-07-02,93.25,93.80,92.96,93.70,24300,93.70
2014-07-01,92.10,93.55,92.00,93.25,33400,93.25
2014-06-30,91.80,92.09,91.12,92.09,27000,92.09
2014-06-27,92.20,92.20,91.01,91.71,25700,91.71
2014-06-26,91.93,92.68,91.60,92.10,41500,92.10
2014-06-25,92.33,92.50,91.30,92.08,30900,92.08
2014-06-24,93.20,93.49,91.85,92.43,25300,92.43
2014-06-23,93.82,93.83,92.50,93.10,36000,93.10
2014-06-20,93.35,94.10,93.11,93.79,37700,93.79
2014-06-19,93.04,94.00,93.04,93.38,26300,93.38
2014-06-18,91.45,92.94,91.11,92.84,37900,92.84
2014-06-17,91.90,92.40,91.28,91.55,21900,91.55
2014-06-16,92.01,92.50,91.40,91.87,22900,91.87
2014-06-13,94.10,94.10,92.01,92.08,37000,92.08
2014-06-12,93.80,94.44,93.50,94.10,25100,94.10
2014-06-11,93.41,93.92,92.91,93.79,22000,93.79
2014-06-10,93.70,93.90,93.10,93.46,26600,93.46
2014-06-09,93.50,93.96,93.44,93.77,14500,93.77
2014-06-06,92.21,93.69,92.15,93.53,30900,93.53
2014-06-05,92.00,92.60,91.40,91.98,29200,91.98
2014-06-04,91.97,92.30,91.30,91.93,30000,91.93
2014-06-03,91.60,92.00,91.01,91.82,38900,91.82
2014-06-02,93.40,93.52,92.50,92.55,25100,91.28
2014-05-30,93.30,93.90,92.71,93.12,26900,91.84
2014-05-29,93.00,93.37,92.74,93.15,13000,91.87
2014-05-28,93.30,93.60,93.01,93.10,18300,91.82
2014-05-27,93.28,93.79,92.80,93.20,30800,91.92
2014-05-26,91.20,93.21,91.20,92.98,23300,91.70
2014-05-23,91.26,91.29,90.50,90.97,25200,89.72
2014-05-22,91.90,92.30,91.07,91.07,28100,89.82
2014-05-21,92.20,92.50,91.28,91.75,35500,90.49
2014-05-20,92.14,93.10,92.14,92.32,24800,91.05
2014-05-19,92.11,92.80,91.66,92.53,45400,91.26
2014-05-16,93.57,94.30,92.02,92.21,39500,90.94
2014-05-15,94.60,95.10,92.70,92.99,38800,91.71
2014-05-14,94.60,94.90,94.30,94.71,16700,93.41
2014-05-13,95.11,95.73,94.40,94.63,29400,93.33
2014-05-12,95.43,95.90,95.10,95.53,27200,94.21
2014-05-09,94.87,95.58,94.54,95.15,34900,93.84
2014-05-08,93.40,95.00,93.40,95.00,31800,93.69
2014-05-07,93.00,93.60,92.70,93.28,27800,91.99
2014-05-06,93.11,93.30,92.40,93.18,29200,91.90
2014-05-05,93.15,93.66,92.20,93.17,23200,91.89
2014-05-02,93.37,93.98,92.99,93.18,32300,91.90
2014-05-01,93.20,93.20,93.20,93.20,000,91.92
2014-04-30,92.45,93.20,92.20,93.20,40600,91.92
2014-04-29,91.80,92.70,91.64,92.54,31600,91.27
2014-04-28,91.51,92.20,91.33,91.62,43000,90.36
2014-04-25,91.50,92.27,91.12,91.52,29300,90.26
2014-04-24,92.20,92.95,91.49,92.25,36500,90.98
2014-04-23,92.47,92.70,91.88,92.29,30000,91.02
2014-04-22,92.29,92.67,91.31,92.64,29400,91.36
2014-04-21,91.52,91.52,91.52,91.52,000,90.26
2014-04-18,91.52,91.52,91.52,91.52,000,90.26
2014-04-17,90.50,91.92,90.50,91.52,18800,90.26
2014-04-16,90.03,91.00,89.91,90.38,29400,89.13
2014-04-15,90.45,90.70,89.25,89.75,31600,88.51
2014-04-14,91.42,91.45,89.66,90.32,42300,89.08
2014-04-11,91.47,91.70,90.98,91.52,30400,90.26
2014-04-10,91.70,92.06,91.46,91.80,30900,90.54
2014-04-09,91.20,91.90,91.13,91.50,27100,90.24
2014-04-08,91.47,91.50,90.50,91.00,37200,89.75
2014-04-07,91.10,91.45,90.30,91.45,28600,90.19
2014-04-04,90.70,91.60,90.17,91.31,26200,90.05
2014-04-03,91.18,91.40,90.11,90.56,39100,89.31
2014-04-02,92.00,92.00,91.14,91.30,21100,90.04
2014-04-01,91.97,92.10,91.65,92.00,36200,90.73
2014-03-31,91.20,92.10,91.20,91.76,36300,90.50
2014-03-28,90.58,91.64,90.58,90.63,45800,89.38
2014-03-27,91.19,91.44,90.10,90.58,30300,89.33
2014-03-26,90.90,91.78,90.85,91.20,51800,89.94
2014-03-25,89.50,91.50,89.50,90.95,45100,89.70
2014-03-24,90.02,90.30,89.07,89.47,37500,88.24
2014-03-21,90.60,90.91,89.75,89.84,40600,88.60
2014-03-20,90.70,91.07,89.50,90.23,41300,88.99
2014-03-19,89.92,91.32,89.73,90.85,45500,89.60
2014-03-18,89.50,90.06,88.80,89.91,49600,88.67
2014-03-17,86.51,89.99,86.51,89.64,73600,88.41
2014-03-14,84.90,85.00,83.95,85.00,45900,83.83
2014-03-13,86.19,86.29,84.99,85.18,30600,84.01
