Date,Open,High,Low,Close,Volume,Adj Close
2014-09-19,58.72,59.71,58.72,59.02,56900,55.61
2014-09-18,58.82,59.23,58.72,59.00,17400,55.59
2014-09-17,59.34,59.65,58.85,59.20,30800,55.78
2014-09-16,60.80,60.80,59.17,59.26,14700,55.83
2014-09-15,61.04,61.15,60.36,60.42,8700,56.93
2014-09-12,60.80,61.00,60.50,60.84,19900,57.32
2014-09-11,61.39,61.39,60.00,60.45,14700,56.96
2014-09-10,61.25,61.57,60.84,60.88,10800,57.36
2014-09-09,61.20,61.70,61.20,61.30,7900,57.76
2014-09-08,61.70,61.77,61.33,61.57,10100,58.01
2014-09-05,61.75,61.96,61.41,61.72,12900,58.15
2014-09-04,61.90,62.28,61.52,61.88,19500,58.30
2014-09-03,61.75,62.40,61.30,62.03,41500,58.44
2014-09-02,61.29,61.83,61.29,61.75,15100,58.18
2014-09-01,61.84,61.84,61.00,61.54,7500,57.98
2014-08-29,61.20,61.56,61.00,61.49,16700,57.93
2014-08-28,61.06,61.30,61.00,61.30,10200,57.76
2014-08-27,61.40,61.40,61.01,61.30,19000,57.76
2014-08-26,61.38,61.40,60.93,61.31,13400,57.77
2014-08-25,60.98,61.27,60.88,61.27,6800,57.73
2014-08-22,60.80,60.91,60.50,60.80,32100,57.28
2014-08-21,60.45,60.80,60.35,60.76,12400,57.25
2014-08-20,60.38,60.50,59.92,60.23,10300,56.75
2014-08-19,60.65,60.88,60.28,60.38,18400,56.89
2014-08-18,60.00,60.55,59.93,60.55,19500,57.05
2014-08-15,59.99,60.56,59.63,59.92,34800,56.46
2014-08-14,59.75,60.00,59.35,60.00,17000,56.53
2014-08-13,59.26,59.95,59.26,59.82,20600,56.36
2014-08-12,59.39,59.60,58.88,59.48,31400,56.04
2014-08-11,58.70,59.77,58.70,59.29,17600,55.86
2014-08-08,58.68,59.16,58.52,58.93,21000,55.52
2014-08-07,58.02,59.85,57.70,59.42,64400,55.98
2014-08-06,57.97,57.97,57.36,57.73,28300,54.39
2014-08-05,58.00,58.68,57.80,57.80,19900,54.46
2014-08-04,58.34,58.34,57.56,57.81,14300,54.47
2014-08-01,58.50,58.68,57.80,58.20,22200,54.84
2014-07-31,58.89,58.89,58.23,58.47,14800,55.09
2014-07-30,59.70,59.70,58.60,58.75,15000,55.35
2014-07-29,58.99,59.70,58.95,59.47,28400,56.03
