Date,Open,High,Low,Close,Volume,Adj Close
2015-09-18,38.75,39.16,38.400002,38.509998,6215200,38.509998
2015-09-17,39.639999,40.099998,39.290001,39.529999,5129800,39.529999
2015-09-16,39.529999,39.68,39.299999,39.59,3834300,39.59
2015-09-15,39.23,39.619999,39.110001,39.450001,3336200,39.450001
2015-09-14,39.450001,39.540001,39.080002,39.169998,3293500,39.169998
2015-09-11,39.139999,39.43,38.990002,39.419998,2835800,39.419998
2015-09-10,39.450001,39.700001,38.990002,39.299999,4730500,39.299999
2015-09-09,40.790001,40.990002,39.57,39.66,4357400,39.66
2015-09-08,39.82,40.240002,39.650002,40.07,4104400,40.07
2015-09-04,39.189999,39.380001,38.849998,39.009998,3040200,39.009998
2015-09-03,39.50,40.029999,39.279999,39.810001,3676000,39.810001
2015-09-02,40.080002,40.080002,39.119999,39.52,3025300,39.52
2015-09-01,39.259998,40.02,39.209999,39.450001,4017100,39.450001
2015-08-31,40.799999,41.150002,40.560001,40.580002,3952600,40.580002
2015-08-28,40.790001,41.25,40.549999,41.240002,3992600,41.240002
2015-08-27,40.299999,41.080002,40.16,41.049999,4898200,41.049999
2015-08-26,39.880001,40.099998,38.759998,39.990002,6643100,39.990002
2015-08-25,40.939999,41.029999,38.790001,38.849998,10307900,38.849998
2015-08-24,39.009998,41.18,38.25,39.41,9012700,39.41
2015-08-21,41.639999,42.25,40.950001,40.98,7397600,40.98
2015-08-20,42.919998,43.130001,42.040001,42.060001,4839200,42.060001
2015-08-19,43.580002,43.689999,42.939999,43.27,4072900,43.27
2015-08-18,43.740002,43.939999,43.630001,43.889999,2844500,43.889999
2015-08-17,43.57,43.860001,43.330002,43.759998,2296000,43.759998
2015-08-14,43.509998,43.619999,43.310001,43.619999,2592600,43.619999
2015-08-13,43.91,44.02,43.52,43.57,2528400,43.57
2015-08-12,43.470001,44.00,42.880001,43.98,4151700,43.98
2015-08-11,44.470001,44.470001,43.740002,43.950001,2784400,43.950001
2015-08-10,44.610001,44.939999,44.549999,44.93,3492400,44.93
2015-08-07,44.68,44.759998,44.040001,44.330002,2679800,44.330002
2015-08-06,45.200001,45.25,44.610001,44.709999,2587500,44.709999
2015-08-05,45.630001,45.709999,45.150002,45.189999,2690600,45.189999
2015-08-04,45.470001,45.50,45.029999,45.209999,2795900,45.209999
2015-08-03,45.459999,45.720001,45.119999,45.450001,3739600,45.450001
2015-07-31,46.299999,46.34,45.509998,45.549999,4213400,45.549999
2015-07-30,46.349998,46.48,45.900002,46.16,3102400,46.16
2015-07-29,46.200001,46.77,45.919998,46.509998,3097300,46.509998
2015-07-28,46.900002,47.029999,46.389999,46.52,2838100,46.52
2015-07-27,46.02,46.450001,45.900002,46.41,3046400,46.41
2015-07-24,47.389999,47.48,46.299999,46.400002,4526300,46.400002
2015-07-23,48.669998,48.720001,47.419998,47.59,3473000,47.59
2015-07-22,48.830002,48.98,48.43,48.490002,2174700,48.490002
2015-07-21,49.009998,49.25,48.66,48.91,1066800,48.91
2015-07-20,49.459999,49.580002,49.00,49.080002,1472400,49.080002
2015-07-17,49.529999,49.560001,48.860001,49.41,1085300,49.41
2015-07-16,49.43,49.639999,49.389999,49.630001,1205900,49.630001
2015-07-15,48.889999,49.290001,48.57,49.040001,1763300,49.040001
2015-07-14,48.98,49.049999,48.709999,48.880001,1752900,48.880001
2015-07-13,49.169998,49.290001,48.970001,49.080002,1751100,49.080002
2015-07-10,49.32,49.32,48.619999,48.779999,1982800,48.779999
2015-07-09,49.080002,49.080002,48.16,48.360001,2161400,48.360001
2015-07-08,48.450001,48.669998,47.91,47.970001,2103700,47.970001
2015-07-07,48.82,49.060001,47.959999,48.959999,1976400,48.959999
2015-07-06,48.490002,49.040001,47.59,48.84,1584400,48.84
2015-07-02,49.32,49.50,48.900002,49.209999,1376500,49.209999
2015-07-01,49.959999,49.959999,48.959999,49.330002,1688900,49.330002
2015-06-30,49.459999,49.610001,48.689999,49.029999,2316100,49.029999
2015-06-29,49.810001,49.860001,48.869999,48.889999,1957000,48.889999
2015-06-26,50.349998,50.59,50.16,50.48,5572900,50.48
2015-06-25,50.66,50.740002,50.150002,50.310001,2067100,50.16
2015-06-24,50.889999,51.080002,50.540001,50.619999,1559600,50.469073
2015-06-23,51.369999,51.450001,51.080002,51.16,1414300,51.007464
2015-06-22,51.939999,51.939999,51.220001,51.32,1839100,51.166987
2015-06-19,51.18,51.439999,50.990002,51.439999,4836700,51.286628
2015-06-18,51.049999,51.549999,50.93,51.349998,1899500,51.196896
2015-06-17,50.57,51.110001,50.380001,50.799999,2569400,50.648537
2015-06-16,49.75,50.389999,49.669998,50.330002,2571100,50.179941
2015-06-15,49.529999,49.98,49.34,49.740002,1752700,49.5917
2015-06-12,50.200001,50.279999,49.82,50.049999,1658300,49.900773
2015-06-11,50.439999,50.549999,50.23,50.43,1756900,50.279641
2015-06-10,49.990002,50.400002,49.77,50.27,1852400,50.120118
2015-06-09,50.00,50.119999,49.580002,49.66,2103900,49.511936
2015-06-08,49.709999,50.509998,49.400002,49.869999,2531000,49.721309
2015-06-05,50.549999,50.709999,50.119999,50.419998,1873300,50.269669
2015-06-04,50.650002,51.02,50.189999,50.279999,2188900,50.130087
2015-06-03,51.040001,51.259998,50.77,51.119999,1196800,50.967582
2015-06-02,50.799999,51.02,50.580002,50.799999,1548800,50.648537
2015-06-01,51.110001,51.209999,50.48,50.91,1346900,50.758209
2015-05-29,51.68,51.73,50.900002,50.91,1678200,50.758209
2015-05-28,51.330002,51.610001,51.23,51.580002,1048000,51.426214
2015-05-27,51.200001,51.639999,50.939999,51.549999,1072600,51.396301
2015-05-26,51.299999,51.439999,50.790001,50.950001,1672900,50.798091
2015-05-22,51.549999,51.73,51.490002,51.52,699800,51.366391
2015-05-21,51.560001,51.779999,51.50,51.709999,848900,51.555823
2015-05-20,51.82,51.889999,51.459999,51.689999,903900,51.535883
2015-05-19,52.099998,52.23,51.470001,51.68,1267900,51.525914
