Date,Open,High,Low,Close,Volume,Adj Close
2014-07-09,23.92,24.10,23.84,24.09,386600,24.09
2014-07-08,24.15,24.25,23.92,23.98,607500,23.98
2014-07-07,24.10,24.27,24.01,24.03,355200,24.03
2014-07-04,24.25,24.36,24.00,24.13,437400,24.13
2014-07-03,24.37,24.50,24.17,24.25,601800,24.25
2014-07-02,24.52,24.76,24.16,24.33,694400,24.33
2014-07-01,24.23,24.69,24.23,24.56,592100,24.56
2014-06-30,24.48,24.50,24.24,24.24,539100,24.24
2014-06-27,24.30,24.49,24.25,24.47,477300,24.47
2014-06-26,24.28,24.43,24.05,24.33,835100,24.33
2014-06-25,24.68,24.78,24.16,24.26,835600,24.26
2014-06-24,24.69,24.92,24.59,24.78,532100,24.78
2014-06-23,24.55,24.93,24.51,24.69,649900,24.69
2014-06-20,24.64,24.77,24.51,24.56,868300,24.56
2014-06-19,24.91,24.94,24.67,24.72,486500,24.72
2014-06-18,24.75,24.90,24.67,24.82,567400,24.82
2014-06-17,24.56,24.78,24.48,24.78,413900,24.78
2014-06-16,24.70,24.82,24.53,24.58,513300,24.58
2014-06-13,24.86,24.87,24.67,24.75,575800,24.75
2014-06-12,24.35,24.86,24.35,24.86,802800,24.86
2014-06-11,24.53,24.68,24.47,24.49,490100,24.49
2014-06-10,24.58,24.68,24.52,24.68,379200,24.68
2014-06-09,24.45,24.70,24.42,24.66,410500,24.66
2014-06-06,24.28,24.48,24.28,24.45,552300,24.45
2014-06-05,24.05,24.32,24.03,24.25,448800,24.25
2014-06-04,23.80,24.11,23.80,24.07,656000,24.07
2014-06-03,24.19,24.26,23.77,23.89,619900,23.89
2014-06-02,24.22,24.39,24.06,24.18,688000,24.18
2014-05-30,24.25,24.39,24.25,24.31,954900,24.31
2014-05-29,24.20,24.36,24.13,24.30,440400,24.30
2014-05-28,23.89,24.31,23.82,24.31,985700,24.31
2014-05-27,23.88,23.95,23.75,23.82,438900,23.82
2014-05-26,23.75,23.89,23.74,23.84,247700,23.84
2014-05-23,23.85,23.85,23.54,23.75,534000,23.75
2014-05-22,23.69,23.92,23.67,23.80,767200,23.80
2014-05-21,23.69,23.94,23.64,23.80,719900,23.80
2014-05-20,23.82,23.93,23.58,23.85,637500,23.85
2014-05-19,23.51,23.86,23.46,23.84,837400,23.84
2014-05-16,23.70,23.94,23.65,23.90,605800,23.90
2014-05-15,23.69,23.90,23.55,23.83,1079600,23.83
2014-05-14,23.65,23.75,23.47,23.75,661800,23.75
2014-05-13,23.57,23.67,23.33,23.67,669800,23.67
2014-05-12,23.22,23.60,23.06,23.55,892600,23.55
2014-05-09,22.40,23.32,22.03,23.28,1428300,23.28
2014-05-08,22.61,22.95,22.41,22.63,1042000,22.63
2014-05-07,22.59,22.98,22.56,22.61,982500,22.61
2014-05-06,22.50,22.78,22.48,22.66,745400,22.66
2014-05-05,22.29,22.49,22.23,22.43,501400,22.43
2014-05-02,22.17,22.48,22.15,22.28,857400,22.28
2014-05-01,22.06,22.06,22.06,22.06,000,22.06
2014-04-30,21.96,22.14,21.95,22.06,1137700,22.06
2014-04-29,21.48,21.96,21.47,21.95,806800,21.95
2014-04-28,21.25,21.44,21.16,21.34,502000,21.34
2014-04-25,21.20,21.40,21.20,21.26,731500,21.26
2014-04-24,21.23,21.49,21.15,21.32,848600,21.32
2014-04-23,21.13,21.25,21.00,21.11,594200,21.11
2014-04-22,21.35,21.35,21.02,21.10,747700,21.10
2014-04-21,22.51,22.51,22.51,22.51,000,21.25
2014-04-18,22.51,22.51,22.51,22.51,000,21.25
2014-04-17,22.55,22.57,22.40,22.51,702100,21.25
2014-04-16,22.47,22.58,22.24,22.50,923900,21.24
2014-04-15,22.60,22.75,22.26,22.30,782200,21.05
2014-04-14,22.68,22.68,22.25,22.58,530000,21.32
2014-04-11,22.60,23.00,22.60,22.70,627800,21.43
2014-04-10,22.83,22.99,22.67,22.75,501900,21.48
2014-04-09,22.63,22.89,22.56,22.86,665400,21.59
2014-04-08,22.79,22.98,22.40,22.52,436800,21.26
2014-04-07,22.71,22.80,22.42,22.75,363600,21.48
2014-04-04,22.98,22.99,22.72,22.80,571800,21.52
2014-04-03,22.92,23.05,22.89,22.95,533100,21.67
2014-04-02,22.90,23.00,22.72,22.95,519700,21.67
2014-04-01,22.79,22.92,22.58,22.90,510800,21.62
2014-03-31,22.95,22.95,22.70,22.73,534800,21.46
2014-03-28,22.70,22.96,22.69,22.84,507100,21.56
2014-03-27,22.49,22.64,22.35,22.60,462000,21.34
2014-03-26,22.37,22.50,22.28,22.50,556100,21.24
2014-03-25,22.31,22.51,22.21,22.29,580400,21.04
2014-03-24,22.41,22.60,22.19,22.33,572800,21.09
2014-03-21,22.84,22.98,22.60,22.60,1351600,21.34
2014-03-20,22.59,22.82,22.55,22.75,599300,21.48
2014-03-19,22.64,22.89,22.50,22.67,580500,21.40
2014-03-18,22.40,22.61,22.27,22.59,567700,21.33
2014-03-17,21.77,22.36,21.77,22.36,600300,21.11
2014-03-14,21.54,21.82,21.51,21.82,884000,20.60
2014-03-13,22.79,22.80,21.62,21.81,1582500,20.58
2014-03-12,22.58,22.82,22.51,22.76,547100,21.49
2014-03-11,22.84,23.07,22.55,22.78,826400,21.51
2014-03-10,22.50,22.90,22.40,22.84,911100,21.57
2014-03-07,22.39,22.50,22.24,22.46,1033000,21.20
2014-03-06,21.99,22.60,21.97,22.40,947600,21.15
