Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,122.809998,123.050003,122.120003,122.93,460400,122.93
2015-08-17,121.919998,123.120003,120.699997,122.989998,710900,122.989998
2015-08-14,120.589996,121.980003,119.769997,121.919998,691700,121.919998
2015-08-13,119.470001,121.18,118.010002,120.709999,1177600,120.709999
2015-08-12,119.419998,119.980003,118.190002,119.959999,937700,119.959999
2015-08-11,119.690002,120.769997,119.110001,119.75,889700,119.75
2015-08-10,120.949997,120.949997,119.110001,119.739998,683200,119.739998
2015-08-07,121.169998,121.419998,119.389999,120.169998,868400,120.169998
2015-08-06,120.760002,121.360001,118.910004,120.949997,835200,120.949997
2015-08-05,123.580002,123.580002,120.940002,121.290001,1260100,121.290001
2015-08-04,124.330002,124.82,122.809998,123.029999,730000,123.029999
2015-08-03,123.32,124.849998,123.25,124.699997,588000,124.699997
2015-07-31,124.32,124.989998,123.160004,123.279999,892000,123.279999
2015-07-30,126.150002,127.150002,122.610001,123.339996,1062000,123.339996
2015-07-29,124.769997,126.389999,123.650002,126.32,708700,126.32
2015-07-28,125.629997,125.730003,124.389999,124.82,577500,124.82
2015-07-27,125.07,126.220001,124.830002,125.230003,644300,125.230003
2015-07-24,124.379997,125.650002,123.980003,125.160004,607200,125.160004
2015-07-23,125.639999,125.949997,123.330002,124.540001,725400,124.540001
2015-07-22,125.459999,126.650002,125.459999,125.93,776100,125.93
2015-07-21,125.730003,126.489998,125.360001,125.400002,772500,125.400002
2015-07-20,125.059998,126.309998,125.059998,125.800003,737100,125.800003
2015-07-17,125.709999,125.970001,125.059998,125.57,907300,125.57
2015-07-16,124.660004,126.080002,124.660004,125.989998,742300,125.989998
2015-07-15,124.120003,124.68,123.709999,124.139999,908600,124.139999
2015-07-14,124.949997,125.339996,123.709999,124.629997,699600,124.629997
2015-07-13,125.220001,125.860001,123.769997,124.739998,834800,124.739998
2015-07-10,123.860001,124.889999,123.629997,124.160004,746200,124.160004
2015-07-09,124.419998,125.209999,122.82,123.120003,469300,123.120003
2015-07-08,124.389999,124.809998,123.580002,123.709999,597400,123.709999
2015-07-07,123.059998,125.300003,122.540001,124.959999,855800,124.959999
2015-07-06,121.040001,122.93,120.279999,122.529999,824400,122.529999
2015-07-02,122.660004,123.610001,121.660004,121.849998,767900,121.849998
2015-07-01,118.120003,122.139999,117.900002,122.129997,826800,122.129997
2015-06-30,121.639999,122.339996,120.440002,121.040001,780600,121.040001
2015-06-29,123.150002,124.220001,120.769997,120.830002,913100,120.830002
2015-06-26,122.519997,123.949997,122.089996,123.43,2556600,123.43
2015-06-25,123.620003,124.459999,123.160004,123.260002,944100,122.610003
2015-06-24,125.150002,125.690002,124.660004,124.870003,917500,124.211513
2015-06-23,125.199997,126.129997,124.519997,124.970001,731500,124.310984
2015-06-22,126.779999,127.580002,125.489998,125.620003,713500,124.957558
2015-06-19,127.580002,127.839996,126.349998,126.709999,773500,126.041806
2015-06-18,127.43,129.050003,127.029999,128.089996,762900,127.414526
2015-06-17,125.949997,126.959999,124.709999,126.910004,754300,126.240756
2015-06-16,124.900002,126.129997,124.830002,126.019997,832400,125.355443
2015-06-15,125.660004,125.739998,124.699997,125.099998,915700,124.440296
2015-06-12,126.279999,126.959999,125.860001,126.099998,543500,125.435023
2015-06-11,126.709999,127.470001,126.540001,126.769997,474000,126.101488
2015-06-10,125.029999,127.419998,124.720001,126.220001,607500,125.554392
2015-06-09,125.989998,126.309998,124.660004,124.889999,633200,124.231404
2015-06-08,126.669998,127.07,125.779999,125.989998,543600,125.325602
2015-06-05,126.529999,128.440002,123.389999,126.18,1058900,125.514602
2015-06-04,127.709999,128.429993,127.019997,127.459999,561000,126.787851
2015-06-03,129.470001,130.289993,127.419998,127.900002,849000,127.225533
2015-06-02,131.009995,131.070007,129.389999,129.570007,787100,128.886733
2015-06-01,130.080002,131.860001,130.080002,131.649994,968200,130.955751
2015-05-29,131.550003,132.070007,129.699997,130.029999,1466800,129.344298
2015-05-28,131.660004,132.470001,130.690002,131.550003,660100,130.856287
2015-05-27,131.309998,132.070007,131.300003,131.860001,606800,131.16465
2015-05-26,132.429993,132.699997,131.039993,131.229996,642600,130.537967
2015-05-22,132.330002,133.960007,131.669998,132.869995,420800,132.169318
2015-05-21,133.309998,133.830002,131.740005,132.240005,735100,131.542651
2015-05-20,133.589996,134.520004,133.149994,133.309998,434600,132.607
2015-05-19,133.490005,135.059998,133.089996,133.389999,537000,132.68658
2015-05-18,134.139999,134.929993,133.229996,134.309998,536100,133.601727
2015-05-15,133.899994,135.490005,133.570007,134.699997,901400,133.98967
2015-05-14,131.429993,133.419998,130.649994,133.360001,599500,132.65674
2015-05-13,131.789993,133.139999,130.279999,130.649994,717000,129.961024
2015-05-12,130.089996,132.00,128.929993,131.369995,522200,130.677228
2015-05-11,132.779999,133.610001,130.389999,130.839996,837900,130.150024
2015-05-08,133.240005,135.199997,133.110001,133.330002,714000,132.626899
2015-05-07,129.320007,132.050003,128.759995,131.50,727900,130.806548
2015-05-06,130.25,130.270004,128.380005,128.649994,1183700,127.971571
2015-05-05,132.210007,133.050003,129.360001,129.649994,1231900,128.966297
2015-05-04,133.509995,134.589996,132.610001,132.949997,537900,132.248898
2015-05-01,132.899994,134.050003,132.570007,132.949997,728900,132.248898
2015-04-30,134.149994,134.960007,131.470001,132.309998,895600,131.612274
2015-04-29,137.350006,138.199997,134.720001,134.880005,935400,134.168728
2015-04-28,137.699997,138.889999,136.770004,138.350006,552600,137.620431
2015-04-27,137.970001,139.580002,137.399994,137.800003,821000,137.073328
2015-04-24,137.570007,139.160004,136.940002,137.869995,523500,137.142951
2015-04-23,136.289993,137.399994,136.020004,137.029999,549600,136.307385
2015-04-22,137.059998,137.639999,136.039993,136.509995,773800,135.790122
2015-04-21,136.490005,137.710007,136.059998,136.770004,594400,136.048761
2015-04-20,137.059998,137.380005,136.190002,136.389999,441100,135.67076
2015-04-17,137.089996,137.800003,135.630005,136.600006,504900,135.879659
2015-04-16,136.460007,137.960007,135.710007,137.679993,596600,136.953951
2015-04-15,137.779999,138.100006,136.339996,136.490005,703800,135.770239
2015-04-14,137.240005,138.410004,137.149994,137.649994,450500,136.92411
2015-04-13,137.610001,138.029999,137.070007,137.070007,474900,136.347182
2015-04-10,137.589996,139.119995,136.990005,137.580002,425900,136.854487
2015-04-09,139.380005,139.389999,136.910004,137.350006,838800,136.625704
2015-04-08,139.789993,140.630005,139.369995,139.710007,466900,138.97326
2015-04-07,141.990005,142.070007,139.509995,139.509995,811300,138.774302
2015-04-06,141.240005,143.089996,141.00,142.169998,443200,141.420279
2015-04-02,139.490005,141.539993,139.490005,140.929993,567000,140.186812
2015-04-01,140.479996,141.240005,138.850006,139.710007,856000,138.97326
2015-03-31,141.889999,142.229996,140.179993,140.479996,943700,139.739188
2015-03-30,140.479996,142.270004,139.990005,142.25,675500,141.499859
2015-03-27,140.070007,141.139999,139.100006,139.809998,989100,139.072723
2015-03-26,140.529999,141.550003,140.050003,140.410004,615800,139.022995
2015-03-25,143.990005,144.710007,140.839996,141.160004,956300,139.765586
2015-03-24,144.320007,145.179993,143.440002,143.979996,619100,142.557721
2015-03-23,144.399994,145.899994,143.75,144.740005,775800,143.310224
2015-03-20,141.020004,144.960007,141.00,144.729996,1057100,143.300313
2015-03-19,140.990005,141.899994,140.259995,141.149994,690300,139.755675
2015-03-18,137.169998,141.729996,137.080002,141.130005,906700,139.735883
2015-03-17,136.679993,137.860001,136.399994,137.509995,562800,136.151633
2015-03-16,136.860001,138.710007,136.610001,137.25,1044000,135.894206
2015-03-13,136.710007,137.830002,135.589996,135.979996,1046400,134.636748
2015-03-12,135.490005,137.639999,135.410004,137.339996,839300,135.983314
2015-03-11,135.089996,135.50,134.279999,134.580002,672400,133.250583
2015-03-10,134.820007,135.729996,134.529999,134.75,777000,133.418902
2015-03-09,134.259995,135.25,133.860001,134.940002,730700,133.607028
2015-03-06,135.740005,137.199997,133.639999,133.820007,1181200,132.498096
2015-03-05,137.899994,139.949997,137.899994,139.029999,810100,137.656622
2015-03-04,138.600006,138.660004,136.960007,137.300003,792400,135.943715
2015-03-03,138.690002,139.330002,137.589996,138.75,586900,137.379389
2015-03-02,137.740005,139.889999,137.699997,138.759995,792800,137.389285
2015-02-27,136.369995,137.839996,135.570007,137.410004,774300,136.052629
2015-02-26,137.449997,137.770004,136.130005,136.229996,886300,134.884278
2015-02-25,138.589996,139.660004,137.470001,137.660004,785900,136.30016
2015-02-24,140.199997,140.639999,137.509995,138.259995,606900,136.894224
2015-02-23,140.130005,140.929993,139.029999,140.929993,858300,139.537847
2015-02-20,138.190002,140.119995,137.839996,139.369995,834200,137.99326
2015-02-19,141.190002,141.190002,138.089996,138.470001,920200,137.102156
2015-02-18,140.169998,141.860001,139.279999,141.779999,826300,140.379457
2015-02-17,140.919998,141.710007,139.779999,140.25,705500,138.864572
2015-02-13,142.300003,142.360001,140.25,141.080002,529900,139.686374
2015-02-12,141.350006,142.710007,140.089996,142.660004,864800,141.250769
2015-02-11,142.449997,142.860001,139.910004,140.919998,830800,139.527951
2015-02-10,140.970001,142.240005,139.729996,142.220001,1226400,140.815113
2015-02-09,140.449997,141.440002,140.080002,140.190002,595600,138.805167
2015-02-06,143.449997,143.50,140.270004,140.949997,1002500,139.557654
2015-02-05,142.00,143.929993,141.580002,143.789993,711400,142.369596
2015-02-04,141.580002,142.190002,140.100006,141.130005,892100,139.735883
2015-02-03,139.529999,141.910004,139.009995,141.809998,747100,140.409159
2015-02-02,139.449997,140.389999,136.970001,140.210007,1535600,138.824973
2015-01-30,142.690002,144.070007,138.800003,138.800003,1633000,137.428898
2015-01-29,143.320007,143.970001,142.009995,143.440002,742000,142.023062
2015-01-28,144.710007,146.070007,142.979996,142.979996,841600,141.5676
2015-01-27,143.679993,145.100006,143.559998,144.220001,698000,142.795356
2015-01-26,142.300003,144.270004,142.00,144.229996,534300,142.805252
2015-01-23,143.00,143.199997,142.039993,142.669998,519100,141.260664
2015-01-22,140.899994,143.410004,140.630005,143.160004,861800,141.745829
2015-01-21,140.029999,140.960007,139.559998,140.520004,567000,139.131909
2015-01-20,141.580002,141.860001,140.070007,140.520004,884400,139.131909
2015-01-16,139.880005,141.330002,139.070007,141.089996,731300,139.69627
2015-01-15,139.710007,140.330002,139.100006,139.970001,618300,138.587339
2015-01-14,137.429993,139.770004,136.389999,139.660004,1043900,138.280403
2015-01-13,138.779999,139.779999,137.179993,138.039993,611900,136.676396
2015-01-12,138.070007,138.690002,137.660004,138.339996,739100,136.973435
2015-01-09,137.380005,138.520004,136.360001,137.770004,664900,136.409074
2015-01-08,137.009995,137.880005,136.139999,137.080002,937400,135.725887
2015-01-07,135.440002,137.039993,134.330002,136.529999,999200,135.181318
2015-01-06,132.910004,135.240005,132.729996,135.020004,1636600,133.686239
2015-01-05,131.850006,132.679993,131.059998,132.449997,892500,131.141619
2015-01-02,129.339996,131.460007,129.289993,131.259995,612000,129.963372
2014-12-31,131.570007,132.369995,128.490005,128.690002,1107500,127.418767
2014-12-30,130.949997,131.929993,130.119995,131.020004,550400,129.725752
2014-12-29,131.25,131.550003,129.899994,130.75,700700,129.458415
2014-12-26,135.160004,136.029999,135.119995,135.289993,528300,128.854435
2014-12-24,136.559998,137.149994,134.919998,135.179993,360500,128.749667
2014-12-23,135.839996,136.539993,135.380005,136.279999,797600,129.797347
2014-12-22,134.039993,135.839996,133.710007,135.770004,741600,129.311613
2014-12-19,134.789993,134.839996,132.660004,133.710007,1392800,127.349606
2014-12-18,132.979996,134.119995,132.139999,134.100006,859600,127.721054
2014-12-17,129.229996,132.179993,128.820007,131.990005,781100,125.711423
2014-12-16,128.960007,130.729996,128.350006,128.820007,1003100,122.692217
2014-12-15,131.089996,131.259995,128.690002,128.929993,1231400,122.796971
2014-12-12,131.369995,132.240005,130.610001,130.649994,687000,124.435154
2014-12-11,133.509995,133.570007,131.570007,131.770004,1017700,125.501887
2014-12-10,132.740005,133.479996,132.160004,132.990005,810700,126.663855
2014-12-09,130.979996,133.690002,130.979996,133.160004,849200,126.825766
2014-12-08,131.630005,132.830002,131.350006,131.820007,884800,125.549512
2014-12-05,131.070007,131.449997,129.320007,131.389999,772500,125.139959
2014-12-04,131.25,131.789993,130.410004,131.520004,872400,125.263779
2014-12-03,131.25,131.429993,130.339996,131.080002,1191400,124.844707
2014-12-02,129.910004,131.720001,129.139999,131.490005,808100,125.235207
2014-12-01,129.479996,130.729996,129.179993,129.979996,951800,123.797027
2014-11-28,129.580002,131.149994,128.850006,129.639999,484400,123.473204
2014-11-26,128.729996,129.639999,128.479996,129.220001,823000,123.073184
2014-11-25,128.25,129.100006,127.809998,128.539993,949300,122.425523
2014-11-24,128.830002,128.979996,127.910004,128.369995,707000,122.263612
2014-11-21,127.739998,128.389999,127.269997,128.380005,1665300,122.273145
2014-11-20,127.080002,127.879997,126.449997,127.010002,846100,120.968312
2014-11-19,127.43,128.830002,127.07,127.910004,1046900,121.825501
2014-11-18,126.690002,127.900002,126.260002,127.769997,849200,121.692154
2014-11-17,126.580002,127.239998,126.239998,126.43,721800,120.4159
2014-11-14,127.639999,128.110001,126.040001,126.339996,624300,120.330177
2014-11-13,126.809998,127.940002,126.379997,127.839996,847400,121.758824
2014-11-12,128.289993,128.300003,126.470001,126.800003,776000,120.768302
2014-11-11,128.470001,128.520004,127.050003,127.639999,643300,121.568341
2014-11-10,127.669998,128.410004,127.400002,128.289993,722300,122.187415
2014-11-07,127.75,128.309998,126.760002,127.82,1416800,121.739779
2014-11-06,128.940002,129.389999,127.68,127.919998,1173700,121.83502
2014-11-05,129.190002,129.610001,128.009995,128.850006,804000,122.720789
2014-11-04,128.809998,129.330002,127.970001,129.029999,943900,122.89222
2014-11-03,127.07,128.690002,126.610001,128.690002,1484600,122.568397
2014-10-31,126.00,126.919998,125.43,126.75,1159000,120.720678
2014-10-30,124.139999,125.599998,123.879997,125.57,859600,119.596808
2014-10-29,124.629997,125.57,122.879997,124.739998,1320800,118.806288
2014-10-28,122.849998,123.120003,121.910004,123.120003,789500,117.263354
2014-10-27,122.00,123.019997,121.410004,122.900002,841900,117.053818
2014-10-24,121.919998,122.449997,121.330002,121.849998,755300,116.053762
2014-10-23,122.199997,122.690002,121.449997,121.900002,1057900,116.101387
2014-10-22,122.300003,122.800003,121.620003,121.769997,792200,115.977566
2014-10-21,121.290001,122.160004,120.440002,122.110001,829900,116.301396
2014-10-20,119.68,120.940002,119.370003,120.919998,594400,115.168001
2014-10-17,118.889999,119.800003,117.57,119.559998,1167500,113.872694
2014-10-16,118.510002,119.370003,117.459999,118.440002,1239100,112.805975
2014-10-15,120.260002,121.029999,118.110001,119.480003,1443100,113.796505
2014-10-14,119.669998,122.309998,119.300003,120.669998,947500,114.929893
2014-10-13,119.029999,120.790001,119.029999,119.300003,739500,113.625067
2014-10-10,119.139999,120.709999,119.040001,119.339996,818400,113.663157
2014-10-09,118.50,119.849998,118.080002,118.779999,1214000,113.129798
2014-10-08,115.589996,118.620003,115.300003,118.589996,1397400,112.948834
2014-10-07,115.900002,116.709999,115.059998,115.099998,916700,109.62485
2014-10-06,116.540001,117.169998,115.889999,116.349998,624300,110.81539
2014-10-03,116.330002,116.82,115.599998,116.440002,878200,110.901112
2014-10-02,115.760002,116.57,115.440002,115.989998,829500,110.472514
2014-10-01,115.440002,117.029999,115.309998,115.980003,988200,110.462995
2014-09-30,115.900002,116.309998,114.860001,115.760002,1036500,110.253459
2014-09-29,115.669998,115.889999,114.32,115.870003,1054600,110.358227
2014-09-26,112.839996,115.669998,112.75,115.25,984500,109.767717
2014-09-25,115.410004,115.529999,113.610001,113.660004,1379000,107.634272
2014-09-24,115.269997,117.029999,114.889999,115.110001,847800,109.007397
2014-09-23,116.18,116.620003,115.300003,115.459999,739000,109.33884
2014-09-22,116.800003,117.57,116.389999,116.480003,535600,110.304768
2014-09-19,117.989998,117.989998,116.989998,117.209999,984600,110.996063
2014-09-18,118.93,118.93,117.040001,117.360001,749300,111.138112
2014-09-17,117.260002,118.669998,117.089996,117.940002,1113500,111.687365
2014-09-16,114.989998,116.769997,114.440002,116.309998,781400,110.143775
2014-09-15,115.550003,116.050003,114.160004,114.860001,686300,108.77065
2014-09-12,119.00,119.010002,114.550003,115.300003,1078900,109.187326
2014-09-11,118.910004,119.589996,118.529999,119.279999,452800,112.956321
2014-09-10,120.980003,121.040001,118.900002,119.050003,602900,112.738518
2014-09-09,122.330002,122.82,121.110001,121.400002,357900,114.963931
2014-09-08,122.910004,123.330002,122.230003,122.660004,318500,116.157133
2014-09-05,120.779999,122.889999,120.779999,122.790001,571000,116.280239
2014-09-04,121.769997,122.370003,120.309998,120.669998,624100,114.272629
2014-09-03,121.730003,122.300003,121.230003,121.849998,520600,115.390071
2014-09-02,121.269997,121.889999,121.029999,121.230003,565300,114.802945
2014-08-29,121.269997,121.519997,120.669998,121.419998,814900,114.982867
2014-08-28,121.290001,121.669998,120.730003,121.07,437900,114.651424
2014-08-27,121.349998,122.220001,121.18,121.489998,449600,115.049156
2014-08-26,121.360001,121.959999,121.040001,121.139999,454200,114.717713
2014-08-25,122.720001,122.720001,120.830002,121.379997,422700,114.944987
2014-08-22,122.849998,123.339996,121.220001,121.980003,335000,115.513183
2014-08-21,123.410004,124.040001,122.709999,122.989998,470500,116.469633
2014-08-20,122.580002,123.800003,121.889999,123.410004,405600,116.867372
2014-08-19,122.550003,123.150002,121.790001,122.940002,381800,116.422288
2014-08-18,121.239998,122.50,120.889999,122.419998,533900,115.929852
2014-08-15,121.339996,121.660004,120.309998,120.540001,598400,114.149523
2014-08-14,121.769997,122.00,120.870003,120.93,450100,114.518847
2014-08-13,120.75,122.18,120.540001,121.480003,453900,115.039691
2014-08-12,120.510002,120.970001,120.099998,120.510002,360900,114.121115
2014-08-11,120.610001,121.379997,120.160004,120.650002,482500,114.253692
2014-08-08,119.800003,120.120003,118.459999,120.050003,515600,113.685503
2014-08-07,119.169998,119.800003,118.43,118.669998,456300,112.378659
2014-08-06,118.209999,119.230003,118.07,118.959999,637100,112.653286
2014-08-05,119.18,119.639999,117.760002,118.309998,710600,112.037744
2014-08-04,118.82,120.239998,118.080002,119.82,542600,113.467693
2014-08-01,119.519997,120.07,118.720001,118.779999,518900,112.482828
2014-07-31,120.709999,121.290001,119.379997,119.449997,715100,113.117306
2014-07-30,120.349998,121.910004,120.25,120.980003,700400,114.566199
2014-07-29,121.260002,121.349998,119.879997,120.510002,568700,114.121115
2014-07-28,120.470001,122.00,120.370003,121.449997,604500,115.011275
2014-07-25,120.800003,121.25,119.790001,120.080002,655200,113.713911
2014-07-24,121.540001,121.790001,120.720001,121.290001,601400,114.859762
