Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,84.199997,84.93,84.040001,84.800003,1449000,84.800003
2015-08-17,83.720001,84.449997,82.910004,84.339996,1817400,84.339996
2015-08-14,83.970001,84.470001,83.779999,84.269997,1955600,84.269997
2015-08-13,85.099998,85.239998,84.169998,84.199997,1562700,84.199997
2015-08-12,85.010002,85.199997,83.989998,85.050003,2202900,85.050003
2015-08-11,85.260002,86.07,85.010002,85.889999,1938400,85.889999
2015-08-10,85.660004,86.410004,85.620003,85.730003,1637200,85.730003
2015-08-07,85.00,85.129997,84.010002,85.080002,2125700,85.080002
2015-08-06,86.410004,86.589996,84.620003,84.779999,2038200,84.779999
2015-08-05,86.50,86.550003,85.669998,86.269997,1777200,86.269997
2015-08-04,86.160004,86.639999,85.550003,85.75,2371500,85.75
2015-08-03,84.559998,86.129997,84.559998,85.82,2601700,85.82
2015-07-31,83.32,85.199997,83.160004,84.980003,4512700,84.980003
2015-07-30,84.519997,86.470001,80.050003,83.339996,7631800,83.339996
2015-07-29,83.849998,84.43,83.419998,84.349998,3105800,84.349998
2015-07-28,82.389999,83.779999,82.089996,83.68,2184400,83.68
2015-07-27,82.989998,83.160004,82.129997,82.290001,2744100,82.290001
2015-07-24,84.029999,84.129997,83.040001,83.290001,2232800,83.290001
2015-07-23,86.910004,87.089996,84.040001,84.269997,3058900,84.269997
2015-07-22,86.089996,86.889999,86.080002,86.82,1756900,86.82
2015-07-21,86.559998,86.93,85.730003,86.190002,1516900,86.190002
2015-07-20,86.720001,87.040001,86.470001,86.580002,1177200,86.580002
2015-07-17,87.139999,87.370003,86.470001,86.760002,1916700,86.760002
2015-07-16,87.220001,87.239998,86.489998,87.019997,1485000,87.019997
2015-07-15,86.110001,86.980003,85.779999,86.599998,2223900,86.599998
2015-07-14,85.760002,86.57,85.360001,86.169998,3053300,86.169998
2015-07-13,86.129997,86.349998,85.440002,86.120003,1376200,86.120003
2015-07-10,85.029999,85.690002,84.860001,85.480003,1457300,85.480003
2015-07-09,84.650002,84.900002,83.82,84.160004,2459700,84.160004
2015-07-08,84.50,85.190002,83.290001,83.400002,2594800,83.400002
2015-07-07,84.760002,85.349998,83.800003,85.00,2312300,85.00
2015-07-06,83.690002,84.879997,83.629997,84.540001,2676800,84.540001
2015-07-02,85.25,85.459999,84.139999,84.50,1550300,84.50
2015-07-01,84.290001,85.129997,84.18,84.949997,3395000,84.949997
2015-06-30,84.629997,84.870003,83.57,83.650002,4071800,83.650002
2015-06-29,85.129997,85.610001,83.629997,83.739998,3790700,83.739998
2015-06-26,87.019997,87.019997,85.639999,86.029999,9080900,85.643
2015-06-25,87.440002,87.440002,85.849998,86.669998,3811100,86.28012
2015-06-24,89.230003,89.370003,87.010002,87.029999,3406800,86.638501
2015-06-23,90.260002,90.309998,89.150002,89.230003,2355400,88.828609
2015-06-22,90.559998,90.739998,89.779999,89.860001,2252900,89.455772
2015-06-19,89.839996,90.57,89.699997,89.870003,2513000,89.46573
2015-06-18,90.040001,90.660004,89.839996,89.849998,2603200,89.445815
2015-06-17,89.419998,90.290001,89.269997,89.989998,2236700,89.585185
2015-06-16,88.43,89.449997,88.150002,89.120003,2310200,88.719103
2015-06-15,88.529999,88.919998,88.080002,88.269997,2268200,87.872921
2015-06-12,89.209999,89.370003,88.68,88.879997,1654900,88.480178
2015-06-11,89.230003,90.110001,88.75,89.669998,2654300,89.266625
2015-06-10,88.110001,88.980003,87.699997,88.769997,1902900,88.370672
2015-06-09,88.599998,88.989998,87.510002,87.660004,2223300,87.265672
2015-06-08,88.269997,88.75,87.910004,87.989998,2639600,87.594182
2015-06-05,87.089996,88.169998,86.169998,88.040001,2805900,87.64396
2015-06-04,87.230003,88.089996,87.120003,87.610001,1458100,87.215894
2015-06-03,88.199997,88.419998,87.730003,88.019997,1114900,87.624046
2015-06-02,88.019997,88.489998,87.68,88.029999,1274500,87.634003
2015-06-01,88.330002,88.720001,87.620003,88.419998,1549400,88.022248
2015-05-29,88.160004,88.910004,87.809998,88.169998,2113800,87.773372
2015-05-28,88.68,89.629997,88.080002,88.110001,2031800,87.713645
2015-05-27,87.599998,88.769997,87.290001,88.690002,1340300,88.291037
2015-05-26,88.480003,88.809998,87.589996,87.589996,1756600,87.19598
2015-05-22,88.470001,88.839996,88.269997,88.50,1296200,88.10189
2015-05-21,87.959999,88.790001,87.870003,88.660004,1871800,88.261174
2015-05-20,87.370003,88.529999,86.959999,88.07,2699800,87.673824
2015-05-19,88.059998,88.980003,87.25,87.300003,3311100,86.907291
2015-05-18,87.57,88.43,87.370003,87.849998,2255000,87.454812
2015-05-15,87.949997,88.339996,87.18,87.550003,2295400,87.156166
2015-05-14,87.07,88.059998,86.809998,88.00,1653200,87.604139
2015-05-13,86.510002,87.190002,86.160004,86.480003,1996100,86.09098
2015-05-12,86.110001,86.440002,85.769997,86.160004,1826600,85.77242
2015-05-11,86.589996,86.889999,86.099998,86.360001,1754100,85.971517
2015-05-08,85.870003,86.949997,85.739998,86.650002,1657600,86.260213
