Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,52.939999,53.07,52.650002,52.799999,1880300,52.799999
2015-08-17,52.259998,53.07,52.209999,52.889999,2247100,52.889999
2015-08-14,52.23,52.52,51.990002,52.439999,2204900,52.439999
2015-08-13,51.459999,52.439999,51.310001,52.110001,3382400,52.110001
2015-08-12,51.779999,51.849998,50.91,51.16,3985500,51.16
2015-08-11,51.919998,52.330002,51.669998,52.189999,3557700,52.189999
2015-08-10,52.799999,53.009998,52.220001,52.419998,3812800,52.419998
2015-08-07,52.150002,52.23,51.560001,52.130001,3478800,52.130001
2015-08-06,52.959999,53.060001,51.84,52.09,4136200,52.09
2015-08-05,52.380001,53.080002,52.32,52.630001,3721000,52.630001
2015-08-04,52.439999,52.549999,51.68,51.869999,3396000,51.869999
2015-08-03,53.150002,53.18,51.880001,52.220001,4061100,52.220001
2015-07-31,53.599998,54.049999,53.150002,53.290001,5490300,53.290001
2015-07-30,51.560001,52.00,51.16,51.880001,2910800,51.880001
2015-07-29,51.830002,52.450001,51.779999,52.099998,3376900,52.099998
2015-07-28,50.830002,51.380001,50.68,51.34,2494800,51.34
2015-07-27,50.93,51.110001,50.529999,50.849998,2390000,50.849998
2015-07-24,51.68,51.810001,50.830002,51.119999,2637600,51.119999
2015-07-23,52.310001,52.419998,51.700001,51.810001,2276700,51.810001
2015-07-22,51.869999,52.400002,51.849998,52.369999,2266400,52.369999
2015-07-21,52.389999,52.470001,51.720001,51.959999,2465000,51.959999
2015-07-20,52.34,52.380001,52.029999,52.150002,2956100,52.150002
2015-07-17,52.150002,52.330002,52.009998,52.099998,2870200,52.099998
2015-07-16,52.330002,52.400002,51.93,52.209999,3576900,52.209999
2015-07-15,52.169998,52.259998,51.700001,51.84,3569300,51.84
2015-07-14,52.200001,52.400002,52.029999,52.200001,2715300,52.200001
2015-07-13,51.59,52.110001,51.560001,51.830002,4249000,51.830002
2015-07-10,50.509998,50.759998,50.150002,50.580002,4459200,50.580002
2015-07-09,49.950001,50.02,49.18,49.200001,2722600,49.200001
2015-07-08,49.599998,49.709999,48.919998,48.93,3990400,48.93
2015-07-07,49.330002,50.27,48.57,50.200001,3986500,50.200001
2015-07-06,49.450001,49.970001,49.009998,49.360001,3429000,49.360001
2015-07-02,49.880001,50.07,49.439999,49.860001,2884700,49.860001
2015-07-01,49.91,50.16,49.41,49.630001,3995600,49.630001
2015-06-30,49.540001,49.759998,49.02,49.389999,3234200,49.389999
2015-06-29,50.060001,50.220001,48.900002,48.950001,3188200,48.950001
2015-06-26,50.52,50.810001,50.419998,50.599998,4394600,50.599998
2015-06-25,50.560001,51.00,49.970001,50.040001,5083400,50.040001
2015-06-24,50.290001,50.939999,49.810001,49.84,5371600,49.84
2015-06-23,49.91,50.110001,49.060001,49.48,5867800,49.48
2015-06-22,50.419998,50.650002,49.52,49.919998,6143900,49.919998
2015-06-19,48.630001,49.119999,48.529999,48.919998,6296800,48.919998
2015-06-18,47.59,48.709999,47.470001,48.619999,4063500,48.619999
2015-06-17,47.209999,47.689999,46.990002,47.580002,2216100,47.580002
2015-06-16,47.119999,47.630001,46.880001,47.450001,2121700,47.450001
2015-06-15,46.91,47.290001,46.549999,47.23,2266300,47.23
2015-06-12,47.25,47.650002,47.200001,47.419998,1890900,47.419998
2015-06-11,47.169998,47.860001,47.02,47.830002,2812800,47.830002
2015-06-10,47.330002,47.630001,46.990002,47.00,4142500,47.00
2015-06-09,46.919998,47.240002,46.779999,47.200001,2071300,47.200001
2015-06-08,47.00,47.400002,46.91,47.02,1965600,47.02
2015-06-05,47.189999,47.52,46.93,47.25,2073200,47.25
2015-06-04,47.369999,47.790001,47.27,47.389999,3023900,47.389999
2015-06-03,47.490002,47.919998,47.389999,47.82,2743000,47.82
2015-06-02,46.720001,47.259998,46.66,47.029999,2134100,47.029999
2015-06-01,46.490002,46.889999,46.25,46.779999,2316200,46.779999
2015-05-29,46.970001,47.169998,46.310001,46.330002,3738400,46.330002
2015-05-28,47.389999,47.389999,46.93,47.150002,2114000,47.150002
2015-05-27,47.50,47.75,47.27,47.59,1962900,47.59
2015-05-26,47.27,47.34,46.84,46.950001,2772000,46.950001
2015-05-22,47.299999,47.650002,47.09,47.349998,2373700,47.349998
