Date,Open,High,Low,Close,Volume,Adj Close
2014-06-30,90.90,91.50,90.52,91.01,47700,91.01
2014-06-27,90.66,91.42,90.54,90.67,35600,90.67
2014-06-26,90.42,91.00,90.01,90.66,42400,90.66
2014-06-25,90.42,90.57,89.30,90.41,33500,90.41
2014-06-24,91.17,91.40,89.80,90.42,44600,90.42
2014-06-23,89.38,91.31,89.01,91.31,71500,91.31
2014-06-20,91.75,91.94,88.69,88.69,145200,88.69
2014-06-19,90.91,93.15,90.32,92.28,121400,92.28
2014-06-18,90.08,90.90,90.07,90.08,28100,90.08
2014-06-17,91.12,91.26,89.69,90.08,43400,90.08
2014-06-16,90.50,90.95,89.91,90.71,27400,90.71
2014-06-13,91.34,91.86,90.39,90.42,45400,90.42
2014-06-12,90.51,92.25,90.51,91.88,48900,91.88
2014-06-11,90.99,91.44,90.29,90.58,38300,90.58
2014-06-10,91.25,91.57,90.50,90.82,37900,90.82
2014-06-09,91.50,91.73,91.00,91.32,17300,91.32
2014-06-06,90.57,91.67,89.85,91.67,59400,91.67
2014-06-05,89.55,90.49,89.04,89.74,50200,89.74
2014-06-04,89.48,89.83,89.01,89.52,37900,89.52
2014-06-03,88.40,89.37,88.00,89.30,63700,89.30
2014-06-02,87.88,88.30,87.87,88.30,34900,88.30
2014-05-30,87.99,88.43,87.64,87.72,48700,87.72
2014-05-29,87.51,87.80,87.15,87.68,12000,87.68
2014-05-28,87.00,87.57,86.70,87.28,35100,87.28
2014-05-27,86.35,87.03,86.11,87.00,44700,87.00
2014-05-26,87.00,87.00,85.90,86.35,29900,86.35
2014-05-23,86.99,87.00,86.31,86.42,39000,86.42
2014-05-22,87.00,87.06,86.21,86.44,31500,86.44
2014-05-21,86.99,87.11,86.20,86.78,28200,86.78
2014-05-20,87.30,87.49,86.50,86.50,44400,86.50
2014-05-19,85.87,87.49,85.02,87.22,80100,87.22
2014-05-16,90.70,90.90,90.00,90.90,60800,90.90
