Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,47.389999,47.75,46.43,47.43,2498100,47.43
2015-08-17,47.099998,47.689999,46.439999,47.290001,1732200,47.290001
2015-08-14,47.009998,47.50,46.52,47.450001,1182700,47.450001
2015-08-13,46.720001,47.110001,46.43,46.91,1332900,46.91
2015-08-12,47.240002,47.25,45.919998,46.57,3218300,46.57
2015-08-11,47.860001,48.00,47.360001,47.630001,3304600,47.630001
2015-08-10,47.529999,48.599998,47.43,48.560001,2335200,48.560001
2015-08-07,47.330002,47.68,46.700001,47.189999,1577900,47.189999
2015-08-06,47.709999,48.02,47.07,47.27,1820800,47.27
2015-08-05,47.59,48.279999,47.369999,47.549999,1413000,47.549999
2015-08-04,47.119999,47.68,46.880001,47.369999,1374300,47.369999
2015-08-03,47.52,47.599998,46.580002,46.990002,2030500,46.990002
2015-07-31,47.700001,47.939999,47.34,47.43,1656800,47.43
2015-07-30,47.490002,47.919998,47.380001,47.84,1175500,47.84
2015-07-29,46.950001,47.830002,46.790001,47.689999,1663800,47.689999
2015-07-28,47.040001,47.200001,46.369999,47.00,1518900,47.00
2015-07-27,47.169998,47.389999,46.52,46.630001,2488300,46.630001
2015-07-24,48.459999,48.66,47.639999,47.860001,1635900,47.860001
2015-07-23,49.23,49.669998,48.50,48.599998,1865500,48.599998
2015-07-22,48.450001,49.630001,48.299999,49.290001,2561000,49.290001
2015-07-21,48.130001,48.810001,48.09,48.450001,4119500,48.450001
2015-07-20,47.18,48.130001,47.080002,48.119999,3734600,48.119999
2015-07-17,48.549999,49.07,47.00,47.279999,7601700,47.279999
2015-07-16,50.50,50.759998,50.18,50.470001,2255700,50.470001
2015-07-15,49.380001,50.450001,49.34,50.099998,2197100,50.099998
2015-07-14,49.060001,49.689999,48.799999,49.650002,2933100,49.650002
2015-07-13,49.959999,50.389999,49.610001,49.830002,1911200,49.830002
2015-07-10,49.73,50.25,49.00,49.580002,2354000,49.580002
2015-07-09,48.529999,49.189999,48.389999,48.990002,2803900,48.990002
2015-07-08,48.700001,48.970001,47.639999,47.73,5321600,47.73
2015-07-07,50.939999,51.200001,48.77,49.310001,5399400,49.310001
2015-07-06,50.830002,51.139999,50.509998,51.040001,1462500,51.040001
2015-07-02,51.790001,52.00,51.060001,51.50,1682400,51.50
2015-07-01,52.450001,52.93,51.700001,51.98,1643900,51.98
2015-06-30,51.790001,52.279999,51.09,51.32,2289900,51.32
2015-06-29,51.849998,52.330002,51.150002,51.18,1513700,51.18
2015-06-26,52.849998,53.16,52.459999,52.630001,1236000,52.630001
2015-06-25,52.759998,53.110001,52.32,52.41,976000,52.41
2015-06-24,52.869999,53.450001,52.360001,52.650002,1503700,52.650002
2015-06-23,52.41,52.950001,52.080002,52.529999,1346200,52.529999
2015-06-22,51.150002,51.990002,50.990002,51.959999,1643200,51.959999
2015-06-19,51.43,51.650002,50.869999,50.970001,2628800,50.970001
2015-06-18,51.950001,52.130001,51.349998,51.48,2799000,51.48
2015-06-17,52.50,52.73,51.540001,51.73,1387100,51.73
2015-06-16,51.900002,52.50,51.82,52.349998,902500,52.349998
2015-06-15,51.470001,52.259998,51.240002,52.080002,1068400,52.080002
2015-06-12,51.68,52.119999,51.599998,52.099998,1954600,52.099998
2015-06-11,52.00,52.27,51.720001,51.82,1623100,51.82
2015-06-10,51.849998,52.849998,51.82,52.240002,2229700,52.030001
2015-06-09,51.18,51.889999,50.860001,51.48,2132400,51.273054
2015-06-08,50.790001,51.459999,50.630001,51.080002,1518100,50.874665
2015-06-05,50.470001,51.169998,50.459999,50.919998,1964200,50.715304
2015-06-04,49.790001,50.34,49.68,50.009998,1702900,49.808962
2015-06-03,49.509998,50.549999,49.470001,50.220001,2349300,50.018121
2015-06-02,48.23,49.25,48.189999,49.200001,1400800,49.002221
2015-06-01,49.060001,49.23,48.25,48.400002,1346800,48.205438
2015-05-29,49.50,49.540001,48.82,48.950001,1653700,48.753226
2015-05-28,49.349998,49.57,49.130001,49.50,1707400,49.301014
2015-05-27,49.07,49.419998,48.75,49.330002,1340000,49.131699
2015-05-26,48.66,48.950001,48.48,48.91,1797300,48.713386
2015-05-22,48.700001,49.02,48.580002,48.669998,811500,48.474349
2015-05-21,48.580002,48.990002,48.52,48.669998,1087300,48.474349
2015-05-20,48.939999,49.509998,48.709999,48.77,1448000,48.573949
2015-05-19,49.209999,50.150002,48.689999,49.59,2629300,49.390653
2015-05-18,48.259998,49.259998,48.119999,48.959999,1350500,48.763184
2015-05-15,48.860001,48.919998,47.889999,48.16,1183600,47.966401
2015-05-14,49.279999,49.299999,48.689999,48.860001,1216500,48.663588
2015-05-13,48.66,49.23,48.52,49.009998,1090200,48.812982
2015-05-12,48.360001,48.959999,48.040001,48.849998,1256500,48.653626
2015-05-11,48.029999,48.799999,47.82,48.470001,1640500,48.275156
2015-05-08,48.110001,48.23,47.73,48.110001,1250800,47.916602
2015-05-07,48.09,48.150002,47.630001,47.880001,1478600,47.687527
2015-05-06,48.169998,48.299999,47.66,48.080002,1364800,47.886724
2015-05-05,48.27,48.759998,47.950001,47.950001,1726600,47.757246
2015-05-04,47.470001,48.32,47.470001,48.259998,1155500,48.065997
2015-05-01,47.639999,47.939999,47.110001,47.34,924700,47.149697
2015-04-30,47.290001,47.73,46.869999,47.41,1610400,47.219416
2015-04-29,46.439999,47.490002,46.110001,47.400002,3102100,47.209457
2015-04-28,45.490002,46.540001,45.279999,46.470001,1376400,46.283196
2015-04-27,45.970001,46.139999,45.48,45.52,975200,45.337014
2015-04-24,46.139999,46.209999,45.540001,45.68,701000,45.496371
2015-04-23,45.84,46.310001,45.700001,46.169998,1116400,45.984399
2015-04-22,45.540001,46.48,45.18,46.049999,1241100,45.864882
2015-04-21,45.950001,46.07,45.290001,45.43,1488000,45.247376
2015-04-20,46.25,46.369999,45.400002,45.73,1789000,45.546169
2015-04-17,45.830002,47.470001,45.599998,46.00,2710200,45.815084
2015-04-16,46.099998,46.490002,45.560001,46.200001,1594200,46.014281
2015-04-15,45.470001,46.549999,45.41,46.200001,1200300,46.014281
2015-04-14,45.619999,45.860001,45.130001,45.50,1004800,45.317094
2015-04-13,45.459999,46.00,45.459999,45.98,934200,45.795164
2015-04-10,45.98,46.009998,45.549999,45.599998,772900,45.41669
2015-04-09,45.610001,46.060001,45.400002,46.02,951900,45.835004
2015-04-08,45.790001,46.279999,45.48,45.66,1204100,45.47645
2015-04-07,45.66,46.130001,45.459999,45.799999,1314800,45.615887
2015-04-06,45.009998,45.73,44.380001,45.549999,1445300,45.366892
2015-04-02,45.049999,45.689999,44.720001,45.630001,1029400,45.446572
2015-04-01,45.080002,45.209999,44.509998,45.110001,1246900,44.928662
2015-03-31,45.16,45.349998,44.900002,45.130001,1674000,44.948582
2015-03-30,45.02,45.860001,45.009998,45.41,1343300,45.227455
2015-03-27,44.950001,45.049999,44.400002,44.73,971100,44.550189
2015-03-26,44.799999,45.200001,44.360001,45.049999,1182000,44.868902
2015-03-25,45.799999,45.93,44.77,44.810001,1178200,44.629869
2015-03-24,46.189999,46.25,45.799999,45.810001,943100,45.625849
2015-03-23,46.560001,46.830002,46.169998,46.290001,1079400,46.103919
2015-03-20,45.91,46.689999,45.799999,46.630001,1840600,46.442552
2015-03-19,46.130001,46.310001,45.200001,45.549999,1771100,45.366892
2015-03-18,46.57,47.16,45.939999,46.41,2158100,46.223436
2015-03-17,45.93,46.84,45.759998,46.830002,2300500,46.641749
2015-03-16,46.450001,46.459999,45.720001,46.110001,1333500,45.924642
2015-03-13,46.77,46.77,45.639999,45.990002,1468900,45.805126
2015-03-12,46.18,47.080002,46.18,46.880001,2130800,46.691547
2015-03-11,45.509998,45.700001,45.369999,45.630001,845500,45.446572
2015-03-10,46.32,46.349998,45.540001,45.540001,1056000,45.157738
2015-03-09,46.959999,47.189999,46.759998,46.98,1137900,46.585649
2015-03-06,46.110001,47.939999,45.990002,47.099998,2359800,46.704641
2015-03-05,45.650002,46.040001,45.32,45.98,1076300,45.594043
2015-03-04,45.419998,45.82,45.220001,45.68,2100600,45.296562
2015-03-03,45.810001,46.27,45.509998,45.700001,1248200,45.316395
2015-03-02,45.900002,46.220001,45.549999,46.139999,1039900,45.7527
2015-02-27,45.84,46.080002,45.639999,45.779999,1069500,45.395721
2015-02-26,45.990002,46.18,45.630001,45.959999,785600,45.574211
2015-02-25,46.040001,46.259998,45.810001,46.07,909000,45.683288
2015-02-24,45.68,46.110001,45.509998,45.990002,1232800,45.603961
2015-02-23,45.59,45.75,45.369999,45.650002,1380200,45.266815
2015-02-20,45.209999,45.860001,44.700001,45.830002,1545600,45.445305
2015-02-19,45.169998,45.560001,44.470001,45.439999,1931100,45.058575
2015-02-18,46.43,46.560001,45.419998,45.57,2101200,45.187485
2015-02-17,46.25,46.630001,45.91,46.630001,2080600,46.238589
2015-02-13,46.59,47.00,46.23,46.419998,1701200,46.030349
2015-02-12,45.529999,46.599998,45.450001,46.52,1759200,46.129511
2015-02-11,45.259998,45.389999,44.790001,45.25,1413300,44.870171
2015-02-10,45.540001,45.619999,44.82,45.41,1223200,45.028828
2015-02-09,45.650002,45.73,44.970001,45.150002,2185400,44.771012
2015-02-06,45.02,46.560001,45.02,46.139999,2614700,45.7527
2015-02-05,43.98,44.82,43.939999,44.73,2277600,44.354536
2015-02-04,43.73,44.029999,43.450001,43.529999,1924100,43.164608
2015-02-03,43.110001,44.060001,43.060001,43.93,2847300,43.561252
2015-02-02,41.919998,43.099998,41.650002,42.950001,2454700,42.589478
2015-01-30,41.540001,42.25,41.259998,41.50,2689100,41.151649
2015-01-29,41.310001,42.299999,41.080002,42.240002,2454800,41.885439
2015-01-28,42.349998,42.560001,41.110001,41.139999,2712400,40.79467
2015-01-27,41.759998,42.490002,41.380001,42.32,2501500,41.964765
2015-01-26,41.810001,42.540001,41.630001,42.48,1507100,42.123422
