Date,Open,High,Low,Close,Volume,Adj Close
2014-06-30,37.29,37.50,36.86,37.10,461300,37.10
2014-06-27,37.80,37.83,36.89,37.26,250200,37.26
2014-06-26,38.00,38.17,37.65,37.72,222100,37.72
2014-06-25,39.00,39.02,37.70,37.97,263300,37.97
2014-06-24,39.39,39.39,38.44,38.93,263300,38.93
2014-06-23,40.04,40.22,39.85,40.22,126400,40.22
2014-06-20,40.22,40.22,39.94,40.08,162000,40.08
2014-06-19,40.15,40.40,39.90,40.01,109900,40.01
2014-06-18,39.92,40.08,39.91,40.00,101700,40.00
2014-06-17,39.95,40.03,39.75,39.92,179400,39.92
2014-06-16,40.00,40.15,39.74,39.97,126300,39.97
2014-06-13,40.49,40.67,40.06,40.17,111200,40.17
2014-06-12,40.85,41.17,40.40,40.61,175100,40.61
2014-06-11,41.33,41.52,40.88,40.97,128700,40.97
2014-06-10,41.02,41.40,40.81,41.38,64800,41.38
2014-06-09,40.55,41.23,40.50,41.14,83400,41.14
2014-06-06,40.91,40.91,40.40,40.56,71700,40.56
2014-06-05,40.78,40.88,40.38,40.84,99900,40.84
2014-06-04,40.92,40.92,40.42,40.78,131500,40.78
2014-06-03,41.10,41.27,40.64,40.73,94100,40.73
2014-06-02,41.00,41.00,40.54,40.99,161000,40.99
2014-05-30,42.28,42.28,41.00,41.10,276000,41.10
2014-05-29,41.88,42.47,41.88,42.42,74400,42.42
2014-05-28,41.96,42.06,41.52,41.91,119300,41.91
2014-05-27,42.26,42.49,41.96,41.96,113300,41.96
2014-05-26,42.27,42.38,42.10,42.27,50800,42.27
2014-05-23,42.26,42.40,41.90,42.27,80000,42.27
2014-05-22,42.24,42.41,42.12,42.31,89200,42.31
2014-05-21,42.08,42.44,42.04,42.20,115000,42.20
2014-05-20,42.13,42.38,41.96,42.18,135200,42.18
2014-05-19,41.50,42.40,41.50,42.37,147700,42.37
2014-05-16,41.49,41.69,41.32,41.68,125000,41.68
2014-05-15,41.56,41.79,41.29,41.63,177100,41.63
2014-05-14,41.38,41.58,41.15,41.58,113400,41.58
2014-05-13,41.53,41.75,41.06,41.23,110900,41.23
2014-05-12,41.38,41.87,41.30,41.44,122000,41.44
2014-05-09,41.37,41.49,40.97,41.38,111800,41.38
2014-05-08,40.75,41.38,40.75,41.38,131700,41.38
2014-05-07,40.72,40.99,40.47,40.69,142100,40.69
2014-05-06,40.81,40.90,40.50,40.76,83500,40.76
2014-05-05,40.44,40.90,40.30,40.73,102800,40.73
2014-05-02,40.85,40.93,40.34,40.67,125900,40.67
2014-05-01,40.74,40.74,40.74,40.74,000,40.74
2014-04-30,40.55,40.89,40.29,40.74,137000,40.74
2014-04-29,40.17,40.60,40.08,40.60,105900,40.60
2014-04-28,40.00,40.40,39.76,40.27,102300,40.27
2014-04-25,39.95,40.19,39.67,39.85,86500,39.85
2014-04-24,40.00,40.15,39.85,40.08,116700,40.08
2014-04-23,40.25,40.28,39.90,40.00,115800,40.00
2014-04-22,39.97,40.35,39.90,40.25,107900,40.25
2014-04-21,39.90,39.90,39.90,39.90,000,39.90
2014-04-18,39.90,39.90,39.90,39.90,000,39.90
2014-04-17,39.88,39.97,39.67,39.90,52600,39.90
2014-04-16,39.90,40.10,39.56,39.97,101500,39.97
2014-04-15,39.67,39.83,39.44,39.63,120100,39.63
2014-04-14,39.50,40.10,38.38,39.53,157700,39.53
2014-04-11,39.50,39.63,39.26,39.60,127600,39.60
2014-04-10,39.67,40.10,39.40,39.65,114800,39.65
2014-04-09,39.69,39.90,39.51,39.60,91900,39.60
2014-04-08,39.94,40.00,39.44,39.66,149700,39.66
2014-04-07,39.88,40.05,39.77,40.00,119200,40.00
2014-04-04,39.94,40.12,39.92,40.03,103500,40.03
2014-04-03,40.40,41.22,39.99,40.00,249500,40.00
2014-04-02,39.19,40.47,38.83,40.26,241800,40.26
2014-04-01,39.85,40.00,38.53,39.00,259100,39.00
2014-03-31,40.01,40.09,39.90,40.00,252300,40.00
