Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,27.65,27.799999,27.26,27.290001,1475500,27.290001
2015-08-17,27.610001,27.82,27.51,27.700001,693100,27.700001
2015-08-14,27.700001,28.27,27.57,27.59,1780800,27.59
2015-08-13,27.959999,27.98,27.549999,27.690001,3685800,27.690001
2015-08-12,27.780001,28.129999,27.51,28.00,5667800,28.00
2015-08-11,27.24,28.129999,26.879999,27.82,2256600,27.82
2015-08-10,27.610001,28.809999,27.52,28.01,2025800,28.01
2015-08-07,26.98,27.57,26.77,27.50,1416800,27.50
2015-08-06,27.209999,27.41,25.82,27.34,3865400,27.34
2015-08-05,29.18,29.18,26.09,27.40,3498300,27.40
2015-08-04,28.280001,28.68,28.049999,28.190001,2533300,28.190001
2015-08-03,28.01,29.950001,27.700001,28.469999,2560100,28.469999
2015-07-31,29.60,29.940001,29.15,29.18,1802000,29.18
2015-07-30,29.42,29.799999,29.290001,29.60,768500,29.60
2015-07-29,29.190001,29.84,28.450001,29.59,2309500,29.59
2015-07-28,28.85,29.50,28.76,29.49,1137800,29.365
2015-07-27,28.60,28.940001,28.32,28.879999,1107700,28.757585
2015-07-24,28.690001,29.379999,28.66,28.76,1326900,28.638095
2015-07-23,28.74,29.23,28.67,28.860001,2724800,28.737671
2015-07-22,29.25,29.73,28.83,28.870001,1951300,28.747629
2015-07-21,29.17,29.620001,28.709999,29.530001,2340300,29.404831
2015-07-20,28.889999,29.540001,28.790001,29.219999,2170900,29.096144
2015-07-17,29.370001,29.59,28.85,29.23,3626900,29.106102
2015-07-16,29.370001,29.66,29.120001,29.190001,4699100,29.066272
2015-07-15,29.52,29.809999,29.24,29.440001,3467600,29.315212
2015-07-14,29.290001,29.93,29.110001,29.629999,3070200,29.504406
2015-07-13,29.40,30.030001,29.40,29.709999,1897000,29.584067
2015-07-10,29.440001,30.09,29.389999,29.799999,1757300,29.673685
2015-07-09,30.26,30.870001,28.940001,29.370001,3338700,29.245509
2015-07-08,30.00,30.82,29.860001,30.24,1571300,30.111821
2015-07-07,30.85,31.190001,29.93,30.76,2238400,30.629617
2015-07-06,29.559999,31.18,29.25,30.440001,4748600,30.310974
2015-07-02,27.93,30.98,27.26,30.34,8031600,30.211397
2015-07-01,29.40,29.40,27.59,27.59,9620000,27.473054
2015-06-30,28.67,29.16,28.65,28.799999,787900,28.677924
2015-06-29,29.50,30.16,28.98,28.98,298900,28.857161
2015-06-26,30.120001,30.120001,29.110001,29.459999,1629100,29.335126
2015-06-25,30.00,30.07,29.65,30.00,532700,29.872838
2015-06-24,31.00,31.00,29.75,29.940001,607500,29.813093
2015-06-23,31.50,31.549999,30.40,30.40,587400,30.271142
2015-06-22,31.10,31.92,31.10,31.50,107900,31.36648
2015-06-19,31.23,31.360001,30.93,31.030001,221100,30.898473
2015-06-18,31.530001,31.879999,31.26,31.530001,231000,31.396354
2015-06-17,31.50,33.00,31.24,31.549999,1048800,31.416267
