Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,28.309999,28.610001,28.049999,28.120001,4738300,28.120001
2015-08-17,28.10,28.58,27.959999,28.42,3292400,28.42
2015-08-14,27.99,28.379999,27.99,28.27,3816300,28.27
2015-08-13,28.549999,28.620001,27.75,27.969999,5830300,27.969999
2015-08-12,27.99,28.549999,27.639999,28.530001,5304400,28.530001
2015-08-11,28.620001,28.92,28.10,28.24,4542200,28.24
2015-08-10,27.82,28.799999,27.719999,28.76,5860100,28.76
2015-08-07,27.90,28.07,27.33,27.65,7662600,27.65
2015-08-06,27.52,28.059999,26.48,27.93,13508100,27.93
2015-08-05,28.66,28.91,28.40,28.559999,5628600,28.559999
2015-08-04,28.879999,28.889999,28.370001,28.43,5080500,28.43
2015-08-03,28.74,29.030001,28.40,28.90,6371700,28.90
2015-07-31,28.42,29.059999,28.379999,28.60,6916100,28.60
2015-07-30,28.120001,28.219999,27.870001,28.16,5547200,28.16
2015-07-29,28.120001,28.18,27.780001,28.16,6461500,28.16
2015-07-28,28.33,28.469999,27.98,28.219999,4313900,28.219999
2015-07-27,27.959999,28.299999,27.50,28.120001,5819600,28.120001
2015-07-24,29.049999,29.049999,28.01,28.030001,6514000,28.030001
2015-07-23,29.209999,29.35,28.90,28.959999,5856100,28.959999
2015-07-22,29.700001,29.799999,29.110001,29.190001,4706700,29.190001
2015-07-21,30.370001,30.389999,29.67,29.719999,4626700,29.719999
2015-07-20,30.940001,31.00,30.459999,30.50,5473400,30.50
2015-07-17,30.50,31.129999,30.49,30.940001,9012400,30.940001
2015-07-16,29.799999,30.530001,29.75,30.49,5768900,30.49
2015-07-15,29.85,29.969999,29.43,29.67,5572800,29.67
2015-07-14,29.93,30.09,29.75,29.98,4625700,29.98
2015-07-13,29.860001,30.030001,29.610001,30.00,3926900,30.00
2015-07-10,29.82,30.040001,29.620001,29.76,3685700,29.76
2015-07-09,29.73,29.84,29.35,29.49,4324900,29.49
2015-07-08,29.68,29.85,29.389999,29.49,6600800,29.49
2015-07-07,29.530001,29.940001,29.24,29.879999,4530100,29.879999
2015-07-06,29.43,29.620001,29.209999,29.450001,4921700,29.450001
2015-07-02,29.58,29.690001,29.48,29.610001,3651400,29.610001
2015-07-01,29.49,29.620001,29.379999,29.57,4758600,29.57
2015-06-30,29.799999,29.860001,29.370001,29.379999,5394700,29.379999
2015-06-29,30.09,30.33,29.50,29.530001,6751800,29.530001
2015-06-26,29.950001,30.24,29.280001,29.99,14154800,29.99
