Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,25.93,25.93,25.299999,25.459999,1773100,25.459999
2015-08-17,25.24,25.98,24.99,25.959999,1637600,25.959999
2015-08-14,25.469999,25.610001,25.15,25.530001,1851300,25.530001
2015-08-13,25.370001,25.82,25.10,25.48,1661700,25.48
2015-08-12,25.15,25.75,24.870001,25.620001,2691600,25.620001
2015-08-11,26.10,26.34,25.309999,25.440001,2903500,25.440001
2015-08-10,26.10,26.950001,26.10,26.440001,3065300,26.440001
2015-08-07,26.49,26.66,24.469999,25.82,7388300,25.82
2015-08-06,27.799999,27.959999,26.059999,26.530001,6623500,26.530001
2015-08-05,28.08,28.219999,27.209999,27.60,3532200,27.60
2015-08-04,28.139999,28.610001,27.83,27.940001,2467000,27.940001
2015-08-03,28.299999,28.33,27.91,28.200001,2062300,28.200001
2015-07-31,27.99,28.50,27.75,28.219999,3432600,28.219999
2015-07-30,26.77,28.950001,26.549999,28.049999,6480500,28.049999
2015-07-29,26.57,26.870001,26.25,26.82,2804300,26.82
2015-07-28,26.08,26.610001,25.870001,26.59,1954300,26.59
2015-07-27,25.99,26.139999,25.709999,25.90,2767600,25.90
2015-07-24,26.32,26.59,26.139999,26.200001,2035900,26.200001
2015-07-23,26.780001,26.780001,26.110001,26.110001,1825200,26.110001
2015-07-22,26.709999,26.90,26.23,26.73,3343200,26.73
2015-07-21,26.65,27.10,26.559999,26.73,2510800,26.73
2015-07-20,27.049999,27.190001,26.42,26.559999,2960600,26.559999
2015-07-17,27.030001,27.379999,26.719999,27.15,2962900,27.15
2015-07-16,27.790001,27.790001,26.549999,27.299999,5858500,27.299999
2015-07-15,26.799999,27.52,26.719999,27.49,3811500,27.49
2015-07-14,26.76,26.969999,26.469999,26.799999,4198100,26.799999
2015-07-13,26.74,27.030001,26.540001,26.82,3133500,26.82
2015-07-10,26.719999,27.09,26.50,26.67,6281300,26.67
2015-07-09,24.950001,25.10,24.690001,24.85,3289500,24.85
2015-07-08,24.559999,25.129999,24.379999,24.450001,2833500,24.450001
2015-07-07,24.73,24.870001,24.02,24.85,3670600,24.85
2015-07-06,24.75,25.030001,24.540001,24.610001,4095800,24.610001
2015-07-02,24.98,25.26,24.530001,25.02,4024000,25.02
