Date,Open,High,Low,Close,Volume,Adj Close
2015-09-18,79.489998,80.269997,79.220001,79.540001,7534500,79.540001
2015-09-17,80.940002,81.410004,80.089996,80.43,3809100,80.43
2015-09-16,81.440002,81.889999,81.129997,81.349998,2968500,81.349998
2015-09-15,79.190002,81.769997,79.190002,81.410004,3455100,81.410004
2015-09-14,79.25,79.760002,78.790001,79.68,3125700,79.68
2015-09-11,80.010002,80.25,78.900002,79.25,3838200,79.25
2015-09-10,79.550003,80.589996,79.029999,80.07,2911500,80.07
2015-09-09,80.989998,81.660004,79.400002,79.57,2883100,79.57
2015-09-08,80.419998,80.449997,79.300003,80.099998,3058000,80.099998
2015-09-04,79.809998,80.160004,79.010002,79.220001,3130600,79.220001
2015-09-03,80.720001,81.949997,80.139999,80.989998,3004600,80.989998
2015-09-02,80.980003,81.18,79.629997,80.779999,2846600,80.779999
2015-09-01,80.269997,81.110001,79.669998,80.00,4779500,80.00
2015-08-31,82.300003,82.529999,81.620003,81.779999,2664000,81.779999
2015-08-28,81.800003,82.68,81.790001,82.470001,2644400,82.470001
2015-08-27,82.010002,82.470001,80.870003,82.389999,3610500,82.389999
2015-08-26,81.010002,81.400002,79.839996,81.230003,5208500,81.230003
2015-08-25,83.010002,83.010002,79.019997,79.089996,6264600,79.089996
2015-08-24,78.239998,80.769997,76.760002,80.769997,7966600,80.769997
2015-08-21,85.910004,86.389999,81.889999,83.290001,15142400,83.290001
2015-08-20,91.309998,92.449997,90.370003,90.650002,4472400,90.650002
2015-08-19,93.230003,93.279999,91.220001,91.980003,4091500,91.980003
2015-08-18,93.870003,94.349998,93.360001,93.910004,1786300,93.910004
2015-08-17,93.860001,94.260002,93.07,94.18,1598800,94.18
2015-08-14,92.879997,94.489998,92.879997,94.339996,2223200,94.339996
2015-08-13,93.550003,93.919998,91.559998,93.099998,2133500,93.099998
2015-08-12,95.870003,95.959999,91.709999,93.639999,4867800,93.639999
2015-08-11,96.440002,96.800003,95.629997,96.239998,1972900,96.239998
2015-08-10,96.25,97.489998,95.900002,97.139999,2152200,97.139999
2015-08-07,95.440002,95.989998,95.290001,95.849998,1756200,95.849998
2015-08-06,95.160004,95.980003,94.839996,95.599998,1561100,95.599998
2015-08-05,93.699997,95.849998,93.699997,95.519997,2437900,95.519997
2015-08-04,93.589996,93.669998,92.709999,93.110001,1673800,93.110001
2015-08-03,94.50,94.50,92.860001,93.419998,2612000,93.419998
2015-07-31,93.849998,94.639999,93.650002,94.57,1897200,94.57
2015-07-30,93.279999,93.980003,92.919998,93.510002,1470500,93.510002
2015-07-29,92.25,93.769997,91.82,93.629997,2423600,93.629997
2015-07-28,91.980003,92.699997,91.790001,92.470001,3433000,92.470001
2015-07-27,91.82,92.50,90.639999,91.25,2771000,91.25
2015-07-24,93.410004,93.410004,92.300003,92.419998,2237700,92.419998
2015-07-23,94.220001,94.769997,92.410004,93.260002,3390700,93.260002
2015-07-22,95.480003,95.540001,94.629997,94.82,1961400,94.82
2015-07-21,96.190002,96.489998,95.389999,95.510002,2021300,95.510002
2015-07-20,96.870003,97.230003,96.199997,96.220001,1993400,96.220001
2015-07-17,97.050003,97.089996,96.50,96.970001,1807500,96.970001
2015-07-16,96.970001,97.559998,96.809998,97.330002,2989200,97.330002
2015-07-15,96.209999,96.82,95.900002,96.519997,2085500,96.519997
2015-07-14,96.129997,96.660004,95.519997,96.400002,2272700,96.400002
2015-07-13,95.650002,96.459999,95.169998,96.269997,2327700,96.269997
2015-07-10,95.400002,95.949997,94.769997,95.169998,2963300,95.169998
2015-07-09,96.019997,96.610001,94.510002,94.540001,2608500,94.540001
2015-07-08,95.900002,96.110001,94.43,94.959999,2795800,94.959999
2015-07-07,95.57,96.410004,94.620003,96.279999,2867400,96.279999
2015-07-06,95.790001,96.459999,95.25,95.57,2404000,95.57
2015-07-02,96.160004,97.010002,95.699997,96.349998,2894000,96.349998
2015-07-01,97.529999,97.699997,95.510002,96.190002,3733000,96.190002
2015-06-30,95.629997,98.230003,95.220001,97.050003,6559600,97.050003
2015-06-29,95.57,96.639999,94.910004,94.959999,3862600,94.959999
2015-06-26,94.00,96.889999,93.550003,96.440002,7168000,96.440002
2015-06-25,94.190002,94.389999,93.080002,94.00,3679700,93.399998
2015-06-24,93.519997,94.290001,93.449997,94.00,2227800,93.399998
2015-06-23,93.389999,93.989998,93.18,93.68,1719200,93.082041
2015-06-22,93.230003,94.150002,93.089996,93.550003,2088500,92.952873
2015-06-19,92.419998,92.949997,92.260002,92.559998,3666400,91.969187
2015-06-18,91.650002,92.779999,91.459999,92.599998,1754000,92.008933
2015-06-17,92.190002,92.620003,91.779999,92.25,2089300,91.661168
