Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,55.57,55.950001,55.450001,55.619999,5888400,55.619999
2015-08-17,55.700001,55.799999,55.23,55.540001,2641900,55.540001
2015-08-14,55.09,56.209999,54.869999,55.970001,3791800,55.970001
2015-08-13,55.380001,55.560001,54.689999,55.09,3289700,55.09
2015-08-12,54.939999,55.509998,54.240002,55.50,3722500,55.50
2015-08-11,55.41,55.709999,55.139999,55.52,3292400,55.52
2015-08-10,55.150002,55.990002,55.009998,55.880001,3906400,55.880001
2015-08-07,53.720001,54.919998,53.200001,54.77,6181500,54.77
2015-08-06,54.52,54.580002,53.549999,53.59,4627300,53.59
2015-08-05,55.310001,55.450001,54.310001,54.470001,2513300,54.470001
2015-08-04,54.950001,55.23,54.740002,54.849998,2743100,54.849998
2015-08-03,55.779999,55.810001,54.91,55.150002,3490900,54.870001
2015-07-31,56.259998,56.34,55.75,55.810001,2954800,55.52665
2015-07-30,55.369999,56.380001,55.310001,56.279999,3176600,55.994262
2015-07-29,55.240002,55.490002,55.009998,55.400002,6006500,55.118732
2015-07-28,55.490002,55.52,55.00,55.110001,4470400,54.830204
2015-07-27,55.349998,55.669998,55.009998,55.240002,4436800,54.959545
2015-07-24,57.209999,57.259998,55.57,55.810001,5208900,55.52665
2015-07-23,58.810001,58.830002,56.900002,57.240002,8283500,56.949391
2015-07-22,59.330002,59.52,59.00,59.50,2615600,59.197915
2015-07-21,59.580002,59.880001,59.130001,59.43,1985300,59.12827
2015-07-20,59.16,59.73,59.099998,59.66,1791400,59.357102
2015-07-17,59.049999,59.23,58.91,59.150002,2442200,58.849693
2015-07-16,59.240002,59.560001,59.09,59.310001,2670500,59.008881
2015-07-15,58.709999,59.150002,58.599998,58.799999,2120800,58.501468
2015-07-14,58.240002,58.810001,58.119999,58.77,2158000,58.471621
2015-07-13,57.93,58.490002,57.900002,58.450001,2042000,58.153246
2015-07-10,57.509998,57.57,57.029999,57.380001,2278000,57.088679
2015-07-09,57.549999,57.630001,56.610001,56.75,3051100,56.461877
2015-07-08,57.549999,57.939999,56.549999,56.59,2961000,56.302689
2015-07-07,58.25,58.459999,57.290001,58.34,4126800,58.043804
2015-07-06,57.75,58.23,57.68,58.060001,2716900,57.765227
2015-07-02,58.599998,58.939999,58.310001,58.450001,2071800,58.153246
2015-07-01,58.259998,58.459999,57.889999,58.419998,3018600,58.123396
2015-06-30,57.82,58.110001,57.509998,57.619999,3211300,57.327459
2015-06-29,58.470001,58.57,57.310001,57.330002,4199100,57.038934
2015-06-26,59.130001,59.549999,59.060001,59.119999,4075200,58.819843
2015-06-25,59.189999,59.34,58.869999,59.040001,3067000,58.740251
2015-06-24,59.290001,59.459999,59.119999,59.32,3075000,59.018828
2015-06-23,59.330002,59.509998,59.049999,59.50,2152700,59.197915
2015-06-22,59.209999,59.32,59.040001,59.130001,1970000,58.829794
2015-06-19,58.580002,58.98,58.380001,58.75,2996300,58.451722
2015-06-18,58.389999,59.029999,58.139999,58.759998,3043000,58.46167
2015-06-17,58.209999,58.48,57.689999,58.139999,4394100,57.844819
2015-06-16,58.130001,58.490002,57.669998,58.060001,3621900,57.765227
2015-06-15,58.740002,58.779999,58.09,58.220001,3369900,57.924415
2015-06-12,59.00,59.360001,58.68,59.34,2715300,59.038727
2015-06-11,58.82,59.41,58.700001,59.209999,2510400,58.909386
2015-06-10,57.869999,58.939999,57.869999,58.740002,2204800,58.441775
2015-06-09,57.799999,58.110001,57.599998,57.669998,1994900,57.377204
2015-06-08,58.25,58.529999,57.650002,57.650002,2566500,57.357309
2015-06-05,58.380001,58.509998,57.860001,58.299999,3755100,58.004006
2015-06-04,58.48,58.619999,57.93,58.16,2564200,57.864718
2015-06-03,58.50,59.060001,58.459999,58.77,2383600,58.471621
2015-06-02,58.110001,58.799999,57.919998,58.389999,2302400,58.09355
2015-06-01,58.34,58.709999,58.169998,58.32,2229700,58.023905
2015-05-29,58.91,59.09,58.139999,58.27,3750000,57.97416
2015-05-28,59.209999,59.490002,58.919998,59.040001,1518100,58.740251
2015-05-27,59.130001,59.490002,58.709999,59.380001,2237700,59.078525
2015-05-26,59.50,59.560001,58.470001,58.700001,2838200,58.401977
2015-05-22,59.41,59.779999,59.349998,59.540001,1911400,59.237713
2015-05-21,59.740002,60.049999,59.529999,59.599998,1600100,59.297405
2015-05-20,60.119999,60.279999,59.709999,59.970001,1431400,59.66553
2015-05-19,59.77,60.220001,59.68,60.119999,1557300,59.814766
2015-05-18,59.48,59.849998,59.419998,59.799999,1325100,59.496391
2015-05-15,60.419998,60.57,59.41,59.50,1893000,59.197915
2015-05-14,59.91,60.389999,59.82,60.34,2063400,60.03365
2015-05-13,58.889999,59.77,58.869999,59.720001,2053300,59.416799
2015-05-12,59.02,59.299999,58.619999,58.889999,2428200,58.591011
2015-05-11,58.82,59.700001,58.799999,59.419998,2445900,59.118319
2015-05-08,58.549999,59.07,58.380001,59.009998,4594200,58.710401
2015-05-07,58.290001,58.330002,57.700001,57.91,4905100,57.615987
2015-05-06,58.950001,59.23,57.970001,58.349998,4914200,58.053752
2015-05-05,58.849998,59.529999,58.509998,58.610001,3312100,58.312434
2015-05-04,59.330002,59.41,59.040001,59.32,2387900,58.74025
2015-05-01,58.209999,59.369999,58.209999,59.310001,3178000,58.73035
2015-04-30,58.00,58.509998,57.77,57.970001,4645400,57.403446
2015-04-29,58.50,58.68,57.77,58.310001,3628700,57.740123
2015-04-28,58.709999,58.970001,58.470001,58.919998,3354300,58.344158
2015-04-27,58.450001,58.799999,58.25,58.650002,3912700,58.0768
2015-04-24,58.380001,58.610001,58.16,58.389999,4176800,57.819339
2015-04-23,57.919998,58.700001,57.790001,58.669998,5097800,58.096601
2015-04-22,58.060001,58.759998,57.50,57.889999,9578600,57.324226
2015-04-21,59.610001,59.849998,59.23,59.259998,4484300,58.680835
2015-04-20,59.220001,59.689999,59.009998,59.490002,3135600,58.908591
2015-04-17,58.93,59.27,58.650002,59.080002,3998600,58.502598
2015-04-16,58.84,59.48,58.709999,59.419998,2517700,58.839271
2015-04-15,59.900002,59.900002,58.93,58.950001,3447900,58.373867
2015-04-14,58.040001,58.619999,57.84,58.43,2304500,57.858949
2015-04-13,57.919998,58.27,57.880001,57.880001,2121800,57.314325
2015-04-10,57.50,58.02,57.400002,57.959999,2827700,57.393541
2015-04-09,57.169998,57.68,56.880001,57.439999,2885500,56.878623
2015-04-08,57.389999,58.00,57.220001,57.48,2832800,56.918233
2015-04-07,57.990002,58.02,57.18,57.18,3016500,56.621166
2015-04-06,57.490002,58.23,57.189999,57.799999,2741900,57.235105
2015-04-02,57.630001,58.240002,57.43,58.200001,3076800,57.631197
2015-04-01,56.189999,57.740002,56.169998,57.630001,4264600,57.066768
2015-03-31,56.599998,56.830002,56.040001,56.349998,4238500,55.799276
2015-03-30,56.759998,57.23,56.759998,56.790001,2375000,56.234978
2015-03-27,56.93,57.189999,56.529999,56.57,3086900,56.017127
2015-03-26,56.82,57.240002,56.580002,56.799999,3650500,56.244878
2015-03-25,57.939999,58.110001,57.119999,57.139999,3226100,56.581556
2015-03-24,58.700001,58.759998,57.73,57.77,4437000,57.2054
2015-03-23,59.52,59.889999,58.889999,58.889999,2500400,58.314452
2015-03-20,58.779999,59.619999,58.610001,59.41,4008800,58.829371
2015-03-19,58.759998,59.040001,58.43,58.59,2451900,58.017385
2015-03-18,58.810001,59.09,58.009998,58.950001,4105600,58.373867
2015-03-17,59.25,59.349998,58.779999,58.91,3004700,58.334257
2015-03-16,59.48,59.669998,59.060001,59.50,2840800,58.918491
2015-03-13,59.889999,60.09,58.720001,59.34,3148800,58.760055
2015-03-12,59.240002,60.169998,59.009998,59.880001,5302800,59.294779
