Date,Open,High,Low,Close,Volume,Adj Close
2014-09-22,31.75,31.96,31.68,31.68,7500,31.68
2014-09-19,32.06,32.30,31.98,32.01,13100,32.01
2014-09-18,32.30,32.30,31.90,32.03,12000,32.03
2014-09-17,31.25,32.43,31.25,32.17,25100,32.17
2014-09-16,31.16,31.62,31.08,31.30,21300,31.30
2014-09-15,31.98,31.98,31.34,31.49,25100,31.49
2014-09-12,31.08,31.64,31.07,31.57,16200,31.57
2014-09-11,31.50,31.53,31.00,31.15,11600,31.15
2014-09-10,31.20,31.83,31.20,31.49,25100,31.49
2014-09-09,31.50,31.73,31.47,31.61,16300,31.61
2014-09-08,32.10,32.28,31.60,31.61,18600,31.61
2014-09-05,32.00,32.18,31.80,32.03,21800,32.03
2014-09-04,31.55,31.89,31.43,31.70,29100,31.70
2014-09-03,31.45,31.50,31.23,31.40,28500,31.40
2014-09-02,31.31,31.53,31.31,31.40,17300,31.40
2014-09-01,31.50,31.73,31.36,31.45,38200,31.45
2014-08-29,32.15,32.45,31.31,31.59,173400,31.59
2014-08-28,33.10,33.10,32.50,32.50,22200,32.50
2014-08-27,32.99,33.15,32.80,32.99,18500,32.99
2014-08-26,32.50,33.00,32.50,33.00,11800,33.00
2014-08-25,33.25,33.25,32.53,32.83,9600,32.83
2014-08-22,32.73,33.21,32.43,33.10,38500,33.10
2014-08-21,32.29,32.74,32.09,32.74,12700,32.74
2014-08-20,32.57,32.59,32.19,32.33,7400,32.33
2014-08-19,31.86,32.65,31.86,32.47,9000,32.47
2014-08-18,32.15,32.33,31.94,32.17,11300,32.17
2014-08-15,32.30,32.42,31.68,32.12,9700,32.12
2014-08-14,31.95,32.41,31.26,32.15,35300,32.15
2014-08-13,31.75,31.90,31.41,31.72,12500,31.72
2014-08-12,32.15,32.15,31.72,31.78,13300,31.78
2014-08-11,31.85,32.09,31.68,31.95,22700,31.95
2014-08-08,31.70,31.97,31.20,31.97,11900,31.97
2014-08-07,31.83,32.00,31.52,31.95,7700,31.95
2014-08-06,32.19,32.19,31.31,31.83,16200,31.83
2014-08-05,32.04,32.22,31.76,32.09,34400,32.09
2014-08-04,31.10,32.03,31.10,32.01,41600,32.01
2014-08-01,31.64,31.64,31.23,31.50,22900,31.50
2014-07-31,31.40,31.60,31.12,31.59,28900,31.59
2014-07-30,31.11,31.31,30.97,31.31,13800,31.31
2014-07-29,30.99,31.15,30.85,30.97,7700,30.97
2014-07-28,30.76,30.99,30.67,30.92,16400,30.92
2014-07-25,30.44,30.84,30.36,30.75,20400,30.75
2014-07-24,30.20,30.42,30.04,30.36,10700,30.36
2014-07-23,30.10,30.30,30.00,30.03,10800,30.03
2014-07-22,30.08,30.42,30.00,30.19,11400,30.19
2014-07-21,30.40,30.40,30.00,30.18,9700,30.18
2014-07-18,30.35,30.40,30.12,30.16,24100,30.16
2014-07-17,30.47,30.49,30.00,30.25,22100,30.25
2014-07-16,30.10,30.49,30.08,30.47,18800,30.47
2014-07-15,30.00,30.32,29.91,30.05,11400,30.05
2014-07-14,30.00,30.09,29.83,30.00,27800,30.00
2014-07-11,30.06,30.15,29.96,30.05,13200,30.05
2014-07-10,30.24,30.30,30.00,30.11,33600,30.11
2014-07-09,29.91,30.29,29.91,30.10,15100,30.10
2014-07-08,30.32,30.32,29.85,30.05,47300,30.05
2014-07-07,30.30,30.40,30.01,30.07,9600,30.07
2014-07-04,30.62,30.62,30.01,30.25,9700,30.25
2014-07-03,30.45,30.66,30.10,30.53,14300,30.53
2014-07-02,30.60,30.78,30.07,30.35,23100,30.35
2014-07-01,30.75,30.75,30.20,30.53,33500,30.53
2014-06-30,30.85,30.90,30.55,30.61,30200,30.61
2014-06-27,30.17,30.83,29.81,30.69,46500,30.69
2014-06-26,30.00,30.30,29.82,30.01,24000,30.01
2014-06-25,30.15,30.19,29.60,30.00,23100,30.00
2014-06-24,30.20,30.20,29.82,29.94,25600,29.94
2014-06-23,30.19,30.19,29.88,30.00,33300,30.00
2014-06-20,30.32,30.34,29.90,30.00,88300,30.00
2014-06-19,29.65,30.35,29.60,30.11,36300,30.11
2014-06-18,30.02,30.12,29.46,29.48,64000,29.48
2014-06-17,30.16,30.50,30.01,30.10,45100,30.10
2014-06-16,30.41,30.41,30.05,30.15,32900,30.15
2014-06-13,30.31,30.37,30.18,30.19,30800,30.19
2014-06-12,30.31,30.99,30.31,30.31,41200,30.31
2014-06-11,30.66,30.70,30.11,30.26,39600,30.26
2014-06-10,30.99,31.00,30.50,30.50,37600,30.50
2014-06-09,30.90,31.40,30.90,31.23,22000,30.63
2014-06-06,31.03,31.11,30.89,30.90,31600,30.31
2014-06-05,30.80,31.00,30.67,30.82,14100,30.22
2014-06-04,30.75,30.85,30.55,30.76,20600,30.17
2014-06-03,30.81,30.85,30.50,30.57,37600,29.98
2014-06-02,31.10,31.10,30.73,30.80,31600,30.21
2014-05-30,31.14,31.14,30.85,31.01,48900,30.41
2014-05-29,31.12,31.25,30.98,31.22,16100,30.62
2014-05-28,30.85,31.15,30.85,30.91,124000,30.32
2014-05-27,30.70,31.02,30.70,30.85,61600,30.26
2014-05-26,30.60,30.89,30.60,30.78,18500,30.19
2014-05-23,31.05,31.05,30.54,30.68,31000,30.09
2014-05-22,30.80,31.00,30.77,30.90,26900,30.31
2014-05-21,30.77,31.00,30.65,30.72,16400,30.12
2014-05-20,31.40,31.40,30.74,30.84,49000,30.25
2014-05-19,31.20,31.36,30.90,31.33,49800,30.72
2014-05-16,31.00,31.50,30.50,30.65,101500,30.06
2014-05-15,32.80,33.00,32.24,32.30,21700,31.68
2014-05-14,32.30,33.00,32.30,32.82,28400,32.19
2014-05-13,32.50,32.50,32.21,32.42,23700,31.80
2014-05-12,32.35,32.53,32.33,32.35,37500,31.73
2014-05-09,32.00,32.50,32.00,32.30,57300,31.68
2014-05-08,32.58,32.92,32.00,32.34,83400,31.72
2014-05-07,33.10,33.11,32.50,32.58,57600,31.95
2014-05-06,33.10,33.39,32.92,33.09,29300,32.45
2014-05-05,33.60,33.60,32.86,33.05,13800,32.42
2014-05-02,33.41,33.58,32.76,33.42,58400,32.78
2014-05-01,33.33,33.33,33.33,33.33,000,32.69
2014-04-30,33.45,33.79,33.19,33.33,44000,32.69
2014-04-29,33.55,33.72,33.40,33.55,19900,32.91
2014-04-28,33.44,34.00,33.44,33.52,15300,32.88
2014-04-25,33.31,33.83,33.31,33.58,25200,32.93
2014-04-24,33.71,34.19,33.32,33.43,18700,32.79
2014-04-23,33.82,33.82,33.42,33.42,15600,32.77
2014-04-22,33.56,34.09,33.35,33.78,18200,33.13
2014-04-21,33.47,33.47,33.47,33.47,000,32.82
2014-04-18,33.47,33.47,33.47,33.47,000,32.82
2014-04-17,33.10,33.65,33.10,33.47,22500,32.82
2014-04-16,33.83,33.90,33.11,33.21,41100,32.57
2014-04-15,33.98,34.10,33.42,33.53,33800,32.88
2014-04-14,34.00,34.15,33.78,34.14,37300,33.48
2014-04-11,34.00,34.17,33.85,34.00,51100,33.35
2014-04-10,34.33,34.46,33.80,33.95,103500,33.30
2014-04-09,33.83,34.49,33.60,34.49,50500,33.83
2014-04-08,33.46,34.04,33.40,33.58,21300,32.93
2014-04-07,33.53,34.00,33.24,33.62,16900,32.98
2014-04-04,33.60,34.02,33.46,33.66,57800,33.01
2014-04-03,33.50,33.75,33.35,33.60,49600,32.95
2014-04-02,33.65,34.38,33.01,33.50,47600,32.86
2014-04-01,34.06,34.20,33.57,33.74,80500,33.10
2014-03-31,34.00,34.07,33.72,34.03,28600,33.38
2014-03-28,33.92,34.04,33.76,33.85,47700,33.20
2014-03-27,34.00,34.01,33.34,33.69,58600,33.04
2014-03-26,34.30,34.30,33.84,34.00,55000,33.35
2014-03-25,34.01,34.43,34.01,34.31,21500,33.65
2014-03-24,34.05,34.50,33.95,34.22,37000,33.56
2014-03-21,33.38,34.30,33.38,34.07,126600,33.42
2014-03-20,33.35,33.84,33.22,33.57,27500,32.93
2014-03-19,32.88,33.66,32.88,33.44,49500,32.79
2014-03-18,33.08,33.10,32.80,33.02,50500,32.39
2014-03-17,33.21,33.39,32.89,33.13,61800,32.49
2014-03-14,33.25,33.40,32.90,33.28,132000,32.64
2014-03-13,33.26,33.53,33.19,33.25,92500,32.61
2014-03-12,33.20,33.80,32.85,33.35,101200,32.71
2014-03-11,33.10,33.46,32.90,33.06,82300,32.42
2014-03-10,33.00,33.17,32.89,33.08,49900,32.44
2014-03-07,32.76,32.98,32.69,32.85,113300,32.22
2014-03-06,33.08,33.08,32.78,32.78,116900,32.15
2014-03-05,33.14,33.26,32.89,33.00,78600,32.37
2014-03-04,33.00,33.45,32.95,33.15,97700,32.52
2014-03-03,32.70,33.08,32.50,32.95,93900,32.32
2014-02-28,33.01,33.13,32.58,32.70,109400,32.07
2014-02-27,35.99,36.00,32.40,32.92,302900,32.28
2014-02-26,37.20,37.42,37.18,37.40,59900,36.68
2014-02-25,37.22,37.40,36.99,37.18,31100,36.47
2014-02-24,36.90,37.40,36.90,37.40,61300,36.68
2014-02-21,36.88,37.40,36.58,37.40,46000,36.68
2014-02-20,37.35,37.38,36.78,37.05,39100,36.34
2014-02-19,37.44,37.75,37.10,37.33,92900,36.61
2014-02-18,36.95,37.76,36.80,37.68,156400,36.96
2014-02-17,36.51,37.00,36.51,37.00,119900,36.29
2014-02-14,36.53,36.85,36.51,36.62,54600,35.91
2014-02-13,36.00,36.51,35.79,36.51,69800,35.80
2014-02-12,35.90,36.10,35.75,36.10,123100,35.41
2014-02-11,35.85,35.88,35.50,35.87,107300,35.18
2014-02-10,35.56,35.75,35.50,35.53,46300,34.84
2014-02-07,35.33,35.62,35.01,35.60,33700,34.92
2014-02-06,35.54,35.60,35.19,35.54,98000,34.86
2014-02-05,35.10,35.40,34.97,35.37,58700,34.69
2014-02-04,35.00,35.53,34.75,35.16,81900,34.48
2014-02-03,35.55,35.55,35.00,35.10,32900,34.43
2014-01-31,35.58,35.60,35.44,35.55,77500,34.87
2014-01-30,35.42,35.55,34.76,35.48,31300,34.80
2014-01-29,35.11,35.35,34.85,35.25,49700,34.57
2014-01-28,34.85,35.10,34.77,34.93,20300,34.26
2014-01-27,35.18,35.38,34.79,35.00,67900,34.33
2014-01-24,35.81,35.83,35.30,35.42,50200,34.74
2014-01-23,35.90,36.01,35.66,35.90,53800,35.21
2014-01-22,36.00,36.06,35.75,36.00,68500,35.31
2014-01-21,36.00,36.02,35.78,35.90,30200,35.21
