Date,Open,High,Low,Close,Volume,Adj Close
2014-09-19,37.99,38.01,37.72,37.94,46300,37.94
2014-09-18,38.07,38.15,37.74,37.84,25900,37.84
2014-09-17,38.16,38.16,37.75,38.03,31700,38.03
2014-09-16,38.21,38.25,37.79,38.02,31400,38.02
2014-09-15,38.15,38.28,38.10,38.19,24700,38.19
2014-09-12,38.30,38.38,38.04,38.29,31500,38.29
2014-09-11,38.35,38.35,38.15,38.22,29000,38.22
2014-09-10,38.44,38.44,38.23,38.30,18000,38.30
2014-09-09,38.44,38.51,37.89,38.47,64400,38.47
2014-09-08,38.31,38.42,37.89,38.35,28800,38.35
2014-09-05,38.28,38.45,38.17,38.32,39300,38.32
2014-09-04,38.10,38.49,38.02,38.38,46700,38.38
2014-09-03,37.47,38.30,37.46,38.22,67400,38.22
2014-09-02,37.29,37.41,37.16,37.41,69600,37.41
2014-09-01,37.15,37.34,37.00,37.28,34100,37.28
2014-08-29,37.00,37.26,36.87,37.13,29000,37.13
2014-08-28,36.90,37.08,36.69,36.92,32300,36.92
2014-08-27,37.28,37.28,36.94,36.99,50600,36.99
2014-08-26,37.15,37.38,37.10,37.22,35200,37.22
2014-08-25,37.50,37.50,36.97,37.20,29900,37.20
2014-08-22,37.00,37.60,36.88,37.50,66100,37.50
2014-08-21,36.60,37.08,36.60,37.00,40400,37.00
2014-08-20,36.74,36.80,36.56,36.67,15900,36.67
2014-08-19,36.49,36.74,36.19,36.69,22900,36.69
2014-08-18,35.92,36.44,35.92,36.33,16800,36.33
2014-08-15,36.00,36.29,35.90,35.90,10800,35.90
2014-08-14,35.99,36.19,35.85,36.00,19000,36.00
2014-08-13,35.42,36.08,35.42,36.07,19400,36.07
2014-08-12,35.81,35.84,35.47,35.47,16800,35.47
2014-08-11,35.40,35.83,35.31,35.72,26400,35.72
2014-08-08,35.70,35.73,35.16,35.38,37600,35.38
2014-08-07,35.77,35.98,35.60,35.74,18200,35.74
2014-08-06,35.75,35.95,35.51,35.77,37100,35.77
2014-08-05,36.07,36.20,35.75,35.85,17200,35.85
2014-08-04,36.10,36.13,35.90,36.06,16500,36.06
2014-08-01,36.16,36.47,35.92,35.98,30600,35.98
2014-07-31,36.45,36.62,36.20,36.35,21400,36.35
2014-07-30,36.67,36.88,36.40,36.47,25400,36.47
2014-07-29,36.80,36.97,36.62,36.78,15500,36.78
2014-07-28,36.56,36.93,36.52,36.88,11200,36.88
2014-07-25,36.74,36.86,36.55,36.62,25200,36.62
2014-07-24,36.65,36.90,36.53,36.79,30700,36.79
2014-07-23,36.71,36.90,36.63,36.63,16200,36.63
2014-07-22,37.00,37.00,36.60,36.72,31100,36.72
2014-07-21,36.92,37.00,36.65,36.83,27400,36.83
2014-07-18,36.69,36.97,36.54,36.92,28200,36.92
2014-07-17,36.85,36.85,36.49,36.74,30400,36.74
2014-07-16,36.56,36.85,36.50,36.75,20800,36.75
2014-07-15,36.37,36.69,36.37,36.42,27500,36.42
2014-07-14,36.60,36.60,36.31,36.41,18800,36.41
2014-07-11,36.11,36.58,36.10,36.51,32800,36.51
2014-07-10,36.05,36.32,35.95,36.12,37100,36.12
2014-07-09,36.40,36.40,35.81,36.10,40500,36.10
2014-07-08,36.87,36.90,36.30,36.30,29900,36.30
2014-07-07,37.11,37.25,36.80,36.81,28400,36.81
2014-07-04,37.20,37.29,37.15,37.15,17900,37.15
2014-07-03,37.37,37.38,37.10,37.24,28400,37.24
2014-07-02,37.20,37.38,37.00,37.26,23800,37.26
2014-07-01,37.00,37.20,36.85,37.19,31900,37.19
2014-06-30,36.82,37.16,36.82,36.90,60800,36.90
2014-06-27,37.15,37.33,36.82,36.92,36200,36.92
2014-06-26,36.88,37.19,36.88,37.03,38100,37.03
2014-06-25,37.05,37.10,36.60,36.82,31300,36.82
2014-06-24,37.05,37.37,36.99,37.12,31100,37.12
2014-06-23,37.25,37.25,36.90,37.19,29000,37.19
2014-06-20,37.06,37.24,36.99,37.19,45800,37.19
2014-06-19,36.70,37.21,36.70,37.17,36000,37.17
2014-06-18,36.76,36.85,36.55,36.73,36600,36.73
2014-06-17,37.10,37.25,36.51,36.85,42100,36.85
2014-06-16,37.25,37.35,36.81,36.97,45200,36.97
2014-06-13,37.80,37.90,37.12,37.15,44900,37.15
2014-06-12,38.08,38.19,37.78,38.10,31700,38.10
2014-06-11,38.00,38.10,37.85,37.98,24900,37.98
2014-06-10,37.81,38.04,37.48,38.04,36100,38.04
2014-06-09,37.98,37.98,37.78,37.93,14300,37.93
2014-06-06,38.01,38.10,37.81,37.97,46400,37.97
2014-06-05,37.52,38.10,37.52,37.98,69600,37.98
2014-06-04,37.59,37.97,37.34,37.44,56600,37.44
2014-06-03,38.13,38.13,37.58,37.60,48600,37.60
2014-06-02,38.01,38.33,37.90,38.14,51300,38.14
2014-05-30,37.42,38.12,37.42,37.90,47600,37.90
2014-05-29,38.61,38.78,38.58,38.72,39200,37.57
2014-05-28,38.70,38.70,38.50,38.54,89400,37.39
2014-05-27,38.88,38.88,38.61,38.72,30100,37.57
2014-05-26,38.71,38.90,38.65,38.81,31400,37.65
