Date,Open,High,Low,Close,Volume,Adj Close
2015-09-18,69.25,70.150002,68.699997,69.25,1521500,69.25
2015-09-17,71.129997,72.209999,70.540001,70.730003,860500,70.730003
2015-09-16,70.010002,71.540001,70.010002,71.339996,868800,71.339996
2015-09-15,69.330002,70.25,69.07,70.169998,937300,70.169998
2015-09-14,69.800003,69.830002,68.510002,69.089996,728100,69.089996
2015-09-11,69.650002,70.040001,69.099998,69.879997,1133300,69.879997
2015-09-10,69.940002,70.959999,69.629997,70.160004,880600,70.160004
2015-09-09,72.650002,73.32,70.330002,70.43,1172600,70.43
2015-09-08,71.010002,71.68,70.300003,71.32,1170100,71.32
2015-09-04,69.660004,70.540001,69.339996,69.529999,1592900,69.529999
2015-09-03,71.089996,71.800003,70.559998,71.260002,1520200,71.260002
2015-09-02,71.57,71.589996,69.18,70.300003,1034200,70.300003
2015-09-01,70.150002,71.160004,69.379997,70.029999,1385700,70.029999
2015-08-31,72.25,73.040001,70.669998,72.459999,943400,72.459999
2015-08-28,71.989998,73.57,71.989998,72.709999,1391600,72.709999
2015-08-27,71.199997,73.18,70.949997,72.629997,1787700,72.629997
2015-08-26,69.389999,70.290001,68.120003,69.870003,2514300,69.870003
2015-08-25,71.269997,71.330002,67.75,67.769997,1909300,67.769997
2015-08-24,69.309998,71.790001,63.849998,68.910004,1591600,68.910004
2015-08-21,73.50,73.940002,71.970001,71.980003,1222700,71.980003
2015-08-20,74.709999,75.550003,73.550003,73.889999,1681300,73.889999
2015-08-19,76.059998,76.150002,74.459999,75.099998,1255500,75.099998
2015-08-18,76.800003,77.300003,76.339996,76.900002,802300,76.900002
2015-08-17,76.120003,77.57,75.129997,77.410004,905300,77.410004
2015-08-14,77.190002,77.419998,76.309998,76.50,1044300,76.50
2015-08-13,77.279999,77.489998,76.690002,77.440002,1202000,77.440002
2015-08-12,76.860001,77.730003,76.300003,77.489998,1400300,77.489998
2015-08-11,78.269997,78.459999,77.07,77.629997,1490500,77.629997
2015-08-10,77.25,79.809998,76.690002,79.760002,1098900,79.760002
2015-08-07,76.980003,77.489998,76.389999,76.669998,1048600,76.669998
2015-08-06,77.199997,77.540001,76.459999,77.129997,1140800,77.129997
