Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,51.389999,51.639999,51.169998,51.470001,1803300,51.470001
2015-08-17,51.23,51.740002,51.119999,51.610001,1257000,51.610001
2015-08-14,50.84,51.220001,50.540001,51.18,806100,51.18
2015-08-13,50.610001,51.029999,50.200001,50.790001,1369300,50.790001
2015-08-12,50.419998,51.150002,50.099998,50.91,1289200,50.91
2015-08-11,50.07,50.68,49.860001,50.41,1187800,50.41
2015-08-10,49.970001,50.18,49.799999,50.02,1833400,50.02
2015-08-07,49.259998,49.970001,49.029999,49.799999,2142900,49.799999
2015-08-06,49.279999,49.619999,48.98,49.529999,1556200,49.529999
2015-08-05,49.290001,49.549999,49.080002,49.240002,836600,49.240002
2015-08-04,49.830002,49.830002,49.02,49.099998,1004300,49.099998
2015-08-03,49.77,50.220001,49.580002,49.849998,1810000,49.849998
2015-07-31,49.57,49.990002,49.07,49.720001,1932900,49.720001
2015-07-30,48.130001,48.869999,48.029999,48.77,1360800,48.77
2015-07-29,48.099998,48.34,47.810001,48.290001,1167900,48.290001
2015-07-28,47.869999,48.18,47.639999,48.119999,1297200,48.119999
2015-07-27,47.27,48.110001,47.27,47.869999,1207300,47.869999
2015-07-24,47.290001,47.560001,47.040001,47.209999,2538800,47.209999
2015-07-23,47.82,47.82,46.959999,47.349998,2660600,47.349998
2015-07-22,47.639999,48.439999,47.360001,47.830002,3469100,47.830002
2015-07-21,47.580002,47.68,46.93,47.52,1674400,47.52
2015-07-20,47.849998,47.889999,47.209999,47.580002,1259900,47.580002
2015-07-17,48.299999,48.490002,47.849998,47.919998,1237100,47.919998
2015-07-16,47.68,48.400002,47.580002,48.299999,1066400,48.299999
2015-07-15,47.299999,47.860001,47.07,47.720001,1946800,47.720001
2015-07-14,47.040001,47.349998,46.889999,47.299999,1309200,47.299999
2015-07-13,47.150002,47.389999,46.810001,47.040001,1331700,47.040001
2015-07-10,46.740002,47.369999,46.540001,46.889999,1830700,46.889999
2015-07-09,47.25,47.349998,46.240002,46.73,2986100,46.73
2015-07-08,47.279999,47.77,46.889999,47.130001,2996800,47.130001
2015-07-07,46.549999,47.75,46.529999,47.380001,3802800,47.380001
2015-07-06,44.880001,46.549999,44.639999,46.310001,7595700,46.310001
2015-07-02,45.970001,46.560001,45.790001,46.509998,1836300,46.509998
2015-07-01,45.529999,45.73,45.34,45.57,1798900,45.57
2015-06-30,45.68,45.779999,45.310001,45.41,1990700,45.41
2015-06-29,46.150002,46.509998,45.470001,45.50,1366900,45.50
2015-06-26,45.439999,46.150002,45.200001,45.990002,2248600,45.990002
2015-06-25,45.689999,45.860001,45.439999,45.509998,1654900,45.509998
2015-06-24,45.889999,46.130001,45.560001,45.57,832500,45.57
2015-06-23,46.439999,46.549999,45.779999,45.849998,1153400,45.849998
2015-06-22,46.549999,46.950001,46.48,46.560001,1230600,46.560001
2015-06-19,47.27,47.509998,46.740002,46.740002,1819900,46.740002
2015-06-18,46.93,47.709999,46.84,47.290001,1518200,47.290001
2015-06-17,46.57,47.00,46.310001,46.950001,1111600,46.950001
2015-06-16,45.950001,46.709999,45.73,46.68,1431900,46.68
2015-06-15,46.009998,46.209999,45.790001,46.02,830200,46.02
2015-06-12,46.459999,46.540001,46.099998,46.099998,593000,46.099998
2015-06-11,46.529999,46.860001,46.369999,46.66,989100,46.66
2015-06-10,46.490002,46.790001,46.150002,46.18,1282200,46.18
2015-06-09,46.279999,46.599998,46.049999,46.330002,873800,46.330002
2015-06-08,46.619999,46.689999,46.310001,46.330002,1054500,46.330002
2015-06-05,46.84,47.00,46.349998,46.689999,1560100,46.689999
2015-06-04,47.400002,47.869999,47.32,47.439999,734900,47.439999
2015-06-03,48.439999,48.549999,47.380001,47.68,1667500,47.68
2015-06-02,48.889999,48.990002,48.110001,48.490002,1531300,48.490002
2015-06-01,49.259998,49.52,49.029999,49.189999,1122800,49.189999
2015-05-29,49.259998,49.52,49.009998,49.25,1629100,49.25
2015-05-28,48.68,49.34,48.549999,49.25,1242500,49.25
2015-05-27,48.669998,48.900002,48.540001,48.77,756600,48.77
2015-05-26,49.200001,49.299999,48.75,49.00,1384000,48.582
2015-05-22,49.299999,49.419998,48.869999,49.290001,827900,48.869527
2015-05-21,49.400002,49.599998,49.099998,49.43,977000,49.008332
2015-05-20,49.23,49.860001,49.119999,49.470001,1570000,49.047992
2015-05-19,49.209999,49.630001,49.02,49.32,1116100,48.89927
2015-05-18,49.029999,49.560001,48.900002,49.439999,1186300,49.018245
2015-05-15,48.66,49.189999,48.50,49.169998,2902300,48.750548
2015-05-14,48.25,48.740002,47.98,48.540001,1831300,48.125925
2015-05-13,48.959999,49.060001,47.82,47.939999,1683800,47.531041
2015-05-12,48.189999,48.799999,47.939999,48.709999,1871500,48.294473
2015-05-11,48.540001,49.080002,48.41,48.509998,1448200,48.096178
2015-05-08,48.259998,48.700001,48.029999,48.459999,2324600,48.046605
2015-05-07,47.98,48.34,47.849998,47.919998,1823200,47.511211
2015-05-06,48.220001,48.580002,47.32,47.779999,1611600,47.372406
2015-05-05,49.41,49.50,48.09,48.220001,1257000,47.808655
2015-05-04,49.259998,49.91,48.970001,49.360001,1102200,48.938929
2015-05-01,48.759998,49.040001,48.32,48.889999,1328700,48.472938
2015-04-30,49.41,49.900002,48.400002,48.759998,2363800,48.344045
2015-04-29,49.950001,50.32,49.57,50.009998,996300,49.583382
2015-04-28,49.599998,50.439999,49.43,50.389999,1119900,49.960142
2015-04-27,50.380001,50.57,49.700001,49.82,1224900,49.395004
2015-04-24,49.560001,50.459999,49.380001,50.290001,1634700,49.860996
2015-04-23,49.560001,49.849998,49.369999,49.619999,1611300,49.19671
2015-04-22,50.029999,50.029999,49.330002,49.459999,1614100,49.038075
2015-04-21,49.77,50.849998,49.369999,49.610001,2150400,49.186797
2015-04-20,50.16,50.939999,49.869999,50.50,1341300,50.069204
2015-04-17,50.16,50.790001,49.950001,50.049999,1946400,49.623042
2015-04-16,50.139999,50.41,49.459999,50.349998,1848000,49.920482
2015-04-15,50.310001,50.93,50.169998,50.240002,1172000,49.811423
2015-04-14,49.98,50.330002,49.689999,50.23,940800,49.801507
2015-04-13,50.310001,50.41,49.610001,49.68,1003300,49.256199
2015-04-10,50.119999,50.830002,50.049999,50.50,679900,50.069204
2015-04-09,50.389999,50.43,49.759998,49.959999,708100,49.533809
2015-04-08,50.16,50.509998,49.959999,50.380001,823000,49.950229
2015-04-07,50.970001,51.299999,50.25,50.310001,1135500,49.880826
2015-04-06,50.73,51.419998,50.57,51.049999,1318200,50.614511
2015-04-02,50.689999,51.09,50.59,50.639999,978500,50.208009
2015-04-01,50.16,50.889999,49.860001,50.73,1060800,50.297241
2015-03-31,50.700001,51.119999,50.220001,50.52,1192300,50.089034
2015-03-30,50.220001,50.849998,50.07,50.639999,622600,50.208009
2015-03-27,49.790001,50.509998,49.759998,50.119999,1063300,49.692444
2015-03-26,50.139999,50.599998,49.540001,49.91,929600,49.484237
2015-03-25,50.919998,51.380001,50.119999,50.119999,1251900,49.692444
2015-03-24,51.27,51.580002,50.66,50.810001,1961400,50.376561
2015-03-23,51.110001,51.610001,51.029999,51.470001,1197800,51.03093
2015-03-20,50.919998,51.50,50.509998,51.009998,2288300,50.574852
2015-03-19,50.709999,51.50,50.369999,50.73,1261500,50.297241
2015-03-18,49.599998,51.189999,49.299999,50.830002,2351700,50.396391
2015-03-17,49.68,50.110001,49.279999,49.529999,1938200,49.107477
2015-03-16,49.400002,50.189999,49.27,49.759998,1180000,49.335515
2015-03-13,49.619999,49.619999,48.790001,49.130001,969500,48.710892
2015-03-12,48.98,50.18,48.919998,49.669998,1187700,49.246282
2015-03-11,48.950001,49.200001,48.540001,48.82,1102600,48.403535
