Date,Open,High,Low,Close,Volume,Adj Close
2014-07-11,36.11,36.58,36.10,36.51,32800,36.51
2014-07-10,36.05,36.32,35.95,36.12,37100,36.12
2014-07-09,36.40,36.40,35.81,36.10,40500,36.10
2014-07-08,36.87,36.90,36.30,36.30,29900,36.30
2014-07-07,37.11,37.25,36.80,36.81,28400,36.81
2014-07-04,37.20,37.29,37.15,37.15,17900,37.15
2014-07-03,37.37,37.38,37.10,37.24,28400,37.24
2014-07-02,37.20,37.38,37.00,37.26,23800,37.26
2014-07-01,37.00,37.20,36.85,37.19,31900,37.19
2014-06-30,36.82,37.16,36.82,36.90,60800,36.90
2014-06-27,37.15,37.33,36.82,36.92,36200,36.92
2014-06-26,36.88,37.19,36.88,37.03,38100,37.03
2014-06-25,37.05,37.10,36.60,36.82,31300,36.82
2014-06-24,37.05,37.37,36.99,37.12,31100,37.12
2014-06-23,37.25,37.25,36.90,37.19,29000,37.19
2014-06-20,37.06,37.24,36.99,37.19,45800,37.19
2014-06-19,36.70,37.21,36.70,37.17,36000,37.17
2014-06-18,36.76,36.85,36.55,36.73,36600,36.73
2014-06-17,37.10,37.25,36.51,36.85,42100,36.85
2014-06-16,37.25,37.35,36.81,36.97,45200,36.97
2014-06-13,37.80,37.90,37.12,37.15,44900,37.15
2014-06-12,38.08,38.19,37.78,38.10,31700,38.10
2014-06-11,38.00,38.10,37.85,37.98,24900,37.98
2014-06-10,37.81,38.04,37.48,38.04,36100,38.04
2014-06-09,37.98,37.98,37.78,37.93,14300,37.93
2014-06-06,38.01,38.10,37.81,37.97,46400,37.97
2014-06-05,37.52,38.10,37.52,37.98,69600,37.98
2014-06-04,37.59,37.97,37.34,37.44,56600,37.44
2014-06-03,38.13,38.13,37.58,37.60,48600,37.60
2014-06-02,38.01,38.33,37.90,38.14,51300,38.14
2014-05-30,37.42,38.12,37.42,37.90,47600,37.90
2014-05-29,38.61,38.78,38.58,38.72,39200,37.57
2014-05-28,38.70,38.70,38.50,38.54,89400,37.39
2014-05-27,38.88,38.88,38.61,38.72,30100,37.57
2014-05-26,38.71,38.90,38.65,38.81,31400,37.65
2014-05-23,38.75,38.93,38.56,38.72,34900,37.57
2014-05-22,38.65,38.95,38.65,38.84,32400,37.68
2014-05-21,38.95,38.99,38.78,38.92,33400,37.76
2014-05-20,39.10,39.29,38.81,38.88,43200,37.72
2014-05-19,39.12,39.33,38.90,39.19,47700,38.03
2014-05-16,39.18,39.39,39.00,39.10,57400,37.93
2014-05-15,39.17,39.40,39.03,39.18,41800,38.01
2014-05-14,39.21,39.35,39.01,39.28,28200,38.11
2014-05-13,39.30,39.40,39.17,39.30,32600,38.13
2014-05-12,39.05,39.35,39.01,39.35,37200,38.18
2014-05-09,39.05,39.28,39.05,39.10,26500,37.93
2014-05-08,39.10,39.37,39.00,39.20,44700,38.03
2014-05-07,38.90,39.15,38.85,39.00,43700,37.84
2014-05-06,38.82,39.02,38.60,38.85,29700,37.69
2014-05-05,39.00,39.26,38.54,38.95,27400,37.79
2014-05-02,38.29,39.29,38.26,39.03,85700,37.86
2014-05-01,38.22,38.22,38.22,38.22,000,37.08
2014-04-30,38.26,38.40,38.15,38.22,36400,37.08
2014-04-29,38.15,38.50,38.12,38.38,35900,37.23
2014-04-28,38.10,38.40,38.02,38.17,32400,37.03
2014-04-25,38.10,38.35,37.98,38.13,37000,36.99
2014-04-24,38.20,38.32,37.83,38.15,65000,37.01
2014-04-23,38.15,38.30,38.06,38.13,71700,36.99
2014-04-22,37.99,38.12,37.88,38.12,53300,36.98
2014-04-21,37.92,37.92,37.92,37.92,000,36.79
2014-04-18,37.92,37.92,37.92,37.92,000,36.79
2014-04-17,37.83,38.00,37.82,37.92,30700,36.79
2014-04-16,37.65,37.97,37.65,37.90,54300,36.77
2014-04-15,37.25,37.72,37.13,37.60,112000,36.47
2014-04-14,37.20,37.49,37.00,37.40,61000,36.28
2014-04-11,37.45,37.70,37.26,37.42,63900,36.30
2014-04-10,37.62,37.69,37.35,37.68,66000,36.56
2014-04-09,37.29,37.62,37.08,37.62,45700,36.50
2014-04-08,37.38,37.52,37.06,37.24,43200,36.12
2014-04-07,37.10,37.50,37.10,37.37,26500,36.26
2014-04-04,37.05,37.29,36.98,37.29,33900,36.18
2014-04-03,37.24,37.38,36.88,37.04,41300,35.94
2014-04-02,37.09,37.60,37.08,37.32,42000,36.21
2014-04-01,36.62,37.15,36.60,37.15,44000,36.04
2014-03-31,36.65,36.77,36.58,36.67,37600,35.57
2014-03-28,36.43,36.76,36.39,36.70,28700,35.61
2014-03-27,36.10,36.40,36.10,36.38,19300,35.30
2014-03-26,36.29,36.38,36.09,36.10,21700,35.02
2014-03-25,36.17,36.40,36.00,36.28,32200,35.20
2014-03-24,36.10,36.19,35.98,36.17,26200,35.09
2014-03-21,36.09,36.22,35.93,36.10,31600,35.03
2014-03-20,36.31,36.37,36.00,36.13,27100,35.06
2014-03-19,35.90,36.43,35.90,36.38,31900,35.29
