Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,47.959999,48.200001,47.360001,47.59,1477200,47.59
2015-08-17,47.73,48.240002,47.330002,48.23,1197500,48.23
2015-08-14,47.599998,48.220001,47.599998,48.029999,1177600,48.029999
2015-08-13,48.740002,48.880001,47.549999,47.66,1272800,47.66
2015-08-12,47.669998,48.950001,47.419998,48.860001,2147900,48.860001
2015-08-11,48.139999,48.189999,47.57,48.09,1218200,48.09
2015-08-10,47.860001,48.900002,47.700001,48.84,1325700,48.84
2015-08-07,47.91,48.279999,47.369999,47.459999,1788200,47.459999
2015-08-06,47.110001,48.27,47.029999,48.060001,1882200,48.060001
2015-08-05,47.02,47.560001,46.82,47.220001,2984300,47.220001
2015-08-04,47.189999,47.830002,46.369999,46.549999,1935100,46.549999
2015-08-03,46.509998,47.50,45.93,47.09,2537000,47.09
2015-07-31,46.27,48.959999,45.139999,46.75,4990100,46.75
2015-07-30,50.139999,51.009998,49.529999,50.900002,2387300,50.900002
2015-07-29,49.18,50.439999,48.98,50.389999,2373800,50.389999
2015-07-28,48.299999,49.16,48.060001,49.110001,2232400,49.110001
2015-07-27,47.529999,48.049999,47.09,47.830002,1778300,47.830002
2015-07-24,48.830002,48.830002,47.790001,48.060001,1877000,48.060001
2015-07-23,49.75,50.09,48.50,48.68,1731700,48.68
2015-07-22,49.560001,49.889999,49.209999,49.540001,1114600,49.540001
2015-07-21,49.869999,50.41,49.599998,49.799999,1162500,49.799999
2015-07-20,50.189999,50.189999,49.52,49.860001,1224800,49.860001
2015-07-17,50.669998,50.779999,49.830002,50.27,1684800,50.27
2015-07-16,51.080002,51.43,50.43,50.75,1256100,50.75
2015-07-15,51.639999,51.639999,50.41,50.619999,1375400,50.619999
2015-07-14,51.360001,52.080002,51.27,51.91,936100,51.91
2015-07-13,50.919998,51.639999,50.810001,51.459999,1199300,51.459999
2015-07-10,51.189999,51.50,50.400002,50.740002,1394700,50.740002
2015-07-09,51.360001,51.650002,50.490002,50.540001,1290200,50.540001
2015-07-08,52.00,52.220001,50.400002,50.419998,1947300,50.419998
2015-07-07,51.82,52.59,50.860001,52.529999,1581900,52.529999
