Date,Open,High,Low,Close,Volume,Adj Close
2014-06-23,76.46,76.86,76.04,76.58,43200,76.58
2014-06-20,76.64,77.13,76.53,76.53,66000,76.53
2014-06-19,77.00,77.22,76.65,76.65,73400,76.65
2014-06-18,77.02,77.30,76.52,76.52,62600,76.52
2014-06-17,76.41,77.19,76.37,77.19,61400,77.19
2014-06-16,76.50,76.95,76.17,76.36,53700,76.36
2014-06-13,77.50,77.69,76.71,76.81,78500,76.81
2014-06-12,77.00,77.72,77.00,77.70,77300,77.70
2014-06-11,77.07,77.44,77.01,77.29,81100,77.29
2014-06-10,77.25,77.37,77.05,77.20,64600,77.20
2014-06-09,77.17,77.45,77.04,77.38,35400,77.38
2014-06-06,76.10,77.32,76.10,77.32,80000,77.32
2014-06-05,76.05,76.50,75.75,76.04,86100,76.04
2014-06-04,76.05,76.40,75.92,76.19,90900,76.19
2014-06-03,76.19,76.50,76.02,76.05,54300,76.05
2014-06-02,76.41,76.64,76.12,76.39,73700,76.39
2014-05-30,76.03,76.38,75.71,76.38,141900,76.38
2014-05-29,76.23,76.26,75.76,76.14,39700,76.14
2014-05-28,75.55,76.40,75.55,76.14,85800,76.14
2014-05-27,75.50,75.85,75.41,75.67,81500,75.67
2014-05-26,75.41,75.74,75.12,75.62,40300,75.62
2014-05-23,75.04,75.40,74.75,75.40,100400,75.40
2014-05-22,75.40,75.47,75.00,75.20,89400,75.20
2014-05-21,75.25,75.40,75.01,75.40,70800,75.40
2014-05-20,75.29,75.40,75.12,75.25,98500,75.25
2014-05-19,74.78,75.35,74.39,75.29,88700,75.29
2014-05-16,74.56,75.13,74.23,74.84,140200,74.84
2014-05-15,75.03,75.39,74.30,74.93,109100,74.93
2014-05-14,74.93,75.16,74.70,75.16,72300,75.16
2014-05-13,75.40,75.40,74.78,75.01,127700,75.01
2014-05-12,75.24,75.50,74.91,75.25,82900,75.25
2014-05-09,74.30,75.23,73.89,75.23,138300,75.23
2014-05-08,73.29,74.39,73.29,74.38,83400,74.38
2014-05-07,73.50,73.50,72.75,73.42,109800,73.42
2014-05-06,73.50,73.86,72.84,73.00,102400,73.00
2014-05-05,73.18,73.86,72.51,73.50,50000,73.50
2014-05-02,72.87,73.62,72.61,73.38,119900,73.38
2014-05-01,72.87,72.87,72.87,72.87,000,72.87
2014-04-30,72.80,73.16,72.61,72.87,130300,72.87
2014-04-29,72.05,73.02,71.88,72.99,140700,70.95
2014-04-28,74.43,74.85,74.20,74.45,100300,70.39
2014-04-25,74.85,75.05,74.30,74.43,72200,70.37
2014-04-24,74.67,75.05,74.67,75.05,92800,70.95
2014-04-23,74.90,74.98,74.67,74.71,64000,70.63
2014-04-22,74.83,75.00,74.72,74.99,99400,70.90
