Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,59.16,59.50,58.849998,58.939999,2177500,58.939999
2015-08-17,59.080002,59.459999,58.919998,59.290001,1484600,59.290001
2015-08-14,58.950001,59.299999,58.77,59.259998,1440500,59.259998
2015-08-13,58.939999,59.34,58.810001,58.889999,2508800,58.889999
2015-08-12,58.77,59.139999,58.110001,59.099998,2881600,59.099998
2015-08-11,58.970001,59.310001,58.75,59.139999,1777100,59.139999
2015-08-10,59.23,59.549999,59.16,59.400002,1878600,59.400002
2015-08-07,59.290001,59.490002,58.799999,59.110001,2325200,59.110001
2015-08-06,59.759998,59.869999,59.130001,59.549999,2583700,59.549999
2015-08-05,59.080002,59.689999,58.580002,59.400002,2238400,59.400002
2015-08-04,58.900002,59.310001,58.66,58.990002,2490800,58.990002
2015-08-03,58.290001,58.950001,58.200001,58.93,2588700,58.93
2015-07-31,58.490002,58.529999,58.040001,58.209999,2917300,58.209999
2015-07-30,57.299999,58.360001,57.110001,58.259998,2693200,58.259998
2015-07-29,57.549999,57.860001,57.369999,57.490002,3334400,57.490002
2015-07-28,57.259998,57.580002,56.630001,57.549999,2828900,57.549999
2015-07-27,56.599998,57.060001,56.450001,56.959999,2922100,56.959999
2015-07-24,56.939999,57.25,56.779999,56.919998,1994600,56.919998
2015-07-23,57.549999,57.700001,57.02,57.080002,1706100,57.080002
2015-07-22,57.25,57.950001,57.25,57.630001,2023700,57.630001
2015-07-21,57.380001,57.48,57.080002,57.209999,4470500,57.209999
2015-07-20,56.98,57.200001,56.700001,56.830002,4683500,56.830002
2015-07-17,56.849998,57.00,56.619999,56.939999,2510500,56.939999
2015-07-16,57.16,57.540001,56.939999,57.029999,2869500,57.029999
2015-07-15,57.07,57.380001,56.650002,56.810001,3586200,56.810001
2015-07-14,57.50,57.630001,57.060001,57.25,3119900,57.25
2015-07-13,57.490002,57.669998,57.32,57.52,2412700,57.52
2015-07-10,57.259998,57.50,57.18,57.27,2011000,57.27
2015-07-09,57.41,57.669998,56.91,56.93,2234600,56.93
2015-07-08,57.290001,57.529999,56.950001,56.950001,3604000,56.950001
2015-07-07,56.700001,57.98,56.599998,57.889999,4285700,57.45
2015-07-06,56.91,57.299999,56.310001,56.59,3468700,56.159882
2015-07-02,57.18,57.799999,56.84,57.049999,8850700,56.616385
2015-07-01,55.119999,57.18,54.130001,57.09,10353200,56.656082
2015-06-30,56.360001,56.490002,55.650002,55.720001,3432100,55.296495
2015-06-29,56.52,56.740002,55.990002,56.060001,3735900,55.633911
2015-06-26,56.689999,57.060001,56.470001,56.93,5394700,56.497298
2015-06-25,57.02,57.02,56.310001,56.490002,3766700,56.060643
2015-06-24,56.549999,56.91,56.41,56.549999,4657500,56.120185
2015-06-23,56.57,56.790001,56.419998,56.560001,2163000,56.130111
2015-06-22,56.389999,56.860001,56.279999,56.57,2174900,56.140033
2015-06-19,55.849998,56.419998,55.669998,56.130001,4183700,55.703379
2015-06-18,55.470001,56.150002,55.310001,55.849998,2999400,55.425505
2015-06-17,55.060001,55.400002,54.849998,55.25,2301500,54.830067
2015-06-16,54.509998,55.150002,54.439999,55.09,2302300,54.671283
2015-06-15,54.610001,54.73,54.349998,54.400002,2200400,53.986529
2015-06-12,55.009998,55.099998,54.740002,54.919998,1342400,54.502573
2015-06-11,55.150002,55.32,55.00,55.110001,1843200,54.691131
2015-06-10,54.669998,55.290001,54.50,55.09,2287900,54.671283
2015-06-09,54.540001,54.889999,54.349998,54.450001,2178500,54.036148
2015-06-08,54.48,54.619999,54.290001,54.360001,1609600,53.946832
2015-06-05,54.869999,54.919998,54.139999,54.419998,2454900,54.006373
2015-06-04,55.389999,55.689999,54.970001,55.060001,2186300,54.641512
2015-06-03,56.049999,56.099998,55.57,55.700001,1820400,55.276647
2015-06-02,56.130001,56.259998,55.630001,55.860001,1244900,55.435431
2015-06-01,56.32,56.389999,55.91,56.290001,2285400,55.862163
2015-05-29,56.220001,56.279999,55.869999,56.150002,3132300,55.723228
2015-05-28,56.349998,56.450001,56.080002,56.25,1841900,55.822466
2015-05-27,56.130001,56.560001,56.009998,56.470001,1617200,56.040795
2015-05-26,56.509998,56.57,55.93,55.98,2141300,55.554518
2015-05-22,56.709999,56.860001,56.52,56.52,1813500,56.090414
2015-05-21,56.950001,57.02,56.66,56.82,1572500,56.388133
2015-05-20,56.84,57.25,56.830002,56.970001,1391100,56.536995
2015-05-19,56.790001,56.959999,56.610001,56.860001,1566600,56.42783
2015-05-18,56.900002,57.029999,56.709999,56.849998,2545300,56.417904
2015-05-15,56.779999,57.25,56.700001,57.139999,2170500,56.705701
2015-05-14,56.599998,56.869999,56.389999,56.84,2412600,56.407982
2015-05-13,56.360001,56.799999,56.110001,56.220001,1735500,55.792695
2015-05-12,55.919998,56.490002,55.77,56.400002,1780100,55.971327
2015-05-11,56.139999,56.439999,56.040001,56.07,1351600,55.643834
2015-05-08,55.939999,56.529999,55.919998,56.27,1884800,55.842314
2015-05-07,55.25,55.790001,55.139999,55.630001,1620900,55.207179
2015-05-06,55.860001,55.93,54.939999,55.299999,2197800,54.879686
2015-05-05,56.00,56.16,55.41,55.630001,2097800,55.207179
