Date,Open,High,Low,Close,Volume,Adj Close
2015-09-18,106.099998,106.480003,104.839996,105.169998,484300,105.169998
2015-09-17,107.410004,109.169998,107.300003,107.580002,263500,107.580002
2015-09-16,106.209999,107.860001,106.169998,107.690002,338400,107.690002
2015-09-15,106.160004,106.559998,105.220001,106.330002,356900,106.330002
2015-09-14,107.099998,107.360001,105.919998,106.120003,240300,106.120003
2015-09-11,106.529999,107.260002,105.970001,107.129997,435900,107.129997
2015-09-10,108.32,109.18,106.849998,107.190002,591500,107.190002
2015-09-09,110.360001,110.809998,108.620003,108.730003,283500,108.730003
2015-09-08,108.989998,109.330002,108.389999,109.25,545100,109.25
2015-09-04,107.779999,108.110001,106.650002,106.949997,493700,106.949997
2015-09-03,109.400002,110.43,108.889999,109.459999,316400,109.459999
2015-09-02,107.93,108.540001,106.510002,108.50,549800,108.50
2015-09-01,107.07,107.959999,105.830002,106.230003,546300,106.230003
2015-08-31,110.610001,110.610001,109.489998,109.550003,297700,109.550003
2015-08-28,110.440002,111.010002,109.580002,110.959999,350200,110.959999
2015-08-27,110.160004,112.25,108.940002,110.699997,475300,110.699997
2015-08-26,109.190002,109.639999,107.160004,108.910004,553000,108.910004
2015-08-25,110.589996,110.639999,107.00,107.050003,809300,107.050003
2015-08-24,106.870003,109.129997,106.199997,108.00,1166000,108.00
2015-08-21,113.120003,114.120003,111.919998,111.949997,1065200,111.949997
2015-08-20,113.610001,113.879997,111.620003,112.00,704800,112.00
2015-08-19,114.209999,115.160004,113.669998,114.110001,403300,114.110001
2015-08-18,114.730003,115.849998,114.730003,115.529999,324600,115.529999
2015-08-17,113.949997,115.199997,113.830002,114.989998,361900,114.989998
2015-08-14,113.230003,114.690002,113.050003,114.360001,344100,114.360001
2015-08-13,113.360001,114.089996,112.43,113.220001,499300,113.220001
2015-08-12,112.989998,114.43,112.419998,113.739998,549900,113.739998
2015-08-11,115.540001,117.110001,112.779999,114.050003,887800,114.050003
2015-08-10,116.739998,118.870003,116.330002,118.809998,388400,118.809998
2015-08-07,116.529999,116.93,115.849998,116.279999,283000,116.279999
2015-08-06,117.230003,118.089996,115.720001,116.419998,458900,116.419998
2015-08-05,117.190002,118.080002,116.610001,117.239998,382700,117.239998
2015-08-04,115.510002,116.800003,115.510002,116.00,258400,116.00
2015-08-03,115.449997,115.75,114.68,115.300003,258400,115.300003
2015-07-31,116.379997,116.870003,115.370003,115.589996,473400,115.589996
2015-07-30,114.290001,116.059998,114.059998,115.510002,468100,115.510002
