Date,Open,High,Low,Close,Volume,Adj Close
2014-09-10,86.00,86.37,85.73,86.37,783100,86.37
2014-09-09,86.05,87.16,86.00,86.34,1265100,86.34
2014-09-08,86.85,87.03,86.01,86.35,1055900,86.35
2014-09-05,87.60,87.62,86.35,87.12,1213700,87.12
2014-09-04,85.35,88.05,85.11,87.80,2448000,87.80
2014-09-03,84.95,86.11,84.91,85.35,1261200,85.35
2014-09-02,84.95,85.00,84.49,84.95,1031200,84.95
2014-09-01,84.86,85.10,84.40,84.95,819500,84.95
2014-08-29,84.68,84.83,83.60,84.55,1387000,84.55
2014-08-28,84.48,84.65,83.82,84.30,1073400,84.30
2014-08-27,85.09,85.23,84.54,85.01,723000,85.01
2014-08-26,84.77,85.34,84.19,85.26,1239200,85.26
2014-08-25,83.99,84.94,83.52,84.94,1312700,84.94
2014-08-22,83.90,83.90,82.69,83.47,1187700,83.47
2014-08-21,83.09,83.77,82.71,83.74,1002600,83.74
2014-08-20,83.18,83.61,82.47,83.29,1137700,83.29
2014-08-19,82.96,83.67,82.79,83.46,860500,83.46
2014-08-18,82.48,83.01,82.07,82.93,1197000,82.93
2014-08-15,81.72,82.80,81.26,81.83,1790400,81.83
2014-08-14,80.70,81.78,80.35,81.47,1088900,81.47
2014-08-13,80.23,81.16,79.79,81.03,1467600,81.03
2014-08-12,80.91,81.04,80.32,80.70,1353200,80.70
2014-08-11,80.42,81.16,80.07,81.00,1470600,81.00
2014-08-08,79.40,79.91,78.97,79.26,1391400,79.26
2014-08-07,80.92,81.11,79.74,79.86,1240600,79.86
2014-08-06,80.48,80.94,79.20,80.60,1490700,80.60
2014-08-05,80.80,81.27,80.45,80.70,1170700,80.70
2014-08-04,80.10,80.50,79.88,80.05,1383400,80.05
2014-08-01,81.11,81.47,78.95,79.63,2005000,79.63
2014-07-31,82.30,83.08,80.87,80.98,2036900,80.98
2014-07-30,82.26,82.97,81.64,81.70,1267800,81.70
2014-07-29,81.85,82.44,81.37,82.04,1161700,82.04
2014-07-28,82.59,82.65,81.26,81.63,1441400,81.63
2014-07-25,83.75,83.91,82.35,82.53,1244900,82.53
2014-07-24,83.59,84.20,83.05,83.67,1029900,83.67
2014-07-23,83.71,84.27,83.46,83.69,927300,83.69
2014-07-22,82.90,83.84,82.74,83.84,1083000,83.84
2014-07-21,83.49,83.49,82.22,82.40,1095400,82.40
2014-07-18,82.00,83.29,81.86,83.08,1318700,83.08
2014-07-17,82.96,83.14,82.18,82.39,1444300,82.39
2014-07-16,83.13,83.54,82.88,83.51,1298200,83.51
2014-07-15,83.17,83.58,82.67,82.94,1226900,82.94
2014-07-14,82.97,83.82,82.90,83.38,770200,83.38
2014-07-11,83.66,84.08,82.80,82.84,994500,82.84
2014-07-10,83.94,84.08,83.00,83.35,1298300,83.35
2014-07-09,83.95,84.56,83.85,84.31,1169100,84.31
2014-07-08,84.23,84.69,83.83,84.02,1267200,84.02
2014-07-07,84.52,84.78,83.93,84.37,854000,84.37
2014-07-04,84.74,84.98,84.46,84.57,736600,84.57
2014-07-03,84.07,84.95,83.51,84.95,1527800,84.95
2014-07-02,84.19,84.26,83.56,83.83,1280400,83.83
2014-07-01,84.05,84.36,83.43,84.24,960800,84.24
2014-06-30,83.80,84.45,83.28,83.90,1173700,83.90
2014-06-27,83.58,83.91,83.08,83.71,1353400,83.71
2014-06-26,84.18,84.65,83.26,83.71,1510600,83.71
2014-06-25,84.60,84.90,83.94,84.29,1423100,84.29
2014-06-24,84.20,84.90,84.00,84.57,913800,84.57
2014-06-23,85.38,85.40,84.07,84.55,1141700,84.55
2014-06-20,84.27,85.55,83.67,85.13,2472000,85.13
2014-06-19,84.27,84.49,83.90,84.04,2376300,84.04
2014-06-18,82.88,83.16,82.36,82.63,992400,82.63
2014-06-17,82.70,82.80,82.10,82.67,1236500,82.67
2014-06-16,82.00,82.48,81.30,81.84,1472800,81.84
2014-06-13,82.68,82.68,81.72,82.22,1358500,82.22
2014-06-12,83.30,83.43,82.46,82.86,1497300,82.86
2014-06-11,83.80,83.94,83.10,83.29,1437000,83.29
2014-06-10,81.62,83.33,81.61,83.33,1728600,83.33
2014-06-09,81.58,81.65,80.61,81.42,848400,81.42
2014-06-06,81.19,81.41,80.00,81.06,1669500,81.06
2014-06-05,80.74,81.84,80.22,80.86,1597600,80.86
2014-06-04,80.45,81.36,80.45,80.71,1570100,80.71
2014-06-03,80.57,80.69,80.02,80.59,683800,80.59
2014-06-02,81.07,81.07,80.15,80.60,971800,80.60
2014-05-30,80.72,80.80,80.04,80.51,1462200,80.51
2014-05-29,80.95,81.14,80.00,80.63,1025200,80.63
2014-05-28,80.85,80.92,79.95,80.92,1356200,80.92
2014-05-27,81.49,81.62,80.78,81.23,1191200,81.23
2014-05-26,80.88,81.65,80.61,81.65,764200,81.65
2014-05-23,80.87,80.90,80.04,80.83,790800,80.83
2014-05-22,81.03,81.60,80.79,81.13,1070900,81.13
2014-05-21,80.49,80.78,79.84,80.78,1171500,80.78
2014-05-20,81.45,81.50,80.00,80.43,1214800,80.43
2014-05-19,80.66,80.93,80.00,80.11,1501300,80.11
2014-05-16,79.17,80.85,79.01,80.39,2428400,80.39
2014-05-15,79.90,80.43,79.11,79.22,1761200,79.22
2014-05-14,80.39,80.49,79.73,79.87,1479900,79.87
2014-05-13,80.00,80.29,79.39,79.88,1513900,79.88
2014-05-12,79.40,79.99,79.22,79.94,1164700,79.94
2014-05-09,78.38,79.69,78.33,78.97,1257400,78.97
2014-05-08,78.27,80.00,78.00,79.35,2173200,79.35
2014-05-07,75.44,77.65,75.30,77.64,2345800,77.64
2014-05-06,77.07,77.33,76.46,76.61,1511700,76.61
2014-05-05,76.52,77.40,75.65,77.22,882500,77.22
2014-05-02,78.10,78.59,77.53,77.72,1870800,76.63
2014-05-01,78.44,78.44,78.44,78.44,000,77.34
2014-04-30,80.40,80.50,77.79,78.44,2812300,77.34
2014-04-29,80.00,80.83,79.62,80.83,1579200,79.70
2014-04-28,79.05,79.97,79.05,79.74,1312000,78.62
2014-04-25,78.80,79.32,78.26,78.40,1142300,77.30
2014-04-24,78.62,79.21,78.17,78.93,1349900,77.83
2014-04-23,79.15,79.36,78.35,78.41,1557900,77.31
2014-04-22,79.00,79.55,78.76,79.28,1768700,78.17
2014-04-21,78.52,78.52,78.52,78.52,000,77.42
2014-04-18,78.52,78.52,78.52,78.52,000,77.42
2014-04-17,78.38,78.57,77.45,78.52,1678800,77.42
2014-04-16,78.77,79.05,77.99,78.95,2602000,77.85
2014-04-15,78.30,78.60,77.55,77.58,1771300,76.49
2014-04-14,76.25,78.14,76.24,77.87,1676600,76.78
2014-04-11,76.25,76.72,75.99,76.16,1405900,75.09
2014-04-10,77.70,78.00,76.81,77.04,1005900,75.96
2014-04-09,77.49,78.11,77.04,77.40,1154400,76.32
2014-04-08,77.00,77.68,76.36,77.07,1707700,75.99
2014-04-07,77.45,78.18,77.09,77.14,1280800,76.06
2014-04-04,78.29,78.42,77.24,78.26,1207700,77.16
2014-04-03,77.53,78.20,77.04,77.93,1201700,76.84
2014-04-02,77.24,77.91,76.74,77.68,1223000,76.59
2014-04-01,76.12,77.27,75.87,77.27,1329300,76.19
2014-03-31,77.39,77.50,76.03,76.10,1751000,75.04
2014-03-28,76.50,77.39,76.34,77.39,1912500,76.31
2014-03-27,74.95,76.05,74.88,75.95,1372300,74.89
2014-03-26,74.34,75.63,74.32,75.28,1719900,74.23
2014-03-25,73.00,74.69,73.00,74.37,1664300,73.33
2014-03-24,74.47,74.47,73.12,73.55,1724700,72.52
2014-03-21,73.16,74.15,72.83,74.12,3312800,73.08
2014-03-20,72.18,72.92,71.82,72.87,1412100,71.85
2014-03-19,72.98,72.99,71.89,72.45,1404000,71.44
2014-03-18,72.12,73.12,71.77,72.92,1257800,71.90
2014-03-17,71.80,72.35,71.50,72.30,1324600,71.29
2014-03-14,72.46,72.72,71.69,72.16,2741600,71.15
2014-03-13,73.23,74.32,72.79,72.79,1515900,71.77
2014-03-12,73.56,73.64,72.75,73.33,1661300,72.30
2014-03-11,74.83,75.23,74.09,74.40,1076400,73.36
2014-03-10,74.05,74.90,73.85,74.30,1017300,73.26
2014-03-07,75.33,75.38,74.13,74.20,1604800,73.16
2014-03-06,75.30,76.21,74.68,75.24,974500,74.19
2014-03-05,75.78,75.78,74.93,75.00,803500,73.95
2014-03-04,75.16,76.27,74.99,75.71,1485100,74.65
2014-03-03,74.33,75.08,73.75,74.09,2014800,73.05
2014-02-28,75.82,76.15,75.19,75.95,1654600,74.89
2014-02-27,76.20,76.42,75.14,75.82,1482600,74.76
2014-02-26,74.34,76.52,74.34,76.34,2300700,75.27
2014-02-25,74.81,74.81,73.83,74.27,1732400,73.23
2014-02-24,74.00,74.70,73.65,74.66,1559200,73.62
2014-02-21,74.33,74.73,73.71,74.07,1456900,73.03
2014-02-20,73.03,74.15,72.64,74.03,1325700,72.99
2014-02-19,73.36,74.23,73.01,74.04,1151000,73.00
2014-02-18,74.76,74.76,73.48,73.80,1091700,72.77
2014-02-17,74.70,74.73,74.11,74.27,726600,73.23
2014-02-14,73.30,73.92,72.80,73.92,1396000,72.89
2014-02-13,73.30,73.94,72.44,73.20,1310500,72.18
2014-02-12,72.81,73.97,72.53,73.58,1795100,72.55
2014-02-11,71.22,72.83,71.22,72.83,1679800,71.81
2014-02-10,71.56,72.30,71.21,71.37,1284800,70.37
2014-02-07,70.87,71.86,70.27,71.35,1542700,70.35
2014-02-06,70.08,70.72,69.59,70.49,1810900,69.50
2014-02-05,69.85,70.13,69.28,69.55,1559900,68.58
2014-02-04,69.93,70.35,69.14,69.69,1764400,68.71
2014-02-03,71.37,71.60,69.90,69.92,1604600,68.94
2014-01-31,70.97,71.48,69.52,71.05,2259800,70.06
2014-01-30,71.00,71.58,70.41,70.97,1763100,69.98
2014-01-29,73.00,73.53,71.13,71.58,2072900,70.58
2014-01-28,72.78,72.79,72.00,72.18,1332200,71.17
2014-01-27,72.95,73.55,71.85,72.08,1949500,71.07
2014-01-24,74.94,75.16,72.30,72.30,2717600,71.29
2014-01-23,76.65,77.08,75.03,75.17,1187800,74.12
2014-01-22,76.78,76.94,76.25,76.51,849900,75.44
2014-01-21,76.45,77.49,75.29,76.38,1320700,75.31
2014-01-20,75.57,76.53,74.92,76.12,850900,75.05
2014-01-17,75.94,76.04,74.66,75.16,2000400,74.11
2014-01-16,76.32,76.65,75.76,75.88,1334600,74.82
2014-01-15,75.52,75.60,74.57,75.57,1538400,74.51
