Date,Open,High,Low,Close,Volume,Adj Close
2014-09-22,43.42,44.14,43.34,43.56,807500,43.56
2014-09-19,43.62,43.95,43.25,43.67,1612100,43.67
2014-09-18,42.98,43.38,42.80,43.20,924500,43.20
2014-09-17,42.98,43.02,42.61,42.87,864300,42.87
2014-09-16,42.89,42.92,42.36,42.67,799100,42.67
2014-09-15,42.79,43.17,42.70,42.85,635100,42.85
2014-09-12,43.19,43.23,42.92,43.10,482200,43.10
2014-09-11,43.34,43.40,42.90,43.15,643900,43.15
2014-09-10,43.03,43.40,42.65,43.24,741700,43.24
2014-09-09,43.49,43.70,43.01,43.17,502100,43.17
2014-09-08,43.74,44.25,43.22,43.64,759300,43.64
2014-09-05,43.16,44.08,43.01,43.74,1094900,43.74
2014-09-04,43.17,44.79,43.01,43.84,1580600,43.84
2014-09-03,43.01,43.85,43.01,43.26,753500,43.26
2014-09-02,43.17,43.34,42.75,42.92,631900,42.92
2014-09-01,43.40,43.57,42.36,43.12,513200,43.12
2014-08-29,43.35,43.62,43.09,43.38,553500,43.38
2014-08-28,43.71,43.91,43.16,43.37,649500,43.37
2014-08-27,43.58,44.28,43.54,44.04,763700,44.04
2014-08-26,43.29,43.97,43.01,43.85,771300,43.85
2014-08-25,43.35,43.48,42.87,43.40,398500,43.40
2014-08-22,43.00,43.50,42.52,42.78,751800,42.78
2014-08-21,42.31,43.00,41.80,42.99,742600,42.99
2014-08-20,42.32,42.36,41.78,42.33,511100,42.33
2014-08-19,42.28,42.53,42.05,42.38,644200,42.38
2014-08-18,42.03,42.10,41.65,42.07,664000,42.07
2014-08-15,41.81,42.26,41.35,41.44,1190000,41.44
2014-08-14,42.25,42.58,41.72,41.77,1123600,41.77
2014-08-13,42.42,42.84,42.06,42.47,1330200,42.47
2014-08-12,42.00,42.96,41.83,42.06,1148500,42.06
2014-08-11,41.78,42.54,41.58,42.12,1017400,42.12
2014-08-08,40.49,41.85,40.14,41.37,1444600,41.37
2014-08-07,40.50,41.76,40.38,41.21,2156100,41.21
