Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,14.76,14.86,14.72,14.81,5560300,14.81
2015-08-17,14.65,14.82,14.57,14.75,5420700,14.75
2015-08-14,14.61,14.78,14.55,14.77,6173500,14.77
2015-08-13,14.45,14.62,14.42,14.59,6520400,14.59
2015-08-12,14.60,14.64,14.23,14.40,12003900,14.40
2015-08-11,14.76,14.83,14.62,14.72,12041900,14.72
2015-08-10,14.73,15.00,14.72,14.96,9836000,14.96
2015-08-07,14.83,14.94,14.54,14.64,11496900,14.64
2015-08-06,14.95,15.01,14.81,14.81,6765500,14.81
2015-08-05,14.91,15.09,14.86,14.90,6301100,14.90
2015-08-04,14.78,14.97,14.75,14.85,6258000,14.85
2015-08-03,14.83,14.89,14.66,14.75,6479800,14.75
2015-07-31,14.97,15.00,14.81,14.84,6901900,14.84
2015-07-30,14.92,15.01,14.87,14.97,5148000,14.97
2015-07-29,14.82,15.00,14.76,14.96,8975000,14.96
2015-07-28,14.77,14.92,14.69,14.81,7330900,14.81
2015-07-27,14.91,14.93,14.75,14.78,7541300,14.78
2015-07-24,15.11,15.19,15.00,15.02,7649000,15.02
2015-07-23,15.34,15.46,15.13,15.15,11001600,15.15
2015-07-22,15.03,15.39,15.03,15.33,10168600,15.33
2015-07-21,15.22,15.35,15.04,15.04,9446600,15.04
2015-07-20,14.98,15.25,14.98,15.20,8310100,15.20
2015-07-17,15.10,15.14,14.80,14.94,11328300,14.94
2015-07-16,15.33,15.39,15.01,15.17,14570100,15.17
2015-07-15,15.25,15.39,15.18,15.29,10271200,15.29
2015-07-14,14.96,15.18,14.91,15.18,7493600,15.18
2015-07-13,15.09,15.16,15.00,15.04,10163500,15.04
2015-07-10,15.04,15.09,14.87,14.92,10250100,14.92
2015-07-09,14.96,14.96,14.74,14.82,5912000,14.82
2015-07-08,14.78,14.83,14.62,14.63,6436900,14.63
2015-07-07,14.97,15.01,14.64,14.91,9270300,14.91
2015-07-06,14.94,15.04,14.85,15.01,7350000,15.01
2015-07-02,15.26,15.26,14.99,15.08,8033900,15.08
2015-07-01,15.27,15.35,15.21,15.31,8130900,15.31
2015-06-30,15.08,15.29,14.98,15.02,10347900,15.02
2015-06-29,15.17,15.30,14.96,14.97,8688700,14.97
2015-06-26,15.43,15.54,15.34,15.36,7641000,15.36
2015-06-25,15.52,15.58,15.31,15.37,9759300,15.37
2015-06-24,15.63,15.70,15.43,15.43,6922900,15.43
2015-06-23,15.49,15.67,15.47,15.65,11432300,15.65
2015-06-22,15.38,15.43,15.32,15.43,5306100,15.43
2015-06-19,15.29,15.37,15.21,15.21,7472900,15.21
2015-06-18,15.30,15.37,15.12,15.37,8110700,15.37
2015-06-17,15.52,15.60,15.20,15.25,9836000,15.25
2015-06-16,15.32,15.47,15.26,15.44,5486000,15.44
2015-06-15,15.21,15.44,15.14,15.35,4386400,15.35
2015-06-12,15.35,15.39,15.22,15.37,6439300,15.37
2015-06-11,15.45,15.47,15.31,15.36,5434800,15.36
2015-06-10,15.42,15.56,15.34,15.41,11201000,15.41
2015-06-09,15.14,15.38,14.97,15.34,10789600,15.34
2015-06-08,15.09,15.23,15.03,15.11,8422400,15.11
2015-06-05,14.86,15.14,14.86,15.10,10996900,15.10
2015-06-04,14.55,14.88,14.55,14.75,9099200,14.75
2015-06-03,14.72,14.95,14.71,14.84,11391800,14.84
2015-06-02,14.49,14.72,14.47,14.64,8655500,14.64
2015-06-01,14.64,14.68,14.35,14.51,9810500,14.51
2015-05-29,14.78,14.82,14.58,14.58,12133000,14.58
2015-05-28,14.94,14.98,14.83,14.86,6664300,14.785
2015-05-27,14.88,15.00,14.83,14.95,8899300,14.874546
2015-05-26,14.80,14.86,14.68,14.82,10449000,14.745202
2015-05-22,14.94,15.00,14.84,14.90,4168700,14.824798
2015-05-21,14.92,15.03,14.86,14.92,6833100,14.844698
2015-05-20,15.08,15.10,14.93,14.97,6145400,14.894445
2015-05-19,14.92,15.11,14.88,15.11,9194100,15.033738
