Date,Open,High,Low,Close,Volume,Adj Close
2015-09-18,52.349998,52.73,51.490002,51.75,5291300,51.75
2015-09-17,52.259998,54.23,52.060001,52.98,2968400,52.98
2015-09-16,52.279999,52.459999,51.75,52.299999,2258000,52.299999
2015-09-15,52.450001,52.509998,51.98,52.360001,2821100,52.360001
2015-09-14,52.299999,52.52,51.599998,52.349998,2891100,52.349998
2015-09-11,51.200001,52.240002,50.900002,52.240002,2449500,52.240002
2015-09-10,51.110001,51.470001,50.049999,51.220001,2763900,51.220001
2015-09-09,52.810001,52.959999,51.560001,51.650002,2592400,51.650002
2015-09-08,51.16,52.360001,50.790001,52.330002,2473300,52.330002
2015-09-04,51.09,51.369999,50.279999,50.41,1590700,50.41
2015-09-03,51.330002,52.040001,51.110001,51.639999,2105200,51.639999
2015-09-02,49.950001,51.02,49.529999,51.009998,2040300,51.009998
2015-09-01,49.919998,51.009998,49.00,49.43,2397100,49.43
2015-08-31,50.48,51.43,50.34,50.900002,2467500,50.900002
2015-08-28,51.189999,51.599998,50.200001,50.43,3386800,50.43
2015-08-27,50.360001,51.470001,49.779999,51.310001,3143500,51.310001
2015-08-26,49.540001,49.869999,48.09,49.700001,3882500,49.700001
2015-08-25,51.52,51.52,48.169998,48.18,4078800,48.18
2015-08-24,50.00,52.25,46.779999,50.080002,4958000,50.080002
2015-08-21,53.889999,54.43,53.02,53.450001,3575800,53.450001
2015-08-20,54.290001,55.040001,54.259998,54.330002,2786200,54.330002
2015-08-19,55.360001,56.040001,54.810001,54.990002,4162300,54.990002
2015-08-18,54.799999,56.009998,54.52,55.59,5035500,55.59
2015-08-17,52.34,53.970001,52.209999,53.939999,2830600,53.939999
2015-08-14,52.279999,52.610001,51.68,52.540001,1542500,52.540001
2015-08-13,51.630001,52.849998,51.599998,52.43,1506000,52.43
2015-08-12,51.16,51.75,50.439999,51.73,1483200,51.73
2015-08-11,50.82,51.560001,50.400002,51.450001,1506800,51.450001
2015-08-10,50.419998,51.290001,50.369999,50.970001,1451300,50.970001
2015-08-07,49.959999,50.200001,49.669998,49.919998,1487000,49.919998
2015-08-06,50.610001,50.759998,49.59,50.049999,1980600,50.049999
2015-08-05,51.57,51.830002,49.98,50.389999,2928000,50.389999
2015-08-04,52.349998,52.50,51.200001,51.299999,3882200,51.299999
2015-08-03,53.00,53.040001,52.080002,52.52,1663000,52.52
2015-07-31,52.389999,53.41,51.810001,53.040001,3439200,53.040001
2015-07-30,51.50,52.27,50.860001,52.18,1956600,52.18
2015-07-29,51.09,51.77,50.639999,51.610001,1696700,51.610001
2015-07-28,50.950001,51.369999,50.200001,51.00,2135900,51.00
2015-07-27,50.200001,50.849998,50.060001,50.560001,2327900,50.560001
2015-07-24,52.509998,52.509998,50.220001,50.57,3513100,50.57
2015-07-23,53.349998,53.50,51.799999,52.459999,2254400,52.459999
2015-07-22,51.860001,53.540001,51.810001,53.189999,2811000,53.189999
2015-07-21,51.689999,52.330002,51.50,51.990002,1729700,51.990002
2015-07-20,52.529999,52.650002,51.630001,51.75,2126900,51.75
2015-07-17,52.970001,53.060001,52.209999,52.439999,1867100,52.439999
2015-07-16,53.560001,53.639999,52.400002,52.880001,3151300,52.880001
2015-07-15,53.73,53.889999,52.900002,53.349998,2723900,53.349998
2015-07-14,53.32,53.959999,53.25,53.73,3248600,53.73
2015-07-13,53.650002,53.84,52.91,53.41,2326900,53.41
2015-07-10,53.200001,53.580002,52.900002,53.299999,2370800,53.299999
2015-07-09,52.849998,53.41,52.700001,52.720001,3305700,52.720001
2015-07-08,52.50,52.959999,52.09,52.389999,3484900,52.389999
2015-07-07,51.00,52.830002,51.00,52.77,4769100,52.77
2015-07-06,50.68,51.639999,50.41,50.93,2773000,50.93
2015-07-02,51.400002,51.57,50.66,51.200001,2163300,51.160001
2015-07-01,51.59,51.59,50.459999,51.09,2437600,51.050087
2015-06-30,51.32,51.860001,51.02,51.040001,3149200,51.000127
2015-06-29,51.689999,51.939999,50.810001,50.830002,2999700,50.790291
2015-06-26,51.700001,52.00,51.029999,51.98,4059800,51.939391
2015-06-25,51.400002,52.50,51.389999,51.439999,3968800,51.399812
2015-06-24,51.959999,52.380001,50.599998,51.060001,7594300,51.020111
2015-06-23,49.720001,50.00,48.740002,49.00,4979800,48.961719
2015-06-22,48.970001,49.639999,48.900002,49.50,3453500,49.461329
2015-06-19,47.630001,49.060001,47.630001,48.639999,4488100,48.602
2015-06-18,47.060001,47.84,47.009998,47.310001,2367800,47.273041
2015-06-17,47.610001,47.720001,46.529999,47.00,2672600,46.963282
2015-06-16,47.740002,47.790001,47.200001,47.560001,1739100,47.522846
2015-06-15,47.43,48.41,47.25,47.810001,2432100,47.77265
2015-06-12,47.09,47.540001,46.830002,47.470001,1109600,47.432916
2015-06-11,47.369999,47.860001,47.139999,47.200001,2044600,47.163126
2015-06-10,46.529999,47.389999,46.310001,47.169998,2133600,47.133147
2015-06-09,46.099998,46.509998,45.779999,46.330002,1567100,46.293807
2015-06-08,46.560001,46.900002,46.189999,46.240002,1961900,46.203877
2015-06-05,46.25,46.849998,46.009998,46.709999,1960000,46.673507
2015-06-04,46.919998,47.310001,46.240002,46.419998,3536700,46.383733
2015-06-03,47.119999,47.720001,46.700001,47.279999,3913700,47.243062
2015-06-02,46.779999,47.52,46.560001,47.049999,1625400,47.013242
2015-06-01,46.869999,47.119999,46.610001,47.029999,2266800,46.993257
2015-05-29,47.32,47.59,46.630001,46.630001,5084900,46.593572
2015-05-28,47.060001,47.93,46.970001,47.52,3031000,47.482876
2015-05-27,47.59,47.639999,46.84,47.18,3535400,47.143141
2015-05-26,48.450001,48.52,47.380001,47.400002,2329300,47.362971
2015-05-22,48.330002,48.66,48.00,48.529999,2453500,48.492085
2015-05-21,48.57,48.860001,48.099998,48.41,1804000,48.37218
2015-05-20,48.860001,49.080002,48.02,48.75,1956000,48.711915
2015-05-19,49.380001,50.139999,48.310001,48.669998,3834200,48.631975
2015-05-18,47.66,48.52,47.189999,48.439999,3508200,48.402155
2015-05-15,46.810001,47.66,46.549999,47.599998,2045100,47.562812
2015-05-14,47.02,47.400002,46.720001,47.279999,1589000,47.243062
2015-05-13,46.77,47.32,46.549999,46.630001,1794100,46.593572
2015-05-12,46.360001,46.990002,45.889999,46.689999,2583400,46.653523
2015-05-11,47.41,47.700001,46.669998,46.700001,2599800,46.663517
2015-05-08,47.790001,48.619999,47.41,47.490002,3815300,47.452901
2015-05-07,45.240002,46.619999,45.209999,46.470001,2696000,46.433697
2015-05-06,45.490002,45.66,44.759998,45.290001,2855200,45.254619
2015-05-05,46.360001,46.77,45.290001,45.32,3417300,45.284594
2015-05-04,46.939999,47.34,46.209999,46.389999,2162000,46.353758
2015-05-01,45.720001,47.099998,45.720001,46.82,2721700,46.783422
2015-04-30,45.950001,46.330002,45.619999,45.799999,3882600,45.764219
2015-04-29,46.200001,46.279999,45.50,46.209999,3512700,46.173898
2015-04-28,46.290001,46.52,45.669998,46.509998,3026800,46.473663
2015-04-27,47.450001,47.459999,46.27,46.369999,2637500,46.333773
2015-04-24,46.860001,47.27,46.560001,47.189999,2033200,47.153132
2015-04-23,47.970001,48.060001,46.18,46.720001,7269700,46.683502
2015-04-22,49.00,49.310001,48.23,48.41,5160800,48.37218
2015-04-21,48.380001,49.369999,48.240002,49.139999,3413200,49.101609
2015-04-20,48.779999,48.91,47.709999,48.23,3778800,48.19232
2015-04-17,49.77,49.889999,48.290001,48.580002,4755000,48.502081
2015-04-16,51.130001,51.240002,49.939999,50.150002,3205500,50.069563
2015-04-15,51.119999,51.77,50.950001,51.439999,2339400,51.357491
2015-04-14,50.43,51.02,49.880001,50.970001,2266500,50.888247
2015-04-13,50.52,50.779999,50.00,50.41,1714300,50.329144
2015-04-10,50.75,50.75,50.02,50.50,1380700,50.419
2015-04-09,51.119999,51.16,49.700001,50.490002,2532800,50.409018
2015-04-08,50.73,51.32,50.639999,51.259998,2034000,51.177779
2015-04-07,52.00,52.00,50.689999,50.740002,2851500,50.658617
2015-04-06,52.93,53.669998,51.91,52.060001,4746500,51.976499
2015-04-02,51.869999,53.259998,51.73,53.189999,3561500,53.104684
2015-04-01,51.880001,51.970001,51.220001,51.849998,2676800,51.766833
2015-03-31,51.360001,52.169998,51.110001,51.810001,3243400,51.7269
2015-03-30,50.689999,51.91,50.52,51.490002,3755600,51.407414
2015-03-27,49.439999,50.580002,49.369999,50.43,2172700,50.349113
2015-03-26,49.540001,50.029999,49.299999,49.419998,2114500,49.34073
2015-03-25,50.560001,50.810001,49.580002,49.68,2172600,49.600316
2015-03-24,49.450001,50.970001,49.150002,50.439999,2836200,50.359095
2015-03-23,50.189999,50.830002,49.50,49.540001,3279600,49.460541
2015-03-20,50.049999,51.91,49.950001,50.259998,7880200,50.179383
2015-03-19,51.00,51.200001,48.540001,49.650002,7808000,49.570365
2015-03-18,49.07,50.009998,48.349998,49.720001,4951100,49.640252
2015-03-17,49.25,49.41,48.639999,48.860001,4102300,48.781631
2015-03-16,49.509998,49.799999,49.139999,49.310001,1946600,49.23091
2015-03-13,49.32,49.740002,48.57,49.200001,1917600,49.121086
2015-03-12,48.50,49.66,48.389999,49.560001,2122500,49.480509
2015-03-11,48.529999,48.73,48.07,48.200001,3641600,48.12269
2015-03-10,48.32,48.759998,48.220001,48.279999,1697400,48.20256
2015-03-09,48.279999,49.00,48.279999,48.720001,2463200,48.641856
2015-03-06,49.610001,49.849998,48.509998,48.619999,3346900,48.542014
2015-03-05,50.009998,50.490002,49.869999,50.119999,2403000,50.039608
2015-03-04,49.450001,50.139999,49.110001,50.049999,1815500,49.969721
2015-03-03,49.77,49.849998,49.009998,49.450001,1881500,49.370685
2015-03-02,50.209999,50.540001,49.779999,50.040001,3070600,49.959739
2015-02-27,50.200001,50.540001,49.860001,50.209999,1966400,50.129464
2015-02-26,50.50,50.540001,49.689999,50.09,2315700,50.009658
2015-02-25,51.310001,51.509998,50.439999,50.68,2253100,50.598712
2015-02-24,50.619999,51.380001,50.48,51.209999,2981500,51.12786
2015-02-23,50.25,50.59,49.259998,49.799999,2523600,49.720122
2015-02-20,50.16,50.330002,49.50,50.32,2863800,50.239288
2015-02-19,50.080002,50.73,49.900002,50.240002,2237500,50.159419
