Date,Open,High,Low,Close,Volume,Adj Close
2015-09-18,27.18,27.49,26.99,27.26,6258700,27.26
2015-09-17,27.530001,28.07,27.299999,27.549999,5094200,27.549999
2015-09-16,27.469999,27.629999,27.299999,27.549999,3399400,27.549999
2015-09-15,27.209999,27.60,26.969999,27.50,3263500,27.50
2015-09-14,27.110001,27.26,26.940001,27.10,3829700,27.10
2015-09-11,26.73,27.110001,26.65,27.110001,2801700,27.110001
2015-09-10,26.610001,26.959999,26.49,26.85,3609400,26.85
2015-09-09,27.00,27.17,26.559999,26.60,3637900,26.60
2015-09-08,26.709999,26.77,26.389999,26.76,4630600,26.76
2015-09-04,26.15,26.40,26.01,26.23,4963300,26.23
2015-09-03,26.34,26.90,26.34,26.59,4932400,26.59
2015-09-02,25.959999,26.209999,25.549999,26.200001,4309000,26.200001
2015-09-01,25.75,26.02,25.49,25.639999,5155000,25.639999
2015-08-31,26.120001,26.559999,25.879999,26.23,3611000,26.23
2015-08-28,26.18,26.52,26.059999,26.290001,3696100,26.290001
2015-08-27,26.030001,26.379999,25.790001,26.290001,5535000,26.290001
2015-08-26,25.610001,25.860001,24.809999,25.75,7568300,25.75
2015-08-25,26.110001,26.129999,24.879999,24.889999,8168300,24.889999
2015-08-24,24.959999,26.18,24.889999,25.290001,10756700,25.290001
2015-08-21,26.99,27.200001,26.530001,26.530001,5940100,26.530001
2015-08-20,27.85,27.959999,27.24,27.25,4054300,27.25
2015-08-19,28.08,28.34,27.93,28.09,3391500,28.09
2015-08-18,27.690001,28.59,27.65,28.35,8057100,28.35
2015-08-17,27.200001,27.620001,27.09,27.620001,2073200,27.620001
2015-08-14,27.040001,27.360001,27.01,27.219999,3039800,27.219999
2015-08-13,27.09,27.26,26.940001,27.040001,2722600,27.040001
2015-08-12,26.85,27.25,26.459999,27.09,3667500,27.09
2015-08-11,26.67,27.120001,26.52,27.10,4119600,27.10
2015-08-10,27.00,27.33,26.91,26.940001,3652700,26.940001
2015-08-07,26.459999,26.85,26.360001,26.83,4958600,26.83
2015-08-06,26.35,26.870001,26.280001,26.440001,7585600,26.440001
2015-08-05,26.67,26.709999,26.059999,26.200001,4826300,26.200001
2015-08-04,26.49,26.700001,26.32,26.459999,4195500,26.459999
2015-08-03,26.360001,26.530001,26.200001,26.440001,6074100,26.440001
2015-07-31,26.51,26.790001,26.309999,26.389999,6122600,26.389999
2015-07-30,26.35,26.690001,26.07,26.40,6269200,26.40
2015-07-29,25.780001,26.540001,25.780001,26.41,7493000,26.41
2015-07-28,24.200001,25.92,24.139999,25.629999,12557300,25.629999
2015-07-27,23.200001,23.389999,23.02,23.16,5525300,23.16
2015-07-24,23.799999,23.940001,23.15,23.370001,5728300,23.370001
2015-07-23,23.389999,24.25,23.25,23.799999,9118700,23.799999
2015-07-22,22.59,23.16,22.58,23.08,7561800,23.08
2015-07-21,22.90,23.030001,22.52,22.629999,5939800,22.629999
2015-07-20,22.889999,23.120001,22.870001,23.01,3525000,23.01
2015-07-17,23.209999,23.26,22.84,22.860001,2588100,22.860001
2015-07-16,23.58,23.719999,23.23,23.27,5570500,23.27
2015-07-15,23.67,23.709999,23.389999,23.40,3836200,23.40
2015-07-14,23.450001,23.67,23.42,23.639999,4163500,23.639999
2015-07-13,23.639999,23.75,23.40,23.52,4043100,23.52
2015-07-10,23.26,23.549999,23.209999,23.48,3162900,23.48
2015-07-09,23.299999,23.33,23.040001,23.049999,3634100,23.049999
2015-07-08,23.43,23.450001,22.879999,23.030001,4062500,23.030001
2015-07-07,23.52,23.65,22.99,23.620001,6215100,23.620001
2015-07-06,23.40,23.77,23.33,23.50,2871300,23.50
2015-07-02,23.82,23.870001,23.469999,23.60,3236200,23.60
2015-07-01,23.809999,24.110001,23.540001,23.77,5291800,23.77
2015-06-30,26.620001,26.899999,26.540001,26.67,4961500,23.435852
2015-06-29,27.110001,27.28,26.420001,26.440001,4091100,23.233744
2015-06-26,27.430001,27.620001,27.210001,27.299999,3285200,23.989455
2015-06-25,27.35,27.58,27.299999,27.410001,3224500,24.086117
2015-06-24,27.67,27.740001,27.28,27.330001,2627000,24.015818
2015-06-23,27.620001,27.740001,27.38,27.520001,3862300,24.182778
2015-06-22,27.889999,27.910001,27.489999,27.620001,3432700,24.270651
2015-06-19,27.740001,27.98,27.65,27.710001,4252800,24.349737
2015-06-18,27.520001,27.820001,27.520001,27.730001,4658500,24.367312
2015-06-17,27.38,27.57,27.17,27.45,3395600,24.121266
2015-06-16,27.340001,27.540001,27.240001,27.38,3306900,24.059754
2015-06-15,27.599999,27.76,27.37,27.430001,2780400,24.103691
2015-06-12,27.820001,28.08,27.740001,27.75,2834200,24.384886
2015-06-11,28.020001,28.38,27.85,27.920001,3397200,24.534271
2015-06-10,27.38,28.020001,27.310001,27.88,3539700,24.499121
2015-06-09,27.06,27.36,26.989999,27.28,2305900,23.97188
2015-06-08,27.320001,27.48,27.05,27.06,2311700,23.778559
2015-06-05,27.36,27.499999,27.15,27.420001,2020700,24.094904
2015-06-04,27.55,27.610001,27.240001,27.340001,2315900,24.024605
2015-06-03,27.55,27.85,27.389999,27.75,3204600,24.384886
2015-06-02,27.27,27.629999,27.07,27.47,2031200,24.13884
2015-06-01,27.209999,27.690002,26.999999,27.36,3622800,24.042179
2015-05-29,27.499999,27.57,27.06,27.07,3476600,23.787346
2015-05-28,27.410001,27.640001,27.320001,27.589999,2663700,24.244288
2015-05-27,27.230001,27.57,27.08,27.520001,1991000,24.182778
2015-05-26,27.240001,27.340001,26.999999,27.190002,2850600,23.892796
2015-05-22,27.780002,27.830001,27.340001,27.340001,2549600,24.024605
2015-05-21,27.230001,27.899999,27.06,27.809999,4368000,24.437609
2015-05-20,27.86,27.86,27.27,27.330001,3450400,24.015818
2015-05-19,27.399999,27.930001,27.399999,27.77,5318900,24.40246
2015-05-18,26.719999,27.230001,26.66,27.200001,2385700,23.901583
2015-05-15,27.140001,27.18,26.780002,26.799999,4400300,23.550087
2015-05-14,26.709999,27.219999,26.499999,27.16,4774000,23.866432
2015-05-13,26.35,26.690002,26.230001,26.489999,3452000,23.27768
2015-05-12,26.399999,26.440001,26.05,26.330001,2888000,23.137083
2015-05-11,26.370002,26.740001,26.240001,26.620001,5622600,23.391917
2015-05-08,26.790002,27.030001,26.38,26.45,5446800,23.242531
2015-05-07,26.100001,26.489999,26.07,26.389999,5403800,23.189806
2015-05-06,26.840001,26.96,25.820001,26.110001,8584200,22.943762
2015-05-05,27.25,27.499999,26.740001,26.76,5630300,23.514939
2015-05-04,27.16,27.46,27.05,27.38,5516300,24.059754
2015-05-01,26.48,27.389999,26.36,27.140001,4712600,23.848858
2015-04-30,26.690002,26.85,26.309999,26.489999,5313400,23.27768
2015-04-29,26.86,26.940001,26.510001,26.780002,5134100,23.532515
2015-04-28,26.520001,27.209999,26.430001,26.940001,11242900,23.673111
2015-04-27,26.35,26.740001,26.16,26.290002,8010300,23.101935
2015-04-24,26.200001,26.330001,26.010001,26.190002,3055200,23.014061
2015-04-23,26.489999,26.499999,25.999999,26.200001,5477000,23.022848
2015-04-22,26.66,26.97,26.489999,26.85,6977000,23.594025
2015-04-21,25.85,26.520001,25.790002,26.35,4570200,23.154658
2015-04-20,25.809999,26.010001,25.65,25.77,3634900,22.644991
2015-04-17,25.620001,25.76,25.47,25.65,4164500,22.539543
2015-04-16,26.430001,26.46,25.76,25.870002,4060500,22.732867
2015-04-15,26.520001,26.840001,26.420001,26.510001,3188600,23.295256
2015-04-14,26.420001,26.58,26.140001,26.430001,2602600,23.224957
2015-04-13,26.219999,26.75,26.219999,26.45,2072100,23.242531
2015-04-10,26.330001,26.600001,26.219999,26.57,2143900,23.347979
2015-04-09,26.290002,26.36,26.07,26.309999,2187300,23.119507
2015-04-08,26.17,26.48,26.110001,26.320001,4254200,23.128296
2015-04-07,26.899999,26.920001,26.280002,26.290002,3403300,23.022845
2015-04-06,26.600001,26.899999,26.47,26.870002,4984300,23.530767
2015-04-02,26.020001,26.740001,25.95,26.620001,6343400,23.311834
2015-04-01,26.809999,26.809999,25.97,26.07,4292200,22.830184
2015-03-31,26.340001,26.940001,26.230001,26.700001,4105000,23.381892
2015-03-30,26.38,26.870002,26.290002,26.45,5002400,23.16296
2015-03-27,25.86,26.290002,25.709999,26.209999,2929000,22.952785
2015-03-26,26.05,26.15,25.76,25.85,3432900,22.637524
2015-03-25,26.790002,26.920001,26.030001,26.129999,3954000,22.882726
2015-03-24,26.58,27.089999,26.409999,26.790002,2794900,23.460708
2015-03-23,26.799999,26.96,26.55,26.620001,2847600,23.311834
2015-03-20,26.27,26.920001,26.26,26.76,4698600,23.434435
2015-03-19,26.140001,26.299999,25.97,26.27,2849900,23.005329
2015-03-18,25.690002,26.35,25.49,26.209999,3537800,22.952785
2015-03-17,26.100001,26.120001,25.780002,25.840001,3699300,22.628767
