Date,Open,High,Low,Close,Volume,Adj Close
2015-09-18,82.449997,83.330002,82.110001,82.639999,3021300,82.639999
2015-09-17,83.050003,84.169998,82.830002,83.209999,868300,83.209999
2015-09-16,82.040001,83.309998,81.519997,83.199997,1002300,83.199997
2015-09-15,81.190002,81.980003,80.43,81.82,597400,81.82
2015-09-14,80.900002,81.449997,80.339996,81.099998,798600,81.099998
2015-09-11,79.940002,80.889999,79.529999,80.849998,598700,80.849998
2015-09-10,79.919998,80.779999,79.720001,80.059998,549900,80.059998
2015-09-09,81.370003,81.75,79.669998,79.879997,941600,79.879997
2015-09-08,79.800003,80.900002,79.120003,80.889999,870000,80.889999
2015-09-04,79.220001,79.349998,78.220001,78.769997,663400,78.769997
2015-09-03,79.419998,80.690002,79.199997,80.080002,766000,80.080002
2015-09-02,78.32,79.18,78.040001,79.18,745900,79.18
2015-09-01,78.529999,78.980003,77.279999,77.610001,992500,77.610001
2015-08-31,79.330002,79.650002,78.839996,79.279999,1041600,79.279999
2015-08-28,79.07,79.940002,78.800003,79.919998,1145800,79.919998
2015-08-27,78.559998,79.139999,77.919998,79.07,761600,79.07
2015-08-26,77.139999,78.269997,76.110001,78.099998,902300,78.099998
2015-08-25,78.620003,78.739998,76.019997,76.019997,946700,76.019997
2015-08-24,76.800003,77.690002,75.68,77.32,1325800,77.32
2015-08-21,81.629997,81.739998,79.910004,79.940002,835000,79.940002
2015-08-20,83.160004,83.370003,81.93,81.989998,655900,81.989998
2015-08-19,84.480003,84.480003,83.339996,83.510002,776200,83.510002
2015-08-18,84.989998,85.300003,84.589996,84.75,507900,84.75
2015-08-17,84.970001,85.230003,84.529999,85.00,540100,85.00
2015-08-14,84.559998,85.230003,84.360001,85.199997,406600,85.199997
2015-08-13,84.669998,84.989998,84.360001,84.510002,514500,84.510002
2015-08-12,84.129997,84.730003,83.019997,84.669998,944100,84.669998
2015-08-11,84.099998,84.779999,83.82,84.610001,945900,84.610001
2015-08-10,84.00,84.959999,83.830002,84.669998,821900,84.669998
2015-08-07,83.089996,83.610001,83.010002,83.580002,571600,83.580002
2015-08-06,83.690002,83.690002,82.980003,83.43,469200,83.43
2015-08-05,82.93,83.620003,82.779999,83.540001,506900,83.540001
2015-08-04,81.879997,82.93,81.760002,82.610001,622800,82.610001
2015-08-03,81.809998,82.309998,81.809998,82.040001,847600,82.040001
2015-07-31,82.269997,82.279999,81.739998,82.010002,1112200,82.010002
2015-07-30,81.080002,82.059998,80.839996,82.010002,620500,82.010002
2015-07-29,81.059998,81.470001,80.959999,81.400002,607900,81.400002
2015-07-28,80.07,81.169998,79.739998,81.129997,788300,81.129997
2015-07-27,79.690002,80.019997,79.470001,79.82,796300,79.82
2015-07-24,79.910004,80.300003,79.519997,79.889999,602300,79.889999
2015-07-23,80.459999,80.669998,80.00,80.099998,452000,80.099998
2015-07-22,80.150002,80.68,80.00,80.459999,602000,80.459999
2015-07-21,80.120003,80.459999,79.919998,80.18,777600,80.18
2015-07-20,80.010002,80.239998,79.699997,80.010002,403400,80.010002
2015-07-17,80.279999,80.589996,79.669998,80.010002,447700,80.010002
2015-07-16,80.510002,80.779999,80.230003,80.599998,464000,80.599998
2015-07-15,80.769997,80.769997,79.959999,80.029999,354300,80.029999
2015-07-14,80.620003,80.989998,80.519997,80.720001,395300,80.720001
2015-07-13,80.550003,80.639999,80.279999,80.599998,377100,80.599998
2015-07-10,79.440002,80.449997,79.440002,80.00,680200,80.00
2015-07-09,80.080002,80.230003,79.330002,79.389999,987300,79.389999
2015-07-08,80.18,80.540001,79.510002,79.629997,951800,79.229997
2015-07-07,79.379997,80.610001,78.760002,80.580002,770200,80.175229
2015-07-06,79.720001,80.110001,78.989998,79.389999,986400,78.991204
2015-07-02,79.580002,80.410004,79.220001,79.959999,1245000,79.558341
2015-07-01,78.230003,79.660004,77.860001,79.57,2135900,79.1703
2015-06-30,80.50,81.360001,80.400002,80.949997,1182200,80.543366
2015-06-29,81.459999,81.459999,80.129997,80.160004,685300,79.757341
2015-06-26,81.790001,81.910004,81.239998,81.459999,667100,81.050806
2015-06-25,82.389999,82.389999,81.339996,81.550003,581900,81.140358
2015-06-24,81.129997,82.260002,81.129997,81.419998,1380000,81.011006
2015-06-23,80.260002,80.440002,80.010002,80.260002,697200,79.856837
2015-06-22,79.489998,80.639999,79.43,80.209999,454100,79.807085
2015-06-19,79.00,79.57,78.980003,79.239998,492400,78.841956
2015-06-18,78.510002,79.529999,78.260002,79.110001,484100,78.712612
2015-06-17,78.279999,78.57,77.870003,78.269997,308500,77.876828
2015-06-16,77.00,78.230003,76.919998,78.199997,389700,77.80718
2015-06-15,76.57,77.300003,76.230003,76.82,538900,76.434114
2015-06-12,76.900002,77.209999,76.68,76.970001,252700,76.583362
2015-06-11,77.199997,77.389999,77.010002,77.139999,313600,76.752507
2015-06-10,76.660004,77.25,76.660004,77.110001,296300,76.722658
2015-06-09,76.809998,77.019997,76.519997,76.529999,324200,76.14557
2015-06-08,76.599998,76.959999,76.160004,76.699997,407700,76.314714
2015-06-05,77.139999,77.459999,76.160004,76.720001,764700,76.334618
2015-06-04,77.989998,78.040001,77.129997,77.209999,453500,76.822155
2015-06-03,78.220001,78.339996,77.519997,78.00,448400,77.608187
