Date,Open,High,Low,Close,Volume,Adj Close
2015-09-18,89.089996,89.220001,87.68,88.099998,5203300,88.099998
2015-09-17,90.43,91.25,89.900002,90.099998,5243200,90.099998
2015-09-16,90.489998,90.779999,89.419998,90.389999,4881300,90.389999
2015-09-15,90.550003,91.110001,90.040001,90.879997,3498800,90.879997
2015-09-14,92.669998,92.699997,90.040001,90.139999,5171900,90.139999
2015-09-11,92.830002,93.209999,92.080002,92.489998,3883500,92.489998
2015-09-10,93.07,94.300003,93.00,93.760002,3175700,93.760002
2015-09-09,94.480003,95.68,92.550003,93.239998,5968800,93.239998
2015-09-08,95.82,96.290001,94.50,95.25,4049100,95.25
2015-09-04,95.599998,96.540001,95.099998,95.75,2248700,95.75
2015-09-03,97.379997,97.620003,96.769997,96.970001,2606700,96.970001
2015-09-02,96.739998,97.239998,95.489998,97.209999,2502600,97.209999
2015-09-01,95.220001,96.889999,94.919998,95.800003,4946600,95.800003
2015-08-31,98.080002,98.349998,97.25,97.650002,4221400,97.650002
2015-08-28,98.550003,98.580002,97.669998,98.379997,4885600,98.379997
2015-08-27,98.50,99.480003,97.120003,98.400002,7405100,98.400002
2015-08-26,91.309998,97.639999,89.699997,97.080002,12458500,97.080002
2015-08-25,96.739998,96.739998,89.339996,89.419998,6649000,89.419998
2015-08-24,92.580002,94.32,91.220001,93.550003,6834000,93.550003
2015-08-21,99.900002,100.00,97.349998,97.470001,4547700,97.470001
2015-08-20,101.93,102.089996,100.099998,100.150002,3318600,100.150002
2015-08-19,102.370003,103.330002,101.559998,102.349998,3535900,102.349998
2015-08-18,103.339996,103.489998,102.699997,102.809998,1767300,102.809998
2015-08-17,103.099998,103.82,102.82,103.449997,1959900,103.449997
2015-08-14,102.910004,103.550003,102.849998,103.169998,2447200,103.169998
2015-08-13,103.169998,103.839996,102.57,103.32,1946500,103.32
2015-08-12,101.790001,103.269997,100.959999,103.25,2818500,103.25
2015-08-11,102.599998,102.650002,101.730003,102.529999,2081000,102.529999
2015-08-10,101.830002,103.449997,101.650002,103.190002,1706400,103.190002
2015-08-07,102.07,102.32,100.980003,101.25,1667000,101.25
2015-08-06,102.360001,102.779999,101.879997,102.18,1566400,102.18
2015-08-05,103.18,103.68,102.379997,102.760002,1825400,102.760002
2015-08-04,102.010002,103.610001,101.809998,102.379997,2013900,102.379997
2015-08-03,101.690002,102.800003,101.669998,102.279999,2960500,102.279999
2015-07-31,103.330002,103.629997,101.730003,101.889999,2153400,101.889999
2015-07-30,102.160004,103.209999,101.959999,103.019997,1921400,103.019997
2015-07-29,101.690002,102.650002,101.370003,102.00,2268500,102.00
2015-07-28,101.650002,101.779999,99.980003,101.620003,4798300,101.620003
2015-07-27,102.629997,102.639999,101.209999,101.459999,3354700,101.459999
2015-07-24,103.889999,104.050003,102.480003,102.860001,2898900,102.860001
2015-07-23,105.230003,105.330002,103.870003,104.050003,2163300,104.050003
2015-07-22,106.290001,106.650002,105.00,105.349998,2257200,105.349998
2015-07-21,107.089996,107.440002,106.110001,106.370003,2310400,106.370003
2015-07-20,106.93,107.239998,106.279999,107.00,2000300,107.00
2015-07-17,107.790001,107.949997,106.93,107.080002,2819300,107.080002
2015-07-16,107.699997,108.32,107.290001,107.82,1783500,107.82
2015-07-15,108.43,108.690002,106.940002,107.32,2736500,107.32
2015-07-14,108.529999,108.68,107.529999,107.800003,2594200,107.800003
2015-07-13,109.589996,109.589996,108.379997,108.68,2671200,108.68
2015-07-10,108.00,109.050003,107.00,108.809998,3325200,108.809998
2015-07-09,107.029999,107.370003,106.120003,106.510002,3445500,106.510002
2015-07-08,107.209999,108.269997,105.580002,105.980003,2697000,105.980003
2015-07-07,107.449997,108.029999,106.699997,107.800003,4413200,107.800003
2015-07-06,107.650002,108.040001,107.010002,107.699997,3858800,107.699997
2015-07-02,107.910004,108.480003,107.150002,108.349998,3962800,108.349998
2015-07-01,106.800003,107.82,106.699997,107.660004,5199300,107.660004
2015-06-30,104.959999,107.419998,103.43,106.589996,7543200,106.589996
2015-06-29,104.150002,105.459999,103.139999,103.279999,3381700,102.789996
2015-06-26,107.300003,108.199997,105.07,105.209999,4853700,104.71084
2015-06-25,106.82,108.339996,105.959999,107.300003,4915200,106.790928
2015-06-24,112.199997,112.199997,106.199997,106.32,11295700,105.815574
2015-06-23,114.139999,114.699997,112.639999,112.779999,3647400,112.244924
2015-06-22,113.110001,114.669998,113.019997,114.339996,2681100,113.79752
2015-06-19,113.989998,114.230003,112.57,112.629997,4163600,112.095634
2015-06-18,112.919998,114.639999,112.919998,114.449997,2300800,113.906999
2015-06-17,113.290001,113.669998,112.220001,113.139999,1635500,112.603217
2015-06-16,112.510002,113.18,112.370003,112.849998,1328900,112.314592
2015-06-15,113.07,113.43,112.339996,112.489998,2185900,111.956299
2015-06-12,114.910004,115.099998,113.870003,114.120003,2871200,113.578571
2015-06-11,115.059998,115.449997,114.209999,115.080002,1561700,114.534015
2015-06-10,114.080002,115.129997,113.57,114.489998,2045900,113.94681
2015-06-09,113.559998,114.440002,112.940002,113.540001,2940400,113.001321
2015-06-08,114.010002,114.769997,113.510002,113.919998,2927300,113.379515
2015-06-05,113.790001,114.43,113.190002,113.800003,2736900,113.260089
2015-06-04,114.230003,115.110001,113.32,113.580002,4157800,113.041132
2015-06-03,116.900002,117.110001,115.50,115.75,2968700,115.200834
2015-06-02,116.529999,117.029999,115.620003,116.580002,1926700,116.026898
2015-06-01,117.370003,117.470001,115.919998,116.610001,2563800,116.056755
2015-05-29,119.050003,119.089996,116.75,116.980003,4198600,116.425002
2015-05-28,118.18,120.00,118.18,118.599998,2548700,118.037311
2015-05-27,118.190002,119.32,118.029999,118.559998,1856000,117.9975
2015-05-26,119.599998,119.620003,117.900002,117.93,2325800,117.370492
2015-05-22,120.139999,121.089996,119.769997,120.290001,2663100,119.719296
2015-05-21,118.830002,120.129997,118.599998,120.00,1921000,119.430671
2015-05-20,119.980003,119.980003,118.440002,118.769997,2910200,118.206503
2015-05-19,120.019997,120.650002,119.309998,119.910004,2009700,119.341101
2015-05-18,120.910004,120.989998,120.220001,120.32,2925100,119.749152
2015-05-15,120.32,120.900002,119.870003,120.82,3189000,120.24678
2015-05-14,118.68,120.959999,118.589996,120.720001,3764800,120.147256
2015-05-13,116.470001,118.559998,115.949997,118.25,3596200,117.688973
2015-05-12,116.839996,117.830002,115.93,116.059998,3829200,115.509361
2015-05-11,120.540001,120.940002,117.650002,118.00,4877200,117.44016
2015-05-08,120.120003,123.82,118.360001,120.790001,8032700,120.216924
2015-05-07,116.080002,119.309998,115.339996,119.129997,3676900,118.564796
2015-05-06,116.639999,117.25,116.019997,116.300003,1968700,115.748228
2015-05-05,115.959999,117.139999,115.940002,116.650002,2340800,116.096566
2015-05-04,116.669998,117.849998,115.879997,115.919998,3428300,115.370026
2015-05-01,117.879997,118.660004,115.839996,118.440002,8026400,117.878074
