Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,115.120003,115.68,114.589996,114.82,1834700,114.82
2015-08-17,114.120003,115.129997,113.089996,114.980003,1957500,114.980003
2015-08-14,113.589996,114.57,113.110001,114.360001,2342600,114.360001
2015-08-13,113.269997,114.529999,112.949997,113.599998,2927200,113.599998
2015-08-12,113.540001,113.75,110.650002,113.059998,3563500,113.059998
2015-08-11,114.139999,114.989998,113.629997,114.459999,2540700,114.459999
2015-08-10,115.389999,116.169998,114.849998,115.360001,2282100,115.360001
2015-08-07,114.720001,114.959999,113.099998,114.510002,2945900,114.510002
2015-08-06,117.00,117.50,114.370003,115.120003,3104400,115.120003
2015-08-05,116.610001,117.720001,116.349998,116.75,3416700,116.75
2015-08-04,114.949997,115.93,114.330002,115.769997,2601900,115.769997
2015-08-03,115.510002,116.00,113.589996,114.830002,2493300,114.830002
2015-07-31,115.50,115.940002,114.830002,115.220001,2477100,115.220001
2015-07-30,114.949997,115.400002,113.940002,115.010002,2792900,115.010002
2015-07-29,113.580002,115.339996,113.50,114.919998,3358900,114.919998
2015-07-28,112.07,113.910004,111.849998,113.470001,3438400,113.470001
2015-07-27,112.400002,112.919998,110.949997,111.730003,3317200,111.730003
2015-07-24,114.18,114.18,112.470001,112.989998,2975800,112.989998
2015-07-23,114.50,114.699997,113.809998,114.00,3357100,114.00
2015-07-22,112.870003,114.220001,112.870003,114.089996,2970100,114.089996
2015-07-21,112.980003,113.57,112.720001,112.989998,2292400,112.989998
2015-07-20,113.269997,113.550003,112.82,113.129997,2735300,113.129997
2015-07-17,112.370003,112.980003,111.900002,112.800003,2262200,112.800003
2015-07-16,112.760002,112.900002,111.849998,112.339996,2167300,112.339996
2015-07-15,112.00,112.389999,111.690002,111.900002,2508200,111.900002
2015-07-14,112.839996,113.059998,111.919998,112.339996,2778000,112.339996
2015-07-13,111.239998,112.550003,110.800003,112.410004,2498600,112.410004
2015-07-10,110.529999,110.800003,109.00,110.519997,2579600,110.519997
2015-07-09,110.239998,110.919998,109.190002,109.440002,3082800,109.440002
2015-07-08,110.220001,110.75,109.00,109.269997,3319500,109.269997
2015-07-07,110.080002,111.330002,109.059998,111.290001,3602300,111.290001
2015-07-06,109.089996,110.510002,109.010002,109.839996,2492100,109.839996
2015-07-02,109.910004,110.730003,109.089996,109.870003,2932500,109.870003
2015-07-01,108.949997,109.43,108.589996,109.43,2883600,109.43
2015-06-30,108.849998,108.879997,107.800003,108.019997,3723900,108.019997
2015-06-29,109.269997,109.489998,107.660004,107.669998,4486300,107.669998
2015-06-26,108.370003,110.339996,108.370003,109.709999,9993800,109.709999
2015-06-25,106.809998,106.809998,104.669998,105.220001,4524700,105.220001
2015-06-24,107.199997,107.370003,106.040001,106.220001,2516800,106.220001
2015-06-23,107.199997,107.260002,106.82,107.199997,2792700,107.199997
2015-06-22,106.860001,107.449997,106.650002,106.790001,2072200,106.790001
2015-06-19,106.029999,106.849998,105.940002,106.529999,3554900,106.529999
2015-06-18,105.050003,106.669998,105.010002,106.00,2840700,106.00
2015-06-17,104.739998,105.169998,104.080002,104.75,2034000,104.75
2015-06-16,103.480003,104.980003,103.440002,104.559998,2508900,104.559998
2015-06-15,103.099998,103.849998,102.730003,103.349998,2424800,103.349998
2015-06-12,103.550003,104.099998,103.209999,103.779999,2060200,103.779999
2015-06-11,105.089996,105.120003,103.470001,103.879997,3049300,103.879997
2015-06-10,101.830002,104.029999,101.660004,103.339996,3117900,103.339996
2015-06-09,101.489998,101.93,100.779999,101.349998,1716800,101.349998
2015-06-08,101.599998,101.889999,101.379997,101.440002,2067700,101.440002
2015-06-05,101.50,102.25,101.129997,102.029999,1885700,102.029999
2015-06-04,102.059998,103.300003,101.620003,101.949997,2140800,101.949997
2015-06-03,102.290001,103.089996,101.769997,102.510002,2372500,102.510002
2015-06-02,101.800003,102.690002,101.50,102.110001,2487200,102.110001
2015-06-01,101.769997,102.290001,101.449997,101.760002,2472000,101.760002
2015-05-29,102.300003,102.379997,101.040001,101.669998,2772600,101.669998
2015-05-28,102.230003,102.949997,101.510002,102.300003,2890800,102.300003
2015-05-27,103.480003,103.919998,102.309998,102.839996,4448400,102.559996
2015-05-26,104.43,104.75,103.18,103.419998,2845700,103.138419
2015-05-22,105.209999,105.220001,104.040001,104.43,2827400,104.145671
2015-05-21,104.870003,105.199997,104.239998,104.400002,2727600,104.115754
2015-05-20,104.919998,105.150002,104.209999,104.610001,2699600,104.325181
2015-05-19,104.620003,105.18,104.349998,104.639999,2985600,104.355098
2015-05-18,105.110001,105.50,104.419998,104.75,2522600,104.464799
2015-05-15,103.650002,105.029999,103.370003,104.980003,3932600,104.694176
2015-05-14,102.940002,103.510002,102.309998,103.440002,2716700,103.158368
2015-05-13,102.690002,102.730003,101.790001,102.160004,2254100,101.881855
2015-05-12,101.980003,102.690002,101.599998,102.370003,2338200,102.091282
2015-05-11,102.419998,103.220001,102.089996,102.790001,2669900,102.510137
2015-05-08,102.290001,103.300003,102.290001,102.440002,2767400,102.161091
2015-05-07,100.449997,101.589996,100.019997,101.449997,2763100,101.173781
2015-05-06,100.269997,101.00,99.68,100.220001,2698300,99.947134
2015-05-05,100.43,100.870003,100.260002,100.419998,2552200,100.146587
2015-05-04,101.00,101.199997,100.480003,100.830002,2278900,100.555474
2015-05-01,99.879997,100.82,99.410004,100.779999,3341700,100.505607
2015-04-30,99.75,100.510002,98.459999,98.839996,3248500,98.570887
2015-04-29,99.529999,100.489998,99.260002,100.169998,2697600,99.897267
2015-04-28,100.800003,100.800003,99.190002,99.860001,3015800,99.588114
2015-04-27,101.269997,102.00,100.769997,100.940002,2579200,100.665175
2015-04-24,100.459999,101.279999,100.209999,100.949997,2167000,100.675142
2015-04-23,99.779999,101.599998,99.449997,101.110001,2334100,100.83471
2015-04-22,100.300003,100.389999,99.290001,100.150002,1952900,99.877325
2015-04-21,100.760002,100.849998,99.720001,100.290001,2562600,100.016943
2015-04-20,99.080002,100.339996,99.019997,99.989998,3104300,99.717757
2015-04-17,99.169998,99.370003,98.139999,98.550003,3024800,98.281683
2015-04-16,99.489998,100.169998,99.400002,99.900002,2052000,99.628006
2015-04-15,100.629997,100.730003,99.730003,99.830002,2858100,99.558197
2015-04-14,99.059998,99.809998,98.699997,99.529999,2385400,99.25901
2015-04-13,99.970001,100.059998,99.059998,99.269997,3656900,98.999716
2015-04-10,100.919998,101.080002,99.93,99.970001,2959100,99.697815
2015-04-09,101.00,101.690002,100.599998,100.720001,2650500,100.445773
2015-04-08,100.00,100.970001,99.720001,100.839996,3261200,100.565441
2015-04-07,99.730003,100.260002,99.470001,99.610001,1996800,99.338794
2015-04-06,98.75,100.629997,98.550003,99.730003,2513700,99.45847
2015-04-02,100.040001,100.32,99.389999,99.660004,1920200,99.388661
2015-04-01,100.00,100.279999,98.339996,99.550003,3302700,99.27896
2015-03-31,100.879997,101.839996,100.290001,100.330002,3154600,100.056835
2015-03-30,101.230003,101.550003,100.540001,100.889999,2717700,100.615308
2015-03-27,99.120003,100.18,99.120003,99.879997,2201800,99.608056
2015-03-26,98.339996,100.089996,97.669998,99.330002,4739900,99.059558
2015-03-25,101.00,101.18,98.940002,98.989998,4066700,98.72048
2015-03-24,101.050003,101.660004,100.599998,100.650002,3799400,100.375964
2015-03-23,101.550003,102.599998,101.199997,101.459999,5235900,101.183756
2015-03-20,102.629997,103.790001,101.25,101.980003,14889900,101.702344
2015-03-19,97.809998,98.620003,97.209999,98.32,6768000,98.052306
2015-03-18,96.540001,97.870003,95.610001,97.510002,4427800,97.244514
2015-03-17,96.139999,96.779999,95.510002,96.540001,3204100,96.277153
2015-03-16,96.199997,96.800003,95.93,96.440002,4248500,96.177427
2015-03-13,97.040001,97.480003,95.300003,95.809998,3698100,95.549138
2015-03-12,95.50,97.099998,95.379997,97.040001,2904900,96.775792
2015-03-11,96.379997,97.080002,95.18,95.339996,3742100,95.080416
2015-03-10,96.419998,96.970001,96.25,96.510002,3548000,96.247236
2015-03-09,97.089996,97.82,96.940002,97.43,2969400,97.16473
2015-03-06,98.459999,98.690002,96.599998,96.910004,3587300,96.646149
2015-03-05,97.959999,98.68,97.790001,98.459999,3316800,98.191924
2015-03-04,97.669998,97.870003,96.959999,97.519997,2426500,97.254481
