Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,46.700001,46.93,46.299999,46.459999,1252300,46.459999
2015-08-17,46.060001,47.00,45.830002,46.959999,2072600,46.959999
2015-08-14,45.48,46.490002,45.360001,46.310001,2118400,46.310001
2015-08-13,44.57,45.50,44.369999,45.459999,2016500,45.459999
2015-08-12,44.889999,44.970001,43.84,44.740002,2084500,44.740002
2015-08-11,45.610001,45.91,45.09,45.279999,2385400,45.279999
2015-08-10,45.299999,46.709999,44.919998,46.689999,2225600,46.689999
2015-08-07,45.439999,46.080002,44.98,45.139999,2321900,45.139999
2015-08-06,45.439999,45.98,45.290001,45.700001,2016800,45.700001
2015-08-05,45.299999,46.16,45.299999,45.490002,2182300,45.490002
2015-08-04,44.759998,45.080002,44.549999,44.990002,1837300,44.990002
2015-08-03,44.009998,44.549999,43.549999,44.529999,1777900,44.529999
2015-07-31,45.18,45.32,44.009998,44.139999,3099700,44.139999
2015-07-30,45.400002,45.759998,44.43,44.849998,2483100,44.849998
2015-07-29,44.630001,45.509998,44.48,45.439999,2981200,45.439999
2015-07-28,44.41,44.830002,44.009998,44.50,3838900,44.50
2015-07-27,42.450001,44.290001,42.25,43.799999,4162400,43.799999
2015-07-24,43.450001,43.560001,42.450001,42.639999,3352800,42.639999
2015-07-23,42.540001,43.970001,42.50,43.490002,3990000,43.490002
2015-07-22,42.07,42.48,41.459999,42.18,3160700,42.18
2015-07-21,42.150002,43.259998,42.150002,42.580002,2940100,42.580002
2015-07-20,42.66,42.700001,42.09,42.18,1864000,42.18
2015-07-17,43.099998,43.32,42.50,42.689999,1898200,42.689999
2015-07-16,43.939999,43.939999,43.099998,43.259998,1591800,43.259998
2015-07-15,44.18,44.18,43.220001,43.52,1435100,43.52
2015-07-14,43.950001,44.310001,43.689999,44.18,1053900,44.18
2015-07-13,43.77,44.389999,43.299999,44.150002,1590700,44.150002
2015-07-10,43.459999,43.799999,43.27,43.349998,1264900,43.349998
2015-07-09,43.470001,43.689999,42.959999,42.959999,1588500,42.959999
2015-07-08,43.779999,43.799999,42.75,42.799999,1894000,42.799999
2015-07-07,43.259998,44.25,42.240002,44.110001,3237100,44.110001
2015-07-06,43.599998,44.34,43.310001,43.639999,1719600,43.639999
2015-07-02,44.490002,44.66,43.669998,44.25,1949200,44.25
2015-07-01,44.349998,44.889999,44.200001,44.490002,2186800,44.490002
2015-06-30,45.41,45.459999,43.91,44.07,2656000,44.07
2015-06-29,45.91,46.32,44.93,45.009998,1993700,45.009998
2015-06-26,46.939999,47.389999,46.200001,46.25,2456500,46.25
2015-06-25,47.50,48.049999,47.259998,47.299999,1435000,46.927
2015-06-24,48.029999,48.27,47.380001,47.43,1445800,47.055976
2015-06-23,47.32,48.189999,47.060001,48.099998,1547200,47.720691
2015-06-22,47.50,48.00,47.02,47.169998,1820100,46.798024
2015-06-19,47.599998,47.93,47.330002,47.50,2100800,47.125424
2015-06-18,47.169998,48.060001,47.139999,47.84,2501600,47.462743
2015-06-17,48.240002,48.380001,47.50,48.119999,860900,47.740534
2015-06-16,47.330002,48.169998,47.200001,48.09,1174100,47.710771
2015-06-15,48.119999,48.119999,47.419998,47.50,1420000,47.125424
