Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,21.549999,21.639999,21.379999,21.48,1435300,21.48
2015-08-17,21.25,21.60,21.129999,21.50,1233200,21.50
2015-08-14,21.370001,21.450001,21.23,21.32,1101600,21.32
2015-08-13,21.40,21.49,21.219999,21.24,1160500,21.24
2015-08-12,21.290001,21.49,21.09,21.43,2666700,21.43
2015-08-11,20.940001,21.35,20.92,21.33,2568400,21.33
2015-08-10,20.790001,21.15,20.790001,21.129999,1557300,21.129999
2015-08-07,20.82,20.84,20.57,20.709999,1440400,20.709999
2015-08-06,20.68,20.92,20.49,20.870001,1628900,20.870001
2015-08-05,20.75,20.969999,20.629999,20.68,983000,20.68
2015-08-04,20.370001,20.75,20.34,20.57,2011000,20.57
2015-08-03,20.92,20.940001,20.17,20.35,2491300,20.35
2015-07-31,20.540001,20.99,20.33,20.92,3468200,20.92
2015-07-30,20.639999,21.23,20.17,20.450001,2641800,20.450001
2015-07-29,20.540001,20.940001,20.43,20.77,1756600,20.77
2015-07-28,20.440001,20.74,20.280001,20.59,1337900,20.59
2015-07-27,20.25,20.370001,20.120001,20.280001,1320000,20.280001
2015-07-24,20.92,20.950001,20.209999,20.309999,2810000,20.309999
2015-07-23,21.08,21.129999,20.889999,20.93,1147000,20.93
2015-07-22,20.530001,21.23,20.50,21.07,1719400,21.07
2015-07-21,21.129999,21.190001,20.42,20.57,1419700,20.57
2015-07-20,21.139999,21.280001,21.059999,21.209999,901200,21.209999
2015-07-17,21.32,21.40,20.99,21.09,769600,21.09
2015-07-16,21.43,21.49,21.309999,21.34,726000,21.34
2015-07-15,21.360001,21.360001,21.200001,21.299999,846500,21.299999
2015-07-14,21.18,21.379999,21.129999,21.35,1006300,21.35
2015-07-13,21.27,21.27,20.99,21.139999,911000,21.139999
2015-07-10,20.969999,21.139999,20.83,21.08,987600,21.08
2015-07-09,20.85,20.940001,20.65,20.73,967200,20.73
2015-07-08,20.969999,21.07,20.629999,20.639999,949900,20.639999
2015-07-07,20.84,21.129999,20.57,21.10,1699300,21.10
2015-07-06,20.68,20.959999,20.67,20.860001,1116900,20.860001
2015-07-02,21.00,21.129999,20.719999,20.889999,962600,20.889999
2015-07-01,20.90,21.049999,20.65,20.809999,2403000,20.809999
2015-06-30,21.370001,21.450001,20.790001,20.809999,2347900,20.809999
2015-06-29,21.40,21.51,21.16,21.18,2137700,21.18
2015-06-26,21.41,21.549999,21.309999,21.49,1790700,21.49
2015-06-25,21.75,21.76,21.389999,21.43,1198600,21.43
2015-06-24,22.09,22.15,21.74,21.76,1168500,21.76
2015-06-23,21.90,22.18,21.85,22.129999,1168500,22.129999
2015-06-22,22.07,22.07,21.879999,21.92,601300,21.92
2015-06-19,21.98,22.120001,21.889999,21.98,1390100,21.98
2015-06-18,21.780001,22.059999,21.73,21.940001,794500,21.940001
2015-06-17,21.66,21.799999,21.620001,21.700001,801100,21.700001
2015-06-16,21.540001,21.68,21.51,21.620001,862700,21.620001
2015-06-15,21.91,21.959999,21.440001,21.57,1431300,21.57
2015-06-12,22.059999,22.120001,21.74,21.74,902400,21.74
2015-06-11,22.16,22.450001,22.139999,22.190001,1412200,22.190001
2015-06-10,21.610001,22.27,21.549999,22.030001,1678900,22.030001
2015-06-09,21.76,21.790001,21.59,21.610001,703800,21.610001
2015-06-08,21.790001,21.85,21.690001,21.77,1102600,21.77
2015-06-05,21.67,21.85,21.50,21.82,1347800,21.82
2015-06-04,21.860001,22.00,21.68,21.73,922600,21.73
2015-06-03,21.969999,22.190001,21.92,21.93,858000,21.93
2015-06-02,21.799999,22.040001,21.790001,21.90,1066100,21.90
2015-06-01,21.879999,22.030001,21.709999,21.879999,1352000,21.879999
2015-05-29,22.209999,22.27,21.809999,21.85,2024700,21.85
2015-05-28,22.620001,22.68,22.15,22.24,1592400,22.24
2015-05-27,22.690001,22.83,22.629999,22.68,1186600,22.68
2015-05-26,22.959999,22.98,22.76,22.90,2209700,22.712
2015-05-22,22.790001,23.040001,22.780001,22.99,943400,22.801261
2015-05-21,22.870001,22.99,22.790001,22.85,988700,22.662411
2015-05-20,22.700001,23.00,22.610001,22.870001,994400,22.682248
2015-05-19,22.98,23.049999,22.620001,22.700001,1012200,22.513643
2015-05-18,23.07,23.110001,22.90,23.00,1145900,22.81118
2015-05-15,22.85,23.120001,22.74,23.110001,1789900,22.920277
2015-05-14,22.889999,22.940001,22.73,22.860001,1150600,22.672329
2015-05-13,22.690001,22.82,22.620001,22.719999,1845800,22.533478
2015-05-12,22.67,22.690001,22.389999,22.639999,1912800,22.454134
2015-05-11,22.57,22.780001,22.57,22.709999,1386800,22.523559
2015-05-08,22.42,22.65,22.40,22.620001,1676900,22.4343
2015-05-07,22.15,22.309999,22.049999,22.23,1669500,22.0475
2015-05-06,22.68,22.690001,22.17,22.24,1906200,22.057419
2015-05-05,23.00,23.110001,22.68,22.68,2030900,22.493807
2015-05-04,22.82,23.139999,22.790001,23.120001,2521300,22.930195
2015-05-01,22.559999,22.91,22.50,22.83,3156800,22.642575
2015-04-30,22.440001,22.780001,21.77,22.370001,4843600,22.186352
2015-04-29,22.790001,22.91,22.49,22.549999,3144800,22.364873
2015-04-28,22.719999,22.91,22.629999,22.879999,2065400,22.692164
2015-04-27,22.92,22.98,22.67,22.690001,2400600,22.503725
2015-04-24,23.139999,23.290001,22.84,22.91,1609400,22.721918
2015-04-23,23.15,23.370001,22.969999,23.17,1347100,22.979784
2015-04-22,23.110001,23.24,22.76,23.23,1899000,23.039291
2015-04-21,23.25,23.35,22.950001,23.120001,1927300,22.930195
2015-04-20,23.360001,23.52,23.209999,23.23,1389500,23.039291
2015-04-17,23.35,23.540001,23.25,23.27,1617200,23.078963
2015-04-16,23.51,23.65,23.41,23.57,1046300,23.3765
2015-04-15,23.610001,23.790001,23.530001,23.59,1428200,23.396336
2015-04-14,23.57,23.75,23.370001,23.530001,1057500,23.336829
2015-04-13,23.549999,23.84,23.49,23.620001,1520200,23.42609
2015-04-10,23.50,23.93,23.450001,23.59,2133800,23.396336
2015-04-09,23.40,23.60,23.209999,23.33,1785700,23.13847
2015-04-08,23.25,23.43,23.120001,23.370001,1319000,23.178143
2015-04-07,23.32,23.49,23.219999,23.24,1659500,23.049209
2015-04-06,23.280001,23.52,23.23,23.360001,1317000,23.168225
2015-04-02,23.540001,23.790001,23.52,23.530001,764100,23.336829
2015-04-01,23.27,23.620001,23.23,23.59,1943500,23.396336
2015-03-31,23.60,23.620001,23.280001,23.32,1537500,23.128552
2015-03-30,23.41,23.940001,23.41,23.77,1188600,23.574859
2015-03-27,23.40,23.57,23.24,23.33,1079800,23.13847
2015-03-26,23.48,23.540001,23.139999,23.389999,1555700,23.197977
2015-03-25,23.969999,24.02,23.59,23.59,1594400,23.396336
2015-03-24,23.98,24.17,23.90,23.93,1834200,23.733545
2015-03-23,23.98,24.10,23.879999,23.98,1879400,23.783134
2015-03-20,23.35,24.00,23.309999,23.959999,2648900,23.763297
2015-03-19,23.309999,23.389999,23.18,23.25,1569300,23.059127
2015-03-18,22.879999,23.459999,22.65,23.34,1332400,23.148388
