Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,43.00,43.07,42.700001,43.029999,2151500,43.029999
2015-08-17,42.849998,43.349998,42.77,43.150002,2524300,43.150002
2015-08-14,42.27,42.939999,42.150002,42.91,2044600,42.91
2015-08-13,42.299999,42.529999,41.799999,42.310001,4081100,42.310001
2015-08-12,42.349998,43.099998,42.25,42.50,5337600,42.50
2015-08-11,41.91,42.790001,41.860001,42.470001,3916800,42.470001
2015-08-10,42.389999,42.490002,41.73,41.919998,2788100,41.919998
2015-08-07,41.52,42.509998,41.279999,42.439999,3213900,42.439999
2015-08-06,41.150002,41.650002,40.720001,41.599998,3785300,41.599998
2015-08-05,40.869999,41.290001,40.75,41.189999,3588100,41.189999
2015-08-04,41.509998,41.509998,40.57,40.639999,2433300,40.639999
2015-08-03,41.830002,41.970001,41.400002,41.630001,2614600,41.630001
2015-07-31,41.43,42.119999,41.040001,41.669998,4038800,41.669998
2015-07-30,40.470001,41.310001,40.389999,41.259998,3421500,41.259998
2015-07-29,40.209999,40.720001,39.950001,40.68,3205200,40.68
2015-07-28,40.189999,40.450001,39.98,40.299999,3299500,40.299999
2015-07-27,39.790001,40.369999,39.779999,40.189999,2525600,40.189999
2015-07-24,39.799999,39.939999,39.650002,39.779999,2228200,39.779999
2015-07-23,40.73,40.73,39.41,39.759998,3137500,39.759998
2015-07-22,40.59,41.009998,40.50,40.759998,3166600,40.759998
2015-07-21,41.23,41.32,40.290001,40.490002,2818600,40.490002
2015-07-20,41.380001,41.470001,41.09,41.34,2926000,41.34
2015-07-17,41.900002,41.900002,41.299999,41.41,2502600,41.41
2015-07-16,41.080002,41.919998,41.049999,41.889999,1788600,41.889999
2015-07-15,40.889999,41.049999,40.639999,41.049999,2326000,41.049999
2015-07-14,40.970001,41.34,40.75,40.880001,2443400,40.880001
2015-07-13,41.439999,41.439999,40.66,40.98,1955300,40.98
2015-07-10,41.18,41.639999,41.00,41.259998,3054000,41.259998
2015-07-09,41.50,41.82,40.990002,41.200001,3297800,41.200001
2015-07-08,41.52,41.82,41.25,41.380001,4241900,41.380001
2015-07-07,40.580002,41.779999,40.52,41.639999,3827000,41.639999
2015-07-06,39.779999,40.380001,39.720001,40.330002,2643800,40.330002
2015-07-02,39.700001,40.200001,39.700001,39.939999,2683700,39.939999
2015-07-01,39.34,39.529999,39.200001,39.450001,2580100,39.450001
2015-06-30,39.490002,39.50,39.110001,39.279999,3904900,39.279999
2015-06-29,39.490002,40.200001,39.189999,39.220001,4042800,39.220001
2015-06-26,39.099998,39.619999,38.93,39.59,3848900,39.59
2015-06-25,39.810001,39.970001,39.029999,39.139999,3882800,39.139999
2015-06-24,40.18,40.310001,39.610001,39.610001,3323200,39.610001
2015-06-23,40.950001,41.049999,40.099998,40.169998,2205400,40.169998
2015-06-22,41.099998,41.200001,40.619999,40.720001,2498700,40.720001
2015-06-19,41.130001,41.419998,40.98,40.990002,3614500,40.990002
2015-06-18,40.439999,41.290001,40.419998,41.18,3436000,41.18
2015-06-17,40.330002,40.52,40.009998,40.490002,2746000,40.490002
2015-06-16,39.880001,40.220001,39.610001,40.189999,1925800,40.189999
2015-06-15,39.68,40.220001,39.509998,40.009998,2672300,40.009998
2015-06-12,40.18,40.34,39.669998,39.700001,1875200,39.700001
2015-06-11,40.450001,40.639999,40.169998,40.400002,3606300,40.400002
2015-06-10,40.369999,40.73,40.220001,40.240002,3335300,40.240002
2015-06-09,40.099998,40.389999,40.02,40.139999,2608700,40.139999
2015-06-08,40.32,40.470001,40.139999,40.139999,3395900,40.139999
2015-06-05,40.369999,40.470001,40.07,40.41,4168300,40.41
2015-06-04,41.200001,41.50,40.82,40.91,2952600,40.52
2015-06-03,42.279999,42.360001,41.049999,41.34,3373600,40.945901
2015-06-02,42.66,42.75,42.040001,42.290001,2812300,41.886846
2015-06-01,42.77,43.209999,42.529999,42.91,2780800,42.500934
2015-05-29,43.060001,43.139999,42.509998,42.630001,5333000,42.223605
2015-05-28,43.16,43.380001,42.82,43.049999,3190400,42.639599
2015-05-27,43.299999,43.389999,43.049999,43.25,3912700,42.837693
2015-05-26,43.740002,43.740002,42.990002,43.119999,2896200,42.708931
2015-05-22,43.619999,43.970001,43.389999,43.860001,3076600,43.441879
2015-05-21,43.32,43.779999,43.150002,43.759998,3020900,43.34283
2015-05-20,43.049999,43.52,42.830002,43.330002,3496000,42.916932
2015-05-19,42.41,43.09,42.240002,43.029999,3019900,42.619789
2015-05-18,42.34,42.68,42.23,42.630001,2422300,42.223605
2015-05-15,42.459999,42.830002,42.27,42.540001,3518800,42.134463
2015-05-14,41.950001,42.310001,41.849998,42.279999,3172300,41.876939
2015-05-13,42.00,42.200001,41.450001,41.68,2726200,41.28266
2015-05-12,41.82,41.970001,41.470001,41.889999,2733900,41.490658
2015-05-11,42.00,42.48,41.91,42.049999,3863100,41.649132
2015-05-08,42.450001,42.68,41.84,42.060001,3851600,41.659039
2015-05-07,41.93,42.369999,41.759998,41.959999,2903000,41.55999
2015-05-06,41.73,41.869999,41.23,41.740002,3426000,41.34209
2015-05-05,42.509998,42.560001,41.540001,41.560001,4280300,41.163805
2015-05-04,42.02,42.93,41.939999,42.689999,3347600,42.28303
2015-05-01,41.34,41.990002,41.099998,41.959999,2736000,41.55999
2015-04-30,41.68,41.77,41.02,41.540001,4176000,41.143996
2015-04-29,41.84,42.009998,41.459999,41.82,1973900,41.421325
2015-04-28,41.490002,42.049999,41.220001,42.040001,2022900,41.639229
2015-04-27,42.50,42.549999,41.310001,41.599998,2608100,41.203421
2015-04-24,41.869999,42.549999,41.709999,42.290001,2898600,41.886846
2015-04-23,41.889999,42.099998,41.759998,41.959999,2313200,41.55999
2015-04-22,41.529999,42.009998,41.360001,41.849998,2606500,41.451038
2015-04-21,41.860001,42.169998,41.09,41.209999,2713500,40.81714
2015-04-20,41.099998,42.099998,41.02,41.82,2127400,41.421325
2015-04-17,41.09,41.459999,40.75,40.98,1919200,40.589333
2015-04-16,41.240002,41.549999,40.650002,41.32,2423700,40.926092
2015-04-15,41.349998,41.93,41.189999,41.259998,1276000,40.866662
2015-04-14,41.060001,41.490002,41.009998,41.25,1425600,40.856759
2015-04-13,41.59,41.709999,40.91,40.98,1628200,40.589333
2015-04-10,41.34,41.98,41.279999,41.669998,1971600,41.272754
2015-04-09,41.619999,41.669998,41.200001,41.27,2352600,40.876569
2015-04-08,41.779999,41.990002,41.459999,41.700001,2025600,41.30247
2015-04-07,42.50,42.549999,41.740002,41.84,2372900,41.441135
2015-04-06,41.459999,42.810001,41.439999,42.400002,3198200,41.995798
2015-04-02,41.279999,41.740002,41.27,41.34,3980700,40.945901
2015-04-01,41.25,41.450001,40.599998,41.259998,4105800,40.866662
2015-03-31,42.029999,42.189999,41.560001,41.919998,2913700,41.52037
2015-03-30,41.459999,42.099998,41.240002,41.970001,1743500,41.569897
2015-03-27,41.169998,41.709999,41.00,41.330002,1781400,40.935998
2015-03-26,41.470001,41.779999,40.959999,41.18,1934000,40.787427
2015-03-25,41.93,42.130001,41.48,41.50,2814700,41.104376
2015-03-24,42.360001,42.639999,41.700001,41.82,1914500,41.421325
2015-03-23,42.139999,42.59,42.130001,42.450001,2586800,42.04532
2015-03-20,42.07,42.369999,41.700001,42.110001,4304900,41.708561
2015-03-19,42.00,42.400002,41.529999,41.869999,2956100,41.470848
2015-03-18,41.240002,42.59,40.990002,42.220001,3787800,41.817513
2015-03-17,41.07,41.540001,41.049999,41.240002,2141900,40.846856
2015-03-16,40.630001,41.529999,40.599998,41.23,2601200,40.83695
2015-03-13,40.82,40.82,40.099998,40.549999,3168400,40.163432
2015-03-12,40.43,41.060001,40.25,40.849998,3272300,40.460571
2015-03-11,39.98,40.310001,39.759998,40.220001,4315400,39.83658
2015-03-10,39.759998,40.540001,39.580002,40.060001,3862000,39.678105
2015-03-09,39.669998,40.119999,39.619999,39.82,3810500,39.440391
2015-03-06,40.709999,40.709999,39.529999,39.630001,5304100,39.252204
2015-03-05,41.540001,41.950001,41.299999,41.450001,3502500,40.668571
2015-03-04,41.709999,41.73,40.93,41.330002,4557500,40.550834
2015-03-03,40.939999,41.959999,40.77,41.93,5028200,41.139521
2015-03-02,42.00,42.240002,40.560001,40.939999,4593200,40.168183
2015-02-27,42.150002,42.23,41.720001,42.060001,3901400,41.267071
2015-02-26,42.369999,42.689999,42.049999,42.209999,3750200,41.414241
2015-02-25,43.279999,43.330002,42.119999,42.23,3866700,41.433865
2015-02-24,42.68,43.689999,42.639999,43.16,4772000,42.346332
2015-02-23,41.639999,42.669998,41.630001,42.599998,4876900,41.796888
2015-02-20,41.48,42.00,40.689999,41.630001,5559100,40.845178
2015-02-19,40.540001,40.799999,40.139999,40.279999,2943000,39.520626
2015-02-18,39.529999,40.619999,39.529999,40.540001,3191700,39.775727
2015-02-17,39.360001,39.84,39.029999,39.650002,4991500,38.902506
2015-02-13,39.700001,39.759998,39.00,39.360001,2630000,38.617972
2015-02-12,40.25,40.25,39.689999,39.779999,3305100,39.030052
2015-02-11,40.700001,40.73,39.950001,40.09,2707300,39.334209
2015-02-10,40.310001,41.060001,40.259998,40.950001,3770100,40.177997
2015-02-09,40.48,40.790001,40.02,40.27,3792900,39.510816
2015-02-06,42.509998,42.52,40.299999,40.59,3855600,39.824783
2015-02-05,42.529999,42.970001,42.25,42.860001,2113700,42.051989
2015-02-04,43.00,43.220001,42.119999,42.18,3717000,41.384808
2015-02-03,42.599998,43.240002,42.349998,43.200001,3291400,42.385579
2015-02-02,42.630001,42.810001,41.689999,42.610001,4074100,41.806702
2015-01-30,43.630001,43.759998,42.639999,42.68,3181400,41.875382
2015-01-29,43.23,43.990002,43.07,43.860001,4444800,43.033136
2015-01-28,43.709999,44.220001,43.119999,43.220001,2729400,42.405202
2015-01-27,43.599998,44.029999,43.299999,43.77,1773400,42.944833
2015-01-26,43.919998,43.93,43.279999,43.810001,1977000,42.98408
2015-01-23,43.939999,44.369999,43.82,44.00,2160600,43.170496
2015-01-22,44.32,44.450001,43.540001,43.82,3711200,42.99389
2015-01-21,43.279999,44.369999,43.02,44.299999,3858700,43.46484
2015-01-20,43.740002,43.790001,43.009998,43.470001,2381900,42.650489
2015-01-16,42.779999,43.57,42.75,43.549999,3212100,42.728979
2015-01-15,42.290001,42.860001,42.060001,42.66,1954300,41.855758
2015-01-14,41.73,42.32,41.439999,42.290001,2849200,41.492735
2015-01-13,41.740002,42.68,41.630001,41.91,3317600,41.119898
2015-01-12,41.619999,41.700001,41.049999,41.389999,2915100,40.609701
2015-01-09,42.049999,42.049999,41.200001,41.330002,2228600,40.550834
2015-01-08,41.77,42.110001,41.639999,41.919998,3345700,41.129708
2015-01-07,41.119999,41.700001,40.790001,41.560001,5295600,40.776498
2015-01-06,41.02,41.939999,40.900002,40.93,4450200,40.158373
2015-01-05,41.490002,41.799999,40.639999,40.880001,3519300,40.109317
2015-01-02,41.50,41.950001,41.290001,41.900002,2924800,41.110088
2014-12-31,42.759998,42.849998,41.360001,41.41,3292700,40.629324
2014-12-30,43.400002,43.400002,42.43,42.529999,2191200,41.728208
2014-12-29,43.16,43.77,43.060001,43.529999,3878200,42.709356
2014-12-26,42.919998,43.360001,42.84,43.16,2414500,42.346332
2014-12-24,42.040001,42.970001,42.040001,42.709999,2467100,41.904815
2014-12-23,42.130001,42.150002,41.59,41.990002,3135200,41.198391
2014-12-22,42.169998,42.189999,41.470001,41.939999,3152400,41.149331
2014-12-19,42.470001,42.700001,42.00,42.07,5612500,41.276881
2014-12-18,41.939999,42.279999,41.68,42.27,3181400,41.473111
2014-12-17,40.540001,41.77,40.540001,41.669998,2876000,40.884421
2014-12-16,40.560001,41.23,40.310001,40.459999,3444800,39.697233
2014-12-15,40.830002,41.259998,40.310001,40.549999,3672600,39.785536
2014-12-12,41.299999,41.639999,40.709999,40.740002,3143000,39.971957
2014-12-11,41.060001,41.860001,41.060001,41.560001,2817900,40.776498
2014-12-10,41.470001,41.849998,40.889999,40.939999,3382400,40.168183
2014-12-09,40.93,41.459999,40.869999,41.439999,2952300,40.658757
2014-12-08,40.66,41.209999,40.599998,41.18,3399900,40.40366
2014-12-05,40.66,41.200001,40.560001,40.93,4540100,39.795349
2014-12-04,41.220001,41.540001,40.91,41.029999,2853100,39.892575
2014-12-03,41.380001,41.529999,40.66,41.139999,6782900,39.999526
2014-12-02,41.450001,41.66,41.060001,41.439999,4627600,40.291209
2014-12-01,41.490002,41.91,41.299999,41.630001,3445900,40.475944
2014-11-28,41.25,41.849998,41.209999,41.779999,1555200,40.621784
2014-11-26,40.98,41.25,40.950001,41.209999,2212800,40.067585
2014-11-25,40.77,41.02,40.459999,40.880001,4049300,39.746735
2014-11-24,40.98,41.09,40.580002,40.709999,3430300,39.581446
2014-11-21,41.07,41.189999,40.580002,41.00,2698800,39.863408
2014-11-20,40.419998,40.830002,40.389999,40.630001,2308200,39.503666
2014-11-19,40.459999,40.77,40.220001,40.549999,2676300,39.425882
2014-11-18,40.540001,40.860001,40.259998,40.580002,3036600,39.455053
2014-11-17,39.48,40.48,39.43,40.459999,5050800,39.338377
2014-11-14,39.18,39.50,39.040001,39.48,3460100,38.385544
2014-11-13,39.84,39.849998,39.18,39.279999,4168600,38.191088
2014-11-12,40.630001,40.91,39.66,39.720001,6446500,38.618893
2014-11-11,41.459999,41.470001,40.810001,40.950001,3441400,39.814795
2014-11-10,41.060001,41.470001,40.91,41.459999,4773600,40.310655
2014-11-07,40.810001,41.150002,40.75,41.099998,4904700,39.960634
2014-11-06,41.880001,41.880001,40.689999,40.720001,6096200,39.591171
2014-11-05,41.41,42.060001,41.32,41.970001,6339100,40.806519
2014-11-04,41.689999,41.869999,41.060001,41.169998,2404100,40.028693
2014-11-03,41.34,41.939999,41.220001,41.619999,2735400,40.466219
2014-10-31,41.099998,41.630001,40.759998,41.310001,4559500,40.164815
2014-10-30,39.759998,40.740002,39.759998,40.73,4519100,39.600892
2014-10-29,39.639999,39.779999,38.919998,39.470001,2429400,38.375823
2014-10-28,39.48,39.59,38.970001,39.57,3629900,38.47305
2014-10-27,39.52,39.75,39.279999,39.459999,2328100,38.366098
2014-10-24,38.93,39.650002,38.93,39.57,2709200,38.47305
2014-10-23,39.040001,39.189999,38.549999,38.869999,2349500,37.792454
2014-10-22,38.740002,39.240002,38.580002,38.860001,2232300,37.782733
2014-10-21,38.25,38.77,38.040001,38.759998,2827900,37.685503
2014-10-20,37.529999,38.220001,37.529999,38.16,2080200,37.102137
2014-10-17,37.66,38.189999,36.880001,37.50,2577700,36.460434
2014-10-16,36.810001,37.380001,36.369999,37.220001,4047200,36.188197
2014-10-15,38.43,38.860001,36.720001,37.419998,5725800,36.38265
2014-10-14,38.400002,39.470001,38.18,38.689999,4655700,37.617444
2014-10-13,37.799999,38.48,37.759998,38.049999,3770300,36.995186
2014-10-10,37.860001,38.470001,37.75,37.970001,5975600,36.917406
2014-10-09,38.349998,38.740002,37.639999,37.639999,3292200,36.596552
2014-10-08,37.41,38.389999,37.369999,38.330002,3840000,37.267427
2014-10-07,37.310001,37.84,37.220001,37.330002,4509800,36.295148
2014-10-06,37.50,37.630001,37.169998,37.41,2037900,36.372929
2014-10-03,37.32,37.360001,36.959999,37.259998,2805400,36.227085
2014-10-02,37.189999,37.540001,37.16,37.259998,2666700,36.227085
2014-10-01,37.290001,37.779999,37.16,37.290001,3123800,36.256256
2014-09-30,37.689999,38.049999,37.139999,37.240002,5007500,36.207643
2014-09-29,37.450001,37.68,37.369999,37.650002,2417300,36.606277
2014-09-26,37.580002,37.779999,37.27,37.59,2290100,36.547939
2014-09-25,37.720001,37.93,37.59,37.599998,3853200,36.55766
2014-09-24,37.75,37.790001,37.57,37.689999,3969100,36.645165
2014-09-23,37.93,37.939999,37.639999,37.700001,4638900,36.65489
2014-09-22,37.669998,38.169998,37.560001,38.009998,3786900,36.956294
2014-09-19,37.98,38.32,37.759998,38.299999,3911700,37.238256
2014-09-18,37.869999,38.25,37.549999,37.759998,2612400,36.713225
2014-09-17,38.049999,38.200001,37.66,37.889999,3217500,36.839622
2014-09-16,36.849998,37.990002,36.77,37.959999,4644400,36.907681
2014-09-15,36.790001,37.07,36.779999,36.93,2057500,35.906236
2014-09-12,37.029999,37.029999,36.540001,36.709999,5132400,35.692333
2014-09-11,36.52,37.259998,36.389999,37.220001,3392600,36.188197
2014-09-10,36.57,36.66,36.349998,36.509998,3163500,35.497877
2014-09-09,36.860001,36.98,36.610001,36.619999,3815800,35.604828
2014-09-08,37.23,37.23,36.849998,37.049999,2589600,36.022908
2014-09-05,36.700001,37.209999,36.619999,37.189999,2026400,36.159026
2014-09-04,36.490002,36.73,36.450001,36.630001,2139200,35.614553
2014-09-03,36.27,36.720001,36.040001,36.560001,3607600,35.546494
2014-09-02,37.279999,37.360001,36.41,36.580002,3750800,35.206197
2014-08-29,37.02,37.41,36.959999,37.389999,2267300,35.985774
2014-08-28,36.700001,37.049999,36.669998,37.02,1606900,35.629671
2014-08-27,36.380001,36.880001,36.360001,36.84,2701700,35.456431
2014-08-26,36.779999,37.00,36.290001,36.330002,2410200,34.965586
2014-08-25,36.48,36.889999,36.419998,36.759998,2296500,35.379434
2014-08-22,36.50,36.610001,36.080002,36.380001,2312500,35.013708
2014-08-21,36.240002,36.57,36.200001,36.450001,3456600,35.081078
2014-08-20,36.130001,36.25,35.900002,36.189999,1850300,34.830841
2014-08-19,35.560001,36.029999,35.43,35.990002,2905100,34.638355
2014-08-18,35.650002,35.869999,35.380001,35.439999,2623600,34.109008
2014-08-15,35.529999,35.900002,35.290001,35.529999,4321000,34.195628
2014-08-14,35.360001,35.68,35.330002,35.50,2530900,34.166756
2014-08-13,35.52,35.720001,35.240002,35.27,3422300,33.945394
2014-08-12,35.439999,35.68,35.34,35.52,2146700,34.186005
2014-08-11,35.57,35.799999,35.41,35.529999,3069800,34.195628
2014-08-08,34.759998,35.560001,34.759998,35.540001,4117200,34.205255
2014-08-07,34.360001,34.810001,34.34,34.709999,3718000,33.406424
2014-08-06,34.529999,34.57,34.049999,34.150002,6704500,32.867458
2014-08-05,35.299999,35.419998,34.540001,34.700001,4647400,33.396802
2014-08-04,35.490002,35.52,34.50,35.299999,5596500,33.974266
2014-08-01,35.189999,35.790001,35.18,35.490002,3792300,34.157133
2014-07-31,35.849998,35.900002,35.110001,35.169998,4994700,33.849148
2014-07-30,37.139999,37.189999,36.029999,36.09,3957000,34.734598
2014-07-29,37.630001,37.869999,37.060001,37.060001,3505100,35.66817
2014-07-28,36.959999,37.91,36.93,37.790001,3190500,36.370753
2014-07-25,37.220001,37.470001,36.919998,36.939999,1369800,35.552674
2014-07-24,37.25,37.349998,36.880001,37.299999,1643000,35.899154
2014-07-23,37.18,37.25,37.00,37.02,2548100,35.629671
2014-07-22,37.279999,37.41,37.049999,37.18,2223900,35.783662
2014-07-21,37.080002,37.330002,36.880001,37.169998,2497600,35.774035
2014-07-18,37.169998,37.259998,36.849998,37.189999,3393900,35.793285
2014-07-17,37.650002,37.830002,37.029999,37.080002,3841300,35.687419
2014-07-16,37.720001,37.779999,37.279999,37.639999,3452600,36.226385
2014-07-15,37.450001,37.68,37.27,37.32,4066300,35.918403
2014-07-14,38.48,38.549999,37.389999,37.400002,5815000,35.995401
2014-07-11,38.880001,39.00,38.470001,38.490002,2044700,37.044465
2014-07-10,38.59,39.009998,38.439999,38.98,2609500,37.51606
2014-07-09,38.650002,38.799999,38.279999,38.610001,3015900,37.159957
2014-07-08,38.400002,38.860001,38.400002,38.68,3300400,37.227328
2014-07-07,38.029999,38.560001,38.029999,38.560001,4099300,37.111835
2014-07-03,39.02,39.049999,38.09,38.16,4696200,36.726856
2014-07-02,40.169998,40.240002,38.990002,39.150002,5012700,37.679677
2014-07-01,40.68,40.68,40.259998,40.299999,3693300,38.786486
2014-06-30,40.349998,40.93,40.080002,40.790001,3982600,39.258085
2014-06-27,39.880001,40.310001,39.689999,40.27,2393600,38.757613
2014-06-26,39.470001,39.93,39.369999,39.91,2835600,38.411133
2014-06-25,39.310001,39.68,39.310001,39.59,2435500,38.103151
2014-06-24,39.200001,39.57,39.130001,39.450001,2487400,37.96841
2014-06-23,39.669998,39.779999,38.959999,39.139999,3307900,37.670051
2014-06-20,39.93,40.060001,39.66,39.689999,3184400,38.199394
2014-06-19,39.25,39.939999,39.200001,39.849998,3445500,38.353385
2014-06-18,38.18,39.299999,38.139999,39.25,4115600,37.77592
2014-06-17,38.23,38.41,38.02,38.279999,3799000,36.842349
2014-06-16,37.82,38.41,37.669998,37.990002,2471500,36.563243
2014-06-13,37.59,37.950001,37.380001,37.84,2197300,36.418875
2014-06-12,37.580002,37.759998,37.060001,37.630001,2112200,36.216762
2014-06-11,38.450001,38.450001,37.540001,37.689999,3505200,36.274507
2014-06-10,38.220001,38.369999,37.939999,38.080002,2496100,36.649863
2014-06-09,38.669998,38.810001,38.25,38.290001,2012700,36.851975
2014-06-06,39.00,39.16,38.669998,38.740002,1940700,37.285076
2014-06-05,38.57,39.080002,38.459999,39.07,2781700,37.60268
2014-06-04,38.73,38.759998,38.34,38.57,3379100,37.121458
2014-06-03,39.169998,39.240002,38.98,39.169998,3264500,37.342818
2014-06-02,38.959999,39.240002,38.709999,39.110001,3178900,37.28562
2014-05-30,38.50,38.98,38.43,38.959999,4250900,37.142615
2014-05-29,38.299999,38.50,38.080002,38.50,4686500,36.704074
2014-05-28,37.529999,38.209999,37.380001,38.189999,5513800,36.408533
2014-05-27,37.400002,37.720001,36.959999,37.349998,5955200,35.607717
2014-05-23,37.540001,37.700001,37.32,37.400002,2682000,35.655388
2014-05-22,37.279999,37.779999,37.259998,37.619999,3009900,35.865123
2014-05-21,37.27,37.32,36.93,37.259998,3782600,35.521915
2014-05-20,37.310001,37.549999,36.91,37.169998,4389800,35.436113
2014-05-19,37.73,37.799999,37.139999,37.169998,3391800,35.436113
2014-05-16,37.970001,38.02,37.52,37.799999,5061600,36.036726
2014-05-15,38.310001,38.490002,37.880001,37.98,2570400,36.20833
2014-05-14,38.25,38.599998,38.00,38.240002,3044700,36.456204
2014-05-13,38.060001,38.349998,37.919998,38.220001,4205400,36.437136
2014-05-12,38.759998,38.77,37.869999,38.060001,5928000,36.2846
2014-05-09,39.049999,39.299999,38.360001,38.369999,3908300,36.580137
2014-05-08,39.990002,39.990002,39.099998,39.169998,3254600,37.342818
2014-05-07,39.27,39.939999,39.240002,39.880001,3055600,38.019702
2014-05-06,39.59,39.720001,39.150002,39.279999,3487200,37.447688
2014-05-05,38.889999,39.669998,38.849998,39.619999,3928100,37.771828
2014-05-02,39.889999,39.970001,38.57,38.889999,5484500,37.075881
2014-05-01,41.02,41.349998,39.880001,40.459999,6235800,38.572644
2014-04-30,40.450001,41.380001,40.349998,40.970001,7873900,39.058856
2014-04-29,40.66,40.880001,40.369999,40.439999,2877100,38.553577
2014-04-28,40.209999,40.650002,40.150002,40.630001,3189900,38.734716
2014-04-25,39.73,40.259998,39.700001,40.240002,2446500,38.362909
2014-04-24,39.549999,39.84,39.169998,39.77,2733400,37.914832
2014-04-23,39.349998,39.91,39.240002,39.389999,5411900,37.552557
2014-04-22,39.34,39.43,38.970001,39.23,2660600,37.400021
2014-04-21,39.580002,39.68,39.200001,39.43,2620300,37.590692
2014-04-17,39.549999,39.959999,39.32,39.43,2280500,37.590692
2014-04-16,39.700001,39.779999,39.490002,39.619999,4888700,37.771828
2014-04-15,39.220001,39.869999,39.220001,39.59,4445200,37.743228
2014-04-14,38.900002,39.310001,38.68,39.299999,3328600,37.466755
2014-04-11,38.490002,38.990002,38.360001,38.810001,2989700,36.999615
2014-04-10,38.619999,38.849998,38.360001,38.52,3759900,36.723141
2014-04-09,38.59,38.93,38.259998,38.700001,6714100,36.894745
2014-04-08,38.240002,38.50,37.650002,38.360001,6597600,36.570605
2014-04-07,38.50,38.799999,38.240002,38.25,5523900,36.465736
2014-04-04,38.169998,39.119999,38.150002,38.470001,5423700,36.675475
2014-04-03,37.669998,38.200001,37.560001,38.099998,2577300,36.322731
2014-04-02,37.669998,37.68,37.34,37.599998,2259000,35.846055
2014-04-01,38.119999,38.119999,37.459999,37.599998,3225300,35.846055
2014-03-31,37.52,38.439999,37.439999,38.139999,4166600,36.360866
2014-03-28,37.209999,37.389999,37.110001,37.369999,1350200,35.626785
2014-03-27,37.16,37.299999,36.919998,37.279999,1690500,35.540983
2014-03-26,37.099998,37.41,36.98,37.200001,3107700,35.464716
2014-03-25,37.080002,37.09,36.689999,36.990002,2452700,35.264513
2014-03-24,36.93,37.18,36.75,36.950001,1913200,35.226378
2014-03-21,36.66,37.27,36.509998,36.900002,3658700,35.178711
2014-03-20,36.279999,36.389999,35.84,36.279999,3261700,34.58763
2014-03-19,36.889999,37.130001,36.240002,36.389999,3550100,34.692499
2014-03-18,36.849998,37.060001,36.619999,36.889999,2608200,35.169176
2014-03-17,36.689999,36.849998,36.310001,36.790001,2438000,35.073842
2014-03-14,36.07,36.709999,36.00,36.650002,3738000,34.940373
2014-03-13,35.779999,36.400002,35.759998,36.200001,3333100,34.511364
2014-03-12,35.02,35.790001,35.00,35.790001,2621900,34.120489
2014-03-11,35.50,35.59,35.139999,35.169998,5005500,33.529408
2014-03-10,35.450001,35.779999,35.349998,35.50,6331100,33.844016
2014-03-07,35.57,35.610001,35.09,35.439999,5650000,33.786814
2014-03-06,35.959999,35.959999,35.400002,35.509998,3724800,33.853548
2014-03-05,35.889999,35.950001,35.580002,35.810001,3356400,34.139557
2014-03-04,36.369999,36.459999,36.130001,36.240002,3184900,34.196759
2014-03-03,36.459999,36.610001,36.130001,36.139999,2745200,34.102395
2014-02-28,36.50,36.77,36.450001,36.66,2312700,34.593077
2014-02-27,36.639999,36.830002,36.330002,36.450001,2385000,34.394918
