Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,57.00,57.689999,56.799999,57.68,1125400,57.68
2015-08-17,57.860001,57.959999,57.23,57.669998,1406200,57.669998
2015-08-14,56.93,58.02,56.119999,57.98,1893100,57.98
2015-08-13,56.110001,57.080002,56.029999,56.919998,1663600,56.919998
2015-08-12,55.599998,56.09,54.700001,55.98,1634000,55.98
2015-08-11,55.779999,56.279999,55.459999,56.02,1127300,56.02
2015-08-10,56.16,56.66,55.98,56.57,886300,56.57
2015-08-07,55.48,55.66,54.759998,55.23,840700,55.23
2015-08-06,55.939999,56.189999,55.330002,55.560001,1060500,55.560001
2015-08-05,56.23,56.57,55.709999,55.759998,1043100,55.759998
2015-08-04,55.869999,56.16,55.580002,55.740002,949600,55.740002
2015-08-03,55.470001,56.209999,55.259998,55.889999,1576100,55.889999
2015-07-31,55.32,55.830002,54.959999,55.509998,1799600,55.509998
2015-07-30,54.759998,55.470001,54.639999,55.290001,1287500,55.290001
2015-07-29,54.439999,55.00,54.259998,54.91,1160400,54.91
2015-07-28,54.860001,54.880001,54.130001,54.330002,1634500,54.330002
2015-07-27,54.110001,54.349998,53.50,54.299999,1792800,54.299999
2015-07-24,53.299999,54.68,53.209999,54.459999,2610500,54.459999
2015-07-23,52.950001,53.169998,52.369999,52.48,1079200,52.48
2015-07-22,53.150002,53.189999,52.849998,53.049999,947600,53.049999
2015-07-21,53.23,53.50,52.889999,53.150002,952200,53.150002
2015-07-20,52.950001,53.369999,52.599998,53.18,1140200,53.18
2015-07-17,52.939999,53.099998,52.470001,52.82,885300,52.82
2015-07-16,52.919998,53.130001,52.639999,53.09,1061400,53.09
2015-07-15,52.310001,52.490002,51.810001,52.400002,1078600,52.400002
2015-07-14,52.040001,52.310001,51.77,52.200001,750000,52.200001
2015-07-13,51.50,52.27,51.50,52.189999,1405500,52.189999
2015-07-10,51.450001,51.740002,50.919998,51.23,1899300,51.23
2015-07-09,51.189999,51.380001,50.389999,50.59,1811700,50.59
2015-07-08,50.740002,51.279999,50.07,50.189999,1085000,50.189999
2015-07-07,51.00,51.419998,49.889999,51.369999,1441800,51.369999
