Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,125.70,127.55,125.70,126.70,180300,126.70
2014-06-30,122.55,126.70,122.40,125.70,459700,125.70
2014-06-27,121.20,122.20,120.85,121.30,177700,121.30
2014-06-26,121.50,122.55,120.55,121.05,270000,121.05
2014-06-25,123.00,123.15,121.20,122.15,160700,122.15
2014-06-24,122.20,123.65,121.45,123.50,192400,123.50
2014-06-23,122.75,123.10,121.25,122.25,167900,122.25
2014-06-20,121.75,123.20,121.50,122.75,272000,122.75
2014-06-19,120.00,121.90,120.00,121.90,243300,121.90
2014-06-18,120.45,120.50,119.05,119.50,169600,119.50
2014-06-17,118.80,120.65,118.55,120.35,164000,120.35
2014-06-16,118.55,119.25,118.15,118.65,114800,118.65
2014-06-13,119.30,119.50,117.65,118.65,143400,118.65
2014-06-12,120.00,120.20,119.20,119.20,188200,119.20
2014-06-11,120.70,121.00,119.80,120.25,204000,120.25
2014-06-10,120.65,121.60,119.75,120.85,207600,120.85
2014-06-09,119.50,120.80,119.15,120.70,136100,120.70
2014-06-06,119.25,119.60,118.70,119.35,131500,119.35
2014-06-05,119.30,119.65,118.20,118.75,176600,118.75
2014-06-04,119.50,120.05,118.50,119.35,148400,119.35
2014-06-03,119.00,120.60,118.65,119.65,241600,119.65
2014-06-02,119.10,120.20,118.30,118.75,132600,118.75
2014-05-30,119.60,120.20,118.40,118.65,165300,118.65
2014-05-29,119.40,119.60,118.75,119.15,81000,119.15
2014-05-28,118.70,119.60,118.60,119.40,143000,119.40
2014-05-27,118.15,119.65,118.00,118.95,131800,118.95
2014-05-26,118.40,118.55,117.60,118.10,75400,118.10
2014-05-23,117.55,118.35,116.30,117.90,175700,117.90
2014-05-22,118.45,118.80,116.50,117.00,170900,117.00
2014-05-21,117.45,118.20,117.00,118.10,141400,118.10
2014-05-20,118.40,118.70,117.50,117.60,136300,117.60
2014-05-19,117.60,118.90,117.50,118.35,139000,118.35
2014-05-16,118.35,119.45,117.10,117.35,211900,117.35
2014-05-15,120.00,121.70,118.35,118.55,245800,118.55
2014-05-14,122.35,123.20,120.80,121.45,184800,120.05
2014-05-13,123.40,124.20,121.95,122.50,189500,121.09
2014-05-12,122.40,124.10,122.40,123.45,199500,122.03
2014-05-09,122.45,122.80,121.30,122.00,287500,120.59
2014-05-08,120.80,122.95,120.60,122.85,295200,121.43
2014-05-07,121.15,122.20,118.95,120.45,315200,119.06
2014-05-06,120.00,122.45,119.80,120.45,404800,119.06
2014-05-05,117.40,117.80,115.85,117.45,100000,116.10
2014-05-02,116.75,117.35,115.95,117.25,164800,115.90
2014-05-01,116.70,116.70,116.70,116.70,000,115.35
2014-04-30,116.50,117.00,115.65,116.70,201300,115.35
2014-04-29,117.45,117.50,116.05,116.50,149300,115.16
2014-04-28,116.15,117.55,115.75,116.85,169400,115.50
2014-04-25,114.50,116.60,114.40,115.85,186800,114.51
2014-04-24,115.85,116.40,114.05,114.80,173700,113.48
2014-04-23,115.55,117.00,114.80,115.15,201600,113.82
2014-04-22,113.35,115.60,112.65,115.50,227900,114.17
2014-04-21,112.75,112.75,112.75,112.75,000,111.45
2014-04-18,112.75,112.75,112.75,112.75,000,111.45
2014-04-17,112.50,113.00,111.85,112.75,128000,111.45
2014-04-16,111.85,112.40,110.80,112.25,151300,110.96
2014-04-15,110.25,112.45,110.25,110.75,189100,109.47
2014-04-14,109.85,110.65,108.75,110.25,158800,108.98
2014-04-11,110.75,110.75,108.90,110.10,171400,108.83
2014-04-10,111.15,111.95,110.60,111.30,162300,110.02
2014-04-09,111.30,111.55,110.30,110.65,112900,109.37
2014-04-08,110.20,111.05,109.50,111.05,146900,109.77
2014-04-07,110.50,110.60,109.10,109.80,211100,108.53
2014-04-04,111.25,111.85,110.55,110.85,187900,109.57
2014-04-03,113.00,113.45,111.00,111.25,308700,109.97
2014-04-02,114.80,114.80,113.85,114.05,99000,112.74
2014-04-01,114.50,114.85,113.70,114.50,91200,113.18
2014-03-31,113.90,114.20,113.30,113.95,181400,112.64
2014-03-28,114.25,115.40,112.65,113.90,197900,112.59
2014-03-27,113.85,114.55,113.45,114.00,140700,112.69
2014-03-26,113.90,115.10,113.60,114.05,132500,112.74
2014-03-25,112.00,113.65,111.75,113.50,162600,112.19
2014-03-24,112.30,112.70,110.85,111.45,176300,110.17
2014-03-21,111.00,112.40,110.70,112.20,201800,110.91
2014-03-20,110.65,111.35,109.60,110.85,140900,109.57
2014-03-19,110.65,111.75,110.00,111.50,145900,110.21
2014-03-18,109.60,111.50,109.30,110.80,159200,109.52
2014-03-17,110.00,110.55,108.95,110.20,122000,108.93
2014-03-14,108.70,110.20,107.85,109.95,158100,108.68
2014-03-13,111.40,111.45,109.40,109.50,161000,108.24
2014-03-12,112.20,112.35,110.20,111.15,187700,109.87
2014-03-11,112.00,113.95,111.80,112.95,175100,111.65
2014-03-10,113.10,113.30,111.05,111.85,289500,110.56
2014-03-07,114.40,115.30,113.40,113.95,247100,112.64
2014-03-06,113.30,114.70,112.90,114.65,168700,113.33
2014-03-05,112.75,113.35,112.05,113.15,184200,111.85
2014-03-04,110.35,112.90,110.20,112.40,184200,111.10
2014-03-03,110.15,110.40,108.90,109.35,239900,108.09
2014-02-28,111.00,112.55,110.10,112.40,278700,111.10
2014-02-27,113.05,113.90,111.50,111.90,260100,110.61
2014-02-26,112.50,113.60,108.10,112.60,425100,111.30
2014-02-25,113.70,113.90,111.20,112.50,279000,111.20
2014-02-24,112.80,113.85,112.70,113.40,106200,112.09
2014-02-21,112.45,113.80,112.35,113.20,128700,111.90
2014-02-20,112.20,112.45,111.05,112.25,136100,110.96
2014-02-19,112.20,113.75,112.20,113.35,88400,112.04
2014-02-18,113.00,114.10,111.85,112.40,152300,111.10
2014-02-17,112.40,113.70,112.30,112.85,66700,111.55
2014-02-14,111.75,112.20,110.90,111.85,108700,110.56
2014-02-13,109.80,111.30,109.45,111.25,178500,109.97
2014-02-12,110.40,112.00,109.95,110.25,188200,108.98
2014-02-11,107.30,110.25,107.15,110.15,217200,108.88
2014-02-10,106.10,107.60,105.55,107.05,136800,105.82
2014-02-07,106.55,106.90,105.75,106.00,164600,104.78
2014-02-06,103.85,106.80,103.85,106.40,276500,105.17
2014-02-05,103.00,104.30,102.05,103.65,227000,102.46
2014-02-04,102.10,103.75,100.70,103.40,224400,102.21
2014-02-03,103.65,104.65,102.65,102.80,171700,101.61
2014-01-31,103.00,103.85,102.60,103.70,196400,102.50
2014-01-30,104.35,104.95,103.00,103.20,183700,102.01
2014-01-29,103.35,105.35,101.60,104.60,304000,103.39
2014-01-28,101.60,102.70,100.15,102.45,214600,101.27
2014-01-27,102.10,102.70,101.05,101.30,214700,100.13
2014-01-24,103.50,103.90,102.20,102.45,245300,101.27
2014-01-23,104.20,105.05,103.30,103.60,208700,102.41
2014-01-22,106.45,106.90,103.70,104.35,356700,103.15
2014-01-21,106.90,107.25,105.30,106.15,154900,104.93
2014-01-20,107.20,107.40,106.30,106.90,107600,105.67
2014-01-17,107.90,108.95,107.45,108.70,220800,106.46
2014-01-16,106.00,108.20,105.90,107.80,131000,105.58
2014-01-15,107.30,107.90,105.85,106.10,175600,103.91
2014-01-14,107.05,107.65,106.20,107.00,151200,104.79
2014-01-13,108.20,108.35,106.90,108.20,105000,105.97
2014-01-10,106.80,108.15,106.60,107.80,145200,105.58
2014-01-09,107.50,107.85,106.15,106.45,201700,104.25
2014-01-08,108.50,109.15,107.50,107.90,198200,105.68
2014-01-07,111.05,111.10,108.45,108.70,278300,106.46
2014-01-06,113.10,113.50,112.25,112.45,83600,110.13
2014-01-03,112.75,114.55,112.40,113.75,92300,111.40
2014-01-02,115.00,115.00,112.15,112.90,199900,110.57
2014-01-01,115.00,115.00,115.00,115.00,000,112.63
2013-12-31,114.00,115.00,113.60,115.00,28300,112.63
2013-12-30,114.40,114.85,113.80,114.05,78900,111.70
2013-12-27,113.20,114.05,112.95,114.05,72900,111.70
2013-12-26,112.75,112.75,112.75,112.75,000,110.42
2013-12-25,112.75,112.75,112.75,112.75,000,110.42
2013-12-24,112.60,113.20,112.20,112.75,11700,110.42
2013-12-23,110.60,112.35,110.50,112.35,88400,110.03
2013-12-20,109.80,110.70,109.30,110.50,198600,108.22
2013-12-19,109.65,109.95,108.65,109.35,176300,107.10
2013-12-18,108.45,110.20,108.15,108.90,153200,106.65
2013-12-17,107.50,108.10,106.70,107.75,103600,105.53
2013-12-16,106.10,108.20,106.00,107.50,119500,105.28
