Date,Open,High,Low,Close,Volume,Adj Close
2014-09-19,7.99,8.00,7.85,7.99,89300,7.99
2014-09-18,8.00,8.22,7.94,8.00,61400,8.00
2014-09-17,8.06,8.06,7.90,7.99,57500,7.99
2014-09-16,8.09,8.15,8.00,8.06,42500,8.06
2014-09-15,8.10,8.22,8.02,8.13,39100,8.13
2014-09-12,8.26,8.30,8.05,8.16,69300,8.16
2014-09-11,8.31,8.34,8.14,8.26,51200,8.26
2014-09-10,8.45,8.45,8.25,8.33,118700,8.33
2014-09-09,8.42,8.53,8.31,8.42,59900,8.42
2014-09-08,8.41,8.47,8.30,8.40,37500,8.40
2014-09-05,8.60,8.61,8.37,8.39,50000,8.39
2014-09-04,8.60,8.66,8.55,8.60,174300,8.60
2014-09-03,8.46,8.71,8.43,8.56,88300,8.56
2014-09-02,8.33,8.74,8.32,8.37,99800,8.37
2014-09-01,8.30,8.75,8.25,8.25,147700,8.25
2014-08-29,8.59,8.78,7.85,8.32,594000,8.32
2014-08-28,9.14,9.20,9.00,9.17,67800,9.17
2014-08-27,8.99,9.15,8.96,9.08,83300,9.08
2014-08-26,8.97,9.22,8.95,8.98,103700,8.98
2014-08-25,9.00,9.05,8.95,8.97,49300,8.97
2014-08-22,8.99,9.29,8.90,8.93,88200,8.93
2014-08-21,9.00,9.09,8.93,9.01,21700,9.01
2014-08-20,9.10,9.12,8.94,8.94,79800,8.94
2014-08-19,9.05,9.23,9.05,9.05,91600,9.05
2014-08-18,9.06,9.08,8.97,9.03,33400,9.03
2014-08-15,9.01,9.05,8.95,8.99,43100,8.99
2014-08-14,9.07,9.13,8.90,9.00,115000,9.00
2014-08-13,9.05,9.11,9.05,9.06,55000,9.06
2014-08-12,9.00,9.25,9.00,9.09,66500,9.09
2014-08-11,9.15,9.15,8.82,9.00,98900,9.00
2014-08-08,9.12,9.15,8.81,9.03,105300,9.03
2014-08-07,9.15,9.36,9.10,9.17,59800,9.17
2014-08-06,9.19,9.30,9.10,9.16,72000,9.16
2014-08-05,9.00,9.20,8.95,9.17,45400,9.17
2014-08-04,9.10,9.21,8.82,8.94,48500,8.94
2014-08-01,9.27,9.27,8.77,9.07,101000,9.07
2014-07-31,9.15,9.45,9.07,9.16,116700,9.16
2014-07-30,9.20,9.29,9.00,9.16,68000,9.16
2014-07-29,9.64,9.64,9.08,9.14,99300,9.14
2014-07-28,9.67,9.80,9.20,9.45,98700,9.45
2014-07-25,10.18,10.18,9.45,9.54,136700,9.54
2014-07-24,9.89,10.33,9.74,10.05,326500,10.05
2014-07-23,8.95,9.78,8.91,9.69,278100,9.69
2014-07-22,8.60,8.92,8.53,8.87,119000,8.87
2014-07-21,8.40,8.64,8.32,8.55,75300,8.55
2014-07-18,8.35,8.46,8.20,8.38,40500,8.38
2014-07-17,8.35,8.51,8.10,8.36,115800,8.36
2014-07-16,8.44,8.44,8.12,8.35,43600,8.35
2014-07-15,8.25,8.38,8.01,8.38,107100,8.38
2014-07-14,8.51,8.59,7.90,8.24,220600,8.24
2014-07-11,8.70,8.70,8.31,8.51,63700,8.51
2014-07-10,8.95,9.00,8.66,8.67,68000,8.67
2014-07-09,8.85,9.00,8.75,8.92,44000,8.92
2014-07-08,8.90,8.93,8.70,8.78,67700,8.78
2014-07-07,9.13,9.17,8.85,8.86,54000,8.86
2014-07-04,9.31,9.31,8.93,9.11,84400,9.11
2014-07-03,9.26,9.45,9.00,9.10,198900,9.10
2014-07-02,8.75,9.33,8.73,9.14,192200,9.14
2014-07-01,9.45,9.50,8.50,8.73,627500,8.73
2014-06-30,9.95,10.10,9.38,9.43,298000,9.43
2014-06-27,9.72,9.83,9.52,9.83,326100,9.83
2014-06-26,9.49,9.75,9.41,9.59,632900,9.59
2014-06-25,9.74,10.19,9.28,9.45,953200,9.45
2014-06-24,10.75,11.20,9.76,9.80,2797100,9.80
