Date,Open,High,Low,Close,Volume,Adj Close
2014-07-11,39.12,39.20,38.61,39.11,70400,39.11
2014-07-10,39.26,39.26,39.26,39.26,000,39.26
2014-07-09,39.77,39.77,39.18,39.26,125700,39.26
2014-07-08,40.61,40.61,39.46,39.46,117500,39.46
2014-07-07,41.53,41.53,40.20,40.40,134000,40.40
2014-07-04,42.29,42.29,41.42,41.63,59100,41.63
2014-07-03,42.19,42.46,41.92,42.15,34900,42.15
2014-07-02,42.40,43.00,41.85,42.11,54100,42.11
2014-07-01,41.86,42.74,41.65,42.60,84100,42.60
2014-06-30,41.40,41.83,41.19,41.62,121200,41.62
2014-06-27,42.37,42.37,41.28,41.38,85900,41.38
2014-06-26,42.12,42.29,41.85,42.21,49700,42.21
2014-06-25,42.54,42.59,41.72,42.10,88700,42.10
2014-06-24,42.85,43.11,42.23,42.74,76000,42.74
2014-06-23,42.71,42.92,42.15,42.81,85900,42.81
2014-06-20,43.80,43.80,42.29,42.44,165200,42.44
2014-06-19,43.81,43.91,43.26,43.68,76600,43.68
2014-06-18,42.92,43.56,42.84,43.56,69700,43.56
2014-06-17,42.80,43.18,42.63,42.82,89100,42.82
2014-06-16,43.00,43.18,42.63,42.72,68000,42.72
2014-06-13,43.86,43.86,42.90,42.95,134900,42.95
2014-06-12,43.70,44.04,43.56,43.87,43500,43.87
2014-06-11,43.80,44.00,43.28,43.46,88600,43.46
2014-06-10,43.45,43.93,43.36,43.61,100800,43.61
2014-06-09,44.17,44.17,43.61,43.63,52200,43.63
2014-06-06,44.00,44.38,43.62,44.17,82600,44.17
2014-06-05,43.32,43.79,43.23,43.47,371400,43.47
2014-06-04,43.71,43.91,43.10,43.32,137600,43.32
2014-06-03,44.27,44.47,43.79,43.81,71400,43.81
2014-06-02,44.00,44.56,44.00,44.29,58400,44.29
2014-05-30,44.06,44.24,43.78,43.95,166500,43.95
2014-05-29,43.62,44.21,43.47,43.99,56000,43.99
2014-05-28,43.01,43.78,42.76,43.35,90500,43.35
2014-05-27,42.71,43.47,42.69,43.28,88400,43.28
2014-05-26,42.75,42.78,42.45,42.65,44500,42.65
2014-05-23,42.82,42.93,42.28,42.58,58100,42.58
2014-05-22,42.17,42.78,42.08,42.60,88500,42.60
2014-05-21,42.49,42.49,41.88,42.17,110600,42.17
2014-05-20,41.83,42.87,41.83,42.68,112500,42.68
2014-05-19,40.50,42.04,40.45,42.00,308600,42.00
2014-05-16,41.78,41.78,40.46,40.49,102400,40.49
2014-05-15,41.87,42.00,41.63,41.67,87100,41.67
2014-05-14,41.92,42.00,41.45,41.88,81400,41.88
2014-05-13,42.00,42.25,41.78,42.03,135500,42.03
2014-05-12,42.00,42.13,41.92,42.05,134200,42.05
2014-05-09,42.00,42.31,41.70,42.08,124600,42.08
2014-05-08,42.01,42.12,41.88,42.00,72900,42.00
2014-05-07,41.81,42.14,41.50,42.00,103900,42.00
2014-05-06,42.37,42.60,41.69,41.87,100300,41.87
2014-05-05,42.44,42.49,42.12,42.31,45500,42.31
2014-05-02,42.26,42.55,42.15,42.30,110200,42.30
2014-05-01,42.24,42.24,42.24,42.24,000,42.24
2014-04-30,41.54,42.28,41.54,42.24,158000,42.24
2014-04-29,41.51,41.93,41.49,41.51,137300,41.51
2014-04-28,42.80,42.85,41.31,41.31,140000,41.31
2014-04-25,43.00,43.15,42.32,42.32,82200,42.32
2014-04-24,43.29,43.29,42.70,43.01,77200,43.01
2014-04-23,43.17,43.17,42.65,42.99,84300,42.99
2014-04-22,43.47,43.62,42.90,43.06,91900,43.06
2014-04-21,43.17,43.17,43.17,43.17,000,43.17
2014-04-18,43.17,43.17,43.17,43.17,000,43.17
2014-04-17,42.67,43.17,42.60,43.17,50200,43.17
2014-04-16,41.79,42.47,41.79,42.47,70900,42.47
2014-04-15,41.65,42.20,41.53,41.62,107700,41.62
2014-04-14,41.60,41.88,41.35,41.69,84500,41.69
2014-04-11,42.22,42.28,41.53,41.67,93400,41.67
2014-04-10,42.26,42.63,42.26,42.44,75100,42.44
2014-04-09,42.18,42.55,42.00,42.15,145100,42.15
2014-04-08,43.96,43.97,42.06,42.15,149100,42.15
2014-04-07,44.25,44.29,43.96,44.06,94400,44.06
2014-04-04,44.40,44.51,44.20,44.34,78400,44.34
2014-04-03,44.55,44.63,44.33,44.40,84000,44.40
2014-04-02,44.50,44.71,44.44,44.60,120500,44.60
2014-04-01,44.64,45.00,44.41,44.50,97800,44.50
2014-03-31,45.24,45.24,44.63,44.74,93100,44.74
2014-03-28,44.82,45.25,44.76,45.01,87800,45.01
2014-03-27,44.40,44.92,44.33,44.51,86100,44.51
2014-03-26,44.69,44.94,44.38,44.44,84400,44.44
2014-03-25,44.52,45.31,44.52,44.82,84100,44.82
2014-03-24,45.78,45.88,44.88,44.95,65500,44.95
