Date,Open,High,Low,Close,Volume,Adj Close
2015-09-18,189.429993,191.270004,189.020004,189.509995,2793500,189.509995
2015-09-17,189.190002,192.00,188.740005,190.419998,2860900,190.419998
2015-09-16,190.00,190.330002,187.619995,188.789993,1932300,188.789993
2015-09-15,187.139999,189.979996,186.160004,189.789993,1591600,189.789993
2015-09-14,187.720001,188.089996,186.619995,187.059998,1081600,187.059998
2015-09-11,187.139999,187.669998,185.949997,187.449997,2035000,187.449997
2015-09-10,187.520004,189.039993,186.710007,187.509995,2234600,187.509995
2015-09-09,191.199997,191.199997,188.309998,188.619995,1155300,188.619995
2015-09-08,189.770004,190.559998,187.910004,190.389999,1400500,190.389999
2015-09-04,186.649994,188.779999,185.479996,187.830002,1038700,187.830002
2015-09-03,186.070007,188.940002,185.570007,188.080002,2352500,188.080002
2015-09-02,185.080002,185.660004,183.440002,185.259995,1352300,185.259995
2015-09-01,186.020004,186.550003,183.009995,183.369995,2022900,183.369995
2015-08-31,186.00,187.809998,185.449997,186.020004,1783800,186.020004
2015-08-28,187.600006,187.740005,185.839996,187.429993,899000,187.429993
2015-08-27,186.339996,188.610001,184.229996,187.889999,1713700,187.889999
2015-08-26,183.559998,185.410004,180.199997,185.199997,2053500,185.199997
2015-08-25,183.270004,184.25,180.339996,180.720001,1986600,180.720001
2015-08-24,178.089996,185.699997,173.490005,179.169998,3907900,179.169998
2015-08-21,185.740005,187.330002,183.589996,183.589996,2103500,183.589996
2015-08-20,189.529999,191.389999,187.619995,187.619995,1480900,187.619995
2015-08-19,191.399994,192.539993,190.550003,191.479996,1341600,191.479996
2015-08-18,189.320007,191.479996,189.320007,191.100006,1286200,191.100006
2015-08-17,185.619995,190.520004,185.479996,190.309998,1429400,190.309998
2015-08-14,186.960007,186.960007,185.429993,186.00,1056900,186.00
2015-08-13,186.50,187.610001,186.00,186.649994,1191300,186.649994
2015-08-12,186.179993,187.639999,185.309998,186.509995,1201900,186.509995
2015-08-11,188.669998,189.979996,186.850006,186.850006,996800,186.850006
2015-08-10,189.910004,191.339996,189.059998,189.330002,1176100,189.330002
2015-08-07,188.289993,190.330002,186.429993,188.910004,1420800,188.910004
2015-08-06,191.559998,192.100006,183.720001,190.220001,4244400,190.220001
2015-08-05,194.190002,194.220001,188.770004,191.50,1706500,191.50
2015-08-04,191.410004,193.800003,190.160004,193.009995,916300,193.009995
2015-08-03,190.009995,192.380005,190.00,191.270004,831100,191.270004
2015-07-31,191.509995,191.509995,189.550003,190.009995,1762200,190.009995
