Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,43.529999,43.880001,43.23,43.689999,934300,43.689999
2015-08-17,43.52,43.880001,42.900002,43.709999,1026300,43.709999
2015-08-14,42.950001,43.91,42.830002,43.57,1784000,43.57
2015-08-13,42.459999,43.16,42.279999,42.970001,993500,42.970001
2015-08-12,42.299999,42.610001,41.720001,42.529999,1524900,42.529999
2015-08-11,43.00,43.509998,42.700001,42.959999,1336300,42.959999
2015-08-10,43.02,43.939999,42.900002,43.849998,1254500,43.849998
2015-08-07,42.77,42.93,42.310001,42.450001,1146500,42.450001
2015-08-06,43.34,43.380001,42.57,42.91,2206300,42.91
2015-08-05,43.400002,43.82,43.139999,43.259998,1093000,43.259998
2015-08-04,43.27,43.669998,43.009998,43.139999,1294700,43.139999
2015-08-03,43.66,43.68,43.099998,43.240002,2274400,43.240002
2015-07-31,44.450001,44.450001,43.59,43.700001,3267500,43.700001
2015-07-30,43.689999,44.389999,43.59,44.18,2544000,44.18
2015-07-29,43.040001,44.099998,42.689999,44.00,4192600,44.00
2015-07-28,41.639999,43.150002,41.040001,42.869999,6107400,42.869999
2015-07-27,40.98,40.98,40.470001,40.529999,2314300,40.529999
2015-07-24,41.599998,41.84,41.049999,41.110001,1973600,41.110001
2015-07-23,42.169998,42.52,41.66,41.689999,1621100,41.689999
2015-07-22,42.790001,42.990002,41.220001,42.049999,4433100,42.049999
2015-07-21,43.599998,43.73,42.650002,43.060001,1435200,43.060001
2015-07-20,43.790001,43.990002,43.549999,43.73,1304100,43.73
2015-07-17,43.810001,44.040001,43.529999,43.810001,657700,43.810001
2015-07-16,43.889999,44.330002,43.73,44.029999,1046000,44.029999
2015-07-15,44.200001,44.349998,43.330002,43.490002,2068700,43.490002
2015-07-14,44.830002,44.98,44.029999,44.330002,1242300,44.330002
2015-07-13,44.119999,44.290001,43.66,44.25,1566900,44.25
2015-07-10,44.380001,44.41,43.34,43.68,2126400,43.68
2015-07-09,43.919998,44.369999,43.610001,43.689999,1777000,43.689999
2015-07-08,43.869999,43.93,42.959999,42.959999,1367400,42.959999
2015-07-07,44.310001,44.310001,43.389999,44.209999,1700500,44.209999
2015-07-06,44.040001,44.540001,43.790001,44.360001,984800,44.360001
2015-07-02,44.900002,44.939999,44.310001,44.490002,875600,44.490002
2015-07-01,44.98,45.189999,44.560001,44.709999,774600,44.709999
2015-06-30,45.049999,45.23,44.580002,44.630001,1293900,44.630001
2015-06-29,45.299999,45.73,44.509998,44.540001,1196700,44.540001
2015-06-26,45.849998,45.880001,45.529999,45.630001,1556000,45.630001
2015-06-25,46.02,46.07,45.59,45.669998,1367300,45.669998
2015-06-24,46.009998,46.110001,45.700001,45.919998,1872800,45.919998
2015-06-23,46.240002,46.400002,45.869999,46.049999,1175100,46.049999
2015-06-22,46.43,46.490002,46.00,46.27,1069100,46.27
2015-06-19,46.279999,46.490002,46.029999,46.139999,1879500,46.139999
2015-06-18,46.150002,46.59,45.860001,46.470001,1146300,46.470001
2015-06-17,46.049999,46.349998,45.459999,45.919998,1520400,45.919998
2015-06-16,45.380001,46.099998,45.290001,45.91,1152800,45.91
2015-06-15,45.509998,45.799999,45.27,45.509998,1251700,45.509998
2015-06-12,45.849998,46.060001,45.709999,45.959999,1347600,45.959999
2015-06-11,46.040001,46.509998,45.860001,46.150002,1537500,46.150002
2015-06-10,44.799999,46.09,44.59,46.060001,2081400,46.060001
2015-06-09,44.77,44.91,44.509998,44.549999,1127000,44.529999
2015-06-08,44.75,44.919998,44.529999,44.740002,1153200,44.719916
2015-06-05,44.369999,44.84,44.16,44.759998,760100,44.739904
2015-06-04,45.00,45.139999,44.48,44.529999,968500,44.510007
2015-06-03,45.299999,45.700001,45.080002,45.360001,470100,45.339637
2015-06-02,44.889999,45.330002,44.889999,45.150002,695100,45.129732
2015-06-01,45.299999,45.450001,44.900002,45.150002,655400,45.129732
2015-05-29,45.849998,45.990002,45.16,45.220001,1060800,45.1997
2015-05-28,45.939999,45.970001,45.610001,45.950001,793900,45.929372
2015-05-27,45.73,46.060001,45.630001,45.939999,868400,45.919374
2015-05-26,46.169998,46.349998,45.209999,45.700001,1678100,45.679484
2015-05-22,46.48,46.639999,46.16,46.349998,840000,46.32919
2015-05-21,46.630001,46.810001,46.48,46.509998,751700,46.489118
2015-05-20,46.290001,46.68,46.25,46.470001,1047000,46.449139
2015-05-19,46.709999,46.790001,46.240002,46.290001,839400,46.269219
2015-05-18,46.540001,46.759998,46.240002,46.66,1159400,46.639052
2015-05-15,46.84,46.93,46.380001,46.619999,1413400,46.599069
2015-05-14,46.27,46.880001,46.09,46.860001,2065400,46.838963
2015-05-13,45.619999,46.040001,45.450001,45.889999,1668400,45.869397
2015-05-12,45.200001,45.669998,44.799999,45.52,1675900,45.499565
2015-05-11,45.099998,45.580002,45.040001,45.400002,1563900,45.37962
2015-05-08,45.209999,45.450001,45.00,45.189999,1781500,45.169711
2015-05-07,44.43,44.900002,44.25,44.68,1955600,44.659942
2015-05-06,44.599998,44.91,44.34,44.610001,2075500,44.589973
2015-05-05,44.549999,44.880001,44.220001,44.400002,2538600,44.380068
2015-05-04,44.48,44.91,44.34,44.599998,1616000,44.579976
2015-05-01,44.07,44.59,43.91,44.41,2217900,44.390062
2015-04-30,43.869999,44.389999,43.700001,43.98,2174600,43.960255
2015-04-29,44.209999,44.700001,44.049999,44.16,3505900,44.140175
2015-04-28,43.32,44.669998,42.970001,44.360001,5609000,44.340086
2015-04-27,44.419998,44.419998,43.66,43.669998,2296800,43.650393
2015-04-24,44.720001,44.720001,44.099998,44.209999,1238900,44.190151
2015-04-23,44.459999,44.889999,44.18,44.720001,1493400,44.699925
2015-04-22,44.669998,44.779999,44.110001,44.709999,1535100,44.689927
2015-04-21,45.52,45.57,44.630001,44.66,1539900,44.63995
2015-04-20,45.040001,45.490002,44.91,45.450001,1559400,45.429596
2015-04-17,45.689999,45.799999,44.669998,44.810001,1645300,44.789884
2015-04-16,45.650002,46.169998,45.209999,46.110001,1777300,46.0893
2015-04-15,45.889999,46.25,45.639999,45.91,1029100,45.889389
2015-04-14,45.66,45.740002,45.400002,45.610001,1471600,45.589524
2015-04-13,45.959999,46.32,45.610001,45.720001,982000,45.699476
2015-04-10,45.950001,46.240002,45.709999,46.119999,1317900,46.099294
2015-04-09,45.849998,46.169998,45.419998,45.810001,981600,45.789435
2015-04-08,45.740002,46.029999,45.50,45.849998,1199200,45.829414
2015-04-07,46.049999,46.290001,45.720001,45.77,1887900,45.749452
2015-04-06,44.759998,46.150002,44.720001,46.099998,2787800,46.079302
2015-04-02,44.709999,45.419998,44.610001,44.939999,1962000,44.919823
2015-04-01,44.119999,44.950001,43.459999,44.799999,1951400,44.779887
2015-03-31,44.630001,44.849998,44.139999,44.330002,1399100,44.3101
2015-03-30,44.400002,45.169998,44.279999,45.07,1303000,45.049766
2015-03-27,43.990002,44.259998,43.669998,44.189999,1205900,44.17016
2015-03-26,44.009998,44.130001,43.419998,44.00,1352400,43.980247
2015-03-25,45.139999,45.25,44.32,44.330002,3444100,44.3101
2015-03-24,44.529999,45.16,44.139999,45.080002,2615000,45.059764
2015-03-23,45.259998,45.310001,44.610001,44.610001,1334200,44.589973
2015-03-20,44.50,45.16,44.490002,44.990002,1970500,44.969804
2015-03-19,44.369999,44.639999,44.07,44.389999,1978400,44.370071
2015-03-18,43.650002,44.869999,43.50,44.650002,1625600,44.629956
2015-03-17,43.610001,43.849998,43.470001,43.790001,1010300,43.770342
2015-03-16,43.119999,43.900002,43.080002,43.880001,1593900,43.860301
2015-03-13,43.32,43.639999,42.639999,42.799999,1603800,42.780785
2015-03-12,42.810001,43.419998,42.700001,43.369999,1387800,43.350528
2015-03-11,43.029999,43.27,42.450001,42.599998,1813400,42.580874
2015-03-10,43.560001,43.68,42.970001,42.990002,1782100,42.95071
2015-03-09,44.779999,44.900002,44.290001,44.290001,1406700,44.249521
2015-03-06,44.369999,45.27,44.099998,44.779999,3657300,44.739071
2015-03-05,43.689999,44.02,43.580002,44.009998,1315800,43.969774
2015-03-04,43.77,43.91,43.50,43.639999,954100,43.600113
2015-03-03,44.220001,44.419998,43.66,43.880001,1214800,43.839896
2015-03-02,44.310001,44.919998,44.220001,44.439999,2606200,44.399381
2015-02-27,44.25,44.509998,44.09,44.310001,1290100,44.269503
2015-02-26,44.939999,44.939999,43.84,44.209999,2004400,44.169592
2015-02-25,45.299999,45.299999,44.669998,44.970001,1911500,44.9289
2015-02-24,44.82,45.610001,44.799999,45.330002,1188300,45.288571
2015-02-23,44.720001,44.950001,44.610001,44.91,1224100,44.868953
2015-02-20,44.73,45.060001,44.25,44.990002,999700,44.948882
2015-02-19,44.25,44.880001,44.119999,44.790001,923100,44.749064
2015-02-18,43.919998,44.43,43.75,44.32,1176300,44.279492
2015-02-17,44.720001,44.799999,43.959999,44.099998,1154700,44.059692
2015-02-13,44.16,44.689999,44.110001,44.68,1760300,44.639164
2015-02-12,43.419998,44.200001,43.150002,44.189999,1333500,44.14961
2015-02-11,43.540001,43.75,42.93,43.169998,1237900,43.130542
2015-02-10,43.490002,43.73,43.16,43.580002,1581400,43.540171
2015-02-09,43.25,43.759998,43.110001,43.220001,1356900,43.180499
2015-02-06,43.619999,44.00,43.380001,43.549999,2620800,43.510196
2015-02-05,43.200001,43.669998,43.040001,43.540001,1677500,43.500206
2015-02-04,43.27,43.700001,42.93,43.110001,1699200,43.070599
2015-02-03,43.400002,43.689999,43.02,43.380001,2465800,43.340353
2015-02-02,42.849998,43.16,42.23,43.09,2651300,43.050617
2015-01-30,42.799999,43.259998,42.509998,42.560001,4115800,42.521102
2015-01-29,41.990002,42.830002,40.950001,42.560001,4937000,42.521102
2015-01-28,41.880001,43.860001,41.790001,41.990002,4589800,41.951624
2015-01-27,41.709999,41.830002,41.220001,41.369999,4287400,41.332188
2015-01-26,42.279999,42.740002,42.099998,42.450001,1654900,42.411202
2015-01-23,43.389999,43.389999,42.360001,42.369999,2336800,42.331274
2015-01-22,42.849998,43.689999,42.439999,43.459999,1837900,43.420278
2015-01-21,42.50,42.93,42.169998,42.459999,1208400,42.421192
2015-01-20,43.130001,43.349998,41.970001,42.560001,1627200,42.521102
2015-01-16,42.169998,42.91,41.869999,42.869999,2073200,42.830817
2015-01-15,42.490002,42.709999,41.900002,42.330002,3080700,42.291313
2015-01-14,41.689999,42.41,41.59,42.189999,1426300,42.151438
2015-01-13,42.580002,43.240002,41.799999,42.43,1339800,42.39122
2015-01-12,42.560001,42.720001,41.59,42.139999,1180200,42.101484
2015-01-09,43.419998,43.43,42.439999,42.580002,1323700,42.541085
2015-01-08,41.860001,43.330002,41.849998,43.32,2938700,43.280406
2015-01-07,41.639999,41.900002,41.27,41.450001,2543700,41.412116
2015-01-06,41.52,42.049999,40.970001,41.18,2530500,41.142363
2015-01-05,41.82,42.18,41.09,41.360001,1284900,41.322198
2015-01-02,42.349998,42.549999,41.700001,42.169998,992800,42.131456
2014-12-31,42.709999,43.049999,42.099998,42.110001,897400,42.071513
2014-12-30,42.91,43.080002,42.689999,42.689999,755500,42.650981
2014-12-29,42.860001,43.220001,42.709999,43.099998,976800,43.060606
2014-12-26,43.32,43.389999,43.040001,43.049999,362800,43.010653
2014-12-24,43.41,43.41,42.959999,43.00,795400,42.960699
2014-12-23,43.049999,43.57,43.00,43.279999,1492100,43.240442
2014-12-22,42.740002,43.00,42.529999,42.900002,1392400,42.860792
2014-12-19,42.029999,42.939999,41.869999,42.709999,4037700,42.670963
2014-12-18,41.369999,42.009998,41.349998,41.990002,1909300,41.951624
2014-12-17,39.509998,40.779999,39.200001,40.650002,2352900,40.612848
2014-12-16,39.599998,40.560001,39.450001,39.490002,2012100,39.453909
2014-12-15,39.619999,39.91,39.200001,39.669998,1791200,39.633741
2014-12-12,40.150002,40.209999,39.299999,39.330002,2171700,39.294055
2014-12-11,40.650002,41.25,40.509998,40.59,1843900,40.552902
2014-12-10,41.799999,41.82,40.490002,40.52,1543100,40.482966
2014-12-09,41.02,42.049999,40.900002,41.84,2163400,41.781779
2014-12-08,42.330002,42.529999,41.400002,41.610001,1271300,41.552099
2014-12-05,42.529999,42.860001,42.240002,42.32,1315800,42.26111
2014-12-04,43.299999,43.419998,42.360001,42.470001,1592500,42.410903
2014-12-03,42.25,43.32,42.060001,43.220001,4358900,43.159859
2014-12-02,42.549999,42.84,41.939999,42.16,3351600,42.101333
2014-12-01,42.98,42.990002,42.32,42.529999,1408000,42.470817
2014-11-28,43.450001,43.52,43.189999,43.32,858500,43.259719
2014-11-26,43.650002,43.799999,43.23,43.290001,1333800,43.229762
2014-11-25,44.34,44.470001,43.630001,43.689999,2782700,43.629203
2014-11-24,43.880001,44.32,43.689999,44.23,2033200,44.168452
2014-11-21,43.549999,43.900002,43.470001,43.580002,2245600,43.519359
2014-11-20,42.700001,43.240002,42.52,42.990002,1703500,42.93018
2014-11-19,42.380001,42.889999,42.220001,42.830002,1752400,42.770403
2014-11-18,41.900002,42.68,41.759998,42.450001,1446400,42.39093
2014-11-17,41.740002,41.919998,41.560001,41.799999,2059400,41.741833
2014-11-14,41.990002,42.099998,41.68,41.740002,1784200,41.681919
2014-11-13,42.099998,42.50,41.970001,42.150002,1728800,42.091349
2014-11-12,41.41,42.200001,41.41,42.09,1476400,42.031431
2014-11-11,42.00,42.220001,41.619999,41.799999,1302500,41.741833
2014-11-10,41.91,42.150002,41.799999,42.09,1483900,42.031431
2014-11-07,42.23,42.299999,41.560001,41.889999,2450300,41.831708
2014-11-06,42.09,42.369999,41.860001,42.23,1311200,42.171235
2014-11-05,41.709999,42.189999,41.459999,42.049999,1895400,41.991485
2014-11-04,41.380001,41.779999,41.130001,41.369999,1228200,41.312431
2014-11-03,41.529999,41.84,41.310001,41.41,1380300,41.352377
2014-10-31,41.68,41.869999,41.400002,41.529999,2454600,41.472209
2014-10-30,40.439999,41.25,40.299999,41.07,3301200,41.01285
2014-10-29,40.490002,40.689999,40.27,40.66,2836100,40.60342
2014-10-28,39.00,40.490002,38.889999,40.490002,2562300,40.433659
2014-10-27,38.630001,38.93,38.279999,38.889999,1299500,38.835883
2014-10-24,38.240002,38.799999,37.880001,38.759998,2026900,38.706063
2014-10-23,37.310001,38.540001,37.290001,38.16,2946600,38.106899
2014-10-22,37.59,37.630001,36.59,36.599998,2076400,36.549068
2014-10-21,37.040001,37.619999,36.919998,37.540001,3422300,37.487763
2014-10-20,36.650002,36.849998,36.189999,36.450001,3137200,36.399279
2014-10-17,36.259998,38.540001,36.240002,36.650002,9531700,36.599002
2014-10-16,32.939999,34.049999,32.669998,33.66,2856700,33.613161
2014-10-15,33.259998,33.970001,32.82,33.75,3170800,33.703036
2014-10-14,32.599998,34.130001,32.59,33.830002,2972500,33.782926
2014-10-13,33.189999,33.689999,32.220001,32.279999,2012100,32.23508
2014-10-10,33.52,33.950001,33.029999,33.189999,2608400,33.143814
2014-10-09,34.66,34.669998,33.439999,33.509998,1685500,33.463368
2014-10-08,34.110001,34.73,33.84,34.720001,2531200,34.671687
2014-10-07,35.02,35.07,34.169998,34.189999,1777900,34.142422
2014-10-06,36.00,36.130001,35.34,35.400002,980000,35.350741
2014-10-03,35.700001,36.139999,35.560001,35.889999,1628700,35.840057
2014-10-02,35.349998,35.490002,34.720001,35.380001,1565300,35.330769
2014-10-01,35.919998,35.939999,35.310001,35.48,1648800,35.430628
2014-09-30,36.450001,36.57,35.810001,35.990002,1455800,35.939921
2014-09-29,36.369999,36.860001,36.240002,36.360001,1531600,36.309405
2014-09-26,36.02,36.849998,35.82,36.709999,2745900,36.658916
2014-09-25,36.02,36.02,35.540001,35.540001,1766300,35.490546
2014-09-24,36.099998,36.439999,35.939999,36.139999,1826100,36.089709
2014-09-23,36.259998,36.540001,36.049999,36.110001,1488400,36.059752
2014-09-22,36.650002,36.700001,36.259998,36.450001,2504000,36.399279
2014-09-19,36.93,37.07,36.59,36.810001,2510600,36.758779
2014-09-18,36.91,36.939999,36.610001,36.740002,1223700,36.688877
2014-09-17,36.950001,37.049999,36.529999,36.779999,1807700,36.728818
2014-09-16,36.43,37.09,36.220001,36.919998,1603200,36.868623
2014-09-15,36.419998,36.490002,35.93,36.360001,1859700,36.309405
2014-09-12,37.369999,37.419998,36.34,36.459999,2690100,36.409264
2014-09-11,37.529999,37.759998,37.32,37.490002,1516600,37.437833
2014-09-10,37.490002,37.889999,37.200001,37.799999,2141800,37.747399
2014-09-09,38.07,38.16,37.290001,37.419998,2130600,37.347956
2014-09-08,38.299999,38.380001,37.939999,38.049999,820200,37.976744
2014-09-05,37.740002,38.369999,37.439999,38.34,1646200,38.266187
2014-09-04,38.02,38.400002,37.599998,37.720001,1251100,37.647382
2014-09-03,38.580002,38.77,37.900002,38.02,1067800,37.946803
2014-09-02,38.09,38.540001,38.009998,38.43,1364700,38.356014
2014-08-29,38.060001,38.23,37.900002,38.00,1129500,37.926841
2014-08-28,38.220001,38.259998,37.889999,38.009998,1518800,37.93682
2014-08-27,38.720001,38.849998,38.330002,38.50,797400,38.425879
