Date,Open,High,Low,Close,Volume,Adj Close
2014-09-22,67.87,69.16,67.78,68.94,380900,68.94
2014-09-19,68.50,68.77,68.01,68.12,409300,68.12
2014-09-18,68.02,68.71,68.02,68.27,235000,68.27
2014-09-17,68.00,68.91,68.00,68.08,296600,68.08
2014-09-16,68.80,68.83,67.26,67.90,349300,67.90
2014-09-15,69.29,69.50,68.83,69.00,223100,69.00
2014-09-12,70.45,70.45,69.65,69.72,216700,69.72
2014-09-11,70.28,70.50,69.82,69.98,241900,69.98
2014-09-10,70.25,70.50,69.73,70.08,309200,70.08
2014-09-09,71.04,71.35,70.20,70.31,255300,70.31
2014-09-08,71.01,71.49,70.43,71.04,340200,71.04
2014-09-05,72.33,72.34,71.05,71.10,278000,71.10
2014-09-04,72.00,72.63,71.89,72.02,233700,72.02
2014-09-03,72.88,72.99,71.95,71.95,328800,71.95
2014-09-02,73.59,73.59,71.56,72.62,334500,72.62
2014-09-01,73.98,74.25,72.56,73.43,320100,73.43
2014-08-29,75.41,75.62,73.38,73.70,1186300,73.70
2014-08-28,74.25,75.37,74.11,75.10,317200,75.10
2014-08-27,74.16,74.53,73.73,74.53,184300,74.53
2014-08-26,73.40,74.50,73.19,74.50,200100,74.50
2014-08-25,73.77,73.95,73.09,73.52,158900,73.52
2014-08-22,73.40,73.68,72.90,73.33,196300,73.33
2014-08-21,72.74,73.50,72.21,73.50,196900,73.50
2014-08-20,72.59,73.65,72.25,72.73,176500,72.73
2014-08-19,72.00,73.30,71.30,72.73,217300,72.73
2014-08-18,70.88,72.05,70.50,71.85,212700,71.85
2014-08-15,70.10,70.74,69.73,70.40,272100,70.40
2014-08-14,69.00,70.10,68.70,70.01,405300,70.01
2014-08-13,66.86,68.44,66.86,68.31,148100,68.31
2014-08-12,66.90,67.38,66.45,66.80,142600,66.80
2014-08-11,66.50,67.61,66.26,66.88,253400,66.88
2014-08-08,67.03,67.24,65.71,66.00,235700,66.00
2014-08-07,67.51,67.99,66.81,67.51,155900,67.51
2014-08-06,68.64,68.77,67.35,67.51,264000,67.51
2014-08-05,67.87,68.52,67.66,68.20,142700,68.20
2014-08-04,67.49,67.92,67.00,67.86,222700,67.86
2014-08-01,68.49,68.56,66.01,67.46,319100,67.46
2014-07-31,69.32,69.67,68.13,68.64,272000,68.64
2014-07-30,67.00,69.89,67.00,69.89,382300,69.89
2014-07-29,66.00,66.93,65.76,66.66,145100,66.66
2014-07-28,66.22,66.39,65.76,66.14,148800,66.14
2014-07-25,66.42,66.72,65.84,66.18,150900,66.18
2014-07-24,67.00,67.67,66.28,66.41,286200,66.41
2014-07-23,66.10,67.04,64.90,66.97,247600,66.97
2014-07-22,64.21,65.51,63.80,65.51,167100,65.51
2014-07-21,63.75,63.97,63.46,63.97,110800,63.97
2014-07-18,64.07,64.08,63.12,63.54,137400,63.54
2014-07-17,64.44,65.08,64.01,64.13,155200,64.13
2014-07-16,63.80,64.76,63.80,64.57,198200,64.57
2014-07-15,63.28,63.80,63.00,63.80,182900,63.80
2014-07-14,63.25,63.38,62.95,63.25,150600,63.25
2014-07-11,63.50,64.04,63.11,63.30,140900,63.30
2014-07-10,63.41,65.27,63.20,63.50,178500,63.50
2014-07-09,63.64,63.89,62.87,63.67,207800,63.67
2014-07-08,63.25,64.30,63.12,63.64,156600,63.64
2014-07-07,63.64,63.76,63.01,63.08,140300,63.08
2014-07-04,64.24,64.50,63.69,63.82,126200,63.82
2014-07-03,63.50,64.43,63.24,64.23,223800,64.23
2014-07-02,62.20,63.44,62.10,63.35,234800,63.35
2014-07-01,61.80,62.20,60.46,62.09,201900,62.09
2014-06-30,61.78,62.39,61.52,61.83,247500,61.83
2014-06-27,61.82,62.40,61.59,61.82,198100,61.82
2014-06-26,60.30,61.94,60.30,61.93,208200,61.93
2014-06-25,61.25,61.36,60.35,60.62,157700,60.62
2014-06-24,61.50,61.71,61.31,61.53,117300,61.53
2014-06-23,61.90,61.98,61.02,61.31,139800,61.31
2014-06-20,61.18,61.99,60.96,61.90,402700,61.90
2014-06-19,61.40,61.97,61.00,61.10,157500,61.10
2014-06-18,60.50,61.45,60.50,61.20,277900,61.20
2014-06-17,60.31,60.84,59.81,60.57,137800,60.57
2014-06-16,59.74,60.67,59.70,60.41,187700,60.41
2014-06-13,60.00,60.00,59.44,59.75,125100,59.75
2014-06-12,59.40,60.15,59.30,60.10,194500,60.10
2014-06-11,59.05,59.95,58.91,59.70,295400,59.70
2014-06-10,57.20,57.94,57.12,57.94,142000,57.94
2014-06-09,56.91,57.15,56.59,57.05,82500,57.05
2014-06-06,57.32,57.70,56.81,57.05,192400,57.05
2014-06-05,57.85,58.10,57.64,57.76,142200,57.76
2014-06-04,57.59,57.94,57.20,57.79,197400,57.79
2014-06-03,58.12,58.38,57.54,57.54,149800,57.54
2014-06-02,58.70,58.70,57.86,58.34,100200,58.34
2014-05-30,58.66,58.92,58.04,58.48,306900,58.48
2014-05-29,58.38,58.99,58.33,58.63,74400,58.63
2014-05-28,58.63,59.10,58.43,58.65,132300,58.65
2014-05-27,58.37,59.08,58.35,58.70,135700,58.70
2014-05-26,58.22,58.49,58.07,58.47,47800,58.47
2014-05-23,57.95,58.30,57.76,58.13,128700,58.13
2014-05-22,57.48,58.19,57.03,58.10,195100,58.10
