Date,Open,High,Low,Close,Volume,Adj Close
2014-09-11,36.25,36.44,35.88,36.01,292200,36.01
2014-09-10,36.15,36.40,36.09,36.27,222200,36.27
2014-09-09,36.30,36.44,36.19,36.28,190700,36.28
2014-09-08,36.64,36.72,36.19,36.30,294800,36.30
2014-09-05,36.96,36.98,36.67,36.72,206700,36.72
2014-09-04,36.88,37.09,36.74,37.03,192500,37.03
2014-09-03,36.67,36.97,36.58,36.88,294300,36.88
2014-09-02,36.33,36.57,36.26,36.57,288400,36.57
2014-09-01,36.49,36.51,36.17,36.36,247900,36.36
2014-08-29,36.80,36.83,36.65,36.81,387700,36.81
2014-08-28,36.85,36.92,36.49,36.71,516000,36.71
2014-08-27,37.00,37.24,36.95,37.10,216400,37.10
2014-08-26,36.44,37.08,36.26,37.01,374400,37.01
2014-08-25,36.75,36.85,36.12,36.49,332000,36.49
2014-08-22,36.60,36.94,36.60,36.84,408600,36.84
2014-08-21,36.55,36.80,36.46,36.60,256900,36.60
2014-08-20,36.60,36.67,36.38,36.61,190200,36.61
2014-08-19,36.71,36.81,36.54,36.54,190600,36.54
2014-08-18,36.60,36.91,36.56,36.60,347700,36.60
2014-08-15,36.80,36.90,36.12,36.40,559100,36.40
2014-08-14,36.15,36.77,36.01,36.59,452400,36.59
2014-08-13,35.81,36.36,35.74,36.19,593200,36.19
2014-08-12,35.78,35.78,35.13,35.44,457900,35.44
2014-08-11,35.90,35.97,35.52,35.78,428900,35.78
2014-08-08,35.28,35.79,35.28,35.62,480100,35.62
2014-08-07,35.83,36.33,35.53,35.60,489600,35.60
2014-08-06,35.30,35.97,35.01,35.81,499300,35.81
2014-08-05,35.71,36.20,35.37,35.49,416400,35.49
2014-08-04,35.86,36.03,35.40,35.68,361100,35.68
2014-08-01,36.10,36.10,35.60,35.85,531900,35.85
2014-07-31,35.32,36.50,35.32,36.10,1066000,36.10
2014-07-30,35.58,35.78,35.06,35.19,399000,35.19
2014-07-29,35.59,35.97,35.38,35.69,252500,35.69
2014-07-28,35.53,35.72,35.25,35.54,246200,35.54
2014-07-25,35.40,35.81,35.29,35.53,326800,35.53
2014-07-24,35.25,35.85,35.15,35.46,273200,35.46
2014-07-23,35.06,35.76,35.06,35.27,366200,35.27
2014-07-22,34.87,35.20,34.83,35.09,450600,35.09
2014-07-21,34.56,34.78,34.48,34.65,214500,34.65
2014-07-18,34.52,34.69,34.21,34.65,232600,34.65
2014-07-17,34.81,34.94,34.49,34.54,277900,34.54
2014-07-16,34.24,34.99,34.24,34.77,451600,34.77
2014-07-15,34.16,34.74,34.16,34.24,292700,34.24
2014-07-14,33.67,34.33,33.58,34.19,270400,34.19
2014-07-11,34.10,34.13,33.58,33.67,304500,33.67
2014-07-10,34.12,34.28,33.63,34.10,365000,34.10
2014-07-09,34.22,34.24,33.97,34.09,451900,34.09
2014-07-08,34.85,34.85,34.10,34.19,367800,34.19
2014-07-07,34.76,34.92,34.62,34.71,276900,34.71
2014-07-04,35.14,35.25,34.90,34.94,202600,34.94
2014-07-03,35.13,35.30,34.99,35.04,329900,35.04
2014-07-02,34.53,35.09,34.53,34.96,415100,34.96
2014-07-01,34.00,34.56,33.96,34.47,432200,34.47
2014-06-30,33.96,34.17,33.80,33.93,321400,33.93
2014-06-27,34.19,34.39,33.81,33.98,266500,33.98
2014-06-26,34.22,34.37,34.02,34.22,281700,34.22
2014-06-25,34.62,34.65,34.18,34.26,416700,34.26
2014-06-24,34.58,35.10,34.49,34.77,304900,34.77
2014-06-23,34.72,34.74,34.42,34.58,221100,34.58
2014-06-20,34.53,34.83,34.47,34.66,423900,34.66
2014-06-19,34.68,34.81,34.37,34.46,297900,34.46
2014-06-18,34.51,34.81,34.27,34.27,331800,34.27
2014-06-17,34.25,34.53,34.20,34.52,220800,34.52
2014-06-16,34.10,34.79,34.10,34.26,310000,34.26
2014-06-13,34.21,34.26,34.05,34.17,247000,34.17
2014-06-12,34.15,34.29,34.06,34.13,282000,34.13
2014-06-11,34.22,34.48,34.12,34.33,384700,34.33
2014-06-10,34.45,34.50,34.14,34.26,335400,34.26
2014-06-09,34.20,34.42,34.20,34.30,375700,34.30
2014-06-06,34.43,34.51,34.08,34.21,424800,34.21
2014-06-05,34.50,34.63,34.30,34.40,348400,34.40
2014-06-04,34.71,34.79,34.02,34.54,599900,34.54
2014-06-03,35.19,35.19,34.55,34.65,526500,34.65
2014-06-02,35.29,35.47,35.02,35.03,287400,35.03
2014-05-30,35.40,35.46,35.12,35.28,648200,35.28
2014-05-29,35.30,35.52,35.25,35.49,280000,35.49
2014-05-28,35.26,35.37,35.10,35.31,279400,35.31
2014-05-27,35.01,35.49,35.01,35.17,324300,35.17
2014-05-26,34.96,35.15,34.90,35.10,187900,35.10
2014-05-23,34.60,34.96,34.50,34.90,481900,34.90
2014-05-22,34.80,35.04,34.49,34.54,387200,34.54
2014-05-21,34.62,34.70,34.30,34.60,263500,34.60
2014-05-20,34.59,34.78,34.44,34.52,268000,34.52
2014-05-19,34.65,34.78,34.44,34.51,461900,34.51
2014-05-16,34.47,34.57,34.02,34.56,376300,34.56
2014-05-15,34.70,34.91,34.26,34.44,857800,34.44
2014-05-14,34.62,34.99,34.62,34.69,489200,34.69
2014-05-13,34.66,34.88,34.57,34.65,350400,34.65
2014-05-12,34.55,34.88,34.44,34.65,505500,34.65
2014-05-09,33.98,34.49,33.98,34.39,737600,34.39
2014-05-08,34.10,34.47,33.97,34.01,1019400,34.01
2014-05-07,34.11,34.21,33.92,34.00,613100,34.00
2014-05-06,34.27,34.40,33.87,34.07,594600,34.07
2014-05-05,34.30,34.34,33.91,34.27,528500,34.27
2014-05-02,34.73,34.78,33.95,34.31,1203200,34.31
2014-05-01,35.33,35.33,35.33,35.33,000,34.95
2014-04-30,35.00,35.33,34.42,35.33,1233500,34.95
2014-04-29,35.00,35.41,34.65,35.28,2203700,34.91
2014-04-28,37.50,37.75,37.42,37.56,371600,37.17
2014-04-25,37.28,37.63,37.28,37.60,502100,37.20
2014-04-24,37.30,37.80,37.12,37.58,599900,37.18
2014-04-23,37.67,37.83,37.40,37.78,358600,37.38
2014-04-22,37.60,37.90,37.31,37.72,449400,37.31
2014-04-21,37.67,37.67,37.67,37.67,000,37.27
2014-04-18,37.67,37.67,37.67,37.67,000,37.27
2014-04-17,37.42,37.76,37.22,37.67,164500,37.27
2014-04-16,37.50,37.69,37.19,37.50,409400,37.10
2014-04-15,37.55,37.76,36.92,37.08,419000,36.69
2014-04-14,36.78,37.60,36.76,37.54,473900,37.14
2014-04-11,37.13,37.36,36.81,37.13,755200,36.74
2014-04-10,38.01,38.25,37.36,37.50,673900,37.10
2014-04-09,38.15,38.24,37.95,38.03,623600,37.63
2014-04-08,37.80,38.25,37.60,38.21,612600,37.80
2014-04-07,37.58,37.83,37.44,37.81,334600,37.40
2014-04-04,37.50,38.05,37.31,37.90,520400,37.50
2014-04-03,37.07,37.67,36.99,37.54,471700,37.14
