Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,52.540001,53.060001,52.50,52.700001,2028000,52.700001
2015-08-17,51.919998,52.700001,51.630001,52.639999,1428300,52.639999
2015-08-14,51.959999,52.290001,51.830002,52.25,1104600,52.25
2015-08-13,51.720001,52.27,51.610001,51.900002,1859100,51.900002
2015-08-12,51.240002,51.91,51.150002,51.849998,2420400,51.849998
2015-08-11,51.009998,51.57,50.939999,51.52,1589000,51.52
2015-08-10,51.029999,51.43,50.950001,51.389999,1605000,51.389999
2015-08-07,50.959999,51.119999,50.560001,50.759998,2308000,50.759998
2015-08-06,51.599998,51.799999,50.950001,50.98,1820400,50.98
2015-08-05,51.209999,51.830002,51.18,51.599998,2046900,51.599998
2015-08-04,50.869999,51.380001,50.790001,50.970001,1853900,50.970001
2015-08-03,51.049999,51.130001,50.669998,50.799999,2176600,50.799999
2015-07-31,51.43,51.459999,51.040001,51.130001,1636500,51.130001
2015-07-30,50.540001,51.380001,50.540001,51.200001,2748200,51.200001
2015-07-29,50.27,50.790001,50.209999,50.700001,3274200,50.700001
2015-07-28,49.709999,50.25,49.52,50.16,3516900,50.16
2015-07-27,48.73,49.540001,48.689999,49.060001,3871600,49.060001
2015-07-24,49.209999,49.560001,48.73,48.830002,3115000,48.830002
2015-07-23,47.759998,49.360001,47.759998,49.080002,4709200,49.080002
2015-07-22,48.220001,48.470001,47.549999,47.799999,2738800,47.799999
2015-07-21,48.509998,48.610001,48.02,48.23,1257600,48.23
2015-07-20,48.639999,48.73,48.439999,48.529999,1021500,48.529999
2015-07-17,48.830002,48.889999,48.509998,48.68,1602100,48.68
2015-07-16,48.669998,49.23,48.48,48.939999,2299000,48.939999
2015-07-15,48.630001,48.740002,48.32,48.400002,1573900,48.400002
2015-07-14,47.860001,48.669998,47.830002,48.599998,2284500,48.599998
2015-07-13,48.139999,48.169998,47.779999,47.93,2082200,47.93
2015-07-10,47.560001,47.889999,47.310001,47.75,1896900,47.75
2015-07-09,47.169998,47.34,47.07,47.150002,2254300,47.150002
2015-07-08,46.66,47.259998,46.599998,46.810001,2039100,46.810001
2015-07-07,46.529999,47.110001,46.41,47.02,1982200,47.02
2015-07-06,46.040001,46.540001,45.860001,46.529999,1226100,46.529999
2015-07-02,46.57,46.669998,46.220001,46.369999,876300,46.369999
