Date,Open,High,Low,Close,Volume,Adj Close
2015-09-18,56.970001,57.330002,55.599998,55.700001,2180400,55.700001
2015-09-17,58.68,59.18,57.380001,57.73,1214100,57.73
2015-09-16,59.23,59.23,57.009998,58.790001,1963200,58.790001
2015-09-15,62.990002,62.990002,58.669998,59.68,1421800,59.68
2015-09-14,58.75,59.619999,57.549999,59.580002,1488300,59.580002
2015-09-11,58.50,59.779999,58.02,58.75,1008300,58.75
2015-09-10,58.130001,59.41,58.029999,58.740002,1660400,58.740002
2015-09-09,59.00,60.060001,58.130001,58.25,1075600,58.25
2015-09-08,58.139999,58.68,57.689999,58.599998,620700,58.599998
2015-09-04,57.259998,58.330002,57.25,57.349998,821100,57.349998
2015-09-03,58.349998,59.639999,58.18,58.720001,1105600,58.720001
2015-09-02,58.919998,59.439999,57.450001,58.169998,1236200,58.169998
2015-09-01,58.50,59.119999,57.66,58.43,1851500,58.43
2015-08-31,60.09,60.23,58.639999,59.349998,1681300,59.349998
2015-08-28,59.32,60.419998,59.220001,60.259998,1508700,60.259998
2015-08-27,58.240002,59.25,57.740002,59.220001,1874600,59.220001
2015-08-26,57.130001,57.939999,55.150002,56.450001,1858800,56.450001
2015-08-25,58.299999,58.369999,55.009998,55.50,2342000,55.50
2015-08-24,56.66,60.290001,53.48,56.459999,2133200,56.459999
2015-08-21,60.220001,60.264999,58.630001,59.009998,1958400,59.009998
2015-08-20,61.75,61.75,60.380001,60.68,1297300,60.68
2015-08-19,62.98,63.290001,62.07,62.07,1076900,62.07
2015-08-18,63.02,63.580002,62.91,63.16,806200,63.16
2015-08-17,62.630001,63.41,62.630001,63.34,714200,63.34
2015-08-14,63.130001,63.810001,61.959,63.23,938700,63.23
2015-08-13,63.259998,63.798,62.349998,63.130001,820200,63.130001
2015-08-12,63.400002,63.869999,61.709999,63.310001,1389100,63.310001
2015-08-11,64.00,64.00,61.709999,63.400002,1726300,63.400002
2015-08-10,62.990002,63.50,61.900002,62.98,1422900,62.98
2015-08-07,61.68,62.610001,60.98,62.560001,2060900,62.185
2015-08-06,62.00,62.50,60.48,61.740002,2536800,61.369916
2015-08-05,63.290001,63.959999,62.220001,62.75,1499400,62.37386
2015-08-04,62.25,63.450001,62.240002,62.57,703000,62.194939
2015-08-03,63.369999,64.739998,62.389999,63.169998,2128000,62.791341
2015-07-31,61.50,63.75,61.16,63.060001,1624900,62.682003
2015-07-30,61.360001,63.189999,61.040001,62.830002,3530100,62.453382
2015-07-29,58.880001,59.73,58.080002,59.389999,1790200,59.034
2015-07-28,58.52,59.75,57.490002,59.34,1636700,58.984301
2015-07-27,58.450001,59.419998,57.865002,58.189999,1255200,57.841193
2015-07-24,59.549999,59.950001,57.66,58.91,1154600,58.556878
2015-07-23,59.77,60.779999,59.349998,59.849998,1124700,59.491242
2015-07-22,60.349998,61.139999,59.57,60.139999,900100,59.779505
2015-07-21,61.84,62.860001,59.619999,59.849998,1801000,59.491242
2015-07-20,62.00,62.93,61.50,61.549999,1977000,61.181053
2015-07-17,62.619999,63.25,61.639999,61.75,1213200,61.379854
2015-07-16,61.700001,63.68,61.535999,62.32,1365900,61.946437
2015-07-15,62.25,62.93,61.130001,61.619999,1209900,61.250633
2015-07-14,62.099998,63.049999,61.439999,62.189999,994800,61.817216
2015-07-13,62.040001,62.25,61.610001,62.119999,1249000,61.747635
2015-07-10,59.970001,61.599998,59.400002,61.400002,2237000,61.031954
2015-07-09,59.50,60.93,58.509998,59.509998,2284200,59.15328
2015-07-08,62.50,63.900002,59.50,59.709999,3784300,59.352082
2015-07-07,63.91,63.990002,61.540001,62.470001,3053100,62.09554
2015-07-06,65.120003,66.400002,62.990002,63.75,2092300,63.367866
2015-07-02,63.00,65.00,62.400002,64.989998,1745000,64.600431
2015-07-01,60.740002,62.400002,60.630001,62.400002,192400,62.02596
2015-06-30,61.330002,61.400002,60.330002,60.900002,1815500,60.534951
2015-06-29,60.919998,60.919998,60.799999,60.799999,300,60.435548
2015-06-26,61.900002,61.900002,61.900002,61.900002,100,61.528957
2015-06-25,62.900002,62.900002,61.900002,61.900002,3700,61.528957
2015-06-24,63.450001,63.450001,63.380001,63.380001,3300,63.000085
