Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,20.450001,20.60,20.32,20.379999,3161200,20.379999
2015-08-17,20.309999,20.440001,20.209999,20.42,2309400,20.42
2015-08-14,20.309999,20.48,20.25,20.35,3237300,20.35
2015-08-13,20.41,20.50,20.34,20.379999,2590500,20.379999
2015-08-12,20.24,20.50,20.110001,20.42,5583600,20.42
2015-08-11,20.40,20.530001,20.299999,20.40,4419100,20.40
2015-08-10,20.51,20.620001,20.48,20.549999,4490800,20.549999
2015-08-07,20.32,20.440001,20.25,20.40,6540400,20.40
2015-08-06,20.34,20.549999,20.290001,20.370001,9692600,20.370001
2015-08-05,20.370001,20.57,20.290001,20.33,5635800,20.33
2015-08-04,20.34,20.48,20.030001,20.17,6248000,20.17
2015-08-03,20.26,20.27,19.90,20.219999,7408300,20.219999
2015-07-31,20.15,20.48,19.809999,20.24,15709100,20.24
2015-07-30,18.950001,19.17,18.73,19.02,7287900,19.02
2015-07-29,18.65,19.049999,18.620001,19.040001,5628800,19.040001
2015-07-28,18.469999,18.700001,18.16,18.639999,11020600,18.639999
2015-07-27,18.59,18.620001,18.33,18.360001,3416600,18.360001
2015-07-24,18.91,19.02,18.610001,18.65,2833100,18.65
2015-07-23,19.110001,19.15,18.860001,18.90,3273800,18.90
2015-07-22,19.129999,19.32,19.08,19.110001,3210300,19.110001
2015-07-21,19.190001,19.27,19.040001,19.10,3475500,19.10
2015-07-20,19.17,19.34,19.139999,19.200001,3228400,19.200001
2015-07-17,19.27,19.360001,19.18,19.200001,4493900,19.200001
2015-07-16,18.889999,19.360001,18.889999,19.27,6951900,19.27
2015-07-15,19.16,19.190001,18.860001,18.959999,4211600,18.959999
2015-07-14,19.09,19.23,19.07,19.17,4817000,19.17
2015-07-13,19.18,19.18,18.99,19.09,3508600,19.09
2015-07-10,19.049999,19.139999,18.940001,19.030001,3970000,19.030001
2015-07-09,19.17,19.280001,18.91,18.91,4801600,18.91
2015-07-08,18.879999,19.02,18.84,18.85,6672300,18.85
2015-07-07,19.09,19.299999,18.75,19.10,7552500,19.10
2015-07-06,18.90,19.00,18.68,18.950001,9714400,18.950001
2015-07-02,19.00,19.60,18.93,18.99,18981000,18.99
2015-07-01,20.49,20.52,20.34,20.389999,4445400,20.389999
2015-06-30,20.540001,20.610001,20.27,20.33,5584100,20.33
2015-06-29,20.440001,20.700001,20.34,20.360001,5880300,20.360001
2015-06-26,20.969999,21.00,20.540001,20.610001,6373700,20.610001
2015-06-25,21.110001,21.15,20.870001,20.870001,5720400,20.870001
2015-06-24,21.379999,21.440001,21.09,21.139999,3208600,21.139999
2015-06-23,21.469999,21.59,21.42,21.43,3447000,21.43
2015-06-22,21.459999,21.469999,21.299999,21.469999,2650700,21.469999
2015-06-19,21.25,21.32,21.110001,21.299999,6118200,21.299999
2015-06-18,21.190001,21.290001,21.07,21.280001,6158000,21.280001
2015-06-17,21.370001,21.42,21.120001,21.139999,3656400,21.139999
2015-06-16,21.200001,21.32,21.10,21.290001,3257600,21.290001
2015-06-15,21.290001,21.299999,21.049999,21.190001,5997400,21.190001
2015-06-12,21.559999,21.60,21.41,21.469999,4650800,21.469999
2015-06-11,21.83,21.959999,21.76,21.860001,3946500,21.705001
2015-06-10,21.559999,21.940001,21.52,21.799999,3817800,21.645425
2015-06-09,21.57,21.719999,21.440001,21.57,4435200,21.417056
2015-06-08,21.76,21.83,21.49,21.52,3961700,21.367411
2015-06-05,21.889999,21.940001,21.690001,21.76,3612500,21.605709
2015-06-04,22.049999,22.209999,21.85,21.889999,2653200,21.734787
2015-06-03,22.16,22.34,22.10,22.23,3546000,22.072376
2015-06-02,21.98,22.139999,21.92,22.120001,3746800,21.963157
