Date,Open,High,Low,Close,Volume,Adj Close
2015-09-18,10.39,10.52,10.25,10.35,23500600,10.35
2015-09-17,10.59,10.78,10.55,10.58,8958400,10.58
2015-09-16,10.58,10.73,10.55,10.62,10288100,10.62
2015-09-15,10.37,10.63,10.33,10.58,9777600,10.58
2015-09-14,10.44,10.45,10.27,10.32,8397500,10.32
2015-09-11,10.24,10.44,10.22,10.43,9058000,10.43
2015-09-10,10.24,10.38,10.19,10.31,10432100,10.31
2015-09-09,10.55,10.59,10.22,10.23,13380300,10.23
2015-09-08,10.09,10.45,10.05,10.42,13517000,10.42
2015-09-04,9.91,10.00,9.86,9.91,10229000,9.91
2015-09-03,9.98,10.17,9.98,10.02,19728800,10.02
2015-09-02,9.96,9.97,9.78,9.97,12746300,9.97
2015-09-01,9.92,10.05,9.73,9.78,15435000,9.78
2015-08-31,10.26,10.40,10.13,10.17,17216400,10.17
2015-08-28,10.16,10.37,10.13,10.31,10831000,10.31
2015-08-27,10.05,10.26,9.99,10.23,15440700,10.23
2015-08-26,9.90,9.99,9.62,9.96,14700000,9.96
2015-08-25,10.28,10.29,9.66,9.66,16800800,9.66
2015-08-24,10.04,10.38,9.76,9.93,31835900,9.93
2015-08-21,10.94,11.13,10.66,10.69,19638900,10.69
2015-08-20,11.14,11.23,11.01,11.03,11429200,11.03
2015-08-19,11.28,11.33,11.18,11.24,9693000,11.24
2015-08-18,11.42,11.46,11.25,11.32,7668700,11.32
2015-08-17,11.04,11.45,10.99,11.37,12598600,11.37
2015-08-14,10.93,11.08,10.89,11.05,8236800,11.05
2015-08-13,11.01,11.07,10.89,10.95,6546100,10.95
2015-08-12,11.00,11.07,10.84,11.01,9337900,11.01
2015-08-11,11.18,11.25,11.00,11.08,10814400,11.08
2015-08-10,10.96,11.32,10.94,11.27,9438300,11.27
2015-08-07,10.93,10.99,10.79,10.88,10523800,10.88
2015-08-06,11.00,11.13,10.97,10.97,9568900,10.97
2015-08-05,11.08,11.16,10.99,10.99,10958900,10.99
2015-08-04,10.95,11.10,10.91,11.00,10923100,11.00
2015-08-03,11.04,11.05,10.90,10.94,15479700,10.94
2015-07-31,10.85,11.05,10.72,11.02,15541700,11.02
2015-07-30,10.73,10.78,10.65,10.77,9697000,10.77
2015-07-29,10.70,10.80,10.63,10.76,9501100,10.76
2015-07-28,10.66,10.72,10.49,10.66,11918800,10.66
2015-07-27,10.87,10.91,10.58,10.62,20016500,10.62
2015-07-24,10.68,11.20,10.50,10.94,27775300,10.94
2015-07-23,10.70,10.92,10.66,10.81,15825600,10.81
2015-07-22,10.58,10.74,10.56,10.70,11286700,10.70
2015-07-21,10.89,10.99,10.47,10.59,21234600,10.59
2015-07-20,10.88,11.00,10.80,10.91,18915700,10.91
2015-07-17,10.55,10.85,10.52,10.83,19170000,10.83
2015-07-16,10.50,10.66,10.49,10.61,13005500,10.61
2015-07-15,10.54,10.58,10.42,10.44,7082000,10.44
2015-07-14,10.49,10.55,10.47,10.53,7868100,10.53
2015-07-13,10.43,10.51,10.39,10.49,9638400,10.49
2015-07-10,10.41,10.42,10.29,10.38,12359800,10.38
2015-07-09,10.41,10.48,10.24,10.24,18035400,10.24
2015-07-08,10.50,10.58,10.25,10.27,13026100,10.27
2015-07-07,10.41,10.61,10.37,10.58,11375500,10.58
2015-07-06,10.45,10.58,10.40,10.53,8797700,10.53
2015-07-02,10.74,10.74,10.44,10.56,12744400,10.56
2015-07-01,10.71,10.74,10.65,10.68,8393400,10.68
2015-06-30,10.84,10.90,10.64,10.64,10110100,10.64
2015-06-29,10.88,10.96,10.76,10.78,9452000,10.78
