Date,Open,High,Low,Close
2015-01-23,112.30,113.75,111.53,100
2015-01-22,110.26,112.47,109.72,100
2015-01-21,108.95,111.06,108.27,100
2015-01-20,107.84,108.97,106.50,100
2015-01-16,107.03,107.58,105.20,100
2015-01-15,110.00,110.06,106.66,100
2015-01-14,109.04,110.49,108.50,100
2015-01-13,111.43,112.80,108.91,100
2015-01-12,112.60,112.63,108.80,109.25
2015-01-09,112.67,113.25,110.21,112.01
2015-01-08,109.23,112.15,108.70,111.89
2015-01-07,107.20,108.20,106.70,107.75
2015-01-06,106.54,107.43,104.63,106.26


