Date, NumberOfViews
2015-10-21,3329
2015-10-20,3548
2015-10-19,3344
2015-10-18,2524
2015-10-17,1991
2015-10-16,2975
2015-10-15,3483
2015-10-14,3393
2015-10-13,3395
2015-10-11,2635
2015-10-10,2001
2015-10-09,2943
2015-10-08,3206
2015-10-07,3444
2015-10-06,3711
2015-10-05,2912
2015-10-04,2181
2015-10-03,2069
2015-10-02,2801
2015-10-01,3116
2015-10-10,2001
2015-10-09,2943
2015-10-08,3206
2015-10-07,3444
2015-10-06,3711
2015-10-05,2912
2015-10-04,2181
2015-10-03,2069
2015-10-02,2801
2015-10-01,3116
2015-10-09,2943
2015-10-08,3206
2015-10-07,3444
2015-10-06,3711
2015-10-05,2912
2015-10-04,2181
2015-10-03,2069
2015-10-02,2801
2015-10-01,3116
2015-09-30,3287
2015-09-29,3382
2015-09-28,3316
2015-09-27,2219
2015-09-26,1993
2015-09-25,2840
2015-09-24,3577
2015-09-23,3297
2015-09-22,3447
2015-09-21,3378
2015-09-20,2397
2015-09-19,1934
2015-09-18,3436
2015-09-17,3418
2015-09-16,2719
2015-09-15,3488
2015-09-14,3605
2015-09-13,2233
2015-09-12,2241
2015-09-11,3228
2015-09-10,3434
2015-09-09,3283
2015-09-08,2976
2015-09-07,2483
2015-09-06,1865
2015-09-05,1694
2015-09-04,2356
2015-09-03,3276
2015-09-02,3348
2015-09-01,3120
2015-08-31,3487
2015-08-30,2220
2015-08-29,1648
2015-08-28,2205
2015-08-27,2294
2015-08-26,2434
2015-08-25,2469
2015-08-24,2388
2015-08-23,1823
2015-08-22,1654
2015-08-21,2278
2015-08-20,2219
2015-08-19,2407
2015-08-18,2407
2015-08-17,2121
2015-08-16,1798
2015-08-15,1467
2015-08-14,1985
2015-08-13,2748
2015-08-12,2139
2015-08-11,2422
2015-08-10,2543
2015-08-09,1715
2015-08-08,1475
2015-08-07,2063
2015-08-06,2222
2015-08-05,2126
2015-08-04,2325
2015-08-03,1874
2015-08-02,1691
2015-08-01,1776
2015-07-31,1924
2015-07-30,2579
2015-07-29,2402
2015-07-28,2402
2015-07-27,2079
2015-07-26,1887
2015-07-25,1624
2015-07-24,2019
2015-07-23,2249
2015-07-22,2390
2015-07-21,2239
2015-07-20,2730
2015-07-19,1603
2015-07-18,1486
2015-07-17,1871
2015-07-16,3232
2015-07-15,2204
2015-07-14,2346
2015-07-13,2305
2015-07-12,1924
2015-07-11,1850
2015-07-10,1857
2015-07-09,2544
2015-07-08,2659
2015-07-07,2357
2015-07-06,2268
2015-07-05,1685
2015-07-04,1755
2015-07-03,1958
2015-07-02,2696
2015-07-01,2388
2015-06-31,0
2015-06-30,2664
2015-06-29,2374
2015-06-28,1934
2015-06-27,1626
2015-06-26,1722
2015-06-25,1845
2015-06-24,1821
2015-06-23,1880
2015-06-22,1701
2015-06-21,1111
2015-06-20,1084
2015-06-19,1603
2015-06-18,1965
2015-06-17,2159
2015-06-16,2501
2015-06-15,2689
2015-06-14,1943
2015-06-13,2013
2015-06-12,2370
2015-06-11,2943
2015-06-10,3168
2015-06-09,3245
2015-06-08,2937
2015-06-07,2033
2015-06-06,2133
2015-06-05,4506
2015-06-04,3093
2015-06-03,2934
2015-06-02,3015
2015-06-01,3039
2015-05-31,2021
2015-05-30,1783
2015-05-29,2403
2015-05-28,3032
2015-05-27,3172
2015-05-26,4003
2015-05-25,2492
2015-05-24,1962
2015-05-23,1721
2015-05-22,2654
2015-05-21,3056
2015-05-20,3389
2015-05-19,3574
2015-05-18,3074
2015-05-17,2131
2015-05-16,2017
2015-05-15,2969
2015-05-14,3485
2015-05-13,3492
2015-05-12,3123
2015-05-11,3081
2015-05-10,9634
2015-05-09,2088
2015-05-08,3021
2015-05-07,3186
2015-05-06,3416
2015-05-05,3592
2015-05-04,3291
2015-05-03,2076
2015-05-02,1852
2015-05-01,2792
2015-04-31,0
2015-04-30,3244
2015-04-29,3482
2015-04-28,3625
2015-04-27,3362
2015-04-26,2535
2015-04-25,2469
2015-04-24,3138
2015-04-23,3376
2015-04-22,3265
2015-04-21,3359
2015-04-20,3269
2015-04-19,2228
2015-04-18,2142
2015-04-17,2909
2015-04-16,3002
2015-04-15,3327
2015-04-14,3251
2015-04-13,3106
2015-04-12,2199
2015-04-11,2085
2015-04-10,2817
2015-04-09,2992
2015-04-08,3057
2015-04-07,3073
2015-04-06,2861
2015-04-05,1954
2015-04-04,2091
2015-04-03,2396
2015-04-02,3090
2015-04-01,3222
2015-03-31,3477
2015-03-30,3128
2015-03-29,2553
2015-03-28,2458
2015-03-27,2978
2015-03-26,3228
2015-03-25,3790
2015-03-24,4070
2015-03-23,3401
2015-03-22,2471
2015-03-21,2141
2015-03-20,3178
2015-03-19,3458
2015-03-18,3484
2015-03-17,3585
2015-03-16,3354
2015-03-15,2298
2015-03-14,2118
2015-03-13,3766
2015-03-12,3987
2015-03-11,3874
2015-03-10,3690
2015-03-09,3559
2015-03-08,3251
2015-03-07,2806
2015-03-06,3194
2015-03-05,3306
2015-03-04,3699
2015-03-03,3473
2015-03-02,3602
2015-03-01,2472
2015-02-31,0
2015-02-30,0
2015-02-29,0
2015-02-28,2151
2015-02-27,8578
2015-02-26,3381
2015-02-25,3634
2015-02-24,3713
2015-02-23,3562
2015-02-22,2487
2015-02-21,2131
2015-02-20,3380
2015-02-19,3511
2015-02-18,5617
2015-02-17,3397
2015-02-16,3292
2015-02-15,2394
2015-02-14,2467
2015-02-13,3247
2015-02-12,4125
2015-02-11,4024
2015-02-10,3722
2015-02-09,3890
2015-02-08,2536
2015-02-07,2185
2015-02-06,3136
2015-02-05,0
2015-02-04,3715
2015-02-03,3660
2015-02-02,3455
2015-02-01,2467
2015-01-31,1761
2015-01-30,3423
2015-01-29,4102
2015-01-28,4508
2015-01-27,3948
2015-01-26,3637
2015-01-25,2351
2015-01-24,2082
2015-01-23,3348
2015-01-22,3825
2015-01-21,3501
2015-01-20,3747
2015-01-19,3261
2015-01-18,2516
2015-01-17,1986
2015-01-16,3044
2015-01-15,3300
2015-01-14,3239
2015-01-13,3446
2015-01-12,3449
2015-01-11,2496
2015-01-10,2522
2015-01-09,3122
2015-01-08,3433
2015-01-07,3606
2015-01-06,3159
2015-01-05,2938
2015-01-04,2219
2015-01-03,2256
2015-01-02,2143
2015-01-01,1649
2014-12-31,1928
2014-12-30,2190
2014-12-29,2342
2014-12-28,1860
2014-12-27,1878
2014-12-26,1928
2014-12-25,1564
2014-12-24,1970
2014-12-23,2393
2014-12-22,2478
2014-12-21,2012
2014-12-20,1814
2014-12-19,2392
2014-12-18,2806
2014-12-17,2918
2014-12-16,3146
2014-12-15,3078
2014-12-14,2368
2014-12-13,2248
2014-12-12,3066
2014-12-11,3504
2014-12-10,3343
2014-12-09,3515
2014-12-08,4428
2014-12-07,3316
2014-12-06,3289
2014-12-05,3814
2014-12-04,5037
2014-12-03,4576
2014-12-02,4114
2014-12-01,4614
2014-11-31,0
2014-11-30,3098
2014-11-29,2543
2014-11-28,2671
2014-11-27,3129
2014-11-26,3529
2014-11-25,4073
2014-11-24,5105
2014-11-23,3323
2014-11-22,2752
2014-11-21,4040
2014-11-20,4999
2014-11-19,5055
2014-11-18,5581
2014-11-17,4009
2014-11-16,3190
2014-11-15,3258
2014-11-14,3601
2014-11-13,5953
2014-11-12,4160
2014-11-11,4307
2014-11-10,4169
2014-11-09,3113
2014-11-08,2819
2014-11-07,3975
2014-11-06,5098
2014-11-05,4408
2014-11-04,4668
2014-11-03,4059
2014-11-02,3700
2014-11-01,3199
2014-10-31,4411
2014-10-30,4543
2014-10-29,4087
2014-10-28,4110
2014-10-27,4295
2014-10-26,2911
2014-10-25,2718
2014-10-24,3561
2014-10-23,4997
2014-10-22,4225
