Date, NumberOfViews
2015-10-10,7284
2015-10-09,6407
2015-10-08,6815
2015-10-07,7608
2015-10-06,7440
2015-10-05,6003
2015-10-04,4175
2015-10-03,3786
2015-10-02,5299
2015-10-01,6116
2015-10-09,6407
2015-10-08,6815
2015-10-07,7608
2015-10-06,7440
2015-10-05,6003
2015-10-04,4175
2015-10-03,3786
2015-10-02,5299
2015-10-01,6116
2015-09-30,6516
2015-09-29,6761
2015-09-28,7039
2015-09-27,5421
2015-09-26,3574
2015-09-25,5777
2015-09-24,5891
2015-09-23,6278
2015-09-22,6973
2015-09-21,6640
2015-09-20,4331
2015-09-19,4004
2015-09-18,5669
2015-09-17,7135
2015-09-16,5458
2015-09-15,6624
2015-09-14,6538
2015-09-13,4924
2015-09-12,3952
2015-09-11,5918
2015-09-10,6511
2015-09-09,7439
2015-09-08,6275
2015-09-07,5209
2015-09-06,3768
2015-09-05,3433
2015-09-04,4978
2015-09-03,5742
2015-09-02,6140
2015-09-01,5460
2015-08-31,4962
2015-08-30,3624
2015-08-29,3388
2015-08-28,4846
2015-08-27,5028
2015-08-26,5514
2015-08-25,5483
2015-08-24,5215
2015-08-23,3561
2015-08-22,3423
2015-08-21,4678
2015-08-20,5020
2015-08-19,5193
2015-08-18,5235
2015-08-17,5097
2015-08-16,3895
2015-08-15,3445
2015-08-14,5030
2015-08-13,5768
2015-08-12,6156
2015-08-11,7412
2015-08-10,5443
2015-08-09,3751
2015-08-08,3812
2015-08-07,5779
2015-08-06,5283
2015-08-05,5211
2015-08-04,6191
2015-08-03,4113
2015-08-02,4075
2015-08-01,4803
2015-07-31,5324
2015-07-30,6522
2015-07-29,7214
2015-07-28,5783
2015-07-27,5121
2015-07-26,3477
2015-07-25,3692
2015-07-24,5051
2015-07-23,6105
2015-07-22,6291
2015-07-21,5500
2015-07-20,4838
2015-07-19,3031
2015-07-18,3250
2015-07-17,4057
2015-07-16,5185
2015-07-15,5317
2015-07-14,4966
2015-07-13,5090
2015-07-12,3985
2015-07-11,3896
2015-07-10,5575
2015-07-09,6926
2015-07-08,7017
2015-07-07,4955
2015-07-06,4676
2015-07-05,3423
2015-07-04,3469
2015-07-03,3936
2015-07-02,5029
2015-07-01,4428
2015-06-31,0
2015-06-30,4642
2015-06-29,3648
2015-06-28,3130
2015-06-27,2738
2015-06-26,3336
2015-06-25,4362
2015-06-24,3989
2015-06-23,3597
2015-06-22,4169
2015-06-21,2657
2015-06-20,2997
2015-06-19,3706
2015-06-18,4632
2015-06-17,3899
2015-06-16,4325
2015-06-15,4115
2015-06-14,3487
2015-06-13,3605
2015-06-12,4656
2015-06-11,6131
2015-06-10,5464
2015-06-09,5746
2015-06-08,6118
2015-06-07,6017
2015-06-06,4097
2015-06-05,5312
2015-06-04,7064
2015-06-03,6212
2015-06-02,7529
2015-06-01,6015
2015-05-31,3764
2015-05-30,3561
2015-05-29,4897
2015-05-28,5533
2015-05-27,7510
2015-05-26,5345
2015-05-25,5411
2015-05-24,3920
2015-05-23,3420
2015-05-22,5123
2015-05-21,5822
2015-05-20,6086
2015-05-19,6063
2015-05-18,5960
2015-05-17,4227
2015-05-16,4235
2015-05-15,7072
2015-05-14,7049
2015-05-13,7778
2015-05-12,7487
2015-05-11,7383
2015-05-10,5292
2015-05-09,5109
2015-05-08,7079
2015-05-07,8224
2015-05-06,8561
2015-05-05,7692
2015-05-04,7486
2015-05-03,5276
2015-05-02,5557
2015-05-01,6516
2015-04-31,0
2015-04-30,8156
2015-04-29,8063
2015-04-28,7907
2015-04-27,7514
2015-04-26,5496
2015-04-25,5765
2015-04-24,6799
2015-04-23,7695
2015-04-22,6949
2015-04-21,6842
2015-04-20,6766
2015-04-19,4970
2015-04-18,5387
2015-04-17,6815
2015-04-16,7239
2015-04-15,6873
2015-04-14,7058
2015-04-13,7104
2015-04-12,4607
2015-04-11,5052
2015-04-10,5917
